Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,3914,Australia
Telecommunications,Non-Tech,3420,Australia
Information Services,Non-Tech,1985,Australia
Renewable Energy Semiconductor Manufacturing,Non-Tech,1769,Australia
Biotechnology Research,Non-Tech,1059,Australia
Automation Machinery Manufacturing,Non-Tech,773,Australia
Industrial Automation,Non-Tech,202,Australia
Biotechnology,Non-Tech,188,Australia
Consumer Electronics,Non-Tech,176,Australia
Media & Telecommunications,Non-Tech,160,Australia
Robotics Engineering,Non-Tech,129,Australia
Space Research and Technology,Non-Tech,116,Australia
Climate Technology Product Manufacturing,Non-Tech,78,Australia
Nanotechnology Research,Non-Tech,76,Australia
Climate Data and Analytics,Non-Tech,47,Australia
Telecommunications Carriers,Non-Tech,23,Australia
Satellite Telecommunications,Non-Tech,16,Australia
