industry,clay_count,rows_downloaded,unique_companies,coverage_pct,existing_in_file,new_added,file
"Appliances, Electrical, and Electronics Manufacturing",3914,3912,3912,99.9,3912,0,delivery\Australia\Australia Data [Clay] -Appliances-Electrical-and-Electronics-Manufacturing.csv
Telecommunications,3420,3418,3418,99.9,3418,0,delivery\Australia\Australia Data [Clay] -Telecommunications.csv
Information Services,1985,1985,1985,100.0,1985,0,delivery\Australia\Australia Data [Clay] -Information-Services.csv
Renewable Energy Semiconductor Manufacturing,1769,1768,1768,99.9,1768,0,delivery\Australia\Australia Data [Clay] -Renewable-Energy-Semiconductor-Manufacturing.csv
Biotechnology Research,1059,1057,1057,99.8,1057,0,delivery\Australia\Australia Data [Clay] -Biotechnology-Research.csv
Automation Machinery Manufacturing,773,772,772,99.9,772,0,delivery\Australia\Australia Data [Clay] -Automation-Machinery-Manufacturing.csv
Industrial Automation,202,202,202,100.0,202,0,delivery\Australia\Australia Data [Clay] -Industrial-Automation.csv
Biotechnology,188,188,188,100.0,188,0,delivery\Australia\Australia Data [Clay] -Biotechnology.csv
Consumer Electronics,176,176,176,100.0,176,0,delivery\Australia\Australia Data [Clay] -Consumer-Electronics.csv
Media & Telecommunications,160,160,160,100.0,160,0,delivery\Australia\Australia Data [Clay] -Media-Telecommunications.csv
Robotics Engineering,129,129,129,100.0,129,0,delivery\Australia\Australia Data [Clay] -Robotics-Engineering.csv
Space Research and Technology,116,116,116,100.0,116,0,delivery\Australia\Australia Data [Clay] -Space-Research-and-Technology.csv
Climate Technology Product Manufacturing,78,78,78,100.0,78,0,delivery\Australia\Australia Data [Clay] -Climate-Technology-Product-Manufacturing.csv
Climate Data and Analytics,47,47,47,100.0,47,0,delivery\Australia\Australia Data [Clay] -Climate-Data-and-Analytics.csv
Telecommunications Carriers,23,23,23,100.0,23,0,delivery\Australia\Australia Data [Clay] -Telecommunications-Carriers.csv
Satellite Telecommunications,16,16,16,100.0,16,0,delivery\Australia\Australia Data [Clay] -Satellite-Telecommunications.csv
Nanotechnology Research,76,76,76,100.0,76,0,delivery\Australia\Australia Data [Clay] -Nanotechnology-Research.csv
