Industry,Category,Count,Country
Telecommunications,Non-Tech,4287,Canada
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,3760,Canada
Information Services,Non-Tech,2257,Canada
Biotechnology Research,Non-Tech,1958,Canada
Renewable Energy Semiconductor Manufacturing,Non-Tech,1533,Canada
Automation Machinery Manufacturing,Non-Tech,1455,Canada
Biotechnology,Non-Tech,433,Canada
Industrial Automation,Non-Tech,416,Canada
Consumer Electronics,Non-Tech,285,Canada
Media & Telecommunications,Non-Tech,280,Canada
Robotics Engineering,Non-Tech,238,Canada
Nanotechnology Research,Non-Tech,199,Canada
Climate Technology Product Manufacturing,Non-Tech,150,Canada
Space Research and Technology,Non-Tech,115,Canada
Climate Data and Analytics,Non-Tech,44,Canada
Telecommunications Carriers,Non-Tech,16,Canada
Satellite Telecommunications,Non-Tech,11,Canada
