Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,951,Denmark
Information Services,Non-Tech,505,Denmark
Telecommunications,Non-Tech,483,Denmark
Biotechnology Research,Non-Tech,474,Denmark
Automation Machinery Manufacturing,Non-Tech,446,Denmark
Renewable Energy Semiconductor Manufacturing,Non-Tech,344,Denmark
Industrial Automation,Non-Tech,116,Denmark
Biotechnology,Non-Tech,91,Denmark
Consumer Electronics,Non-Tech,90,Denmark
Nanotechnology Research,Non-Tech,46,Denmark
Robotics Engineering,Non-Tech,44,Denmark
Media & Telecommunications,Non-Tech,34,Denmark
Climate Technology Product Manufacturing,Non-Tech,25,Denmark
Climate Data and Analytics,Non-Tech,23,Denmark
Space Research and Technology,Non-Tech,20,Denmark
Satellite Telecommunications,Non-Tech,5,Denmark
Telecommunications Carriers,Non-Tech,2,Denmark
