industry,clay_count,rows_downloaded,unique_companies,coverage_pct,file
"Appliances, Electrical, and Electronics Manufacturing",951,951,951,100.0,delivery\Denmark\Denmark Data [Clay] -Appliances-Electrical-and-Electronics-Manufacturing.csv
Information Services,505,505,505,100.0,delivery\Denmark\Denmark Data [Clay] -Information-Services.csv
Telecommunications,483,483,483,100.0,delivery\Denmark\Denmark Data [Clay] -Telecommunications.csv
Biotechnology Research,474,474,474,100.0,delivery\Denmark\Denmark Data [Clay] -Biotechnology-Research.csv
Automation Machinery Manufacturing,446,446,446,100.0,delivery\Denmark\Denmark Data [Clay] -Automation-Machinery-Manufacturing.csv
Renewable Energy Semiconductor Manufacturing,344,344,344,100.0,delivery\Denmark\Denmark Data [Clay] -Renewable-Energy-Semiconductor-Manufacturing.csv
Industrial Automation,116,116,116,100.0,delivery\Denmark\Denmark Data [Clay] -Industrial-Automation.csv
Biotechnology,91,91,91,100.0,delivery\Denmark\Denmark Data [Clay] -Biotechnology.csv
Consumer Electronics,90,90,90,100.0,delivery\Denmark\Denmark Data [Clay] -Consumer-Electronics.csv
Nanotechnology Research,46,46,46,100.0,delivery\Denmark\Denmark Data [Clay] -Nanotechnology-Research.csv
Robotics Engineering,44,44,44,100.0,delivery\Denmark\Denmark Data [Clay] -Robotics-Engineering.csv
Media & Telecommunications,34,34,34,100.0,delivery\Denmark\Denmark Data [Clay] -Media-Telecommunications.csv
Climate Technology Product Manufacturing,25,25,25,100.0,delivery\Denmark\Denmark Data [Clay] -Climate-Technology-Product-Manufacturing.csv
Climate Data and Analytics,23,23,23,100.0,delivery\Denmark\Denmark Data [Clay] -Climate-Data-and-Analytics.csv
Space Research and Technology,20,20,20,100.0,delivery\Denmark\Denmark Data [Clay] -Space-Research-and-Technology.csv
Satellite Telecommunications,5,5,5,100.0,delivery\Denmark\Denmark Data [Clay] -Satellite-Telecommunications.csv
Telecommunications Carriers,2,2,2,100.0,delivery\Denmark\Denmark Data [Clay] -Telecommunications-Carriers.csv
