Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,35085,France
Information Services,Non-Tech,5970,France
Telecommunications,Non-Tech,5494,France
Renewable Energy Semiconductor Manufacturing,Non-Tech,2251,France
Biotechnology Research,Non-Tech,2070,France
Automation Machinery Manufacturing,Non-Tech,916,France
Media & Telecommunications,Non-Tech,836,France
Consumer Electronics,Non-Tech,830,France
Biotechnology,Non-Tech,433,France
Industrial Automation,Non-Tech,234,France
Robotics Engineering,Non-Tech,160,France
Space Research and Technology,Non-Tech,154,France
Nanotechnology Research,Non-Tech,138,France
Climate Technology Product Manufacturing,Non-Tech,98,France
Telecommunications Carriers,Non-Tech,97,France
Climate Data and Analytics,Non-Tech,39,France
Satellite Telecommunications,Non-Tech,19,France
