Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,7646,Germany
Telecommunications,Non-Tech,3985,Germany
Renewable Energy Semiconductor Manufacturing,Non-Tech,3470,Germany
Automation Machinery Manufacturing,Non-Tech,2676,Germany
Information Services,Non-Tech,2499,Germany
Biotechnology Research,Non-Tech,1917,Germany
Industrial Automation,Non-Tech,616,Germany
Biotechnology,Non-Tech,376,Germany
Media & Telecommunications,Non-Tech,310,Germany
Robotics Engineering,Non-Tech,289,Germany
Nanotechnology Research,Non-Tech,253,Germany
Consumer Electronics,Non-Tech,235,Germany
Climate Technology Product Manufacturing,Non-Tech,179,Germany
Space Research and Technology,Non-Tech,115,Germany
Telecommunications Carriers,Non-Tech,54,Germany
Climate Data and Analytics,Non-Tech,47,Germany
Satellite Telecommunications,Non-Tech,16,Germany
