industry,clay_count,rows_downloaded,unique_companies,coverage_pct,file
"Appliances, Electrical, and Electronics Manufacturing",7646,7482,7320,95.7,delivery\Germany\Germany Data [Clay] -Appliances-Electrical-and-Electronics-Manufacturing.csv
Telecommunications,3985,3982,3982,99.9,delivery\Germany\Germany Data [Clay] -Telecommunications.csv
Renewable Energy Semiconductor Manufacturing,3470,3466,3466,99.9,delivery\Germany\Germany Data [Clay] -Renewable-Energy-Semiconductor-Manufacturing.csv
Automation Machinery Manufacturing,2676,2671,2671,99.8,delivery\Germany\Germany Data [Clay] -Automation-Machinery-Manufacturing.csv
Information Services,2499,2499,2499,100.0,delivery\Germany\Germany Data [Clay] -Information-Services.csv
Biotechnology Research,1917,1915,1914,99.8,delivery\Germany\Germany Data [Clay] -Biotechnology-Research.csv
Industrial Automation,616,616,616,100.0,delivery\Germany\Germany Data [Clay] -Industrial-Automation.csv
Biotechnology,376,376,376,100.0,delivery\Germany\Germany Data [Clay] -Biotechnology.csv
Media & Telecommunications,310,310,310,100.0,delivery\Germany\Germany Data [Clay] -Media-Telecommunications.csv
Robotics Engineering,289,288,288,99.7,delivery\Germany\Germany Data [Clay] -Robotics-Engineering.csv
Nanotechnology Research,253,253,253,100.0,delivery\Germany\Germany Data [Clay] -Nanotechnology-Research.csv
Consumer Electronics,235,235,235,100.0,delivery\Germany\Germany Data [Clay] -Consumer-Electronics.csv
Climate Technology Product Manufacturing,179,179,179,100.0,delivery\Germany\Germany Data [Clay] -Climate-Technology-Product-Manufacturing.csv
Space Research and Technology,115,115,115,100.0,delivery\Germany\Germany Data [Clay] -Space-Research-and-Technology.csv
Telecommunications Carriers,54,54,54,100.0,delivery\Germany\Germany Data [Clay] -Telecommunications-Carriers.csv
Climate Data and Analytics,47,47,47,100.0,delivery\Germany\Germany Data [Clay] -Climate-Data-and-Analytics.csv
Satellite Telecommunications,16,16,16,100.0,delivery\Germany\Germany Data [Clay] -Satellite-Telecommunications.csv
