Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,162595,India
Biotechnology Research,Non-Tech,9041,India
Information Services,Non-Tech,6788,India
Telecommunications,Non-Tech,6559,India
Automation Machinery Manufacturing,Non-Tech,5082,India
Renewable Energy Semiconductor Manufacturing,Non-Tech,2950,India
Biotechnology,Non-Tech,2492,India
Industrial Automation,Non-Tech,995,India
Consumer Electronics,Non-Tech,972,India
Robotics Engineering,Non-Tech,781,India
Media & Telecommunications,Non-Tech,608,India
Space Research and Technology,Non-Tech,518,India
Nanotechnology Research,Non-Tech,272,India
Climate Technology Product Manufacturing,Non-Tech,253,India
Climate Data and Analytics,Non-Tech,130,India
Satellite Telecommunications,Non-Tech,30,India
Telecommunications Carriers,Non-Tech,16,India
