Industry,Category,Count,Country
Telecommunications,Non-Tech,596,Ireland
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,490,Ireland
Information Services,Non-Tech,374,Ireland
Biotechnology Research,Non-Tech,286,Ireland
Renewable Energy Semiconductor Manufacturing,Non-Tech,278,Ireland
Automation Machinery Manufacturing,Non-Tech,176,Ireland
Biotechnology,Non-Tech,50,Ireland
Industrial Automation,Non-Tech,40,Ireland
Media & Telecommunications,Non-Tech,40,Ireland
Consumer Electronics,Non-Tech,35,Ireland
Nanotechnology Research,Non-Tech,29,Ireland
Space Research and Technology,Non-Tech,25,Ireland
Robotics Engineering,Non-Tech,20,Ireland
Climate Technology Product Manufacturing,Non-Tech,17,Ireland
Climate Data and Analytics,Non-Tech,11,Ireland
Satellite Telecommunications,Non-Tech,3,Ireland
Telecommunications Carriers,Non-Tech,1,Ireland
