Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,3240,Netherlands
Information Services,Non-Tech,2754,Netherlands
Telecommunications,Non-Tech,2460,Netherlands
Renewable Energy Semiconductor Manufacturing,Non-Tech,2416,Netherlands
Automation Machinery Manufacturing,Non-Tech,1328,Netherlands
Biotechnology Research,Non-Tech,969,Netherlands
Industrial Automation,Non-Tech,401,Netherlands
Consumer Electronics,Non-Tech,346,Netherlands
Biotechnology,Non-Tech,205,Netherlands
Nanotechnology Research,Non-Tech,144,Netherlands
Robotics Engineering,Non-Tech,100,Netherlands
Media & Telecommunications,Non-Tech,99,Netherlands
Climate Technology Product Manufacturing,Non-Tech,98,Netherlands
Space Research and Technology,Non-Tech,50,Netherlands
Climate Data and Analytics,Non-Tech,39,Netherlands
Telecommunications Carriers,Non-Tech,17,Netherlands
Satellite Telecommunications,Non-Tech,9,Netherlands
