Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,613,New Zealand
Telecommunications,Non-Tech,481,New Zealand
Information Services,Non-Tech,345,New Zealand
Biotechnology Research,Non-Tech,169,New Zealand
Renewable Energy Semiconductor Manufacturing,Non-Tech,158,New Zealand
Automation Machinery Manufacturing,Non-Tech,155,New Zealand
Industrial Automation,Non-Tech,43,New Zealand
Biotechnology,Non-Tech,43,New Zealand
Consumer Electronics,Non-Tech,30,New Zealand
Nanotechnology Research,Non-Tech,24,New Zealand
Space Research and Technology,Non-Tech,23,New Zealand
Climate Technology Product Manufacturing,Non-Tech,22,New Zealand
Robotics Engineering,Non-Tech,20,New Zealand
Media & Telecommunications,Non-Tech,15,New Zealand
Climate Data and Analytics,Non-Tech,13,New Zealand
Satellite Telecommunications,Non-Tech,5,New Zealand
Telecommunications Carriers,Non-Tech,1,New Zealand
