Industry,Category,Count,Country
Telecommunications,Non-Tech,7862,Spain
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,7732,Spain
Renewable Energy Semiconductor Manufacturing,Non-Tech,2280,Spain
Information Services,Non-Tech,1960,Spain
Biotechnology Research,Non-Tech,1393,Spain
Automation Machinery Manufacturing,Non-Tech,1103,Spain
Consumer Electronics,Non-Tech,702,Spain
Media & Telecommunications,Non-Tech,647,Spain
Biotechnology,Non-Tech,262,Spain
Industrial Automation,Non-Tech,249,Spain
Nanotechnology Research,Non-Tech,167,Spain
Robotics Engineering,Non-Tech,122,Spain
Telecommunications Carriers,Non-Tech,89,Spain
Space Research and Technology,Non-Tech,83,Spain
Climate Technology Product Manufacturing,Non-Tech,65,Spain
Climate Data and Analytics,Non-Tech,21,Spain
Satellite Telecommunications,Non-Tech,13,Spain
