Industry,Category,Count,Country
Telecommunications,Non-Tech,1043,Sweden
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,989,Sweden
Information Services,Non-Tech,811,Sweden
Automation Machinery Manufacturing,Non-Tech,562,Sweden
Biotechnology Research,Non-Tech,529,Sweden
Renewable Energy Semiconductor Manufacturing,Non-Tech,300,Sweden
Industrial Automation,Non-Tech,160,Sweden
Biotechnology,Non-Tech,86,Sweden
Nanotechnology Research,Non-Tech,74,Sweden
Consumer Electronics,Non-Tech,54,Sweden
Media & Telecommunications,Non-Tech,42,Sweden
Space Research and Technology,Non-Tech,37,Sweden
Climate Technology Product Manufacturing,Non-Tech,30,Sweden
Robotics Engineering,Non-Tech,29,Sweden
Climate Data and Analytics,Non-Tech,18,Sweden
Telecommunications Carriers,Non-Tech,6,Sweden
Satellite Telecommunications,Non-Tech,3,Sweden
