Industry,Category,Count,Country
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,1106,Switzerland
Biotechnology Research,Non-Tech,863,Switzerland
Information Services,Non-Tech,806,Switzerland
Telecommunications,Non-Tech,766,Switzerland
Renewable Energy Semiconductor Manufacturing,Non-Tech,652,Switzerland
Automation Machinery Manufacturing,Non-Tech,531,Switzerland
Biotechnology,Non-Tech,158,Switzerland
Robotics Engineering,Non-Tech,105,Switzerland
Industrial Automation,Non-Tech,100,Switzerland
Nanotechnology Research,Non-Tech,100,Switzerland
Media & Telecommunications,Non-Tech,88,Switzerland
Consumer Electronics,Non-Tech,60,Switzerland
Space Research and Technology,Non-Tech,56,Switzerland
Climate Technology Product Manufacturing,Non-Tech,40,Switzerland
Climate Data and Analytics,Non-Tech,20,Switzerland
Telecommunications Carriers,Non-Tech,18,Switzerland
Satellite Telecommunications,Non-Tech,4,Switzerland
