Industry,Category,Count,Country
Telecommunications,Non-Tech,1150,United Arab Emirates
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,1119,United Arab Emirates
Information Services,Non-Tech,799,United Arab Emirates
Automation Machinery Manufacturing,Non-Tech,487,United Arab Emirates
Renewable Energy Semiconductor Manufacturing,Non-Tech,263,United Arab Emirates
Biotechnology Research,Non-Tech,195,United Arab Emirates
Media & Telecommunications,Non-Tech,132,United Arab Emirates
Industrial Automation,Non-Tech,106,United Arab Emirates
Consumer Electronics,Non-Tech,91,United Arab Emirates
Robotics Engineering,Non-Tech,75,United Arab Emirates
Space Research and Technology,Non-Tech,52,United Arab Emirates
Nanotechnology Research,Non-Tech,29,United Arab Emirates
Climate Technology Product Manufacturing,Non-Tech,28,United Arab Emirates
Climate Data and Analytics,Non-Tech,20,United Arab Emirates
Satellite Telecommunications,Non-Tech,19,United Arab Emirates
Biotechnology,Non-Tech,16,United Arab Emirates
Telecommunications Carriers,Non-Tech,13,United Arab Emirates
