Industry,Category,Count,Country
Telecommunications,Non-Tech,22435,United Kingdom
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,20616,United Kingdom
Information Services,Non-Tech,17398,United Kingdom
Renewable Energy Semiconductor Manufacturing,Non-Tech,6659,United Kingdom
Automation Machinery Manufacturing,Non-Tech,5373,United Kingdom
Biotechnology Research,Non-Tech,4992,United Kingdom
Consumer Electronics,Non-Tech,1955,United Kingdom
Industrial Automation,Non-Tech,1632,United Kingdom
Biotechnology,Non-Tech,1157,United Kingdom
Media & Telecommunications,Non-Tech,462,United Kingdom
Nanotechnology Research,Non-Tech,397,United Kingdom
Space Research and Technology,Non-Tech,303,United Kingdom
Robotics Engineering,Non-Tech,256,United Kingdom
Climate Technology Product Manufacturing,Non-Tech,197,United Kingdom
Climate Data and Analytics,Non-Tech,180,United Kingdom
Satellite Telecommunications,Non-Tech,50,United Kingdom
Telecommunications Carriers,Non-Tech,24,United Kingdom
