Industry,Category,Count,Country
Telecommunications,Non-Tech,53305,United States
"Appliances, Electrical, and Electronics Manufacturing",Non-Tech,47854,United States
Biotechnology Research,Non-Tech,22745,United States
Information Services,Non-Tech,18849,United States
Renewable Energy Semiconductor Manufacturing,Non-Tech,15110,United States
Automation Machinery Manufacturing,Non-Tech,10972,United States
Biotechnology,Non-Tech,5216,United States
Consumer Electronics,Non-Tech,3420,United States
Industrial Automation,Non-Tech,3095,United States
Media & Telecommunications,Non-Tech,1798,United States
Robotics Engineering,Non-Tech,1459,United States
Nanotechnology Research,Non-Tech,1444,United States
Space Research and Technology,Non-Tech,1098,United States
Climate Technology Product Manufacturing,Non-Tech,540,United States
Climate Data and Analytics,Non-Tech,285,United States
Telecommunications Carriers,Non-Tech,169,United States
Satellite Telecommunications,Non-Tech,128,United States
