Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Eaton,"Eaton is an intelligent power management company dedicated to improving the quality of life and protecting the environment for people everywhere. We are guided by our commitment to do business right, to operate sustainably and to help our customers manage power ─ today and well into the future. By capitalizing on the global growth trends of electrification and digitalization, we’re accelerating the planet’s transition to renewable energy and helping to solve the world’s most urgent power management challenges.

Eaton is an Equal Opportunity Employer. Eaton is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Sydney, New South Wales, Australia",Australia,eaton.com,https://www.linkedin.com/company/eaton
Optimised Network Equipment Pty Ltd,"We will design, supply, test and commission your reactive power and harmonic filter solutions from medium to extra high voltage, including industry best practice harmonic compliance assessments.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Toowong, Queensland, Australia",Australia,onegrid.com.au,https://www.linkedin.com/company/optimised-network-equipment-pty-ltd
Lucid Building Automation,"Lucid Building Automation specialises in supplying, programming, installing, maintaining, and integrating various building automation systems. Our expertise extends to new construction, retrofit projects and ability to maintain and service many different systems. With decades of experience, we prioritise on-site building management systems that emphasise energy efficiency and optimisation.

We are committed to using open protocol and open vendor products to best serve our clients. Our offerings include implementation and integration for HVAC, security, fire, lighting, energy management, and integration with other building automation systems.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Kensington, Victoria, Australia",Australia,lucidba.com.au,https://www.linkedin.com/company/lucid-building-automation
Bellaluce Lighting,"An Australian private company based in Sydney that was founded in 1996. Bellaluce Lighting designs, manufactures and supplies a range of LED lighting products for the domestic, commercial and industrial markets, using the latest and highest quality LED chips coupled with efficient manufacturing processes.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Revesby, New South Wales, Australia",Australia,bellalucelighting.com.au,https://www.linkedin.com/company/bellalucelighting
"ASN Switchgear - Bypass Switches - MBS for UPS Systems, Cam, Onload, ON/OFF, Change over switches","Bypass switch manufacturer for Uninterruptible Power Supply (UPS) projects to mines, hospitals, rail, data centres, banks, industry etc. 
Change over (tailend) 2 position switches or Wraparound 3 position bypass switches made for your specific project requirements.
Quality Rotary and Cam switches; Disconnect switches 16A to 250A for industrial projects stopping and starting motors, or isolating loads.

Our componentry is sourced from Sontheimer in Germany and the switchgear is designed & assembled in our new facility in Melbourne. Our other hardware is sourced 100% local within Australia and all wiring procedures are carried out to A.S 3000:2007. Established in 1963, ASN Switchgear achieved Certification to ISO 9001 in 1998.

The major benefit of fitting a Maintenance Bypass switch to your UPS installation is that the UPS can be serviced or completely removed without disruption to the critical load. This avoids costly down time to your operations.

Manual bypass switches can be retrofitted to an existing UPS installation or supplied as part of the initial UPS. Bypass switches are generally three position switch’s labelled Normal / Test / Bypass. 

Alternative combinations and specific requirements can be designed and incorporated into the switchgear.

Compact Enclosed Disconnect Switch 25A - control small/medium automation products, single-phase and three-phase electric motors, heating and lighting control panels etc.

Disconnect Switches 16A to 250A - all are suitable for use as a motor disconnect.

Replacement handles - padlockable","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,asn-switchgear.com.au,https://www.linkedin.com/company/asn-switchgear-aust-pty-ltd
MM ELECTRICAL MACKAY,"MM Electrical Mining and Industrial Suppliers pride ourselves in offering outstanding service and competitive pricing; our highly experienced and motivated team are ready to meet your individual business needs, we offer complete supply and engineering solutions while accommodating your individual business needs.

We have recently relocated into our much bigger facility located at 53-55 Enterprise Street in the industrial hub of Paget Mackay, our service centre is specifically tailored to support the industrial, mining and infrastructure markets in Regional Queensland.

We’ve undergone a major expansion of our business model, and incorporated into our business dedicated contracts and project services team who manage all aspects of your project requirements from quotation through to on time and practical completion.

We have significantly improved our core range of quality industrial products, which now include safety, data, engineering products and an extensive range of high quality tools, we are also proud stockists of the very popular Milwaukee brand of power tools.

Basically MM Electrical Mackay is your one stop shop for more than electrical.
      
Our vision is to be your first choice; we will continue to strive to add value to your business and to be the Electrical wholesaler of your choice. At MM Electrical Mackay service is paramount and with that in mind we have extended our trading hours to incorporate Saturday trading.

Our web portal is now fully functional with over 133 thousand products on line, so please visit us at www.mmmackay.com.au. Our web site incorporates new product releases, news feeds, promotions and monthly specials. The website utilizes a Google based search engine which enables our customers to easily locate thousands of lines and is capable of full integration with most accounting software platforms including MYOB, Xero, Quick Books and Simpro .","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Mackay, Queensland, Australia",Australia,mmem.com.au,https://www.linkedin.com/company/mm-electrical-mackay
Powersafe Products,"AUSSIE DESIGNED & MADE POWER PRODUCTS THAT KEEP YOUR WORKPLACE SAFE & RISK FREE

Powersafe Products are an Australian manufacturer of portable power equipment and accessories that exceed Australian Standards. Designed as temporary, plug and play power systems for small to large sites; with mining, construction and event applications.

Built tough for the rigours of outdoor use.  Manufactured from high quality materials with IP66 standards and site compliance. Featuring innovative safety features and technology to protect personnel and equipment on site. Powersafe specialise in 3 phase & single phase custom power boards which can be built to clients specific site requirements.

The Powersafe range of products help you to mitigate risk on site by providing you with the ability to isolate power on site and engage the emergency stop switch should the need arise. 

Our Power Boards exceed the Australian standard and are the safest portable power distribution product on the market. 

VISION STATEMENT
To be innovators of High-Quality Power Boards in Australia. Powersafe are recognised as leaders in the safety space who are renowned for solving complex problems using our ability to engineer and manufacture power boards and power related products that keep Australians safe in the workplace.
 
MISSION
At Powersafe we are committed to rising to industry challenges in a responsive timeframe. The Powersafe team will demonstrate excellence through our commitment to delivering improved solutions to the market and emerge as leaders who respond to change with speed, determination and great customer service.

INDUSTRY
Powersafe power boards are used in industrial applications such as mine sites, construction sites and large public spaces for events like festivals and markets. 

Safety is our priority - we aim to keep workers on work sites safe and our products ensure that everyone on all sorts of worksites from all sorts of industries go home safe.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Sunshine Coast, Queensland, Australia",Australia,powersafe.net.au,https://www.linkedin.com/company/powersafe-products
Provo Instrumentation Pty Ltd,"Australian based test instrumentation sales for HVAC/R -refrigeration +airconditioning +heating, INDUSTRY -Emissions + Thermography, Food -Temperature + Cooking Oil measurement + Data Monitoring + Inspections, Pharma - Healthcare + Logistics +R&D / Production","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Plainby, Queensland, Australia",Australia,testinstruments.net.au,https://www.linkedin.com/company/provo-instrumentation-pty-ltd
Billi Water International,"At Billi, we design and manufacture a range of energy efficient filtered water systems that offer our customers the very best in innovation, superior performance and reliability.

For more than 25 years, we have maintained a commitment to excellence and quality that is second to none. 

Billi launched the world’s first under-bench boiling and chilled filtered water system in the early 1990s and was instantly recognised as the premium product of choice because of its high functionality, energy efficiency and space-saving design. From that first product, our range has grown to include a full complement of commercial and domestic systems now available throughout the world.

Today, we continue to innovate. Our designs keep pace with modern building techniques, contemporary interior concepts and changing lifestyle choices. And importantly, our products continue to incorporate improved eco- technology features.

Billi offers premium after sales care and product support, ensuring that our valued relationship with our customers does not end at purchase.","Appliances, Electrical, and Electronics Manufacturing",201-500 employees,Privately Held,"Reservoir, Victoria, Australia",Australia,,https://www.linkedin.com/company/billiwaterinternational
Pacific Test equipment Pty Ltd,"Pacific Test equipment is an Australian owned company established in Castle Hill in 1999 by Keith Bensley and with John Pannifex in Melbourne.  The business began by representing two overseas manufacturers and has now expanded to 12 to date; most are on an exclusive representation basis.

Pacific Test equipment is a major supplier of instrumentation and test equipment to the electrical distribution industry, major electrical manufacturers, utilities, Defence, various Government instrumentalities and major contractors.

Quality imported brands include:

   DV Power         Newtons 4th        Elcon International        AEMC Instruments        Sonel        Dranetz    

   Pro-Sys        Cropico        ElectroPJP        Dynamp        Amptec Research        Deltatronic Technology 

  Ofil Systems      Chauvin Arnoux      Ariadna Instruments      Iris Instruments     Rocoil         Toellner

    Powermetrix       GMC- I PROSys       High Voltage Instruments","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,pacifictest.com.au,https://www.linkedin.com/company/pacific-test-equipment
