Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Nanotechnology World,"Where does the industry go to find the next breakthrough? Nanotechnology World is the definitive digital infrastructure and discovery engine for the global nano-industry.

We provide a specialized B2B platform designed to bridge the gap between innovation and commercialization. Our ecosystem serves as a central hub for decision-makers and R&D leaders to access a global supplier directory, comprehensive product catalogs, and critical event listings.

Moving beyond simple information, we provide in-depth market trends and strategic analysis to help organizations navigate the evolving nanotech landscape. Whether you are sourcing advanced materials, listing new products, or seeking data-driven industry insights, Nanotechnology World is where the industry connects to do business.",Nanotechnology Research,2-10 employees,Privately Held,"Perth, Western Australia, Australia",Australia,nanotechnologyworld.org,https://www.linkedin.com/company/nanotechnology-world
Sicona Battery Technologies,"Sicona produces Silicon-Carbon (SiC) anode materials that supercharge next-gen Lithium-ion batteries. 
 
Our innovative battery materials technology delivers an +20% increase in energy density and an +40% increase in the charge rate over conventional graphite-only Lithium-ion battery cells   
 
By leveraging silicon metal Sicona delivers high performance battery materials at mass market scale, without costing the earth",Nanotechnology Research,11-50 employees,Privately Held,"Wollongong, New South Wales, Australia",Australia,siconabattery.com,https://www.linkedin.com/company/sicona-battery-technologies
The Australian National Fabrication Facility (ANFF),"For more than 15 years, the Australian National Fabrication Facility (ANFF) has been enabling research through a mixture of training, expert support and direct access in order to assist its clients to pursue their projects in a time- and cost-effective manner. 

Established under the National Collaborative Research Infrastructure Strategy (NCRIS), ANFF's 21 Australian locations provide academia and industry with access to more than 500 state-of-the-art micro/nanofabrication facilities.

From proving principles to producing prototypes all the way through to production, the network is helping to bring about new generations of medical devices, advanced materials, electronics, photonics, and more.",Nanotechnology Research,51-200 employees,Non Profit,"Melbourne, Victoria, Australia",Australia,anff.org.au,https://www.linkedin.com/company/anff-hq
Li-S Energy,"With climate change driving the move to renewable energy and electric vehicles the demand for batteries is forecast to increase 10x by 2030. To drive this growth, there needs to be a better battery and Li-S Energy is pioneering that change.

Our new lithium sulfur and lithium metal technology will power the world’s future by delivering lighter batteries with more than twice the energy density and — with no heavy metals — offer a cleaner and greener alternative. Our unique technology is ideal for low-weight applications such as aviation, defence and heavy EVs and is set to revolutionise the industry.",Nanotechnology Research,11-50 employees,Public Company,"Brisbane City, Queensland, Australia",Australia,lis.energy,https://www.linkedin.com/company/li-s-energy
"FLUIDINOVA, S.A.","FLUIDINOVA was founded in 2005 in Portugal as a specialized manufacturer of synthetic nano-hydroxyapatite and tricalcium phosphate materials, which are commercialized worldwide for different applications, under the brand name nanoXIM.

nanoXIM•Oral Care: The key hydroxyapatite ingredients for oral care applications, to reduce dental hypersensitivity, enhance enamel remineralization and restore natural whiteness. 
Available in two different forms: water suspension (nano) and powder (micro).

nanoXIM•Medical: Synthetic highly pure hydroxyapatite (HAp) and tricalcium phosphate (TCP) materials for bone regeneration medical devices. 
Available in three different forms: pastes, powders and granules.

nanoXIM•Food: The key hydroxyapatite ingredients for functional food and food supplements, to promote bone strength, reduce bone loss and prevent dental hypersensitivy. 
Available in two different forms: water suspension (nano) and powder (micro).

nanoXIM•Research: Looking for a calcium phosphate for your research? nanoXIM products are also available for several research fields including bio-separation, catalysis, pharma, biotechnology and functionalized textiles.",Nanotechnology Research,11-50 employees,Privately Held,"Canberra, Australian Capital Territory, Australia",Australia,fluidinova.com,https://www.linkedin.com/company/fluidinova
Sparc Technologies (ASX:SPN),"Sparc Technologies Limited (‘Sparc’, ASX: SPN) is an Australian company pioneering new technologies to disrupt and transform industry while seeking to deliver a more sustainable world. Sparc has established offices in Australia, Europe and North America and is focused on three core areas of technology development.

1.	Sparc has spent over 5 years developing a graphene based additive product, ecosparc, which has demonstrated 40% anti-corrosion improvement in commercially available epoxy-based coatings. Sparc recently commissioned a manufacturing facility to produce ecosparc and is engaging with global coatings companies and asset owners to conduct field trials.

2.	Sparc is the majority shareholder of Sparc Hydrogen which is a company pioneering the development of photocatalytic water splitting (‘PWS’) green hydrogen production technology. PWS is an alternative to producing green hydrogen via electrolysis, using only sunlight, water and a photocatalyst. Given lower infrastructure requirements and energy use, the process has the potential to deliver a cost and flexibility advantage over electrolysis.

3.	Sparc is also developing sustainable sodium ion battery anode technology utilising agricultural bio-waste feedstock.",Nanotechnology Research,11-50 employees,Public Company,"Adelaide, South Australia, Australia",Australia,sparctechnologies.com.au,https://www.linkedin.com/company/sparc-techno
NanoTechnology Solutions,"NanoTechnology Solutions offer sophisticated, contemporary and highly efficient solutions to meet research challenges in Physical and Life Sciences laboratories across Australia and New Zealand.

Our commitment towards providing exceptional ongoing customer service and making innovative instrumentation available to local researchers through our exclusive distribution agreements with leading global manufacturers enables us to offer complete solutions for Nanotechnology applications.

Our Products include: 

>> Electron Microscopy
		+ Benchtop SEM - Most versatile, 5 nm resolution, 30kV
                 + Detectors, Stages, Accessories
                 
>> AFM - World's best in electrical characterisation, unique technology

>> 3D Profilometery
                 + Optical Profilers
                 + Stylus Profilers
                 + Leading Technology

>> Microscopy Sample Preparation
                 + Plasma Cleaners - Most advanced plasma technology. SEM, TEM, AFM, XPS applications in one unit

>> in-situ Analysis - 
                 + Raman Spectroscopy (TEM/SEM/FIB/AFM)
                 + Mechanical testing (nano-indentation, tensile/compression in SEM, AFM or XCT)
                 + Heating & cooling (TEM/SEM/FIB/AFM)

>> Vibration Isolation - Custom made or standard sizes, delivered faster and cheaper. Guaranteed.
                 + For SEM, TEM, FIB, AFM, Confocal, Multi-photon
                 + Optical Tables
                 + Microscopy workstations
                 + Foundation integrated systems

>> Electrospinners - Most advanced lab and industrial scale systems

>> Contact Angle Measurement

>> Cleanrooms - Amazingly affordable and custom designed to turn any lab into a cleanroom down to Class 100

>> Ultrasonic Coating Systems",Nanotechnology Research,2-10 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,nanotechnologysolutions.com.au,https://www.linkedin.com/company/nanotechsol
Melbourne Centre for Nanofabrication,"MCN is a world-class nanofabrication centre, combining cutting-edge technologies with the skills and expertise of our staff. Part of the Australian National Fabrication Facility, ANFF, we provide research institutions and industry clients with open access to top micro and nano fabrication equipment and technologies as well as the expertise to support innovative projects.

MCN has key expertise in lithography, thin film deposition, chemical etching, reactive ion etching and characterisation, using a broad range of materials including metals, silicon, diamond, nitrides and oxides and we are particularly relevant in application areas such as energy, biosensing, microfluidics and nanofluidics, nanomedicine and drug delivery, micro electro mechanical systems (MEMS), optics and medical bionics. 

Our staff can train you to use our tools and systems as if it were part of your own in-house process line or we can conduct fabrication or analysis projects for a simple fee-for-service. We also collaborate on design, prototype and batch production milestones for clients involved in product development. 

Our wide range of capabilities at the one facility means that projects can be taken from concept to prototype with ease, with the possibility of scaling up to trial batch production.",Nanotechnology Research,11-50 employees,Public Company,"Melbourne, Victoria, Australia",Australia,nanomelbourne.com,https://www.linkedin.com/company/nanomelb
Nano Vacuum,"Nano Vacuum's team has over 80 years experience within the micro/nano-fabrication industry, servicing customers through a network of global trusted manufacturers and suppliers.
Our aim is to provide the best service and advice to our Australian, New Zealand, and global customer base, enabling you with the most cutting-edge nanofabrication tools available for tomorrow's research.
Our range of deposition, etching, plasma modification, clean/inert environments, packaging and lithography tools offer nanofabrication resources to ensure you stay at the forefront of the highly competitive research space.
Our goal is to empower you with the best resources, application knowledge, and tools to succeed, with a service and price point exceeding your expectations. 
We look forward to working with you on your next exciting project!
Team Nano Vacuum",Nanotechnology Research,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,nanovacuum.com.au,https://www.linkedin.com/company/nano-vacuum
NewSpec Pty Ltd,"NewSpec was established in December 2004 as an Australian owned company, as the exclusive Australasian distributor for Newport Corporation. We specialise in the marketing, sales, importation, installation and service of scientific research equipment, primarily in the fields of lasers, optics and surface metrology. 

Based in Adelaide, with offices in Melbourne, Brisbane and Sydney, NewSpec continues to grow, offering an expanding range of Laser Systems, AFM's, Surface Profilers, and related optical equipment to the scientific research, aerospace & defence, microelectronics and life science markets throughout Australia and New Zealand.",Nanotechnology Research,11-50 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,newspec.com.au,https://www.linkedin.com/company/newspec-pty-ltd
