Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gilat Satellite Networks,"Gilat Satellite Networks Ltd. (NASDAQ: GILT, TASE: GILT) is a leading global provider of satellite-based broadband communications. With over 35 years of experience, we develop and deliver deep technology solutions for satellite, ground, and new space connectivity, offering next-generation solutions and services for critical connectivity across commercial and defense applications.  We believe in the right of all people to be connected and are united in our resolution to provide communication solutions to all reaches of the world.

Together with our wholly-owned subsidiaries—Gilat Wavestream, Gilat DataPath, and Gilat Stellar Blu—we offer integrated, high-value solutions supporting multi-orbit constellations, Very High Throughput Satellites (VHTS), and Software-Defined Satellites (SDS) via our Commercial and Defense Divisions. Our comprehensive portfolio is comprised of a cloud-based platform and modems; high-performance satellite terminals; advanced Satellite On-the-Move (SOTM) antennas and ESAs; highly efficient, high-power Solid State Power Amplifiers (SSPA) and Block Upconverters (BUC) and includes integrated ground systems for commercial and defense markets, field services, network management software, and cybersecurity services.

Gilat’s products and tailored solutions support multiple applications including government and defense, IFC and mobility, broadband access, cellular backhaul, enterprise, aerospace, broadcast, and critical infrastructure clients all while meeting the most stringent service level requirements. For more information, please visit: http://www.gilat.com",Satellite Telecommunications,"1,001-5,000 employees",Public Company,"Melbourne, Victoria, Australia",Australia,gilat.com,https://www.linkedin.com/company/gilat-satellite-networks
Hypha,"Hypha delivers connectivity where it’s needed most - and where it’s never been possible before.

As a top five global Starlink Authorised Reseller, Hypha combines advanced satellite communications with Vehicle-as-a-Node (VaaN) architecture to enable continuous, high-performance connectivity across the world’s most demanding environments.

From public safety to critical infrastructure, Hypha powers connectivity that moves with the mission.

Operating across Australia and the United States, Hypha is setting a new standard for deployable, resilient connectivity at scale.

Voice and Data Beyond Networks.",Satellite Telecommunications,11-50 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,hypha.world,https://www.linkedin.com/company/hyphasolutions
Acutec Systems,"Delivering Communications, IT and Entertainment services to vessels in the energy, cruise, super yacht, commercial and government sectors.",Satellite Telecommunications,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,acutec.com,https://www.linkedin.com/company/acutec-pty-ltd
Starsite Pty Ltd,"Starsite Pty Ltd is a Ground Station hosting company based in Kojarena, Western Australia.",Satellite Telecommunications,2-10 employees,Privately Held,"Kojarena, Western Australia, Australia",Australia,starsite.com.au,https://www.linkedin.com/company/starsite-pty-ltd
DCE Electrical,"DCE Electricals is a trusted provider of mission-critical infrastructure services, delivering reliable solutions across both metropolitan and remote locations nationwide. With full in-house capabilities and a holistic approach, we ensure every project is delivered with quality, efficiency, and sustainability—tailored to meet the unique needs of our clients.

Our expertise includes:
- Critical HVAC systems
- Critical power systems
- Off-grid solar hybrid systems
- Earth stations
- In-House Freight & logistics
- In-House Drill rigs

 Contact us:
General inquiries: DCE@dceelectrical.com.au
Careers: Visit our website and explore the ‘Join Our Team’ section",Satellite Telecommunications,11-50 employees,Partnership,"Townsville, Queensland, Australia",Australia,dceelectrical.com.au,https://www.linkedin.com/company/dceelectrical
Beyond Clarity,"Our game-changing technology transforms organisations by saving lives
and unlocking opportunities to improve profit, performance
and sustainability.

At Beyond Clarity, our cutting-edge tech products provide insights that reveal untapped potential to add value to your organisation. From saving time and money to saving lives, our digital solutions overcome entrenched mindsets with proven results that can transform your business.

We take the time to help you gain clarity about technologies that boost performance or improve workplace safety and can generate a tangible ROI. And, because you receive our support – before and after sales – you can introduce new digital technology into your organisation with confidence.",Satellite Telecommunications,2-10 employees,Self Owned,"Samford Valley, Queensland, Australia",Australia,beyondclarity.com.au,https://www.linkedin.com/company/beyond-clarity
TrackCar,"We at Track Car are serious about making GPS Tracking for everyone affordable. Just connect your car to the cloud with our GPS ready car trackers that offer live tracking along with alerts and notifications. Doesn’t matter whether you use your vehicle for personal or business use, we are your car’s partner, for life.",Satellite Telecommunications,2-10 employees,Public Company,"Rockhampton, Queensland, Australia",Australia,trackcar.co,https://www.linkedin.com/company/trackcar
TASTRAX,"Welcome to TASTRAX
We are Tasmania's leading provider for GPS tracking, Fleet management and field service solutions, offering local on the ground support. 
Our flexibility introduces a whole new dynamic and range of applications from tracking machinery and non powered assets to sophisticated enterprise tracking and fleet management solutions.

Providing you with one platform for all industries, our platform can adapt and satisfy any business requirements: fleet and asset security, fuel management, cold supply chain, promote safer and more economical driving habits , fleet management & work order management to name a few.

Our platform provides a single platform for you to manage your staff, vehicles and other assets. Our service is provided to you on a simple month to month plan. With no lock in contracts you can simply opt out at any time.

Our Web Based Management Suite is all yours, no additional fees are required for the powerful task and fleet management tools, simply connect a device and they are yours to control.

Bundle your FIELD Plan with our dedicated in-vehicle trackers on any FLEET plan to get the complete picture with unrivaled vehicle data, and complete staff management.

Choose our ASSET  plan to keep track of your portable machinery and equipment or any other remote asset.

Easily manage all of your assets, your entire vehicle fleet and workforce from one simple and very intuitive web platform.",Satellite Telecommunications,2-10 employees,Privately Held,"Tasmania, Tasmania, Australia",Australia,tastrax.com.au,https://www.linkedin.com/company/tastrax
SatPhone Shop,"SatPhone Shop Pty Ltd is an Australian owned and operated company specialising in the supply of satellite communication equipment to government, enterprise, and commercial customers.

We are committed to delivering reliable, fit for purpose satellite solutions that meet operational requirements while providing strong value and long term support.

Our organisation is built on experienced professionals with deep expertise across satellite telecommunications, including sales, marketing, engineering, and customer support. This capability enables us to deliver informed advice, robust solutions, and dependable service.

As an authorised Telstra Dealer, SatPhone Shop Pty Ltd offers customers the assurance of working with a trusted provider backed by one of Australia’s leading telecommunications organisations. This partnership supports our ability to deliver secure, high quality satellite communication services that meet current needs and future operational demands.",Satellite Telecommunications,2-10 employees,Public Company,"Melbourne, Victoria, Australia",Australia,satphoneshop.com.au,https://www.linkedin.com/company/satphone-shop
Datacom System International,"Datacom System International (DSI) is an international company, founded in 1993. We are a major supplier of broadcast equipment, TV studio, headend equipment, satellite communication equipment and system integration service in various countries. With more than 100 staff, we are capable of providing complete turnkey solutions worldwide. We have offices in Hong Kong, Australia, and China, and also have teams working in Malaysia and Indonesia. 

DSI is aware of the critical importance of the timely delivery and completion of projects and have structured strategic relationships with our suppliers and partners to assure successful program execution. 
  
The DSI staff is comprised of highly skilled engineers and project management staff with many years of hands-on experience in design and integration of broadcast and OTT system.",Satellite Telecommunications,51-200 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,datacom.com.hk,https://www.linkedin.com/company/datacomsystem
