Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Huawei,"Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services – we are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.

Huawei's end-to-end portfolio of products, solutions and services are both competitive and secure. Through open collaboration with ecosystem partners, we create lasting value for our customers, working to empower people, enrich home life, and inspire innovation in organizations of all shapes and sizes.

At Huawei, innovation focuses on customer needs. We invest heavily in basic research, concentrating on technological breakthroughs that drive the world forward. We have more than 207,000 employees, and we operate in more than 170 countries and regions. Founded in 1987, Huawei is a private company fully owned by its employees.

House Rules
This page is for ICT professionals with an interest in Huawei and our industry to engage in open discussions.
To facilitate dialogue, please follow these rules:
- Huawei holds the right to delete comments that are offensive, misleading, false, unlawful, off-topic and in violation of any regulations.
- Repeated violations of any of the above will be removed and users may be blocked.
- Huawei does not necessarily endorse the information shared by members.
- Please be familiar with and follow LinkedIn's User Agreement.
- By publicly uploading a photograph or comment, you give Huawei permission to feature your content. This will always be credited.

Please visit the below portals for career or customer service queries.
Career page: http://bit.ly/2rdljD7
Customer service: http://bit.ly/2a4mXNY

Thank you for visiting us & we hope you enjoy your time on our page.",Telecommunications,"10,001+ employees",Privately Held,"Sydney, New South Wales, Australia",Australia,huawei.com,https://www.linkedin.com/company/huawei
DATATECH AUSTRALIA PTY LIMITED,"Datatech Australia is a Telecommunications & Electrical company specialising in the design and installation of structured cabling systems. We are focused on delivering high tech communications solutions for our clients. Datatech Australia has specialist skills in, Data Centres, Electrical, Fibre, Wireless, Voice, Project Management and Network infrastructure. 

As part of the ARA Group we are able to draw on the wealth of experience and knowledge, including the resourcing to offer a complete ‘Turn Key’ solution for any project.",Telecommunications,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,datatechaustralia.com.au,https://www.linkedin.com/company/datatech-australia-pty-limited
CACloud Services China,"SDWAN and MSP ICT provider - speciality, China and Asia

For over 16 years, our VertexWAN hybrid SDWAN / MPLS internet services has successfully provide a cost effective solution for our enterprise clients for China connectivity with Europe, USA and ASEAN.  Complementing this is our IDC hosting and value add services together with the mainstream Cloud service providers. 

With speciality spanning international & domestic  internet connectivity, cloud platforms, security, our promise is to continually innovate and evolve to delivery on the needs of our clients.   CA Cloud aspires to be the top technology and business partner.

Headquarter			         Shanghai, China

Subsidiary / Representation	Singapore (Singapore) , London (UK), Melbourne (Australia)

Founded                   		2004

Contact: 
Tel +86-139 1639 1101 (English speaking) or +86-21-51699370 (general sales)    Email  lawrence.yong@cacloud.net.cn",Telecommunications,51-200 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,vertexwan.net,https://www.linkedin.com/company/cacloudchina
Sparkline PTY LTD,"Sparkline Energy Services PTY LTD is an Electrical and Telecommunications company that has been operating since 2017. Sparkline’s sustainable business model is built on sound business practices, strong safety focus and maintaining a highly skilled and experienced workforce. We pride ourselves on preserving an excellent reputation for completing projects safely, on time and on budget.",Telecommunications,11-50 employees,Public Company,"Brisbane , Queensland, Queensland, Australia",Australia,sparkline.com.au,https://www.linkedin.com/company/sparklineservices
PrestoX Australia,"PrestoX builds telecommunications network, delivers mobile network deployment and roll out services for 4G and 5G in the Australian market.

PrestoX integrates enterprise networking solutions, develops tailored iIoT solutions enabling Industry 4.0.

All projects are managed using PMBOK framework and governed by Service Delivery Committee collaboratively accountable for deliverability and contractual obligations.

Service Delivery Committee oversees service deliverability and provides appropriate Methods of Procedures for all project implementations.",Telecommunications,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,prestox.com.au,https://www.linkedin.com/company/prestox-australia
National Broadband Australia,"National broadband Australia strives for customer satisfaction 
National broadband Australia will endeavor to provide the quality service you expect

customer care:

care@nationalbroadbandaustralia.com",Telecommunications,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,nationalbroadbandaustralia.com,https://www.linkedin.com/company/national-broadband-australia
Macktronix,"At Macktronix we specialise in providing & supporting end to end, simple to use Electronics Solutions. 

Macktronix takes the stress out of managing (or finding) the right Electronics solution for your personal needs. That way you spend less time worrying about your Technology, and more time enjoying your investment.

We specialise in supporting a wide range of Technlogy including CCTV, Intruder Alarms, Digital Signage, MATV DIstribution, Data Networking, Home and Business Automation, CBUS Programming & More!

Please don't hesitate to reach out to our team for a no obligation discussion on how we might be able to help you navigate to the right Electronic Support fit for you.

Macksimise your Electronics Solution with Macktronix.",Telecommunications,2-10 employees,Self Owned,"Albury, New South Wales, Australia",Australia,macktronix.com.au,https://www.linkedin.com/company/macktronix
Data Center Support,"DCS offers Data Center infrastructure services to our customers in order to resolve a multitude of emergency and routine technical tasks. By partially outsourcing the installation, operation and management of a deployment to the expert technicians within NSW, customers can focus on other important aspects of their business. 
 
Data Center operations can be challenging. Keeping a constant vigil on network/server performance, giving timely resolutions to customer queries, and server provisioning/upgrades can take up all your time. It’s then hardly surprising that most Data Center managers find it difficult to focus on projects that are critical to improving Data Center capability and capacity. This is where DCS can help


Company 

DCS is the new face in the Data Center support market to provide support services to small to multi-NOC Data Centers around NSW. DCS acts as your own technical support team and professionally maintain your Data Center infrastructure. Our engineers work independently or with your inhouse team to keep your network and servers in top-notch condition 24 hours a day, 7 days a week. 
 
DCS remote hands service provides customers access to a team of highly-trained, in-house operations technicians that are available 24/7. We offer the resources required to help install, operate and manage a Data Center deployment.

For our customers, our core values of service flexibility, value and integrity translate into passionate employees who provide remarkable customer experiences – and collocation services that are tailored to meet customer demands. We take pride in solidifying all of our partnerships with integrity and respect. It’s not only the way we do business, but also what we believe in as a business.

The foundation of our colocation services model has been quite simple, provide quality always-on infrastructure and the most responsive support services available. 

Our focus is to deliver quality infrastructure, services and support, giving you the ability to allocate more resources toward your core business.

Below are the Services which we provide for all Data Centers in Sydney

1.	Cabling

Common tasks performed include cable termination and moving, securing or swapping existing cabling.

2.	Troubleshooting

Data Center Support technicians perform troubleshooting, verify device status or “heartbeat checks”, swap equipment, plug-in serial cables, work with you using team viewer and more.

3.	Access

Customer-authorized vendors and consultants can be escorted to and from colocation space – and monitored until completion. Data Center Support technicians also assist with access requests and lockouts.
 
4.	Media Management

Data Center Support will swap tapes, storage media or removable media as well as replace hard drives and burn CD’s.

5.	Storage & Material Management

Technicians will confirm package receipt, place or install shipped equipment in your colocation space – or store your packages in our loading unit.

6.	Rack & Stack

Tasks such as installing equipment, moving or discarding boxes or hardware – and cleaning of customer colocation space can be performed.

7.	Connectivity

Functions may range from circuit testing and diagnostics to circuit migrations, IP assignment, signal checks and cable swaps.

8.	Inventory & Auditing

Tasks may include full or partial space audits, labeling, photographing colocation space, tracing cross connects or verifying power consumption.

9.	Shipping & Receiving

Packing, labeling, unpacking and inventory of boxes and equipment can be performed at request.

10.	Contacting Our Technicians

 Visit our website www.datacentersupport.com.au and fill the form and someone will get in touch with you as soon as possible or email us at Support@datacentersupport.com.au",Telecommunications,2-10 employees,Partnership,"Sydney, Nsw, New South Wales, Australia",Australia,datacentersupport.com.au,https://www.linkedin.com/company/maxtechsupport
Dynamic Audio Visual Solutions,"Dynamic Audio Visual Solutions set new standards of innovation and design excellence in engaging and inspiring high definition audio and visual experiences. With extensive experience with smart automation technologies, we develop and design solutions that respond to the unique needs and qualities of each project.",Telecommunications,11-50 employees,Privately Held,"Perth, Western Australia, Australia",Australia,,https://www.linkedin.com/company/sighttosite
Bluefire Technology Solutions,"Bluefire Technology Solutions is a managed solutions organisation that specializes in the supply and support of telecommunication solutions across the SMB & Enterprise markets.

Our business has been built with over 15 years’ experience in our industry, with this we strive to provide tailored solutions with custom advice to suit all our clients' needs when it comes to their corporate voice and data solutions. 

As the key to maintaining these solutions is having access to the right support and advice when your business needs it, we have created a unique managed offering to our clients to provide peace of mind around the technology that powers their workplace.",Telecommunications,2-10 employees,Privately Held,"Spring Hill, Queensland, Australia",Australia,bluefiretech.com.au,https://www.linkedin.com/company/bluefire-technology-solutions
HB Radiofrequency (Now Powertec),HB Radiofrequency was an Australian-based wireless technology firm specialising in the development of high performance wireless telecommunications. HB Radiofrequency was acquired by Powertec Wireless Technology in 2022 and its operations have been consolidated into Powertec.,Telecommunications,51-200 employees,Privately Held,"Southport, Queensland, Australia",Australia,powertec.com.au,https://www.linkedin.com/company/hb-radiofrequency
STK COMMS,"We cover all aspects of the National Broadband Network.
Started up as a company with 2 staff members in June 2014, we currently have 20+ Full time staff and over 60 Sub Contractors. 
We currently carry out packages of work for companies such as Downer EDI, Skybridge, Tech2Home, Transfield Services, Excel Galaxy etc and are always open for New projects. 
Our capability extends from Civil Construction down to Fibre testing and Terminations and have proved thst no challenge is too big.",Telecommunications,51-200 employees,Public Company,"Melbourne, Victoria, Australia",Australia,stkcomms.com.au,https://www.linkedin.com/company/stk-comms
Jortel Australia,"A new generation of Australian telecommunications, redefining mobile, NBN, business networks and enterprise-grade solutions backed by unmatched local support and transparency.",Telecommunications,11-50 employees,Privately Held,"Dural, New South Wales, Australia",Australia,jortel.com.au,https://www.linkedin.com/company/jortelaustralia
