Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Vow,"Vow is a cultured meat company, founded and operated in Sydney, Australia. We’re a multidisciplinary team of scientists, technologists and designers, all working together to make sustainable food both irresistible and available to billions of people.",Biotechnology,51-200 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,eatvow.com,https://www.linkedin.com/company/eatvow
Renewable.bio,"A bioenergy, biofuels and carbon sequestration company headquartered in Perth Western Australia",Biotechnology,11-50 employees,Privately Held,"Perth, Western Australia, Australia",Australia,renewable.bio,https://www.linkedin.com/company/renewable-bio
eSense-Lab Limited,"eSense-Lab Ltd (ASX:ESE) is a life sciences company creating virtual plant-based products for medicinal and recreational consumption. Headquartered in Israel, eSense-Lab combines genetics, mRNA expression, phytochemical characterisation and unique formulations to generate comprehensive models of rare or high value plants. 
 
With multi-disciplinary research and development expertise, eSense has game-changing techniques and unique reverse-engineering capabilities, placing it at forefront of the growing international terpene market. 

eSense has created virtual cannabis, with all the characteristics of the real plant, without the psychoactive and heavily regulated cannabinoid compound, for mass consumer consumption.  
 
To learn more please visit: https://www.esense-lab.com/",Biotechnology,2-10 employees,Public Company,"Melbourne, Victoria, Australia",Australia,esense-lab.com,https://www.linkedin.com/company/esense-lab-limited
Environmental Biotech Australia,"Established in Australia in 1994, Environmental Biotech offers unique, effective and environmentally friendly solutions to drain line and odour problems that are commonly found in the commercial and industrial markets.

We manufacture various strains of bacteria that have been trained to ""remediate"" (eat) the waste industries produce - waste that causes these industries monumental operational and financial problems. Bioremediation provides a healthy and safe solution to environmental waste problems. Years of research and development have led to the manufacture and application of live bacteria that actually bioremediate grease, oil, sugar, starch and gelatine.

Our research lab proudly leads our industry in environmental biotechnology services. Our global network of franchises & distributorships provides superior systems and services to many councils and a variety of industries, including commercial food service, hospitals, entertainment and shopping centres, manufacturing and food processing.",Biotechnology,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,environmentalbiotech.com.au,https://www.linkedin.com/company/environmental-biotech-australia
Codex Research Pty Ltd,"We aim to address current limitations in the medical research field and reduce the need for animal testing.

Our advanced 4D bioreactor system is lab-based device that simulate the physiology and environment of the human body. 

This vision is gradually becoming a reality with the efforts of our passionate team of engineers and designers, as well as, our close partnership WISE Lab at the University of Sydney.

Curious on how we can revolutionise medical research? Follow our socials for updates. 

Want to contribute to our mission? Reach out for partnerships and work opportunities.",Biotechnology,2-10 employees,Privately Held,"Ultimo, New South Wales, Australia",Australia,codexresearch.com.au,https://www.linkedin.com/company/codexresearch
Katana AgriScience,"We are an scale-stage global clean biotech startup developing next-gen solutions to enable abundant, verified, clean, healthy food to be grown and supplied safely and sustainably.  Our core formulations provide zero-residue, eco-friendly, natural organic nanotechnology crop protection and enhancement from seed to store.

We enable cleaner healthier food which leads to healthier people, healthier planet and healthier economies.",Biotechnology,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,katana-ag.com,https://www.linkedin.com/company/katana-agriscience
Apsyrtus Biotechnology Pty Ltd,Apsyrtus Biotechnology is an Australian technology company that specialises in the development of next-generation animal health monitoring devices.,Biotechnology,2-10 employees,Self Employed,"Perth, Western Australia, Australia",Australia,vetchip.com.au,https://www.linkedin.com/company/apsyrtus-biotechnology-pty-ltd
Genostics,"Genostics is medical diagnostic, education and consultancy company.

Genostics partners with world-class cancer research laboratories in Europe to bring the very best in personalised cancer testing medical communities worldwide.

We engage with pioneering practitioners who seek to discover the exact nature of each patient's cancer. These practitioners use Genostics tests to help design personalised treatment plans and to closely monitor the effectiveness of therapies.

Specialising in the field of Oncology, we are proud to be bringing the future of personalised cancer testing to patients, today.",Biotechnology,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,genostics.net,https://www.linkedin.com/company/genostics-australia
Adelab Scientific,"Adelab Scientific has been supplying high-quality laboratory equipment and consumables to Australian laboratories for over 38 years. Based in South Australia, we offer a vast range of products from both local and international manufacturers, ensuring our customers have access to the best tools for their research and development needs. As direct importers for leading brands like Upchurch Scientific, Rheodyne, and Systec, we provide expert advice, prompt delivery, and exceptional customer service. Since our founding in 1986, we’ve built a reputation for competitive pricing and reliable support across various fields including molecular biology, biotechnology, and analytical chemistry. Whether big or small, no enquiry is too difficult for our dedicated team to handle.",Biotechnology,2-10 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,adelab.com.au,https://www.linkedin.com/company/adelab-scientific
Macrogen Oceania,"Macrogen is a global leading company in DNA sequencing, genome analysis, and bio-chips, working closely with over 18,000 researchers in 153 countries. It has several branch offices and sequencing facilities in the Netherlands, U.S., Japan, Spain, Australia and Singapore. 
Macrogen Oceania is a branch office located in Australia that provides DNA sequencing services to the ANZ market. Committed to quality service and scientific excellence, we have achieved rapid growth and industry recognition by working in partnership with diverse healthcare, educational and research institutions around the globe to realize the unlimited potential of the rapidly evolving world of genomics.",Biotechnology,2-10 employees,Self Owned,"Sydney, New South Wales, Australia",Australia,macrogen.com.au,https://www.linkedin.com/company/macrogen-oceania
