Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Voxon Photonics,3D Volumetric Display: No special effects. No glasses. So much potential.,Consumer Electronics,2-10 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,voxon.co,https://www.linkedin.com/company/voxonphotonics
fabn,"Experience high-end immersive audio naturally, without headphones or the fuss of concealing speakers.",Consumer Electronics,2-10 employees,Privately Held,"Lilyfield, New South Wales, Australia",Australia,fabn.co,https://www.linkedin.com/company/fabn
Hikaru,We are a tech startup working on AI in hospitals.,Consumer Electronics,Self-employed,Privately Held,"Melbourne, Victoria, Australia",Australia,hikaru.tech,https://www.linkedin.com/company/hikarutech
"Electrical Distributors Australia Pty. Ltd., Inc.",Operating since 1995 Euromaid has become a trusted name in the Australian domestic appliance industry.,Consumer Electronics,2-10 employees,,Australia,Australia,euromaid.com.au,https://www.linkedin.com/company/electrical-distributors-australia-pty-ltd-inc-
Future IQ,FIQ,Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,,https://www.linkedin.com/company/futureiq
Plaza Cameras,"Plaza Cameras have been operating since the 1940s, but in 1975 was purchased by the Heuchan Family to provide a better service the Western Australian imaging public. We supply photographic goods and more to budding photographers, amateurs, professionals and everyone in between.",Consumer Electronics,2-10 employees,Privately Held,"Perth, Western Australia, Australia",Australia,plazacameras.com.au,https://www.linkedin.com/company/plaza-camera's
Merseyside Satellite Consultants Ltd,"Established in 1967 we are one of the leaders in our industry, and are a founding member of the CAI. We have CAI+ status, the highest available, giving a guarantee of an excellent standard of workmanship.

Most of our work comes from recommendations, both domestic and commercial.

We offer a comprehensive home domestic TV aerial installations service. With our experience in domestic TV aerial systems and services, we can guide you towards the best solutions for your viewing.

We work in many commercial areas including Pubs, Clubs, Hotels, Flats, Offices, Factories, Architects, Housing, Associations, Shopping Centres, Banks, Football Clubs, Fitness Centres, Hospitals, Prisons, Schools, Universities, Colleges, Nursing Homes, Electricians, Builders , the list goes on. Most of the major appliance superstores and the industry recommend our services.",Consumer Electronics,2-10 employees,Public Company,"Liverpool, New South Wales, Australia",Australia,aerialandsatellites.co.uk,https://www.linkedin.com/company/merseyside-satellite-consultants-limited
eCare Solutions,eCare Solutions is an mHealth cloud-based platform that coordinates healthcare and community care.,Consumer Electronics,2-10 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,ecaresolutions.com.au,https://www.linkedin.com/company/ecare-solutions-pty-ltd
Kite Labs,,Consumer Electronics,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,,https://www.linkedin.com/company/kite-labs-pty-ltd
Engineerit Solutions,"This is one person business run by Electronics/Mechatronics Engineer specialized in Embedded Systems, keen to help companies in creation and development of their electronics equipped products.
Services include firmware and embedded software development as well as electronic circuits design.",Consumer Electronics,Self-employed,Self Owned,"Sydney, New South Wales, Australia",Australia,engineerit.net,https://www.linkedin.com/company/engineerit-solutions
The Vapor Union,"We bring the best class e-liquids from around the globe and treat our customers to an experience they soon won't forget.

 We stock authentic e-products to keep the new or old customer happy, always finding a solution to their requirements.
 
The vapor union has competitive pricing, access to leading brands, and keeping costs down as much as possible is our priority. We also ship anywhere in Australia and internationally. 

The advantages of vaping over tobacco are enormous, the industry is always changing with innovations and The Vapor Union is here to keep up with that change.

 TVU is also representing peoples right to vape, in ownership and sale. 

Featuring brands such as Vaporesso, SMOK, VandyVape, XTAR, Joyetech, Vapjoy, LG, AWT, Angorabbit, The Custard Company, Roots Juice, Lifted Liquids and many more to come.",Consumer Electronics,Self-employed,Self Owned,"Perth, Western Australia, Australia",Australia,thevaporunion.com,https://www.linkedin.com/company/the-vapor-union
Trimira Audio,"Trimira Audio provides boutique solutions for all your audio and automation needs from a new speaker cable to furnishing an entire home theatre.

By carefully selecting only the world's best brands for our showrooms, we hope to take you deeper into the fascinating world of audio.",Consumer Electronics,2-10 employees,Public Company,"Brisbane, Queensland, Australia",Australia,trimira.com.au,https://www.linkedin.com/company/trimira-audio
Zumi,"ZUMI-MALL
Experts in smart home security.
Official Australian distributor.",Consumer Electronics,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,zumi.co,https://www.linkedin.com/company/zumi-com-au
MobiTouch Phone Repairs,MobiTouch  is an individual & family services company based out of Australia,Consumer Electronics,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,mobitouch.com.au,https://www.linkedin.com/company/mobitouch-phone-repairs
Electronics @ Home Pty Ltd,"Whether it’s music for your entertaining and relaxing spaces, getting the most out of Foxtel and home theatre or connecting your computers and internet exactly the way you want – Electronics @ Home is committed to matching the right technology to your lifestyle. 

To that end, we will highlight things that are worth looking out for - good and bad - relating to technology in your home.",Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,musicathome.com.au,https://www.linkedin.com/company/electronics-home-pty-ltd
Online Business Pty Limited,"Online Business started out in 2008 to be more than just an online reseller. We're different and refuse to be ordinary. We want you our customers to benefit from our many years of experience in the IT and Audio Visual space. We are Proudly Australian owned and operated and value service and support above everything else.
We Cover a whole range of products our Audio Visual Online E-Commerce websites and have everything you need for that perfect AV installation. Websites include : ScreenGuys.com.au, ProjectorGuys.com.au, StageGuys.com.au and ScreenTouch.com.au
Our IT E-Commerce Websites cover the complete range of Printers, Scanners, IT Servers and Backup systems. Printerguys.com.au, ServerGuys.com.au, BackupGuys.com.au and Scannerguys.com.au
SGAV audio Visual products are exclusively distributed in Australia via our Screenguys.com.au Website",Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,onlinebiz.com.au,https://www.linkedin.com/company/online-business-aust
Trakalarm,"If you have ever felt unsafe, threatened or in danger then Trakalarm is the revolutionary new safety device for you. If you are wearing Trakalarm, you have the security of knowing you have protection and can send your GPS location with a text message, videos and photos, to your chosen contacts if you are in trouble. The device also has a piercing siren. All this with the push of ONE button. There is no better personal protection on the market.",Consumer Electronics,2-10 employees,Privately Held,"Queensland, Australia",Australia,trakalarm.com,https://www.linkedin.com/company/trakalarm
"Connected Technology, Inc",Premier Custom System Integration Contractor,Consumer Electronics,2-10 employees,Self Owned,"Melbourne, Victoria, Australia",Australia,ctflorida.com,https://www.linkedin.com/company/space-coast-sight-&-sound-inc
Phosme,"Phosme engineers, manufactures and retails unique decorative lighting systems.  Bringing state of the art technology into the domain of steampunk retro lighting design.  Phosme One is a unique decorative lighting system.",Consumer Electronics,2-10 employees,Privately Held,"Byron Bay, New South Wales, Australia",Australia,phosme.com,https://www.linkedin.com/company/phosme
Beetronix Solutions,"Beetronix is an IT firm that offers services for graphic design, electronic engineering, mobile apps and web apps.",Consumer Electronics,,,"Aleppo, Australia",Australia,beetronix.com.au,https://www.linkedin.com/company/beetronix-solutions
Melbourne Spa Repairs,"Portable Spas, Spa Baths, Swim Spa Services, Repairs & Maintenance Melbourne & Mornington Peninsula 

Spa Repairs services and repairs all Brands, Makes and Styles of Portable Spas, Inground Spas, Concrete and Swim Spas. We aren’t your typical “pool guys” and are genuine experts in all Spa Equipment. 

Call us if you’re looking for a genuine Spa Repair Expert, or when your local unqualified Pool Shop or Shop Franchise can’t or won’t help. 

Tip - Ask your local pool shop if they have any actual Electrical, Plumbing, or Mechanical licenses. If they say they don’t need any, or have “years of experience” they are most likely NOT qualified",Consumer Electronics,11-50 employees,Privately Held,"Moorooduc, Victoria, Australia",Australia,melbournesparepairs.com.au,https://www.linkedin.com/company/melbourne-spa-repairs
Carlton Audio Visual,,Consumer Electronics,,,"Carlton, Victoria, Australia",Australia,carltonaudiovisual.com.au,https://www.linkedin.com/company/carlton-audio-visual
Aurisprotection,AurisProtection is a smart wearable device that does real-time noise monitoring and reminds you to wear earmuffs when exposed to dangerous noise levels for a prolonged duration.,Consumer Electronics,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,aurisprotection.com,https://www.linkedin.com/company/aurisprotection
Quflow & Perfeco,"QUFLOW works with systems engineering for coupled systems, particularly wireless products, real-time systems and quantum devices. QUFLOW owns PERFECO rapid prototyping and benchmarking tools. The meaning of the words:

QU as in qualification: meeting or exceeding expectations.

FLOW as in workflow: way of working to reach goals.

PERF as in performance: how good a function is compared to user expectations.

ECO as in economical-logical: how cost and resource efficient a design is compared to product targets.

All these aspects brought together lead to rapid and creative engineering of high-quality products.",Consumer Electronics,Self-employed,Privately Held,"Dalby, Queensland, Australia",Australia,quflow.net,https://www.linkedin.com/company/quflow
Cool6,"At Cool6, we have approached lighting design with fresh eyes. Through a combination of technical innovations, Cool6 is able to achieve market leading lighting systems targeting three key elements of lighting.

1. Light creation
2. Light delivery
3. Longevity of the light fixture and electronic components

Our lights are designed with reliability as its core objective. Our products can withstand sweltering heat without light degradation due to our patented thermal technologies developed by our team of Material scientists, Physicists and Photonics specialists over the last 6 years. As a testament we offer a 5-year conditional warranty on all lighting systems. Cool6 offers a reliable maintenance free solution for any working environment.",Consumer Electronics,51-200 employees,Privately Held,"Perth, Western Australia, Australia",Australia,cool6tech.com,https://www.linkedin.com/company/cool6
Yanniee Technology,"Yanniee Technology is dedicated to the supply of all kinds of electronic components and products. The company's founders have more than 20 years of experience in supply management in Fortune 500 companies. Our office is located in Shenzhen China - a city considered the center of the world in terms of electronic components.

Our services include both orderings for future delivery and spot buy service (immediate delivery). We are especially strong in spot buy service because of the experience of our founders and the advantageous location of the world center for electronic components. 

Yanniee Technology has strong sourcing channels for well-known brands including but not limited to ST、TI、NXP, Infineon, MICROCHIP, JST、Molex、Murata、TDK, and so on. We serve a wide range of industries such as telecommunication, medical devices, and automobile products. Our customers are spread all over the world. 

Our team consists of members who have a strong international background and are used to working with people from diversified cultures in different time zones all over the world. We strive for excellence both in products and in services.",Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,yanniee.com.cn,https://www.linkedin.com/company/yanniee-technology
The Loudspeaker Kit,,Consumer Electronics,,,"Melbourne, Victoria, Australia",Australia,theloudspeakerkit.com,https://www.linkedin.com/company/the-loudspeaker-kit
Alarm House Electronic Security,,Consumer Electronics,Self-employed,Self Employed,"Sydney, New South Wales, Australia",Australia,alarmhouse.com.au,https://www.linkedin.com/company/alarm-house-electronic-security
SatKing Orbit,"Satking Orbit Caravan Satellite Dish

The SatKing Orbit is the latest fully automatic Caravan Satellite TV Dish to hit the Australian market. No need to manually dishes on the ground to watch TV anymore. Simply combine this system with a VAST or Foxtel Satellite receiver and you will be watching TV anywhere in Australia within 80 seconds.

http://www.satkingorbit.com.au

http://www.satkingorbit.com.au/product/caravan-satellite-dish",Consumer Electronics,11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,satkingorbit.com.au,https://www.linkedin.com/company/satking-orbit
Tech Pet,,Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,techpetstore.com,https://www.linkedin.com/company/tech-pet
CLIMATE CONTROL ENGINEERING LIMITED,,Consumer Electronics,,,"Sydney, New South Wales, Australia",Australia,climatecontrolengineering.com,https://www.linkedin.com/company/climate-control-engineering-limited
RPM Media Group,Welcome to RPM MEDIA GROUP,Consumer Electronics,2-10 employees,Privately Held,"Mourilyan Harbour, Queensland, Australia",Australia,,https://www.linkedin.com/company/rpm-media-group
Enhance My Home,"Enhance breaks all the rules when it comes to providing a powerful smart home experience with quality technology at an affordable price.

The Enhance smart home makes living more comfortable, easier, safer and more energy efficient.

Enhance products can be controlled from wherever you are in the world through our user friendly App, using your smart phone or tablet.

You can control lighting, receive notifications when loved ones come home, use our wireless cameras to see that all is safe in the home and even control the air conditioning and hundreds of other devices from your smart phone or tablet.

“Enhance My Home makes the smart home a reality.”",Consumer Electronics,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,,https://www.linkedin.com/company/enhance-my-home
BMC Wholesale,We wholesale a growing portfolio of local and international audio products to resellers across Australia.,Consumer Electronics,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,bmcw.com.au,https://www.linkedin.com/company/bmc-wholesale
Miranda Hi-Fi,,Consumer Electronics,,,"Canberra, Australian Capital Territory, Australia",Australia,mirandahifi.com,https://www.linkedin.com/company/miranda-hi-fi
Custom KBD,,Consumer Electronics,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,customkbd.com.au,https://www.linkedin.com/company/custom-kbd
Page Electronics & Communications,Write the meta description here,Consumer Electronics,,,"Dubbo, New South Wales, Australia",Australia,pageelectronics.com.au,https://www.linkedin.com/company/page-electronics-&-communications
Triple R Computers,"Triple R Computers is a local boutique IT Superstore based out of Adelaide. We offer over 10,000 products across all lines of business including printers, wifi, smart home, smart locks, monitors, motherboards and more. 

We offer superfast same-day product dispatch for low prices. Reach out to us for the best prices everyday.",Consumer Electronics,2-10 employees,Self Owned,"Adelaide, South Australia, South Australia, Australia",Australia,triplercomputers.com,https://www.linkedin.com/company/triplercomputers
Oztel,,Consumer Electronics,,,"Melbourne, Victoria, Australia",Australia,,https://www.linkedin.com/company/oztel
UnWired Dub,"We are a tech company that allows others to have access to your phones media via Bluetooth!

unwireddub@gmail.com",Consumer Electronics,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,,https://www.linkedin.com/company/unwireddubs
