Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Oakville, Ontario, Canada",Canada,siemens.com,https://www.linkedin.com/company/siemens
aXbrew,"Produce more beer without adding staff, machinery or raw materials!

aX-Brew is a scalable, modular distributed control system (DCS) that allows you to automate, monitor and control your entire production process, from brewhouse to cellar. As a DCS, aX-Brew integrates your entire facility under one system, and allows for centralized visibility and control through a single, user-friendly and fully customizable interface.",Automation Machinery Manufacturing,11-50 employees,Partnership,"Vancouver, British Columbia, Canada",Canada,axbrew.com,https://www.linkedin.com/company/ax-brew
Quad Automation Inc.,,Automation Machinery Manufacturing,,,"Toronto, Ontario, Canada",Canada,,https://www.linkedin.com/company/quad-automation-inc.
Automatisation Aximetrix Inc.,Entreprise mécatronique Industrie 5.0 écoresponsable qui vise à aider les PME du Québec à s’automatiser.,Automation Machinery Manufacturing,2-10 employees,Privately Held,"Sainte-Sophie, Quebec, Canada",Canada,aximetrix.com,https://www.linkedin.com/company/automatisation-aximetrix
Kraus Inc.,"Kraus Inc. is a German machine manufacturer with a global presence in precision feeding systems and bespoke solutions for the graphics industry. Renowned for reliability and cost-effectiveness, our portfolio includes cutting-edge collating systems, coding solutions, and labelling. With expertise in separating, dispensing, and feeding various products, we excel in optimizing packaging processes for brochures, CDs, cards, and more, up to 30 mm thick. Elevate your packaging efficiency with Kraus Inc.'s trusted innovations.",Automation Machinery Manufacturing,11-50 employees,Partnership,"Oakville, Ontario, Canada",Canada,kraus-inc.com,https://www.linkedin.com/company/kraus-inc-northamerica
Automation Network,IoT sensors,Automation Machinery Manufacturing,2-10 employees,Self Employed,"Calgary, Alberta, Canada",Canada,nxdivision.com,https://www.linkedin.com/company/automation-network
Antech Wire EDM Inc,"Antech Wire EDM Inc. specializes in providing top quality electrical discharge machining services with capabilities in Wire EDM, WaterJet cutting, and Tool and Die services. They cater to various industries including medical, construction, aerospace, culinary, and entertainment. With a reputation for fast turnaround times, competitive pricing, and exceptional quality, Antech Wire EDM Inc. offers precision cutting services on a wide range of materials. Their highly trained staff ensure accuracy and offer services such as turning, milling, grinding, assembly, and welding in their machine shop.",Automation Machinery Manufacturing,2-10 employees,,"Oshawa, Ontario, Canada",Canada,antechedm.com,https://www.linkedin.com/company/antech-wire-edm-inc
Smart Solution Systems Inc.,"Following the after trends in the market and technological and design changes,
the company designs prototypes of, and produces various types of educational,
laboratory and workshop equipment for all levels of education.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Montreal, Quebec, Canada",Canada,smart-sys.ca,https://www.linkedin.com/company/smart-solution-systems-inc
WEL Engineering Ltd,"We are an industrial automation services provider serving the manufacturing and water/wastewater industries.  With more than 20 years providing engineering and automation solutions in industrial environments, we can help you with your efficiency, safety, and production related needs.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Salmon Arm, British Columbia, Canada",Canada,welelectric.com,https://www.linkedin.com/company/wel-engineering-ltd
Deva Solutions Inc.,"Deva Solutions Inc. is an Electrical and Controls Corporation dedicated to providing innovative engineering solutions to clients across various sectors. Their main purpose is to offer practical technical services, ensuring precise, timely, and efficient work on projects. Deva Solutions Inc. uses a comprehensive approach, handling bureaucratic requirements and coordinating with subcontractors to bring clients' visions to life. The company's licensed professionals are committed to meeting clients' contracting needs and achieving utmost satisfaction through a wide range of services.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Surrey, British Columbia, Canada",Canada,devasinc.com,https://www.linkedin.com/company/deva-solutions-inc
Groupe Kadri Dargham,"Que vous attendiez la réparation de votre véhicule, veniez chercher une pièce ou regardiez un nouveau modèle, nous offrons une gamme de services pour améliorer votre expérience ! Venez voir tout ce que nous avons à offrir !",Automation Machinery Manufacturing,2-10 employees,Partnership,"Buckingham, Quebec, Canada",Canada,groupekadridargham.ca,https://www.linkedin.com/company/groupe-kadri-dargham
CobotRaas,We offer Collaborative Robotics As A Service. Hire a cobot for a monthly fee. The best thing is you do not need to be an engineer to control our cobot.,Automation Machinery Manufacturing,11-50 employees,Public Company,"Gatineau, Quebec, Canada",Canada,cobotraas.com,https://www.linkedin.com/company/cobotraas
Janico Inc.,,Automation Machinery Manufacturing,,,"Saint-Laurent, Quebec, Canada",Canada,janico.ca,https://www.linkedin.com/company/janico-inc-
Atlantide ingénierie inc,"Atlantide ingénierie inc. est une entreprise de réalisation de projet d’automatisation/instrumentation. L’entreprise à plus d’une cinquantaine de projets complétés pour différente PME et grande entreprise du Québec et de l’Ontario. Ses champs d’action sont l’automatisation de procédé industriel, la mise à jour d’usine et la réfection/conception de machine industrielle.",Automation Machinery Manufacturing,2-10 employees,Partnership,"Mirabel, Quebec, Canada",Canada,atlantideingenierie.com,https://www.linkedin.com/company/atlantide-ing-nierie-inc
IoTHydro,We improve the efficiency of agriculture with the support of IoT technology,Automation Machinery Manufacturing,2-10 employees,Partnership,"Montreal, Quebec, Canada",Canada,iothydro.com,https://www.linkedin.com/company/iothydro
