Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Mechanical Jobs and Career,"Today in this fast world, we have to be updated about every opportunity out there and apply to the vacancies that are fit for us, as it improves chances to get selected.
  
We provide the latest updates of Vacancies from all different MNC firms and Government Entities for Mechanical engineers. Also, we know our responsibility towards nature and society, so 80% of our revenue is donated to nature.

Best of luck for your applications for jobs and stay connected.",Information Services,2-10 employees,Privately Held,"Ottawa, Ontario, Canada",Canada,mechanical.co.in,https://www.linkedin.com/company/mechanicaljobsncareer
Hailicorn Consultancy Limited,"Welcome to Hailicorn, discover a spectrum of IT solutions and services tailored to your unique business needs. Partner with us to foster growth and success. Together, let's elevate your business to new heights. 
Our group of professional consultants are always here to help your business get off the ground and grow.",Information Services,2-10 employees,Privately Held,"Richmond, British Columbia, Canada",Canada,hailicorn.com,https://www.linkedin.com/company/hailicorn
Boomerang Give2Get,The GIVE2GET program specializes in personal development and focuses on finding ways to enhance the potential of financial freedom for everyone.,Information Services,2-10 employees,Partnership,"Calgary, Alberta, Canada",Canada,boomeranggive2get.com,https://www.linkedin.com/company/boomerang-give2get
Agile Global Services,"Welcome to Agile Global Services!

Agile Global Services is a Canada-based IT consulting firm specializing in Agile project management, business analysis, IT consulting, and digital transformation. Established in 2017 by Suresh Ommi, the firm has provided strategic IT services to financial institutions, investment firms, insurers, energy companies, fleet management providers, and public sector organizations across Canada and the U.S.

Headquartered in Cambridge, Ontario, Agile Global Services has worked with major enterprises, delivering IT consulting, AI-driven automation, business analysis, and project management solutions. Our clients include the Royal Bank of Canada (RBC), BMO Bank of Montreal, Canadian Western Bank (CWB), IGM Financial, The Co-operators, Beem Credit Union, Fleet Complete, Dentsu, Just Energy and the Ministry of Education – Ontario.

Through AI-enhanced IT strategy and Agile methodologies, we help businesses optimize workflows, automate processes, and improve decision-making—driving operational efficiency and business transformation.

Let’s transform your business together! 

For inquiries & collaborations:
agileglobalservices.com
agileglobalservices@gmail.com",Information Services,2-10 employees,Privately Held,"Cambridge, Ontario, Canada",Canada,agileglobalservices.com,https://www.linkedin.com/company/agile-global-services
GuIDE Consulting,"Our Company
At GuIDE Consulting we focus on the “people side” of organizational change and system implementations. Our consultants work with clients to plan, execute and complete projects that are important to the growth of their business, while ensuring their people are ready to embrace change. 

Our Services
We have expertise in project management, business and technical analysis, business process improvement, documentation and training.Our recent experience with major ERP (enterprise resource planning) software applications includes: software JD Edwards (JDE) and SAP.  

Our Clients
We are fortunate to work with very innovative and progressive organizations. Our client sectors include government (provincial and municipal) and both public and private companies specifically in heavy construction and mining, and utilities. No one client or project is the same so our ability to adapt to various environments ensures that management receives value for the resources spent and staff gain knowledge and experience to secure the  benefits from project deliverables in their ongoing business development. .

For more information, please contact Denise Okrainetz or Iryna Laschuk at guide@guide-consulting.ca",Information Services,2-10 employees,Partnership,"Edmonton, Alberta, Canada",Canada,,https://www.linkedin.com/company/guide-consulting
NuviSight AI,"NuviSight AI is your risk partner for tomorrow.
We help organizations anticipate, adapt, and architect smarter compliance and risk programs - before the threats emerge.

Our focus is future-facing: from AI governance and model risk to secure innovation and regulatory foresight.
We bring deep expertise in cybersecurity, data protection, and predictive compliance strategy — built for the pace of modern tech.

Whether you're scaling, building, or navigating risk where velocity meets vulnerability — we’re with you.

 Women-led. Founder-driven. Strategy-first.
 Follow us to watch what’s coming.",Information Services,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,nuvisight.ai,https://www.linkedin.com/company/nuvisight-ai
Guardian Portal,"Guardian is a digital companion designed to support seniors—and the people who care for them—by making everyday technology simpler, calmer, and more human.

As we age, even basic digital tasks can become frustrating or overwhelming. At the same time, caregivers are often supporting loved ones from another home, another city, or another stage of life. Guardian exists to bridge that gap.

We provide a simplified digital space that helps seniors stay confident and independent, while giving caregivers peace of mind. Guardian brings together gentle guidance, reminders, and help when it’s actually needed—without adding complexity or noise.

Our approach is intentionally thoughtful:
• Simple by default
• Supportive, not intrusive
• Designed for real life, not ideal conditions

Guardian was born from real family experiences and firsthand observation of how technology often fails the people who need it most. We believe dignity, clarity, and trust should be at the center of digital experiences—especially for older adults.

We’re building Guardian openly and thoughtfully, learning from caregivers, seniors, and experts along the way.

Because caring for someone shouldn’t feel overwhelming—and technology should help, not hinder.",Information Services,Self-employed,Self Employed,"Waterloo, Ontario, Canada",Canada,guardianportal.ca,https://www.linkedin.com/company/guardian-portal
Asset Logic Canada,"Asset Logic is Canada's exclusive reseller and implementation partner for eMaint CMMS — one of the world's leading maintenance management platforms, trusted by 50,000+ maintenance professionals globally. We work with oil & gas, mining, and manufacturing operations across Canada to replace fragmented, manual maintenance processes with a single, governed system. We configure eMaint to your actual workflows, train your team, and stay involved after go-live. Serving Canadian industrial operations exclusively.",Information Services,2-10 employees,Privately Held,"Calgary, Alberta, Canada",Canada,assetlogic.ca,https://www.linkedin.com/company/asset-logic-canada
NextEra Labs,We provide custom workflows powered by AI that integrate seamlessly with your existing systems and scale with your business.,Information Services,2-10 employees,Partnership,"Laval, Quebec, Canada",Canada,nexteralabs.ca,https://www.linkedin.com/company/nextera-labs
Van Spall Inc.,"Your business data is you. It is your ""business avatar"".

We enable smart digital enterprises that deliver highest levels of business results and performance. We engineer highly technical data services. 

Our Business Data Science service ingests many sources of raw data, with millions or billions of records/objects, and transforms it through data science (highly tuned algorithms that attack each field customer names, web, email, phone, products, location, pricing, date/time..) into actionable data and insight feeding one or more (sales, marketing, finance, compliance, risk, operational and reporting) systems. 

Our projects can relate to:
o multi-domain master data management (MDM hubs: customer, sales, employee, product, financial)
o big data systems
o open data systems
o social network systems
o financial management systems
o enterprise data warehouse (EDW)
o enterprise resource planning (ERP)
o analytics, business intelligence (BI)
o client relationship management (CRM)
o human resource information systems (HRIS)

Our mission is to deliver unmatched client satisfaction, business integration and insight, through highly technical data services, towards building smart digital enterprises. Our skills. Our risk. Your outcomes. We have a 100% client satisfaction!

Our services are client centric, cost effective and disciplined. We are experts in harvesting global ideas, applying multi-disciplinary approaches, modern technology, diverse experiences and great practices for each and every client, ensuring their objectives are met 

Contact reception@vanspall.com anytime for a conversation, free brain storm session and complimentary proposal.",Information Services,11-50 employees,Privately Held,"Toronto, Ontario, Canada",Canada,vanspall.com,https://www.linkedin.com/company/van-spall-inc-
