Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
La Presse,"La Presse is a French-language news medium of record in Canada whose content is distributed on several platforms, including a digital edition for tablets, a mobile application and the Web. La Presse is known for its distinctive, rich and diversified coverage of news and current events. The recipient of numerous awards for the quality of its content and its design, La Presse is also known for its in-depth series and special reports, as well as for the large amount of space it devotes to discussion and debate. La Presse+, its free-subscription digital tablet edition, fully leverages the multi-function capabilities of tablets to deliver the most comprehensive news and information experience ever from Québec’s largest newsroom.",Media & Telecommunications,201-500 employees,Self Owned,"Montreal, Quebec, Canada",Canada,lapresse.ca,https://www.linkedin.com/company/la-presse
905HUB,"Inquiries: management@905hub.ca
Mississauga's favourite alternative media outlet.",Media & Telecommunications,2-10 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,905hub.ca,https://www.linkedin.com/company/905hub
Showbizz.net,"Showbizz.net est un site web québécois couvrant la télévision, les séries, les stars et spectacles.",Media & Telecommunications,2-10 employees,Privately Held,"Québec, Quebec, Canada",Canada,showbizz.net,https://www.linkedin.com/company/showbizz-net
Freegxrl Media,"Through music, art, raw conversations, and events geared towards healing and growth, we aim to put an emphasis on understanding. Our goal is to foster a community where we can learn from one another, are free to be ourselves and discuss difficult topics without apprehension. 

We are here to share stories and shift narratives! Self-freedom is the goal!",Media & Telecommunications,2-10 employees,Public Company,"Ottawa, Ontario, Canada",Canada,freegxrlmedia.com,https://www.linkedin.com/company/freegxrlmedia
Green Home Gnome,"Launched in 2012, Green Home Gnome has been publishing informative guides, articles, and other helpful resources for anyone interested in making their home more sustainable. Aside from our focus on green homes, home performance and energy efficiency, we also cover general concepts related to green living at home, gardening and greenhouses.",Media & Telecommunications,2-10 employees,Self Employed,"Mississauga, Ontario, Canada",Canada,greenhomegnome.com,https://www.linkedin.com/company/greenhomegnome
Incubate Ventures,"Incubate Ventures is a digital media venture studio that specializes in launching, scaling, and exiting niche online publications in high-growth industries. We identify emerging information gaps in technology-driven sectors, create editorially strong digital brands to fill them, and grow these brands into sustainable, acquisition-ready businesses.

Our portfolio includes Techcouver.com (Vancouver’s tech news publication) and LegalTech.ca (Canada’s first dedicated legal technology news site), with additional properties in fintech, cleantech, and talent. Each brand begins as a focused content platform, evolves into a trusted voice within its niche, and eventually becomes a valuable media or data asset with recurring revenue potential.",Media & Telecommunications,2-10 employees,Privately Held,"North Vancouver, British Columbia, Canada",Canada,incubate.ca,https://www.linkedin.com/company/incubate-dot-ca
Mars' Hill Magazine - Trinity Western University,"Welcome to Mars’ Hill, Trinity Western University’s vibrant student-led magazine! We’re here to spark meaningful conversations, celebrate diverse perspectives, and showcase the creativity that defines our campus community. Through thought-provoking stories and inspiring content, we aim to inform, engage, and connect you to what matters most—on campus and beyond. Join us as we champion truth, creativity, and community in every issue!",Media & Telecommunications,11-50 employees,Privately Held,"Langley, British Columbia, Canada",Canada,marshillnewspaper.com,https://www.linkedin.com/company/mars-hill-magazine-trinity-western-university
L'Écho de la Tuque,"L'Écho de la Tuque est un média d’information couvrant la communauté de l’agglomération de La Tuque, en Mauricie. Avec son édition papier et numérique, la diffusion et le rayonnement offert à ses annonceurs et lecteurs font de l'Écho de la Tuque le véhicule par excellence de promotion et diffusion en Nouvelle locale.",Media & Telecommunications,2-10 employees,Self Owned,"La Tuque, Quebec, Canada",Canada,lechodelatuque.com,https://www.linkedin.com/company/l-écho-de-la-tuque
Lagom,"The Lagom Letter is a bilingual LinkedIn page focused on sustainable finance, viewed as a balance between financial performance, social impact, and environmental responsibility.

It aims to share reflections, research, and news on responsible investing, ESG policy, and the ongoing transformation of the financial system.",Media & Telecommunications,Self-employed,Self Employed,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/lagom-letter
Procanadians.com,An ultimate source of information related to Canada,Media & Telecommunications,2-10 employees,Privately Held,"Calgary, Alberta, Canada",Canada,procanadians.com,https://www.linkedin.com/company/procanadians
Tellco Voice & Data,"Reliable hosted phone, Sip Trunking, and virtual telecom platforms hosted in Canada.",Media & Telecommunications,2-10 employees,Privately Held,"New Westminster, British Columbia, Canada",Canada,tellco.ca,https://www.linkedin.com/company/tellco-voice-data
Tdot Women Magazine,"A source for women’s stories, art, photography and news based in Toronto",Media & Telecommunications,2-10 employees,Self Owned,"Toronto, Ontario, Canada",Canada,tdotwomen.ca,https://www.linkedin.com/company/tdot-women
Script Health,"Script is an accessible, one-stop destination for credible LGBTQ2S+ health information. We recognize that queer and trans people are too often dismissed, ignored or condescended to as they navigate healthcare systems that aren’t equipped to serve them. Script’s mission is to deliver crucial, timely stories about LGBTQ2S+ health that actually reflect readers’ perspectives, experiences and unique healthcare needs. We aim to have our coverage capture the complexity of how factors such as race, class, citizenship status and disability affect the ways people move through the world and the impacts this has on health outcomes. We believe that access to equitable healthcare is a human right. We believe that discussions about our health should be frank, but that there’s also room for irreverence and fun. We believe that factual, reliable healthcare information can empower people to improve their own well-being. We are pro-queer, pro-sex and pro-bodily autonomy. While we will offer plenty of advice, we won’t be prescriptive—we won’t talk down to you, and we will push beyond the status quo. Our name reflects our desire to flip the script: we harness storytelling, community engagement and evidenced-based reporting to help LGBTQ2S+ people take charge of their health.",Media & Telecommunications,2-10 employees,Non Profit,"Toronto, Ontario, Canada",Canada,script.health,https://www.linkedin.com/company/script-health
Mice Type Creative Inc.,"A one-woman creative studio focusing on thoughtful, impactful graphic design and illustration with a dash of children’s book publishing and stationery goods.",Media & Telecommunications,Self-employed,Self Employed,"Calgary, Alberta, Canada",Canada,micetype.ca,https://www.linkedin.com/company/mice-type
Everything About Canada,,Media & Telecommunications,2-10 employees,Privately Held,"Scarborough, Ontario, Canada",Canada,everythingaboutcanada.com,https://www.linkedin.com/company/everythingaboutcanada
Newfoundland Buzz,"Newfoundland Buzz is a media network online consisting of 25,000 social media followers as well a digital magazine. We cover everything unique, fun and interesting in and around Newfoundland & Labrador.",Media & Telecommunications,2-10 employees,Privately Held,"St John’s, Newfoundland and Labrador, Canada",Canada,newfoundlandbuzz.ca,https://www.linkedin.com/company/newfoundland-buzz
PROENR Technologies Inc,"EMPOWERING VoIP, MEDIA STREAMING, and more

PROENR Technologies, established in the fall of 2020, is located in southern Ontario, Canada. 

Whether you’re running a business or keeping in touch with loved ones. With modern Voice over IP service, your phone line finally works the way it should. Business owners can handle calls like pros with features that do the work for you. Families enjoy crystal-clear calls, low international rates, and numbers that move with them wherever they go. - https://voip.it.com

Our carbon fibre and flat-panel satcom products are ready to meet any challenge, whether a quick deployment in a briefcase form factor within a minute or deploy using your smartphone for your expedition, or automatically locking onto the satellite at the push of a button.

Our multi-channel BONDING technology is capable of bonding diverse communication channels with varying capacities, latency, and propagation characteristics from different providers to achieve a truly robust and resilient broadband link for Live Streaming, image capture, and telemetry.

Our multi-waveform IP satellite modem/router EPM (Electronic Protective Measures) and non-EPM modem are ready for OTM satcom. NATO standard compliant, robust, secure and jamming resistant communications capabilities with a low probability of Interception in friendly and hostile environments.

A sample of our diverse and competitively positioned products includes

•	Full-Featured Business PBX + Cloud Phone Solutions
•	Residential Phone systems that protect your privacy
•	Briefcase-sized, complete satellite terminal – Satcube
•	Carbon Fibre Satellite terminal for your expedition
•	Auto-deploy portable SATCOM Terminal, at the push of a button
•	Portable Live Stream Media solutions for Social Media & Broadcasters
•	IOT – Police Body Cam, Situational Awareness, and Security / Surveillance
•	Network Management & Media Device Orchestration
•	Millimetric Wave Technology products and solutions
•	EPM MIL & NATO spec SATCOM",Media & Telecommunications,2-10 employees,Privately Held,"Waterloo, Ontario, Canada",Canada,proenr.net,https://www.linkedin.com/company/proenr-technologies-inc
Spice Business,"Spice Business, transitioning from a magazine to a digital platform, stands as a central hub for the UK's Indian restaurant industry. It covers industry news, offers strategic insights, and shares event details, fostering a community among business owners and entrepreneurs. The website champions industry interests, tackling challenges like workforce development and advocating for government support. In-depth analyses of market trends and practical advice for operational improvement make it a valuable resource.

For detailed insights, visit Spice Business.",Media & Telecommunications,11-50 employees,Privately Held,"Surrey, British Columbia, Canada",Canada,spicebusiness.co.uk,https://www.linkedin.com/company/spicebusiness
Grassroots Vitality,A community newsletter for research-driven discoveries in healing and wellness.,Media & Telecommunications,Self-employed,Self Owned,"Kingston, Ontario, Canada",Canada,,https://www.linkedin.com/company/grassroots-vitality
Xander Resources,"We bring visual experiences to life in unique and unforgettable ways. Like the ever-shifting tides, our work flows across industries, often touching live events, themed attractions, and video production—but never confined to just one shore. Wherever impactful visuals are needed, we’re ready to create something extraordinary together.",Media & Telecommunications,Self-employed,Privately Held,"Vancouver, Canada",Canada,xanderresources.com,https://www.linkedin.com/company/xanderresources
The Leap Sprint,"A newsletter for networkers. Join 800+ readers for career tips and get a weekly list of recruitment events, straight to your inbox.",Media & Telecommunications,Self-employed,Self Owned,"Toronto, Ontario, Canada",Canada,,https://www.linkedin.com/company/the-leap-sprint
Le Guide de Cowansville,"Le Guide de Cowansville est un média d’information essentiel qui met en lumière l’actualité de la MRC de Brome-Missisquoi. Avec ses éditions papier et numérique, ses services événementiels et ses stratégies marketing numériques, il offre une plateforme idéale pour informer les citoyens et valoriser les annonceurs locaux.

Grâce à son rayonnement et à son engagement envers la communauté, Le Guide de Cowansville est le partenaire de choix pour promouvoir, diffuser et faire rayonner les initiatives qui dynamisent la région.",Media & Telecommunications,2-10 employees,Self Owned,"Cowansville, Quebec, Canada",Canada,journalleguide.com,https://www.linkedin.com/company/le-guide-de-cowansville
Journal Le Coup d'oeil,"Le Journal Le Coup d'Œil est un média d’information incontournable qui couvre l’actualité de toute la MRC des Jardins-de-Napierville. Avec ses éditions papier et numérique, ses services événementiels et ses stratégies marketing numériques, il offre une vitrine de choix pour informer les citoyens et valoriser les annonceurs locaux.

Grâce à son rayonnement et à son engagement envers la communauté, Le Journal Le Coup d'Œil est le partenaire idéal pour promouvoir, diffuser et faire rayonner les initiatives locales qui dynamisent la région.",Media & Telecommunications,2-10 employees,Self Owned,"Saint-Jacques-le-Mineur, Quebec, Canada",Canada,coupdoeil.info,https://www.linkedin.com/company/journal-le-coup-d-oeil
Scoop Canada,"Find out what's happening in Canada, with exclusive scoops. Know what's trending, read lifestyle articles and discover the Great White North! Find out about top Canadian stories, lifestyle articles, health advice and more.",Media & Telecommunications,2-10 employees,Self Owned,"Surrey, British Columbia, Canada",Canada,scoopcanada.com,https://www.linkedin.com/company/scoop-canada
