Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Canadian Solar Inc.,"Canadian Solar was founded in 2001 in Canada and is one of the world's largest solar technology and renewable energy companies. It is a leading manufacturer of solar photovoltaic modules, inverters, and battery energy storage solutions and a developer of utility-scale solar power and battery energy storage projects with a geographically diversified pipeline in various stages of development. Over the past 25 years, Canadian Solar has successfully delivered over 165 GW of premium quality, solar photovoltaic modules to customers. 

Since entering the project development business in 2010, Canadian Solar has developed, built, and connected over 12 GWp of solar power projects and 6 GWh of battery energy storage projects across the world.

Canadian Solar is one of the most bankable companies in the solar and renewable energy industry, having been publicly listed on the NASDAQ since 2006. 

Canadian Solar Founder and CEO Dr. Shawn Qu blogs as a LinkedIn Influencer at https://www.linkedin.com/in/shawnqu/. 

Canadian Solar is Making the Difference by delivering more clean, safe, and affordable solar energy to the world.",Renewable Energy Semiconductor Manufacturing,"10,001+ employees",Public Company,"Kitchener, Ontario, Canada",Canada,csisolar.com,https://www.linkedin.com/company/canadian-solar-inc-
Carboneutrality,We are a not so silent movement of ordinary people that refuses the environment status quo and we surround ourselves with the best experts in the industry,Renewable Energy Semiconductor Manufacturing,"5,001-10,000 employees",Partnership,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/carboneutrality
Great Lakes  Clean Water - LP,"The Great Lakes Clean Water Limited Partnership is a group of Inventors and Investors dedicated to the preservation of Clean Water in the Great Lakes, North America and around the World. The Limited Partnership has focused its time and money on the development of technology for wastewater disinfection/denutrification and potable water purification.  We have developed WATERCLEANTM. 

The WATERCLEANTM machine is like a household appliance, it is a wastewater washing machine.  It is much like a washing machine for clothes.  It has a fill cycle, a wash cycle, a discharge cycle; it uses ozone in place of soap, and washes wastewater in place of clothes.
 
The WATERCLEANTM wastewater treatment system is based on well-established principles of advanced oxidation, using a batch reactor under closed loop conditions.  It takes in atmospheric air, compresses it, removes the oxygen and concentrates it, generates ozone, injects the ozone into the wastewater stream, flash mixes it, pressurizes it, atomizes and degasses it, and recirculates it.  The process continues for between five and ten minutes, depending on the influent concentration and desired resulting effluent.

The WATERCLEANTM machine disinfects pathogens, reduces nutrients (carbon, phosphorus, and nitrogen), mineralizes volatile organic compounds, and transforms pharmaceuticals & personal care products.  

The performance has been verified by Ontario (NETE) and ETV Canada.  Extensive testing in a university lab since 2013 at CAWT in Ontario has shown test results which meet or exceed the requirements specifications of  BNQ 3680 and the NSF International Standard NSF/ANSI 40/245/350.

Unique to WATERCLEANTM is its ability to control the performance of each batch and guarantee the quality released, thereby guaranteeing the safety for both people and the environment.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Mississauga, Ontario, Canada",Canada,greatlakescleanwater.com,https://www.linkedin.com/company/great-lakes-clean-water
Microbio Lca Inc,,Renewable Energy Semiconductor Manufacturing,2-10 employees,,"Québec, Quebec, Canada",Canada,,https://www.linkedin.com/company/microbio-lca-inc
Bon Air Fabrication inc.,,Renewable Energy Semiconductor Manufacturing,,,"Châteauguay, Quebec, Canada",Canada,bonairfabrication.qc.ca,https://www.linkedin.com/company/bon-air-fabrication-inc-
Bonus Energy Ltd.,,Renewable Energy Semiconductor Manufacturing,,,"Calgary, Alberta, Canada",Canada,,https://www.linkedin.com/company/bonus-energy-ltd-
Real Life Cities Lab,REAL LIFE CITIES LABS gives access to a host of innovative solutions designed to help take action and measure your contribution to commitments under the COP21 agreement signed in Paris 2015.,Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/real-life-cities-labs
Preston Plastics Reprocessing,"Preston Plastics specializes in the recovery, recycling, and reprocessing of various post-industrial plastic waste, catering to businesses across industries like packaging, manufacturing, and healthcare. They operate a state-of-the-art plastic reprocessing plant in the UK, running 24/7. The company offers recycled plastic granulate and compound to replace prime virgin materials, promoting resource efficiency and circular economy practices. Additionally, they provide environmental consultancy services to assist customers in enhancing recycling rates and ensuring compliance with regulations.",Renewable Energy Semiconductor Manufacturing,,,"Cambridge, Ontario, Canada",Canada,prestonplastics.co.uk,https://www.linkedin.com/company/preston-plastics-reprocessing
Barber Environmental,"Based in West London,  Barber Environmental specialises in environmental works in urban settings.
Environmental and arboricultural contractors in London.
A skilled team, low impact machinery and working with a high level of ecological sensitivity enables us to consistently deliver positive projects outcomes.

Working for local authorities, charity and NGO clients, we understand the importance of perception as well as physical delivery.

We are a contractor you can rely on for high-quality works and would be happy to discuss your requirements.

Barber Environmental offers a range of services including tree planting and aftercare, wetlands, landscaping and urban conservation",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"London, Ontario, Canada",Canada,barberenv.co.uk,https://www.linkedin.com/company/barber-environmental
JP Olsen Enterprises Inc,"A progressive Canadian supplier of recycling equipment
. 
JP Olsen Enterprises has been in business since 2004. Since 2012 we have been the appointed distributor for Bramidan balers in Canada.

Compacting used packaging and waste at the source has a major impact on operating costs; saving you time, space and manpower, allowing your staff to concentrate on their jobs – in a tidy, hygienic working environment. 

Cost-effective and reliable compression reduces the volume of bulky waste materials by as much as 90%. By reducing the logistics of moving ""empty space"" around in bulk, you can reduce transport and disposal costs; as well as making your workplace more safe from the reduction in internal transportation.

Your entire logistics framework will benefit from a new look at the disposal and recycling of these valuable materials. This can not only boost your company’s environmental profile, but at the same time add new revenue streams from waste turned into commodities. 

Please don't hesistate to contact us for more information.

Vertical Balers for Recyclable Material, Cardboard and Plastic Balers, Balers",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Surrey, British Columbia, Canada",Canada,jpolsen.com,https://www.linkedin.com/company/jp-olsen-enterprises-inc
