Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Globalstar,"Globalstar empowers its customers to connect, transmit and communicate in smarter ways easily, quickly, securely, and affordably — offering reliable satellite and terrestrial connectivity services as an international telecom infrastructure provider. Our LEO satellite constellation assures the most secure data transmission for connecting and protecting assets, transmitting key operational data, and saving lives — from any location — for consumers, businesses, and government agencies in over 120 countries. Globalstar’s terrestrial spectrum, Band 53, offers carriers, cable companies, and system integrators a versatile, fully licensed channel with a growing ecosystem to improve their customers’ wireless connectivity. In addition to our SPOT GPS messengers, Globalstar offers next-generation IoT hardware and software products for efficiently tracking and monitoring assets; developing AI-enabled applications that process smart data at the edge; and managing analytics with cloud-based telematics solutions to drive safety, productivity, and profitability.

For more information regarding Globalstar, please visit www.globalstar.com",Satellite Telecommunications,201-500 employees,Public Company,"Mississauga, Ontario, Canada",Canada,globalstar.com,https://www.linkedin.com/company/globalstar
Satcom Direct,"Gogo is the only multi-orbit, multi-band in-flight connectivity provider offering connectivity technology purpose-built for business and military/government aviation. Its industry-leading product portfolio offers best-in-class solutions for all aircraft types, from small to large and heavy jets and beyond. 

The Gogo offering uniquely incorporates Air-to-Ground systems with high-speed satellite networks, to deliver consistent, global tip-to-tail connectivity through a sophisticated suite of software, hardware, and advanced infrastructure supported by a 24/7/365 in person customer support team. 

Gogo consistently strives to set new standards for reliability, security and innovation and is shaping the future of inflight aviation to make it easier for every customer to stay connected beyond all expectations.",Satellite Telecommunications,201-500 employees,Privately Held,"Kanata, Ontario, Canada",Canada,satcomdirect.com,https://www.linkedin.com/company/satcom-direct
Advantech Wireless Inc. as of 2018 is now Advantech Wireless Technologies Inc.,"For current information, please visit the Advantech Wireless Technologies Inc. LinkedIn page or the company website @ www.advantechwireless.com
https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A10140608&keywords=advantech%20wireless%20technologies&origin=RICH_QUERY_SUGGESTION&position=0&searchId=261f7ff9-956c-4e89-a174-b591395ec7a3&sid=~(n&spellCorrectionEnabled=false",Satellite Telecommunications,51-200 employees,Privately Held,"Dorval, Quebec, Canada",Canada,advantechwireless.com,https://www.linkedin.com/company/advantech-wireless-inc
NORTAC Defence,"Founded in 2010 and based in Ottawa, Ontario, NORTAC Defence Ltd is a leading provider of Commercial-off-the-Shelf (COTS) hardware and software solutions to enable: real time asset visibility on land, on sea and in the air, and Situational Awareness (SA) and Command and Control (C2) in Beyond-Line-of-Sight (BLOS) environments. As an ISO 9001:2015 certified company and recognized veteran staffed and Top 100 Canadian Defence Company, we serve military forces and civil agencies operating in the world's most challenging terrains.",Satellite Telecommunications,11-50 employees,Privately Held,"Nepean, Ontario, Canada",Canada,nortacdefence.com,https://www.linkedin.com/company/nortac-defence
Photon-IV,"Photon‐IV is a Canadian technology company focused on intelligent connectivity between Non‐Terrestrial Networks (NTN) and Terrestrial Networks (TN) for defense, aerospace, and advanced communications. The team combines wireless engineering and AI/ML to deliver seamless handover between LEO satellites and ground networks, reducing latency, preventing dropouts, and strengthening mission resilience.",Satellite Telecommunications,2-10 employees,Privately Held,"Cambridge, Ontario, Canada",Canada,photon-iv.com,https://www.linkedin.com/company/photon-iv
Tightbeam Photonics Inc.,Using photonics to build low-cost Free Space Optical Communication ground terminals.,Satellite Telecommunications,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,tightbeamphotonics.com,https://www.linkedin.com/company/tightbeam
Space Mining & Rocket Engineering LTD,"Founded in 2021, we sell precious metal meteorites from the galaxy. Our biggest supplier MSG always verifies with a COA, as scientific members of the International Astrology Society.",Satellite Telecommunications,2-10 employees,Privately Held,"London, Ontario, Canada",Canada,space-mining.co.uk,https://www.linkedin.com/company/space-mining-company
Xeos Space,"Space and near-space AI-enabled communications and ISR networks for multi-domain defense and security missions.

Xeos Space is a member of ESA’s 5G/6G Non-Terrestrial Network (NTN) Forum.",Satellite Telecommunications,2-10 employees,Privately Held,"Waterloo, Ontario, Canada",Canada,,https://www.linkedin.com/company/xeos-space
TEL-LOC INC,"Tel-Loc est spécialiste de la location et vente d’équipements de télécommunications mobiles. Nous offrons des téléphones satellites, des walkies-talkies satellitaires, des solutions Internet par satellite (Starlink), ainsi que la location de cellulaires, iPads, routeurs et radios bidirectionnelles pour événements et besoins professionnels",Satellite Telecommunications,2-10 employees,Privately Held,"Montreal, Quebec, Canada",Canada,tel-loc.com,https://www.linkedin.com/company/tel-loc
SilkNet,"SilkNet is an intermediary solutions group focused on facilitating the deployment, distribution, installation, and maintenance of satellite broadband services in Uzbekistan. Our goal is to bridge the digital divide by integrating high-speed satellite connectivity into key sectors, including government institutions, education, healthcare, and enterprise infrastructure in rural and underserved areas.

SilkNet is in its early stages and is working to position itself as a key partner in Uzbekistan’s digital transformation efforts. We aim to collaborate with telecommunication industry leaders to help deliver secure and enterprise-grade broadband solutions where connectivity is most needed. While we are still developing our operational capacity and industry relationships, we are actively engaging with government agencies, telecom operators, and enterprise clients to build a strong foundation for future deployment.

We are in the early stages of feasibility research and are collaborating with industry experts, technology providers, and policymakers to lay the groundwork for innovative connectivity solutions. Our work is guided by a commitment to socioeconomic impact, commercial scalability, and technological advancement in underserved regions.

Join us as we explore the future of connectivity.",Satellite Telecommunications,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,silknet.co,https://www.linkedin.com/company/silknettech
GHOST Mobile,"GHOST is a pioneering mobile services company in the telecommunications industry, launching with a breakthrough global eSIM platform and evolving into a future wireless carrier. GHOST introduces eSIM-for-life—a revolutionary service built around one installed eSIM that delivers seamless connectivity worldwide. Designed for travelers, remote professionals, global businesses, and modern consumers, GHOST eliminates roaming complexity and replaces it with intelligent, instant, borderless service. With advanced telecom integrations, modern infrastructure, and a mission to simplify global mobile access, GHOST is building the next era of wireless—one where connectivity follows you everywhere, invisibly and effortlessly.",Satellite Telecommunications,11-50 employees,Privately Held,"Toronto, Ontario, Canada",Canada,getghost.boo,https://www.linkedin.com/company/ghost-mobile
