Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Canadian Space Agency | Agence spatiale canadienne,"L’Agence spatiale canadienne a pour mission de promouvoir l’exploitation et l’usage pacifiques de l’espace, de faire progresser la connaissance de l’espace au moyen de la science et de faire en sorte que les Canadiens tirent profit des sciences et techniques spatiales sur les plans tant social qu’économique.

Page LinkedIn officielle. Nous y publierons principalement des offres d’emploi, des communiqués de presse et des avis d’offre de participation. 
Visitez notre site Web (https://www.asc-csa.gc.ca) ou échangez avec nous sur les réseaux sociaux (https://www.asc-csa.gc.ca/ms-sm) pour en apprendre davantage.

Nétiquette : https://www.asc-csa.gc.ca/fra/avis.asp#avismediassociaux

//

The mandate of the Canadian Space Agency is to promote the peaceful use and development of space, to advance the knowledge of space through science and to ensure that space science and technology provide social and economic benefits for Canadians.

Official LinkedIn page where we will mainly share job postings, news releases and announcements of opportunities. Visit our Website (https://www.asc-csa.gc.ca) or connect with us on social media (https://www.asc-csa.gc.ca/ms-sm) for more.

Netiquette: https://www.asc-csa.gc.ca/eng/terms.asp#socialmedia
_________________________________________________________________________________",Space Research and Technology,"501-1,000 employees",Government Agency,"St-Hubert, Quebec, Canada",Canada,asc-csa.gc.ca,https://www.linkedin.com/company/agence-spatiale-canadienne
AURA,"AURA is an organization dedicated to democratizing the field of astrodynamics and space exploration. We understand that entering this exciting yet complex world can be daunting. That's why we're here to break down those barriers and make space more accessible to everyone, regardless of their background or experience level.",Space Research and Technology,2-10 employees,Educational,"Toronto, Ontario, Canada",Canada,,https://www.linkedin.com/company/auraastronautics
Change Geo,"Change Geo is a pioneering earth observation company dedicated to monitoring and analyzing changes on our planet. With our cutting-edge InSAR satellite data processing and analysis, we provide accurate and up-to-date information about various environmental, social, and economic changes. Our goal is to empower businesses, governments, and organizations with actionable insights to drive sustainable development and make informed decisions.",Space Research and Technology,Self-employed,Privately Held,"Calgary, Alberta, Canada",Canada,changegeo.com,https://www.linkedin.com/company/change-geo
Rokcat,"Rokcat offers a predictive asset trading AI engine hat delivers high-impact trading performance market accuracy through a cutting-edge predictive model. Designed for both retail and accredited investors, the program provides elegant oracles into the major financial markets – including commodities, indices, and cryptocurrencies with highly sought after accuracy.",Space Research and Technology,51-200 employees,Privately Held,"Kelowna, British Columbia, Canada",Canada,rokcat.com,https://www.linkedin.com/company/rokcat
Space Travel Analog Research Team,"START (Space Travel Analog Research Team) is a team of University of Toronto students that will participate in annual analogous experiments to research pressing matters in the space exploration field.
We provide opportunities for undergraduate students to expand their professional network and develop technical skills that build strong and confident future engineers, scientists and researchers.",Space Research and Technology,2-10 employees,Non Profit,"Toronto, Ontario, Canada",Canada,,https://www.linkedin.com/company/space-travel-analog-research-team
sunya space,"Space is entering an era where understanding space operations is no longer an administrative problem—it is a computational one.

By the end of this decade, more than 100,000 satellites may be operating in orbit. Every operator makes regulatory commitments, publishes disclosures, and generates years of observable orbital activity. Yet the relationship between what an operator committed to do and what it actually does does not exist anywhere—it has to be derived.

Sunya Space is building the evidence infrastructure for space operations. OrbIntelTM is the inference engine that powers that infrastructure.

OrbIntel reconstructs the regulatory and normative context within which operators are expected to conduct space operations from public filings, public disclosures, recognised operational frameworks, and internationally accepted best practices. It establishes behavioural evidence from years of orbital observations and computes independently traceable assessments of operator conduct, compliance, divergence, and emerging liabilities.

Every assessment is rooted in publicly available evidence and remains traceable to its originating sources.

We believe the future of insurance, orbital governance, legal accountability, and space sustainability depends on evidence that can be independently examined—not simply on what operators report about themselves.

Independent. Traceable. Reproducible.",Space Research and Technology,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,sunya.space,https://www.linkedin.com/company/sunyaspace
S.U.P.E.R. Servicing,S.U.P.E.R aims to set a standard in the satellite space industry.,Space Research and Technology,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,superservicing.ca,https://www.linkedin.com/company/super-servicing
LaKome Inc,Lakome Inc. drives innovation through the research and development of next-generation electronic devices for enhanced performance and functionality.,Space Research and Technology,2-10 employees,Self Owned,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/lakome-inc
Iris Data Labs,"The Intelligence Platform for Autonomous Space Exploration

SpaceEdgeTM by IrisDataLabs is the Intelligence Platform for Autonomous Space Missions.
We convert raw, heterogeneous space datasets from NASA, ESA, and commercial sources into production-grade, machine-usable intelligence for landers, rovers, orbiters, and robotic outposts. Through deep mapping, harmonization, validation, and dual-layer scoring, SpaceEdge creates a trusted intelligence foundation that autonomous systems can rely on.

SpaceEdge is not a workflow — it is the operating layer that standardizes, validates, and distributes the intelligence required for mission autonomy.

What We Build
	•	Semantic Intelligence Graphs
A unified graph that connects datasets, instruments, missions, terrain features, and environmental context.
	•	Dual-Layer Scoring Engine
Metadata trust + data quality scoring for certification-grade validation of mission-critical datasets.
	•	Auto-Harmonized Schema Layer
Automatic alignment of projections, units, timestamps, and ontology mappings to eliminate integration friction.
	•	Mission-Ready Intelligence APIs
Domain modules optimized for autonomy, onboard decision-making, and constrained environments.

From lunar terrain intelligence to orbital autonomy models, SpaceEdge provides the foundational intelligence layer that next-generation space missions will depend on.

Live Now

Lunar Landing Site API — analyzing 1.18M candidate locations across the lunar south pole, built entirely on SpaceEdge’s trusted mapping and scoring infrastructure.",Space Research and Technology,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,irisdatalabs.com,https://www.linkedin.com/company/iris-data-labs
PolarHab,"We are actively engaged with the conceptualization, design and deployment of sustainable agricultural, waste management and habitat systems.",Space Research and Technology,Self-employed,Privately Held,"Chesley, Ontario, Canada",Canada,polarhab.com,https://www.linkedin.com/company/polarhab
Deal De-All,"Deal De-All comes from the need to better the life-quality from
individuals; using technology that considers the environmental
impact as a key factor when building inclusive products.",Space Research and Technology,2-10 employees,Public Company,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/deal-de-all
