Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
TozCall,We provide complete calling and Contact Center PBX Solutions!,Telecommunications Carriers,11-50 employees,Partnership,"Mississauga, Ontario, Canada",Canada,tozcall.com,https://www.linkedin.com/company/tozcall
ADMIRAL TELECOM,"VoIP and SMS Telecom carrier, and Call center solution.
#VoIP #CCAAS #SAAS #SIP #IAX #AVAYA #Asterisk #Alcatel #CRM #Omnichanel #Cloud #.Net #Digital #UCAAS #CX #whatsapp #sms #agile #multicanal #IT #cx #contactcenter #CustomerExperience #CustomerService #telemarketing #outsourcing #bpo #outboundcalls #outboundcalling

Email : zemmita@gmail.com
Tel & WhatsApp : +212 661 852 863",Telecommunications Carriers,2-10 employees,Privately Held,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/admiral-voip-telecom
Data Access Solutions Inc,"DAS is a Canadian based VoIP carrier focused on international wholesale and retail voice and SMS termination Established in 2004 to address the increasing demand in high quality VoIP service.
Through our owned and operated POP in Toronto, direct routes to several destinations in Middle East, North Africa and with cooperation of our worldwide partners, we offer termination services to over 350 companies worldwide including Tier 1, Tier 2 Carriers and calling card companies around the globe.",Telecommunications Carriers,11-50 employees,Privately Held,"Richmond Hill, Ontario, Canada",Canada,dataaccessvoip.com,https://www.linkedin.com/company/data-access-solutions-voip-inc
Pinnacle Telecoms Inc.,"Project Planning 
Site Audits, line-of-sight surveys, coordinating subcontractors, scheduling with customers/landlords, project progress updates

Material Procurement
Cabling, Steel, Concrete, Connectors, Hardware, Misc. Materials

Tower and Rooftop Sites
Wireless Cellphone Sites, PoP Sites, Switch Sites, Central Offices

New Site Construction 
Cell Site, Small-cell Site, DAS, COW, Light-pole, Foundation, Electrical, Concrete Scanning and Coring, Road Construction 

Microwave/Fiber Backhaul 
Transport Network, Transport Equipment, Cisco, Juniper, Ericsson, Ceragon, DragonWave

Emergency Support
COW Delivery, Generator Delivery, Fueling Services, Road Clearing, Snow Clearing

RF Equipment
Azimuth Verification, FTDR Testing, PIM Testing, Fiber Optic Testing; OTDR, Power Meter, Scope

RAN Equipment
Ericsson, Nokia and Huawei, Antennas, Radios, In-Building Systems DAS or IBS, Passive Systems, Active Systems and Hybrid Systems
DC Power Systems-48V DC Battery, UPS (Uninterrupted Power Supply) Systems, Battery Backup Power

Testing and Commissioning
Bench Testing, Field Testing, Cable Verification, Equipment Verification, End-to-end Testing, Ethernet Verification, DS1 Verification, Commissioning Systems, Decommissioning Systems, Site Optimization

Project Handover
Close-out Package, Final Photos, Invoicing, Change Orders, Customer Feedback, Customer Satisfaction Guarantee",Telecommunications Carriers,11-50 employees,Privately Held,"Plattsville, Ontario, Canada",Canada,pinnacletelecoms.ca,https://www.linkedin.com/company/pinnacle-telecoms-inc
PowerTek Utility Services Inc,"Powertek Utility Services helps Canadian utilities and broadband builders plan, design, permit, and validate infrastructure—safely, accurately, and right the first time. Our work sits at the intersection of utility engineering + geospatial intelligence, so teams can move from concept to close-out with fewer field revisits, faster approvals, and audit-ready records.

What we do

We deliver end-to-end support across the full lifecycle—from feasibility and route selection to engineering, permitting packages, construction support, inspections, as-builts, and GIS close-out.

Core capabilities

Telecommunications Engineering: planning, engineering, and permitting for FTTx, transport/backbone, 5G wireline support, and joint-use attachments (aerial & underground).

LiDAR & Mobile Mapping: field-to-finish capture using measurable point clouds + high-res imagery to reduce truck rolls and speed decisions.

GIS & Location Intelligence: GIS-as-a-Service, migrations/upgrades, UNM adoption, FME integrations, and Digital Twin workflows for planning and operations.

Subsurface Utility Engineering (SUE): GPR + EM locating to reduce conflicts, relocations, and redesign.

Field Inspection Services: inspection programs integrated with SUE, GIS, and damage-prevention workflows.

Electricity Distribution Support: design, inspections, GIS records, and damage-prevention documentation for safe, reliable networks.

Who we serve

We partner with Canadian utilities, LDCs, broadband ISPs, EPCs, and municipalities that need utility-grade quality, coordinated deliverables, and accountability.

How we work

Our culture is built on Safety, Quality, Integrity, Collaboration, Innovation, and Community—with stage-gate QA/QC, traceable decisions, and cloud-based visibility for stakeholders.

Let’s simplify your next build. Ask us about a free pilot to validate approach, quality, and deliverables.",Telecommunications Carriers,11-50 employees,Privately Held,"Burnaby, British Columbia, Canada",Canada,powertekutilityservices.ca,https://www.linkedin.com/company/powertek-utility-services-inc
Friends Mobile,"Authorized Bell Dealership store located in South Edmonton. Excellent deals, excellent prices.",Telecommunications Carriers,2-10 employees,Privately Held,"Edmonton, Alberta, Canada",Canada,,https://www.linkedin.com/company/friendsmobile
NexaDale,"Nexadale is a leading provider of Information Communication Services, specializing in Application-to-Person (A2P) messaging solutions. We empower businesses to connect with their customers seamlessly, delivering reliable, secure, and scalable communication tools. Our A2P services enable efficient, real-time messaging for notifications, alerts, marketing, and customer engagement, tailored to meet the unique needs of businesses across various industries. With a focus on innovation and customer satisfaction, Nexadale drives impactful connections, helping businesses build stronger relationships with their audiences through cutting-edge technology.",Telecommunications Carriers,11-50 employees,Partnership,"Scarborough, Ontario, Canada",Canada,nexadale.com,https://www.linkedin.com/company/nexadale
3Ctel Canada,Connecting you to the world,Telecommunications Carriers,11-50 employees,Public Company,"Etobicoke, Ontario, Canada",Canada,3ctel.com,https://www.linkedin.com/company/3ctel-canada
Technologies Erakomm inc.,"Hytera, RugGear dealer

-PoC Radios and PoC Network
-DMR Radios and DMR Network
-IoT",Telecommunications Carriers,2-10 employees,Privately Held,"Saint-Léonard, Quebec, Canada",Canada,erakomm.com,https://www.linkedin.com/company/technologieserakomm
SellFoneNow,"SellFoneNow is a Canadian-owned device buyback company that simplifies the process of selling used, broken, or locked phones, tablets, smartwatches, and MacBooks. With a strong focus on transparency and customer satisfaction, the platform offers instant cash quotes, free prepaid shipping, and fast payoutsoften within one business day. Led by founder Hamid Benazir, SellFoneNow has served over 3,000 customers and built a trusted reputation across Canada by partnering with major recyclers and resellers. Their commitment to fair pricing, data security, and eco-conscious recycling makes them a go-to choice for hassle-free device resale.",Telecommunications Carriers,11-50 employees,Public Company,"Toronto, Canada",Canada,sellfonenow.com,https://www.linkedin.com/company/sellfonenow
