Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Huawei,"Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services – we are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.

Huawei's end-to-end portfolio of products, solutions and services are both competitive and secure. Through open collaboration with ecosystem partners, we create lasting value for our customers, working to empower people, enrich home life, and inspire innovation in organizations of all shapes and sizes.

At Huawei, innovation focuses on customer needs. We invest heavily in basic research, concentrating on technological breakthroughs that drive the world forward. We have more than 207,000 employees, and we operate in more than 170 countries and regions. Founded in 1987, Huawei is a private company fully owned by its employees.

House Rules
This page is for ICT professionals with an interest in Huawei and our industry to engage in open discussions.
To facilitate dialogue, please follow these rules:
- Huawei holds the right to delete comments that are offensive, misleading, false, unlawful, off-topic and in violation of any regulations.
- Repeated violations of any of the above will be removed and users may be blocked.
- Huawei does not necessarily endorse the information shared by members.
- Please be familiar with and follow LinkedIn's User Agreement.
- By publicly uploading a photograph or comment, you give Huawei permission to feature your content. This will always be credited.

Please visit the below portals for career or customer service queries.
Career page: http://bit.ly/2rdljD7
Customer service: http://bit.ly/2a4mXNY

Thank you for visiting us & we hope you enjoy your time on our page.",Telecommunications,"10,001+ employees",Privately Held,"Markham, Ontario, Canada",Canada,huawei.com,https://www.linkedin.com/company/huawei
Bangla China Telecom,"Bangla China Telecom (BCT) is a third generation mobile handset company with license from BTRC. The Company is devoting all its resources to import & distribution of high quality mobile phone handsets. The managements & employees are highly qualified and acquired profound knowledge and experienced in the line of mobile phone handset industry. Besides this, qualified and experience foreign and local engineers, technicians and sales personnel are employed for ensuring quality products & to give premium service to its customers. It is assumed that the company will be operated smoothly and efficiently under the capable management. Bangla China Telecom is introduced new brand to the market under the name of SFONE.",Telecommunications,51-200 employees,Privately Held,"Toronto, Ontario, Canada",Canada,sfonebd.com,https://www.linkedin.com/company/bangla-china-telecom
Community Fibre Company,"Established in 2014, the Community Fibre Company is a locally-owned Internet Provider building fibre optic networks to homes and businesses in Rural Ottawa and Lanark County, Ontario.

As of late August 2017, we have projects underway in Ashton, Beckwith, Ramsay, Watson’s Corners, McDonalds Corners, Patterson Lake, Village of Lanark, and a soon-to-be-announced neighbourhood in West Ottawa. Furthermore, we have a working relationship with MM2020, a grant proposal under review in the ISED Connect To Innovate programme, and we are listed as a registered telecom carrier with the CRTC.",Telecommunications,2-10 employees,Privately Held,"Lanark, Ontario, Canada",Canada,communityfibre.ca,https://www.linkedin.com/company/community-fibre-company
Canada IoT,We are an IoT Startup paving the way to the future.  We believe that our technology has the potential to become an industry sensation.,Telecommunications,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,canadaiot.net,https://www.linkedin.com/company/canadaiot
A1TEL,"A1TEL is a trusted installation and repair company serving leading telecommunications and security providers. Our skilled technicians deliver seamless Alarm security, fiber network, and IT infrastructure solutions. Acting as an extension of our partners' brands, we ensure exceptional quality, reliability, and customer satisfaction. Our mission is to empower partners with professional services, and our vision is to set the standard for excellence in the industry through expertise, efficiency, and innovation",Telecommunications,11-50 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,a1tel.ca,https://www.linkedin.com/company/a1tel
Internet N4 Mobile,"Internet N4 Mobile est un fournisseur de services internet haute-vitesse sans fil ILLIMITÉ résidentiels et commerciaux en milieu rural et urbain.

- Internet haute vitesse sans fil illimité
- Téléphonie sans fil
- Installation de liaison sans fil
- Ingénierie et projets spéciaux

Misant sur des valeurs humaines et un service personnalisé, la mission est de rendre accessible les services aux municipalités des centres ruraux et ce, à moindre coût. L’équipe grandissante travaille ardûment afin d’offrir des solutions adaptées en fabriquant des infrastructures impressionnantes permettant de desservir un plus grand territoire chaque jour. 

L’entreprise dessert maintenant plus de 9 secteurs, soit : l’Estrie, le Haut-St-François, Coaticook, le Memphrémagog, la Haute-Yamaska, Rouville, les Maskoutains, le Val Saint-François et Drummond. 

Contactez-nous pour vérifier la disponibilité de nos services !",Telecommunications,11-50 employees,Privately Held,"Sherbrooke, Quebec, Canada",Canada,n4mobile.com,https://www.linkedin.com/company/internet-n4-mobile
Wish Collaboration,"Wish Collaboration has flexible, highly secure and scalable solutions for SMB as well as global enterprise clients. We have provided exceptional collaboration solutions for Financial Services, Legal, Life Sciences, Technology, Government, Retail, Manufacturing, Associations and more.",Telecommunications,11-50 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,wishcollaboration.com,https://www.linkedin.com/company/wishcollaboration
Digital Line,"Are you opening or expanding a commercial location, interested in updating your current infrastructure, or searching for a more cost effective telecommunication solution?

We can help!

Digital Line offers VoIP, internet, and data cabling services that cater to all your business needs. Our technology platform provides flexibility and scalability while reducing the need for expensive and complex phone systems. We cover network cabling setups, cleanups and additions. 

Call us to learn more at (289)-222-0300.",Telecommunications,2-10 employees,Self Employed,"Cobourg, Ontario, Canada",Canada,digitalline.ca,https://www.linkedin.com/company/bradshaighdigitalline
"Telefonix, Inc. – Canada","Telefonix is a rapidly growing modern telecommunication and technology company based in Toronto, Canada.

Our interconnection with more than 60 local operators throughout the globe allows us to terminate large quantities of telecom traffic worldwide and provide some of the best international termination rates in the industry. Thanks to direct interconnection with Tier 1 Providers and state-of-the-art equipment, high ASR and short PDD Telefonix is providing simply the best possible connection ad service to its customers.The Telefonix network is supported by a 24/7 network-operation-centre, ensuring the constant quality of our service.

Telefonix successfully offer retail calling products to niche ethnic markets in Canada and USA. We provide small and medium-sized enterprises such as calling card providers, callshops, call centers and other business with state-of-the art customized VoIP solutions and products.",Telecommunications,2-10 employees,Privately Held,"North York, Ontario, Canada",Canada,telefonix.ca,https://www.linkedin.com/company/telefonix-inc.-canada
eCom Customer Care Inc,"eCom Customer Care is a growing customer contact center staying true to it's Mom and Pop roots. We provide a multichannel approach the customer service industry via email, Live Chat and inbound calls. eCom is centrally located with a 100 seat facility to meet our client's needs.",Telecommunications,51-200 employees,Privately Held,"Winnipeg, Manitoba, Canada",Canada,ecomcc.ca,https://www.linkedin.com/company/ecom-customer-care-inc
