Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Roche,"Roche is a global pioneer in pharmaceuticals and diagnostics focused on advancing science to improve people’s lives. The combined strengths of pharmaceuticals and diagnostics under one roof have made Roche the leader in personalised healthcare – a strategy that aims to fit the right treatment to each patient in the best way possible.

Roche is the world’s largest biotech company, with truly differentiated medicines in oncology, immunology, infectious diseases, ophthalmology and diseases of the central nervous system. Roche is also the world leader in in vitro diagnostics and tissue-based cancer diagnostics, and a frontrunner in diabetes management.

Founded in 1896, Roche continues to search for better ways to prevent, diagnose and treat diseases and make a sustainable contribution to society. The company also aims to improve patient access to medical innovations by working with all relevant stakeholders. Thirty medicines developed by Roche are included in the World Health Organization Model Lists of Essential Medicines, among them life-saving antibiotics, antimalarials and cancer medicines. Roche has been recognised as the Group Leader in sustainability within the Pharmaceuticals, Biotechnology & Life Sciences Industry ten years in a row by the Dow Jones Sustainability Indices (DJSI).

For more information, please visit https://careers.roche.com

Read our community guidelines here: 
https://www.roche.com/some-guidelines.htm

#Roche #Biotechnology #Pharmaceuticals #Diagnostics #Healthcare #PersonalisedHealthcare #GreatPlaceToWork #Innovation",Biotechnology Research,"10,001+ employees",Public Company,"Mississauga, Ontario, Canada",Canada,roche.com,https://www.linkedin.com/company/roche
Mold Guard Inc.,"We are a global biotech company specializing in the development of a revolutionary long-term protection against mold. What makes this product special is that it is made exclusively from natural ingredients. Our goal with NOMO Professional is to leave the world a better place, we want the health risk of mold to be a thing of the past. No more building contamination or increased food waste due to the origin already mold. Join us in declaring war on mold in the long term and in a natural way.",Biotechnology Research,2-10 employees,Public Company,"Montreal, Quebec, Canada",Canada,moldguardinc.com,https://www.linkedin.com/company/mold-guard-inc
PDX BIOTECH,"Makers of OraStripdx, the rapid point-of-care test for active periodontal disease in dogs.",Biotechnology Research,11-50 employees,Privately Held,"Vancouver, British Columbia, Canada",Canada,orastripdx.com,https://www.linkedin.com/company/pdx-biotech
VeracityBio,"We build technology to identify and quantify complex signals that relate to the overall scientific plausibility and robustness of claims in biomedical discovery.

This technology is leveraged to power sophisticated analytics platforms interrogating the biology of drug targets and target-indication pairs.",Biotechnology Research,2-10 employees,Privately Held,"Vancouver, British Columbia, Canada",Canada,veracity.bio,https://www.linkedin.com/company/veracitybio
Myovine,Myovine is a biomedical app for physiotherapists that quantifies and tracks patient’s progress remotely while also determining the most effective pathway for rehabilitation.,Biotechnology Research,Self-employed,Self Employed,"St John’s, Newfoundland and Labrador, Canada",Canada,myovine.com,https://www.linkedin.com/company/myovine
Precision Bio Laboratories,"Precision Bio Laboratories Inc. is a new era Contract Research Organization (CRO) dedicated to provide reliable, high quality and affordable services and products for researchers in the Academic, Biotech and Pharmaceuticals field. We are here to help Scientists advance Research in all fields of Life Sciences. 
We specialize in molecular biology, cell biology, biochemistry, protein engineering, cell line development, protein production, assay development, toxicology and cardiac ion channel safety pharmacology. Services can be fully integrated for all of customer's molecular biology, cell line, and protein needs.
Our production processes are SOP-based and high-throughput. We work in complete confidentiality and offer unsurpassed customer support. Our contribution to the research community is to offer customers with products and services of the highest quality with fast turnaround times at affordable prices.",Biotechnology Research,2-10 employees,Privately Held,"St Albert, Alberta, Canada",Canada,pbiolabs.com,https://www.linkedin.com/company/pbiolabs
Acadian Tasco,"As an innovative, natural, marine-plant based prebiotic, Tasco is the preferred choice in premium feed and pet food formulations. Tasco supports the health and well-being of animals and contributes to the efficiency and profitability of animal production. Tasco is backed by expert animal scientists, marketers and sales professionals who provide exceptional customer support allowing you to design performance-driven formulations that will set you apart from the competition.",Biotechnology Research,51-200 employees,Privately Held,"Dartmouth, Nova Scotia, Canada",Canada,tasco.ca,https://www.linkedin.com/company/acadian-tasco
Medical Equipment Tech Zambia,"We provide medical equipment training interactively online (3-term certificate and 6-term diploma from our main location in Sackville, NB Canada). We offer diagnostic services as well as repair + maintenance of medical equipment throughout Zambia with the intent of expanding elsewhere in the developing countries.",Biotechnology Research,2-10 employees,Educational,"Sackville, New Brunswick, Canada",Canada,eduproca.com,https://www.linkedin.com/company/metzambia
Bio Solution Canada,"We provide a 24/7 discreet emergency response service with a critical three step, hospital and medical grade procedure which consists of:

• Sanitization 
Sanitization of high touch surfaces using Canadas top medical grade surface disinfection cleaning wipes. Cavicide Wipes and Sprays as well as OPTIM 33TB Wipes, used following manufactures instructions.
- Effective against Staphylococcus aureus with reduced susceptibility to vancomycin and Influenza A2 virus 
- Kills TB in 3 minutes and MRSA, HIV-1 and HBV and HCV in 2 minutes 
- Low alcohol (17.20% isopropanol) surface disinfectants 
- Stays fully saturated; better fluid capacity means the wipes won’t dry out 
- Ideal for operating rooms, surgical centers, neonatal units, medical and dental operatories and other critical-care areas
- OPTIM has demonstrated effectiveness against viruses similar to Coronavirus Disease 2019 (COVID-19) on hard non-porous surfaces and non-invasive medical devices.

• Sterilization 
Sterilization of touchable surfaces, inaccessible areas and in the air by employing our powerful, state of the art, UVC and ozone double sterilization unit effective in defragmenting 99.9% of dangerous pathogens and biological hazards. This form of UV destroys DNA and has been used by hospitals including, Mcgill University Health Centre in Montreal, QC and Fraser Health in B.C. for years to sterilize.

• Reconditioning the Atmosphere 
The air within your facility is harboring infectious pathogens,  biological hazards and airborne contaminants which are a potential cause of your clean room to become compromised. By utilizing our mobile UVC and ozone double sterilization unit, Bio Solution Canada eliminates 99.9% bacteria and viruses within the air. After the process of air decontamination, the air is ventilated with purified air to recondition the atmosphere.",Biotechnology Research,51-200 employees,Privately Held,"Kitchener, Ontario, Canada",Canada,biosolutioncanada.com,https://www.linkedin.com/company/bio-solution-canada
CellSpark Consulting,"At CellSpark Consultancy, our purpose is to empower life science innovators to deliver safe, effective, and compliant therapies to patients — faster and smarter. We do this by providing expert guidance in validation, regulatory strategy, and process optimization, grounded in real-world industry experience and a commitment to excellence.

We exist to bridge the gap between scientific innovation and operational compliance, enabling our clients to navigate complexity, reduce risk, and scale with confidence in a highly regulated world.",Biotechnology Research,2-10 employees,Privately Held,"Gta, Ontario, Ontario, Canada",Canada,cellsparkconsulting.com,https://www.linkedin.com/company/cellspark-consulting
