Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Mississauga, Ontario, Canada",Canada,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
Van Walsum Motion Controls Ltd,"As an Independent automation consultant in Edmonton since 2002, VWMotion has helped dozens of companies with the conceptualization, design, programming and commissioning of automated manufacturing equipment.",Industrial Automation,Self-employed,Privately Held,"Edmonton, Alberta, Canada",Canada,vwmotion.ca,https://www.linkedin.com/company/van-walsum-motion-controls-ltd
MainSheet Solutions,"Mainsheet Solutions helps industrial clients plan and implement  Industrial Internet of Things (IIoT) solutions, resulting in quantifiable business improvements.",Industrial Automation,2-10 employees,Self Owned,"Calgary, Alberta, Canada",Canada,mainsheet.ca,https://www.linkedin.com/company/mainsheet
TCO Systems,,Industrial Automation,,,"Lake Cowichan, British Columbia, Canada",Canada,tcosystems.com,https://www.linkedin.com/company/tco-systems
CBLS Group,"CBLS Group is an industrial automation company based out of 440 Limerick St, CHURCHILL, Ontario, Canada.",Industrial Automation,,,"Churchill, Ontario, Canada",Canada,cblproperties.com,https://www.linkedin.com/company/cbls-group
Merlin Automation Inc,,Industrial Automation,,,"Sainte-Catherine, Quebec, Canada",Canada,desautelselectrique.com,https://www.linkedin.com/company/merlin-automation-inc
Innovative Industry Limited,,Industrial Automation,,,"Shirley, British Columbia, Canada",Canada,,https://www.linkedin.com/company/innovative-industry-limited
BROOKSON (5667J) LIMITED,,Industrial Automation,,,"Newmarket, Ontario, Canada",Canada,,https://www.linkedin.com/company/brookson-5667j-limited
Lightweight Labs,,Industrial Automation,,,"Vernon, Saskatchewan, Saskatchewan, Canada",Canada,lightweightlabs.com,https://www.linkedin.com/company/lightweight-labs
Vilo Systems Inc.,,Industrial Automation,,,"Tecumseh, Ontario, Canada",Canada,,https://www.linkedin.com/company/vilo-systems-inc-
