Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gauzy,"Gauzy (NASDAQ:GAUZ) is a global leader in Smart Glass and ADAS technologies, focused on the research, development, manufacturing, and marketing of vision and light control technologies and systems.  

We believe in innovation that matters. By making materials that do more, we reimagine how we interact with our surroundings and the spaces we spend our time most through light, and the control of it.  

Through direct fulfillment and a certified distribution channel spanning over 40 countries, Gauzy serves leading brands in automotive, transportation, aeronautics, architecture, consumer goods, medical devices, and beyond. 

Joining the Gauzy team means being part of an elite group of innovators with a passion for creating groundbreaking products that shape our everyday lives. At Gauzy, we value hard work, unique ideas, collaboration, and cultural diversity.  

Gauzy has 14 offices globally and over 600 employees. Comprised of four distinct business units– Gauzy Automotive, Gauzy Architecture, Gauzy Aeronautics, and Gauzy Safety Tech – we offer a wide range of career paths to achieve your professional goals.  

To apply for a position at Gauzy, visit gauzy.com/careers 

To speak with a sales representative at Gauzy, visit gauzy.com/contact",Nanotechnology Research,"501-1,000 employees",Privately Held,"Blainville, Quebec, Canada",Canada,gauzy.com,https://www.linkedin.com/company/gauzycorp
Formula Nano,"Formula Nano is dedicated to designing, building, and racing molecular machines at the nanoscale. We're working towards competing in the next international Nanocar Race where teams compete to race single molecules using a specialized scanning tunneling microscope. Team members can focus on the synthesis and characterization of molecular components in the lab or on simulating and optimizing the nanocar using computational models, exploring two important pillars of nanotechnology engineering.",Nanotechnology Research,11-50 employees,Educational,"Waterloo, Ontario, Canada",Canada,uwformulanano.ca,https://www.linkedin.com/company/uwformulanano
Tangho - Technology and Nature Green Holding,"Tangho is building the next generation of advanced materials by unlocking the full industrial potential of natural fibers. From regenerative agricultural residues, we extract tailor-made nanocellulose and biomass pellets using a proprietary, additive-free, 100% mechanical process. We stand at the intersection of sustainability, industrial innovation, and deep-tech manufacturing – enabling deep decarbonization across critical global sectors such as electronics, packaging, coatings, polymers, and food systems.",Nanotechnology Research,11-50 employees,Privately Held,"Waterloo, Ontario, Canada",Canada,tanghogreen.com,https://www.linkedin.com/company/tangho-technology-and-nature-green-holding
nSTRATA Inc.,"nSTRATA is focused on the international industrial scale supply and implementation of nano & micro-scale functionalized surface coatings including, but not limited to:

: Ready-to-use and concentrated self-assembling monolayers
: Clear and pigmented poly siloxane epoxy resin (paint) systems
: Manufacturing additives
: Custom chemical formulations",Nanotechnology Research,2-10 employees,Privately Held,"Edmonton, Alberta, Canada",Canada,nstrata.tech,https://www.linkedin.com/company/nstrata-inc
Lumentra Inc,"Lumentra is a cleantech company that develops new materials solutions for improving colour quality of solid state lighting products. Lumentra is a spin-off company from the Institute for Optical Sciences at the University of Toronto. It also provides accredited optical, electrical, thermal and environmental measurement services, optical design services, consultancy and standards compliance assistance for the lighting industry. Lumentra’s staff are actively involved in international standard committees to develop standard test methods for semiconductor and organic LEDs.",Nanotechnology Research,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,lumentra.com,https://www.linkedin.com/company/lumentra-inc
SiO2 International Inc,"We are leaders in safe, sustainable, environmentally respectful undetectable molecular glass coatings and offer our proprietary, innovative advanced products to international markets, our Customers and Partners.

SiO2 OFFERS SIMPLE APPLICATIONS THAT CHANGE THE CHARACTERISTICS OF SURFACES

Safe to human health and the ecosystem, SiO2 Ultra Thin Coatings provide protection from pathogens, liquids, oils, staining, acids, solvents, abrasion and many other damaging issues. VOC free, no additional toxic elements are introduced to the environment when using this effective technology.

SiO2 Technology is a significant alternative to industrial materials and methods that have in the past overlooked their negative impact on health and ecology. Our coatings are easy to apply, will improve work place safety and are environmentally respectful. SiO2 Technology contains no controversial engineered nanoparticles and is cleaner, safer, and more effective than older macro technologies and other new coating technologies.

Advanced Technology • Safe to the Environment • Cost Effective

Attributes Found in All SiO2 Products:

Characteristics:
• food safe & skin friendly
• invisible
• safe to the environment
• long lasting & durable
• anti-sticking characteristics
• easy cleaning
• will not change color or sheen
• easy to apply
• air permeable
• VOC free
• quick drying
• anti microbial
• oleophobic
• super phobic

Resistant to:
• water, humidity & oil
• soil & stains
• bacteria & other microbes
• mold & algae
• ultraviolet (UV) rays
• acid and alkaline
• abrasion
• hydrolysis
• pressure washing
• staining
• frost
• vapour cleaners
• oxidation",Nanotechnology Research,11-50 employees,Partnership,"Toronto, Ontario, Canada",Canada,sio2.ca,https://www.linkedin.com/company/sio2-international-inc
Alberta Nano-Monitoring Systems Ltd. (ANMS),"ANMS is the Canadian parent company of P.M.L-Innovative Particle-Monitoring Technologies Ltd. a nanotechnology start-up company, that aims at becoming a leader in ON-LINE, IN-PROCESS nano- particle monitoring, in  the semiconductors ,clean tech, water applications, and other specific industries. The ANMS's technology is based upon a patented method of interaction between particles and structured laser light beam. ANMS (www.anms.ca), was established in Alberta, Canada, by its founder Dr. Meir Teichner, who had relocated to the Province of Alberta to  serve  as  ANMS'  CEO and director. Under Dr. Teichner's  leadership the company was able to get into strategic partnerships with several major international corporations. Among them, two  major international corporations that are leaders in  (1) the semiconductors industry, namely Tokyo Electron Ltd. (TEL) and its Venture Capital  corporation TELVC and (2) in the oil sand industry of Alberta, Canada.  ANMS has been sponsored by the governmental body  Alberta Innovates Technology Futures (AITF) and is operating within the Northern Alberta Institute of Technology (NAIT).",Nanotechnology Research,11-50 employees,Privately Held,"Edmonton, Alberta, Canada",Canada,anms.ca,https://www.linkedin.com/company/pml-innovative-particle-monitoring-technologies
STROBE Science & Technology Center,"The STROBE Science & Technology Center is a collaborative exchange between six universities across the United States to advance imaging science and technology and build the microscopes of the future. STROBE aims to transform imaging science and technology of functioning nano-systems by creating powerful and broadly-applicable real-time nano-to-atomic scale imaging modalities. This technology addresses global grand challenges in science and technology, while building a strong, diverse, STEM workforce.",Nanotechnology Research,51-200 employees,Partnership,"Merritt, British Columbia, Canada",Canada,colorado.edu,https://www.linkedin.com/company/strobe-science-technology-center
Canadian Nano Society,"Canadian Nano Society was established due to need of a united community in Canada for students, scientists and interested people who works in various areas connected with nano-science and nanotechnology. 

       Our mission is to develop understanding of the Nano science and technology by connecting scientist within Canada and beyond to expand our knowledge.


•	Canadian community of nanotechnology to make new connections between researchers and students interested in Nano science and technology.
•	Ensuring nanotechnology fulfills its potential for broad impact by facilitating the application of appropriate techniques and tools in nanotechnology research.
•	Educating students and the public by promoting nanotechnology literacy of students at all levels by providing a respected and authoritative voice on nanotechnology issues that are increasingly in the public eye.
•	Supporting the next generation of Nano scientists by providing active mentoring, networking opportunities, and support to attract the brightest scientific minds to the field and enable them to pursue successful careers as experts in nanotechnology.",Nanotechnology Research,2-10 employees,Non Profit,"Toronto, Ontario, Canada",Canada,nanosociety.ca,https://www.linkedin.com/company/nano-canadian-society
Nanostate,"Nanostate: Pioneering Sustainable Solutions 

At Nanostate, we are dedicated to revolutionizing industries through innovation that leverages nature and benefits from human involvement. Our commitment to sustainability drives us to create biodegradable products that embody the harmony between cutting-edge technology and the wisdom of Mother Earth.

 Our Sustainable Impact:
Our product lifecycle is a testament to the power of collective human intelligence. Nanostate was founded by  technology experts, and scientific minds with synergy fueling our mission to a more sustainable future sooner than most expected.

 Anticipating Industry Transformation:
We stand on the cusp of profound change within numerous industries. Nanostate intends to spearhead this transformation, challenging traditional norms and ushering in a new paradigm of sustainability. Join us in redefining the future!

 Connect with Nanostate:
Discover how we're shaping the future of sustainable innovation. Follow us for updates on groundbreaking projects, industry insights, and opportunities to be part of the change. Together, we are the architects of a brighter, greener tomorrow.

#Nanostate #Sustainability #InnovationForGood #GreenTech #BiodegradableSolutions",Nanotechnology Research,51-200 employees,Privately Held,"Vancouver, British Columbia, Canada",Canada,nanostate.net,https://www.linkedin.com/company/nanostate-inc
Siogel Advanced Materials Inc.,"ABOUT US :  We’re a leading industry company.   SIOGEL's AeroGel Composite Panel will revolutionize aviation and oil industries with its customizable, lightweight, and absorbent graphene aerogel. SIOGEL champions sustainable solutions, eyeing global expansion.

WHAT WE OFFER:    Shaping the Future of Material Innovation
SIOGEL Advanced Materials Inc. is at the forefront of material innovation, developing cutting-edge solutions that cater to the unique needs of the aviation and oil & gas industries. Our flagship product, the AeroGel Composite Panel (AGCP), is a testament to our commitment to developing superior materials that are not only efficient and durable but also environmentally friendly. Our services are designed to provide our clients with the best possible solutions, tailored to their specific needs.",Nanotechnology Research,2-10 employees,Privately Held,"North Vancouver, British Columbia, Canada",Canada,siogel.com,https://www.linkedin.com/company/siogel-advanced-materials-inc
Atomic Works,"Atomic Works is an analytical software company. The company mission is to develop an innovative analytical software suite that allows users to perform investigations into material properties and interactions at nanometer to micrometer scale.
Atomic Works Software is designed to take advantage of over 40 years of research in the field of material interaction simulations as well as the latest advances in parallel computing and big data management.",Nanotechnology Research,11-50 employees,Privately Held,"Mississauga, Canada",Canada,atomicworks.ca,https://www.linkedin.com/company/atomic-works
"EmbarkNano, formerly Axiomm","Our products are designed with the health and wellness-focused consumer in mind. They increase the efficiency and speed at which your body absorbs vitamins, nutraceuticals and oil extracts, all while providing a consistently best-in-class consumer experience. @embarknano @embarkhealthinc",Nanotechnology Research,2-10 employees,Privately Held,"Calgary, Alberta, Canada",Canada,embarknano.com,https://www.linkedin.com/company/axiomm-technologies
"Graphene Leaders Canada (GLC) Inc., Group of Companies","Graphene Leaders Canada (GLC), Inc. is a private Alberta technology graphene production and applications solutions company leveraging nanotechnology and material science to solve industry needs in environmental, energy, and coatings markets. GLC's tagline is ""Making Great Products Even Greater"".

Graphene is a game-changing 2D carbon sheet material technology that offers tremendous potential to reduce operating costs and improve environmental sustainability. GLC’s nanomaterial products in production are bulk high quality graphene oxide (GO), reduced graphene oxide (rGO), and pristine graphene (PG). GLC is leveraging our knowledge of graphene materials science to develop a portfolio of value-added graphene nano intermediate products to serve as a platform technology to solve our customer's problems. 

GLC aims to provide efficient, cost-effective solutions to industry in water filtration and coatings development. The mining industry across Canada and elsewhere struggles with ineffective methods for water filtration for the removal of a series of organic pollutants, biological pollutants and other contaminants with significant compliance costs. Alberta Oil Sands companies are struggling with downtime caused by slurry wear & abrasion, corrosion, and high-temperature processes resulting in billions of dollars per year in losses. 

GLC has innovative graphene solutions focused on significantly moving the needle on economics, environmental performance, and the social acceptability of development and operation. 

Our Vision: Our graphene innovative solutions serve large and diverse global markets that enable technological, environmental, economic and human advancement.

GLC’s head office, laboratory, and production operations are located in Edmonton, Alberta

Please contact us directly for more information.
Email: solutions@glcplus.com",Nanotechnology Research,2-10 employees,Self Owned,"Edmonton, Alberta, Canada",Canada,glcplus.com,https://www.linkedin.com/company/graphene-leaders-canada-glc-inc-group-of-companies
Energy and Particle Technology Lab at Carleton Univeristy,"The Energy and Particle Technology Laboratory at Carleton University is dedicated to developing technologies to decarbonize energy conversion and storage.  Our research is focused on micro and nanoparticle engineering with applications in process design and optimisation for energy conversion and storage, advanced material synthesis, novel hydrogen generation or carbon dioxide conversion processes, emission sensing and dispersion, and quantification of their impact on the environment.

We develop process design tools for scalable synthesis of nanoparticles with tailored functional properties and study how particle characteristics including their size distribution, morphology, and chemical composition are linked to their properties of interest such as optical, sensing, and energy storage characteristics.

We also develop novel processes and disruptive technologies for hydrogen generation and conversion of greenhouse gases such as carbon dioxide and methane into valuable products.",Nanotechnology Research,11-50 employees,Educational,"Ottawa, Ontario, Canada",Canada,carleton.ca,https://www.linkedin.com/company/eptl-carleton-univeristy
Advanced NanoEmulsions,"Advanced NanoEmulsions (ANE) was founded by to develop and market emulsions and emulsifiers for the nutraceutical, vitamin, supplement, nootropic and cannabis industries. Dr. Steve Hansen leads a team of chemists dedicated to supercharging your products and giving you a world-beating market edge.",Nanotechnology Research,2-10 employees,Privately Held,"Calgary, Alberta, Canada",Canada,advancednanoemulsions.com,https://www.linkedin.com/company/advanced-nanoemulsions
UofC nanoGroup,"The University of Calgary nanoGroup is a student-led organization founded in 2013 with one central focus: to cultivate and support the nanotechnology community at the University of Calgary Campus. We strive to engage students in a variety of nano-related activities – colloquia, symposiums, outreach programs, entrepreneurial pursuits and networking with local industry. Our group is comprised of interdisciplinary members from the University of Calgary with connections to our sister chapter at the University of Alberta.",Nanotechnology Research,51-200 employees,Educational,"Calgary, Alberta, Canada",Canada,uofcnano.ca,https://www.linkedin.com/company/uofc-nanogroup
