Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gilead Sciences,"At Gilead, we set – and achieve – bold ambitions to create a healthier world for all people. From our pioneering virology medicines to our growing impact in oncology, we're delivering innovations once thought impossible in medicine. Our focus goes beyond medicines, and we also strive to remedy health inequities and break down barriers to care. We empower our people to tackle these challenges, and we’re all united in our commitment to help millions of people live healthier lives.

Social Media Guidelines: https://www.gilead.com/social-media-guidelines",Biotechnology Research,"10,001+ employees",Public Company,"Capital Region, Denmark",Denmark,gilead.com,https://www.linkedin.com/company/gilead-sciences
INASDET,"Our startup addresses the problem of the inefficient diagnostics that we have nowadays to detect rapidly Invasive Aspergillosis, since it is crucial for immunocompromised and immunosuppressed individuals an early diagnosis to recover from this disease. 

For this reason, we have designed a biosensor for the detection of Aspergillus fumigatus, which is the most common fungus causing Invasive Aspergillosis in the lungs. 

Our team is composed by Judit, Èlia and Anna, and we are all studying a MSc in Pharmaceutical Design and Engineering.

So far, we have the theoretical design of our biosensor, and we have been accepted to start developing our biosensor in the Skylab GMO lab. Currently, we are working in Ignite Program of Skylab in DTU, and we are looking for some funding in order to start the research.",Biotechnology Research,2-10 employees,Self Employed,"Kongens Lyngby, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/inasdet
DanBiotech Systems,"DanBiotech Systems (DBS) is a market-leading in vitro diagnostics reagents supplier with Danish roots. We develop, produce, and supply high-quality critical in vitro diagnostic (IVD) reagents to enable our IVD customers to manufacture diagnostic tests and supporting materials all around the world. Our expertise covers market segments from immunoassay, point-of-care testing, and molecular diagnostics. 

DBS is a fast-growing innovative company, which has developed a variety of products and has established good scientific research cooperative relations with several biotechnology companies and scientific research institutes. We have the ability to help you across disciplines and disease areas and shorten your time to market and build quality into your tests. Our products are used to develop a range of IVD tests for all kinds of diseases – cardiovascular, tumor, fibrosis, inflammation, and bone metabolism, anemia, fertility, to name just a few. 

The entire team has an average of more than 18 years of professional experience in the IVD field. With the comprehensive IVD reagents portfolio, and a team made up of the best minds in the business, the breadth and depth of our IVD knowledge allows DBS to offer our customers whatever their IVD need.",Biotechnology Research,11-50 employees,Privately Held,"Ballerup, Capital Region, Denmark",Denmark,danbiotech.dk,https://www.linkedin.com/company/danbiotech-systems
UniPotent Therapeutics,,Biotechnology Research,Self-employed,Privately Held,"Aarhus, Middle Jutland, Denmark",Denmark,unipotent.eu,https://www.linkedin.com/company/unipotent-therapeutics
PumpCell,"PumpCell company offer diaphragm Single-Use-Pumps for the pharma and chemical industry. Pumps characterised by:
- true low cost media wetted Single-Use / disposable parts elimination all cleaning concerns
- pumps which mimic the unique dynamic performance of the mammalian heart
- no need to be concerned about nano size particle generation or shedding of silicone hose like with peristaltic pumps
- simultaneously pump and accurately measure the pumped volume of the convey liquids
- pumping ratio 1:1000 (like model Erator from 4 ml to 4 litre/min)",Biotechnology Research,2-10 employees,Privately Held,"Herlev, Capital Region, Denmark",Denmark,pumpcell.com,https://www.linkedin.com/company/pumpcell-a-s
Danish Clinical Bioinformatics Group (DCBIG),"The Danish Clinical Bioinformatics Group was set up as a collaborative organization to facilitate collaboration and knowledge sharing across Denmark in the field of clinical bioinformatics. It covers primarily genomic data production, both germline and somatic, usable in a clinical context.",Biotechnology Research,11-50 employees,Partnership,"Aalborg, North Jutland, Denmark",Denmark,,https://www.linkedin.com/company/dcbig
Mion Technology,"We are developing a flexible and functional anti-microbial anodizering for use on various metal surfaces. Which prevents bacterial biofilm formation, and thus to provide an antimicrobial technology to manufacturers worldwide. In the first phase, our focus is on Danish manufacturers of radiator panels, handles, faucets and water pipes to eliminate the accumulation of infectious bacteria in and on these. In later stages we will be able to develop technologies to form these antimicrobial coatings on other types of metal, and flexible non-metallic items, as well as develop other types of porous coatings for elektrokatalytisk- or photocatalytic purification.",Biotechnology Research,2-10 employees,Self Employed,"Børkop, South Denmark, Denmark",Denmark,,https://www.linkedin.com/company/mion-technology
Coetus Denmark,"A big challenge faced by students today is how to expand their network, this includes connections with  both professors, industry representatives, as well fellow students from interdisciplinary study directions. Likewise, both representatives within Academia and Industry continually seek the establishment of relationships with promising students.

Coetus Denmark is a non-profit student driven organization with the aim to facilitate the establishment of strong network for students within the bio-oriented field. This is made possible through out a series of events focussing on networking. These event events are currently bi-weekly morning meeting for student and recent alumnis, where keynote speakers from both industry and academia gives an insight to a specific topic. 

In addition Coetus Danmark envision a series of evening and weekend events, as well a yearly recurring conference.",Biotechnology Research,2-10 employees,Non Profit,"Copenhagen, Capital Region, Denmark",Denmark,coetus.dk,https://www.linkedin.com/company/coetus-denmark
"Immunological Biotechnology, Aarhus University","Research
Immunological biotechnology represents a strategy for dissecting and manipulating molecular processes in health and disease and is crucial for development and optimisation of proteins for therapeutic intervention as well as diagnostics.

Central for our research is the molecular access to the disease and a  mechanism-driven development of biologicals at the interface of immunology, protein biochemistry, biotechnology, and chemistry. Within this concept the specific needs for patient tailored, precision medical treatment are addressed.

The understanding of molecular functions, structures and interactions enables the design of biologicals and offers novel opportunities for shaping of immune responses.

Specific research interests and projects primarily focus on molecular immunology in research, diagnostics and therapy:

Immune repertoires and combinatorial technologies

Immunoglobulins: isotypes, functions, targeting

Molecular allergology

Molecular recognition in health and disease

Nanobody technologies for diagnostics and intervention

Protein engineering and production",Biotechnology Research,11-50 employees,Educational,"Middle Jutland, Denmark",Denmark,au.dk,https://www.linkedin.com/company/immunological-biotechnology-aarhus-university
BIOKOS,"Biokos  is a natural extract produced by fermentation of a Pseudomonas genus bacterium.

Biokos perforates the cellular membranes of protozoa, compromising membrane integrity.

Biokos has been scientific validated by several peer-reviewed papers and numerous studies conducted by international CROs, universities and internally.

Biokos is natural & easy to use:
 - Use for quarantine purposes 
 - Effective within minutes
 - Pre-dosed tablets for easy application
 - Biofilter friendly — does not harm nitrifying bacteria  
 - Naturally degrades in water and eco-friendly 
 - Supports production of mucous in fish and may support skin integrity",Biotechnology Research,11-50 employees,Privately Held,"Gladsaxe, Capital Region, Denmark",Denmark,biokos.bio,https://www.linkedin.com/company/biokos
Curcle ApS,"At Curcle ApS, we work towards sustainable alternatives to conventional supply chains by turning underutilised and problematic waste streams into valuable resources. 

Our mission is to enable circular, scalable solutions that reduce environmental impact while creating real industrial value.

Curcle operates at the intersection of technology, operations, and sustainability, developing and deploying practical systems that help industry transition from linear waste handling to circular material flows. 

We collaborate closely with industrial partners, and technology providers to design solutions that are economically viable, operationally robust, and compliant with regulatory requirements.

With strong roots in Danish engineering and industrial execution, Curcle focuses on bringing hands‐on, deployable solutions to market rather than concepts alone. Our work is driven by the belief that circular economy must function at scale, integrate into existing infrastructure, and deliver measurable impact.

Curcle ApS is recognised by Danish authorities and has received multiple public grants supporting our work in sustainability and circular innovation.",Biotechnology Research,2-10 employees,Privately Held,"Roskilde, Zealand, Denmark",Denmark,,https://www.linkedin.com/company/curcle-company
Rose Pharma A/S,,Biotechnology Research,2-10 employees,,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/rose-pharma-a-s
Bioteket,"BIOTEKET er en levende udstilling om grøn kultur i Osramhuset, Nørrebro. Kurateret af unge og frivillige.",Biotechnology Research,2-10 employees,Non Profit,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/bioteket
Wüstner's Lab,"Our research group uses cutting-edge optical microscopy techniques combined with biochemical and computational methods to study dynamic processes in living cells and their alteration in certain diseases. We always aim for generating quantitative data which can be used to test predictions of current cellular models. This often requires developing new tools and part of our research is devoted to so. Our focus is primarily on two problems, namely on discovering organization principles and transport mechanisms in cellular membranes, e.g. in lysosomes, and on determining the molecular mechanisms underlying control of human metabolism by small metabolites via selected protein-ligand interactions.",Biotechnology Research,2-10 employees,Educational,"Odense, South Denmark, Denmark",Denmark,sdu.dk,https://www.linkedin.com/company/wüstner-s-lab
KMOR BioDesigns,"We are your reliable Service Partners for
. IVF Lab. Set-up Consultation
. Understanding and proposing the appropriate choices for your IVF Lab. requirements
. Correct Installation of IVF Equipment and onsite User Training
. After-sales-service Maintenance including Calibration
. Quality Control on important Lab. Parameters
 
Our Expertise lies in IVF Equipment specifically. We have trained personnel directly by leading IVF Equipment Companies. Overtime, with the help of Industry Leaders and Thinkers, we shall continue to strive to bring some of The Best Designed Value Products to serve IVF Industry.",Biotechnology Research,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,kmor.dk,https://www.linkedin.com/company/kmor-biodesigns
AdhesionScore,"We are on a mission to reduce cancer recurrence after surgery. 

AdhesionScore is a cancer prognostics spin out from Roskilde University in collaboration with Center for Surgical Science Research Unit at Zealand University Hospital in Denmark.

AdhesionScore is developing novel functional assays that enable rapid and individualized assessment of cancer recurrence risk  in early days after surgery.
 
By measuring surgery-induced biological changes in cancer patient serum, we empower clinicians with actionable insights to guide adjuvant therapy and surveillance when timing matters most.",Biotechnology Research,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/adhesionscore
ViSciSo - Visualizing Scientific Solutions,"ViSciSo (Visualizing Scientific Solutions) is a startup company that helps customers to increase the understanding of difficult technical concepts by visual representation of the core features. By professional storyboarding and expertise in graphical design, ViSciSo helps technical companies during the creative process of visualizing the core technical aspects. The products are often used in sales presentations.



Our technical competencies can be found within:

 

    *
      Biotechnology
    *
      Medical areas
    *
      Chemistry",Biotechnology Research,2-10 employees,Public Company,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/visciso---visualizing-scientific-solutions
Walther Therapeutics,"Walther Therapeutics is a gene therapy company developing single-dose, potentially curative treatments for monogenic renal tubulopathies, rare genetic kidney diseases with no disease-modifying options today.",Biotechnology Research,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/walther-therapeutics
Pafira,"Fullstack reimagining clinical development, improving convenience, quality and efficiency!

We're starting with CNS/neurodegeneration protocol design in Europe because that's where the founders have domain depth and the regulatory environment rewards digital endpoints. The platform is architected to expand horizontally to adjacent TAs once we hit 10 reference customers — but we will not dilute focus until we own one beachhead.",Biotechnology Research,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,pafira.ai,https://www.linkedin.com/company/pafira
