Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Biosearch Technologies Oligo Synthesis,"BiosearchTechnologiesOligo Synthesisprovides tailored oligonucleotide synthesis and advanced nucleic acid chemistry solutions that enable customers to design, develop, and scalehigh-performancenucleic acid products from early research throughcommercialisation.

Our three global oligonucleotide manufacturing sites ensure nanomole to gram scale quantities with consistent quality and streamlined scalability for early-stage developmentthrough tocommercialisation.

By overseeing raw material production, including our best-in-class Black Hole QuencherTM (BHQTM) and proprietary fluorophores that span the full visible spectrum, we guarantee supply chain security with unmatched product support.

Serving customers across thenucleic acid testing (NAT)andmolecular diagnostics (MDx)markets,BiosearchTechnologies Oligo Synthesis empowers scientists and diagnostics developers to bringaccurate, robust, and scalable nucleic acid–based solutions to market with confidence.",Biotechnology,"1,001-5,000 employees",Privately Held,"Risskov, Middle Jutland, Denmark",Denmark,lgcgroup.com,https://www.linkedin.com/company/biosearch-technologies-oligo-synthesis
cmbio,"At Cmbio, we are innovators at the forefront of microbiome science and multi-omics research. 

Our team of over 100 experts spans microbiology, bioinformatics, metabolomics, molecular biology, and data science, bringing unparalleled expertise to advance the understanding and impact of the microbiome in global health. 

With labs in the US and EU and a local presence across the US, EU, and APAC regions, we are dedicated to creating breakthrough tools and analytical techniques that set new standards for the field. 

Together, we drive innovation to transform health and sustainability worldwide.
___________

Our Services

> Metagenomics
Microbial strain characterization, shotgun and long-read metagenomics, marker gene analysis, microbiome profiling, absolute abundance quantification, and direct-to-consumer testing.

> Metabolomics
Untargeted and targeted metabolomics panels for detailed metabolic insights.

> Other Omics Services
Metatranscriptomics, transcriptomics, proteomics, and sampling kit development with project handling.

> Advanced Analytics
Biostatistics, machine learning and AI, integrative systems biology, multi-omics integration, strain tracking, and engraftment analysis.
______________

Expertise Areas

> Human Health
Gut, digestive, and metabolic conditions; women’s health; oral health; skin health and personal care; infant health; nutrition; neurology; mental health; immuno-oncology; microbial therapeutics (FMT and probiotics); infectious diseases; antimicrobial resistance (AMR); clinical trials; regulatory expertise; and personal testing.

> Agriculture & Animal Health
Agriculture, aquaculture, companion animals, AMR surveillance, and disease monitoring.

> Environmental Applications
Wastewater analysis, soil health monitoring, and bioremediation.

> Industrial Applications
Production safety, contaminant tracking, and microbial strain characterization.",Biotechnology,51-200 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,cmbio.io,https://www.linkedin.com/company/cmbio
Novozymes OneHealth,"Novozymes OneHealth will help people live healthier and better lives by rethinking tomorrow within human health and finding the one-in-a-trillion verifiable biology-based solutions that can be proven to solve profound consumer health challenges related to modern lifestyles.

Part of Novozymes
Novozymes is the world leader in biological solutions. Together with customers, partners and the global community, we find biological answers to preserve the planet’s resources and help build better lives.

This communication is only intended for business-to-business and health care professionals. This communication is not intended for consumers of final consumer goods. Nothing on this page is meant to perceived as an approved claim.

Read our full privacy policy here:
https://novozymesonehealth.com/privacy-policy/

In December 2022, Novozymes and Chr. Hansen entered into an agreement to create a leading global biosolutions partner by combining the two companies. The goal was to unleash the full potential of biological solutions and generate significant value for all stakeholders and society. The combination was completed in January 2024 and Novonesis was born.

Novozymes A/S, part of Novonesis Group.",Biotechnology,"10,001+ employees",Public Company,"Kongens Lyngby, Capital Region, Denmark",Denmark,novozymesonehealth.com,https://www.linkedin.com/company/novozymes-onehealth
NMD Pharma A/S,"Mission
NMD Pharma is dedicated to developing novel treatments to improve muscle function and quality of life of patients with neuromuscular disease.

Vision
A future in which patients with neuromuscular disease live better and more independent lives.

We have a unique translational muscle electrophysiology platform leveraging in-depth know-how of muscle physiology and muscular disorders for discovering and developing first-in-class therapeutics in neuromuscular diseases with a significant unmet medical need.

NMD Pharma is the leading company utilizing ClC-1 Cl- ion channel inhibitors for neuromuscular diseases and currently has one clinical-stage product candidate for the treatment of myasthenia gravis.

We have more than 25 employees with expertise in all areas of drug development. We are headquartered in Aarhus, Denmark, and collaborate with internationally renowned companies and key opinion leaders in the field of neuromuscular diseases.

For more information, please visit the company website.",Biotechnology,11-50 employees,Privately Held,"Å, Middle Jutland, Denmark",Denmark,nmdpharma.com,https://www.linkedin.com/company/nmdpharma
Cirqle Biomedical,Cirqle Biomedical combine human-centred design and mucus engineering to launch a new era in contraception.,Biotechnology,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,cirqle.bio,https://www.linkedin.com/company/cirqle-biomedical
Agrobiomics,"Agrobiomics develops transformative natural solutions, with a vision of securing a sustainable food supply, that makes agriculture resilient to climate change. We strive to ensure that our solutions are affordable and combined with the high efficacy, we enable growers globally to increase yields of crops affected by abiotic stress such as salinity and drought.

Agrobiomics has a long term vision to become a leading player within sustainable agriculture harnessing the full potential of using natural microbial compounds to partly substitute irrigation, fertilizer, and pesticide use for a sustainable, reliable, and profitable agriculture.",Biotechnology,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,agrobiomics.bio,https://www.linkedin.com/company/agbiomics
Fida Biosystems,"Fida Biosystems (Fidabio) enables biomolecular analysis as it should be: direct, transparent, and under native, in-solution conditions. Our proprietary technology delivers absolute measurements of hydrodynamic radius, unlocking precise characterization and quantification of proteins and nanoparticles (0.5–1,000 nm Dh) — including antibodies, exosomes, liposomes, membrane proteins, and more.

Fidabio’s platform provides detailed information on affinity (Kd), kinetics (kon & koff) size, concentration, stoichiometry, conformational changes, oligomeric state, immunogenicity, and multiple binding events — directly in complex biological samples such as plasma, serum, cell lysate, or fermentation media.

Unlike traditional methods, Fidabio operates in solution, with no surface immobilization. This eliminates non-specific binding artifacts and removes the need for challenging assay development — ensuring true binding events are measured, not surface effects.

Whether you are studying binding kinetics, aggregation, structural changes, or particle interactions, Fidabio provides the transparent, absolute data you need to make confident decisions — in research, development, or manufacturing.

Fast (minutes). Sample-efficient (ul–nl volumes). Matrix-tolerant. With in-built quality control and automation.

Discover the difference when measurements match biology — not the other way around. 

Connect with us to learn more.",Biotechnology,11-50 employees,Privately Held,"Søborg, Capital Region, Denmark",Denmark,fidabio.com,https://www.linkedin.com/company/fida-tech
AH diagnostics,"We provide reagents, instruments and bio appliance for molecular biological and immunological research and diagnostics.

Professional sparring and guidance is the core of our work due to our high technology products which are long term investments. With products from more than 35 suppliers, we cover the complete workflow of our customers who work within health care, pharma, biotech and universities.

We have more than 30 years of experience serving the Nordic Region and offices located in Aarhus, Copenhagen, Oslo, Stockholm and Helsinki. We are currently 50 employees of which 26 are based in our headquarters in Aarhus.",Biotechnology,11-50 employees,Privately Held,"Tilsted, Middle Jutland, Denmark",Denmark,ahdiagnostics.dk,https://www.linkedin.com/company/ah-diagnostics
Antag Therapeutics,"Antag Therapeutics is a biotechnology company pioneering personal and flexible obesity treatment through GIP receptor antagonism. Antag’s lead molecule AT-7687 is specifically designed to target and deactivate the GIP receptor, a genetically-validated pathway that contributes to fat storage, insulin resistance, and metabolic dysfunction – and is mechanistically distinct from GLP-1 therapies. Antag’s GIPR antagonist approach stems from the work of the esteemed research teams of Professors Jens Juul Holst and Mette Rosenkilde, two co-founders of the business.  
 
Antag’s vision is that all people living with obesity, diabetes and overweight have a personal treatment option that goes beyond weight loss to improve long-term health, without having to compromise on tolerability.",Biotechnology,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,antagtx.com,https://www.linkedin.com/company/antagtherapeutics
Enduro,"Enduro is a biotech startup improving large-scale fermentations. We help biotech companies enhance large-scale fermentations, bringing products cheaper and faster to market. Our proprietary platform Enduro Sense reprograms cells to improve population heterogeneity and endurance of production. Enduro Sense is seamlessly integrated, self-selecting technology that addicts microbial cells to production. EnduroSense is easily integrated across host organisms. We welcome inquiries to test Enduro Sense. Get in touch at info@endurogenetics.com or visit our website.",Biotechnology,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,enduro.bio,https://www.linkedin.com/company/enduro-genetics
