Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Open Hydro,"Open Hydro is a mission-led organisation whose vision is a climate resilient, zero-carbon planet where water and energy are accessible to all. 

We live in a time of climate emergency where hydropower assets have an unprecedented role in addressing the global challenges we face, including water and energy access. Without reliable climate-related information and metrics that consider both water and energy services provided, hydropower projects risk continuing to struggle to demonstrate their role and contribution to tackle climate change and attract the necessary climate finance support.

Open Hydro works to mobilise investment in hydropower; help the sector demonstrate climate action in mitigation, resilience and adaptation; and advance in the corporate and project level disclosure of climate-related risks and opportunities.",Climate Data and Analytics,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,openhydro.net,https://www.linkedin.com/company/open-hydro
Nature Preserve,"Become a Leader in Sustainable Food
In today's conscious consumer landscape, sustainability is key.
Brands with purpose are growing 2.7 times faster.

With our expertise in agriculture and the food processing industry, we empower growers, brand owners and food processors to make a positive impact on the environment and communicate the purpose with stakeholders. Let us work together to leave a smaller environmental footprint while driving growth in the sustainable food market.

We provide an optimized, precise, and cost-effective web-based SaaS platform for growers, distributors, cooperatives and membership organizations in the Fresh Produce industry to measure, reduce, report, and communicate climate impact.

Make Sustainability your Brand’s Superpower!
Book a Sales Call Today and Start Communicating Your Brand's Purpose Tomorrow!",Climate Data and Analytics,2-10 employees,Privately Held,"Gladsaxe, Capital Region, Denmark",Denmark,naturepreserve.co,https://www.linkedin.com/company/naturepreserve
CO2 Hub Europe,"Denmark has promising preconditions for a new green growth adventure if we manage to exploit the full potential of CO2 storage. It demands long-term and sustainable frameworks that aim beyond climate reductions in 2030, according to CO2 Hub Europe.

CO2 Hub Europe - a wide coalition of leading actors and researchers within the capture, storage, and usage of CO2 (CCUS) - is launching a comprehensive analysis project to help make Denmark Europe's central hub – and to do so swiftly.

Actors behind CO2 Hub Europe are C4, Crossbridge Energy, Dansk Fjernvarme, HOFOR, Nordsøfonden, TotalEnergies, Triangle Energy Alliance, and Ørsted.

The project is supported by an advisory board with representatives from CONCITO, DTU, and INNO-CCUS.

Axcelfuture is the secretariat for the project, and the analysis itself is conducted by DNV.

For more information: info@co2hubeurope.dk",Climate Data and Analytics,11-50 employees,Partnership,"Copenhagen, Capital Region, Denmark",Denmark,co2hubeurope.dk,https://www.linkedin.com/company/co2hubeurope
Sustainify,"At Sustainify we rate listed companies on their Corporate Social Responsibility so investors have a tool to do responsible investing. 
Our sustainability data is verified and fact-checked and added ML used in analysis and decisionmaking. 
Sustainify is an independent source of verified, fact-checked and researched information on listed companies and their performance on corporate social responsibility - reliable sustainability data for all.",Climate Data and Analytics,2-10 employees,Privately Held,"Bronshoj-Husum, Capital Region, Denmark",Denmark,sustainify.dk,https://www.linkedin.com/company/sustainify
Climate 4U Studio,"Climate4U is a student-led initiative from the University of Copenhagen that transforms complex climate knowledge into engaging, accessible insights. We use creative communication to connect climate research with real-world impact.",Climate Data and Analytics,2-10 employees,Self Employed,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/c4uclimate
Earthtrust,"Earthtrust helps companies and organisations prove their claims through radical transparency. By sharing data, documentation, reports, testimonials and other information, companies and organisations prove they're doing what they say they're doing.

Earthtrust manages the public platform where the proofs are shared. The proofs are thus open to everyone to see and draw their own conclusion as to the company/organisation's performance versus their claim. It's democratising verification.",Climate Data and Analytics,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,earthtrust.life,https://www.linkedin.com/company/earthtrustverification
eviShine A/S,"eviShine giver tryghed for maksimalt udbytte af dit/dinesolcelleanlæg. 

Vores intelligente software til monitorering af solcelleanlæg sikrer 
•	højest produktion af grøn strøm
•	højest mulig reduktion af CO2 udledning

Den digitale monitorering af solcelleanlæg sikrer optimalt udbytte og minimering af vedligeholdelsesomkostninger til interne og eksterne ressourcer. 
Vor databaseret analyse og fejlfinding ved udfald sikrer hurtig og præcis diagnose og udbedring - og ingen unødig og fordyrende rekvirering af teknikere. 
Derved opnås både maksimering af vedvarende energi produktion og CO2 reduktion.

eviShine sikrer data direkte til anvendelse indenfor økonomi, planlægning, klima og ESG. Vi formidler data til regnskabsudarbejdelse, energistyring, klimaplaner, DGNB-certificering og anden dokumentation.

EviShines intelligente algoritme giver dig tryghed og vished for maksimal udnyttelse af potentialet i solcelleanlæggene.

Derfor anvendes eviShine af halvdelen af landet kommuner og regioner, statslige organisationer, boligforeninger, ejendomsselskaber og firmaer. Samlet overvåger eviShine suverænt flest antal anlæg i Danmark.",Climate Data and Analytics,2-10 employees,Privately Held,"Å, Middle Jutland, Denmark",Denmark,evishine.dk,https://www.linkedin.com/company/evishine
Earth Surveillance,"EarthSurveillance is the intelligence layer for regenerative land performance.

We help farms, cooperatives, and land-based asset owners increase profitability, reduce risk, and unlock access to premium markets and capital.

Through our Discovery Study and Green Power System, we turn land performance into measurable financial strength.

Our work connects:
- Productivity improvement
- Climate and operational risk mitigation
- Verified market access
- Performance-linked finance

We combine satellite intelligence, structured verification, and financial integration through our AI to make land assets more resilient, more transparent, and more valuable.

This is not reporting - this is execution.

EarthSurveillance operates across Europe and South America, supporting producers, investors, and value chains ready to align ecology with economics.

- Profit rises.
- Risk falls.
- Capital flows toward regeneration.

We transform satellite data, yield insights, and natural capital into a traceable performance layer that works across farms, co-ops, export systems, and carbon credits.

This is not about compliance. This is about you reclaiming value and reshaping how production, profit, and ecosystems interact.",Climate Data and Analytics,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,earthsurveillance.com,https://www.linkedin.com/company/earth-surveillance
Bloomer Concept,"Rådgivende ingeniørvirksomhed
Vi hjælper virksomheder med at skabe dokumenteret ansvarlighed, styrke forretningen og undgå greenwashing i både kommunikation og praksis.

Hvad vi laver:
-ESG (VSME og CSRD)
-Svanemærkning
-ISO-certificeringer (14001, 45001 og 9001)
-LCA

Hos Bloomer Concept ApS kombinerer vi teknisk indsigt og strategisk forståelse, så jeres udviklings- og dokumentationsarbejde bliver målbart, troværdigt og værdiskabende.

Kontakt os for en uforpligtende snak, hvis I har brug for hjælp til ovenstående.

mail: kontakt@bloomerconcept.dk
Mobil: 53717374",Climate Data and Analytics,2-10 employees,Privately Held,"Virum, Capital Region, Denmark",Denmark,bloomerconcept.dk,https://www.linkedin.com/company/bloomer-concept
CO2 Improve,"In the field of logistics the IAF has developed a concept: CO2 Improve.
Driven by the rapid growth in attention for sustainable logistics, this logistics concept has been created to lower the CO2 footprint of any company in the  Fashion, Textile and Sports industry. 

CO2 Improve deliver transport CO2 emission calculations and helps fashion-, textile- and sports companies to plan and implement reduction measures to improve their performance. Our emission calculations are accredited and in methodological conformance with the Global Logistics Emissions Council Framework for Logistics Emissions Methodologies (GLEC Framework, compliant with the EN16258, CCWG and ICAO/IATA RP1678).",Climate Data and Analytics,2-10 employees,Partnership,"Herning, Middle Jutland, Denmark",Denmark,co2improve.com,https://www.linkedin.com/company/co2improve
