Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ATLANT 3D,"ATLANT 3D is building the world’s most innovative advanced atomic-scale manufacturing platform that enables accelerated innovation of the advanced electronics and emerging technologies that will reshape the future of advance manufacturing for high precision systems. It is our vision to drive the age of atomic-scale manufacturing.

We are committed to challenging existing barriers to innovation, such as long qualification and development cycles, large cleanrooms, and global supply-chain dependencies, to enable a future of autonomous network-centric manufacturing that will shape the future of technology.

Our mission is to drastically reduce the cost and time of innovation cycles for a broad number of industries such as microelectronics, optics, photonics and novel displays, MEMS and sensors, advanced materials R&D, aerospace as well as emerging technologies.

We support industry and academia with development services, prototyping and manufacturing, equipment development, and sales.",Nanotechnology Research,11-50 employees,Privately Held,"Taastrup, Capital Region, Denmark",Denmark,atlant3d.com,https://www.linkedin.com/company/atlant3d
Interdisciplinary Nanoscience Center - Aarhus University,"The interdisciplinary Nanoscience Center (iNANO) is a collaboration between research groups at the Institute of Physics and Astronomy, Department of Chemistry, Department of Molecular Biology, and Institute for Biological Sciences at University of Aarhus, several institutes at the Faculty of Health Sciences at the University of Aarhus, as well as groups from the Faculty of Science, Aalborg University.",Nanotechnology Research,51-200 employees,Educational,"Middle Jutland, Denmark",Denmark,au.dk,https://www.linkedin.com/company/interdisciplinary-nanoscience-center
Synopsys QuantumATK,"The QuantumATK team at Synopsys develops the QuantumATK simulation tool for fast and reliable atomic-scale modeling of nanostructure. QuantumATK is fully supported and delivered in an easy-to-use interface, tailored from state-of-the-art methods, and developed by experts to the specifications of our customers.

Who we are

The QuantumATK team are former employees of QuantumWise which was acquired by Synopsys Inc. in 2017. At present, the QuantumATK team are part of Synopsys TCAD and has more than 30 employees, working with developing the QuantumATK code and supporting the users. Most of the employees have a Ph.D. in physics or chemistry, and/or are seasoned programmers with long experience in numerical modeling and GUI development.

Our aim and philosophy

We position ourselves as a facilitator by interacting with both the research community to extract the latest state-of-the-art methods and techniques, and with researchers in companies and universities that seek to utilize these tools. We strive to deliver these advanced numerical tools in an easy-to-use package. Our primary aim is to make the latest developments within atomic-scale modeling available to enable technologists to solve real life problems within the materials and semiconductor industry. 
Unlike most other commercial companies offering software for atomic-scale modeling, we develop our own code from the bottom up, and we have the in-house expertise to develop novel functionality all the way down to the quantum-mechanical level. Our software is a constant work in progress, and our development is test-driven and guided by customer requests and requirements. We spend a lot of energy on ensuring the quality and reliability of the software.

Can we help you solve a problem?
If you have any questions related to our products or company, please get in touch with us (quantumatk@synopsys.com), as we would love to hear from you! Requests and feedback from our customers is what helps us evolve our products.",Nanotechnology Research,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,synopsys.com,https://www.linkedin.com/company/quantumatk
NanoPhoton - Center for Nanophotonics,"The research vision of NanoPhoton - Center for Nanophotonics – is to explore hitherto inaccessible regimes of extreme confinement of light in dielectric cavities and to apply the associated enhanced light-matter interaction to solve fundamental outstanding challenges in chip-scale information technology.

A number of recent optical cavity designs have shown a path towards confining light at deep subwavelength dimensions in dielectrics. This phenomenon - which we refer to as Extreme Dielectric Confinement (EDC) - parts with the conventional wisdom in optics and nanotechnology that light cannot be localized to volumes smaller than roughly the cubic resonance wavelength. In addition to being of theoretical interest in its own right, EDC opens up new technological possibilities for novel optical nanostructures. It is the ambition of NanoPhoton to develop the science and technology for this new class of nanostructures by combining fundamental electromagnetic and quantum optical theory with state-of-the-art nanofabrication and advanced experimental characterization techniques.

The research center NanoPhoton is funded by the Danish National Research Foundation (Danmarks Grundforskningsfond) with a DKK 62 million grant. NanoPhoton was established in April 2020 and will run for six years.",Nanotechnology Research,201-500 employees,Educational,"Kongens Lyngby, Capital Region, Denmark",Denmark,dtu.dk,https://www.linkedin.com/company/nanophoton-centerfornanophotonics
Stensborg,"Stensborg develops advanced Rolling Nanoimprint Lithography (RNIL) solutions that help organisations transform nano- and micro-structured innovations into manufacturable products.

For more than 25 years, we have specialised in nanoimprint process development, validation, and industrial-scale replication through a unique combination of machinery, materials, engineering expertise, and manufacturing support.

Our technology portfolio spans from the Desktop Roll NanoImprinter 3.0, a digitally controlled Roll-to-Plate UV-NIL platform for process validation and development, to the HoloPrint 5000, a high-throughput Roll-to-Roll manufacturing system designed for industrial production. Powered by our patented Optical Engine and RNIL technology, our solutions enable high-fidelity replication of advanced nano- and micro-structures with exceptional reproducibility, throughput, and material flexibility.

Beyond equipment, we support customers throughout the entire development lifecycle with process engineering, master and template fabrication, material characterisation, nanoimprint chemistry, prototyping, pilot production, and industrial scale-up services.

Our technologies support applications across:
• Photonics and Micro-Optics
• AR/VR Waveguides and Diffractive Optics
• Diffractive Gratings and Optical Diffusers
• Microfluidics and Lab-on-a-Chip Systems
• Functional Surfaces and Advanced Materials
• Solar and Energy Technologies
• Biomedical and Life Science Devices
• Display and Sensor Technologies",Nanotechnology Research,11-50 employees,Privately Held,"Roskilde, Zealand, Denmark",Denmark,stensborg.com,https://www.linkedin.com/company/stensborg-a-s
Insight Chips,"Insight Chips revolutionizes liquid cell TEM by making it fast, easy and reproducible with the first-ever monolithic the Nano Channel Chip.

The Nano Channel Chip comes with a fixed, predefined liquid thickness of anywhere from 20 nm up to micrometers.

The chip is monolithic and can therefore be easily prepared in minutes!

Membranes are made down to 10 nm and Å resolution is reliably achieved.

Membrane-bulging is virtually eliminated by being so narrow - usually the channels bulge less than 10 nm in the TEM.

Read more on www.InsightChips.com",Nanotechnology Research,2-10 employees,Privately Held,"Kongens Lyngby, Capital Region, Denmark",Denmark,insightchips.com,https://www.linkedin.com/company/insight-chips
SiPhotonIC Technologies,"SiPhotonIC is a high-tech company that offers rapid and custom integration services for your Silicon Photonic Integrated circuits (PICs) for a wide range of applications.

We outperform the delivery times of almost all photonic foundries by delivering within a 1-2.5 months window.

We provide both 220nm and 250nm thick silicon-on-insulator (SOI) as our standard integration platforms for 1550nm. Several other materials are available to the users for fully-custom photonic stacks.
We support the users in the entire development chain: transferring the idea properly into a PIC design, fabrication, dicing and back-end processes. 
Users can also opt to use only selected fabrication steps with us, e.g. only lithography or etching.

Your reasons to prototype with SiPhotonIC:
  • Fast delivery time (typically 1~2.5 months)
  • Verified performance of our standard components
  • Great flexibility on the processes and materials
  • High-precision and high-resolution fabrication with EBL or DUV lithography
  • Our Silicon PICs have empowered prestigious publications in Science, Nature Physics, Nature Communications, Nano Letters, Nanoscale, Scientific Reports etc.

Contact us for your project at info@siphotonic.com

We are your partner in Rapid Photonic Prototyping.",Nanotechnology Research,2-10 employees,Privately Held,"Kongens, Lyngby, Capital Region, Denmark",Denmark,siphotonic.com,https://www.linkedin.com/company/siphotonic-technologies
"Capres A/S, a KLA Company","Capres A/S is a nano-technology based company, a KLA Company.

Our customers in the semiconductor industry use our unique probe technology to shorten their product development cycles and monitor their chip production.

Because our unique CIPTech tool allows our customers to characterize Magnetic Tunnel Junction stacks in a few minutes  it is the preferred tool for companies working with MTJ stacks as they are used in MRAM, STTRAM, magnetic sensors, and Read Heads.

Production monitoring by measuring sheet resistance on product wafers with our microRSP tool is another important application that allow our customers fast feedback in their rapid RTA, epi, and thin film deposition processes.

The use of new advanced materials like SiGe is creating new challenges for the semiconductor industry. With our unique microHALL tools we can help customers find the optimal process settings and monitor the production by direct measurements of  Sheet Resistance, Hall Mobility, and Active Carrier Density on product wafers.

Capres A/S is part of KLA Corporation.",Nanotechnology Research,11-50 employees,Privately Held,"Kongens Lyngby, Denmark",Denmark,capres.com,https://www.linkedin.com/company/capres-as
Fischione Instruments,"E.A. Fischione Instruments, Inc. designs, manufactures, distributes, and services advanced microscopy and nanotechnology devices for the global scientific community. Products include specimen preparation devices, imaging detectors, and specimen holders.",Nanotechnology Research,51-200 employees,Privately Held,"Roskilde, Zealand, Denmark",Denmark,fischione.com,https://www.linkedin.com/company/fischione-instruments
Kaleido Technology,"Kaleido Technology innovates in optical design and manufacturing to enable next generation imaging experiences. With a focus on proprietary and ultra-precise solutions, greater optical design freedom can be achieved thus shortening lead-times, while enabling high volume mass production with greater consistency.

Kaleido Technology was founded in 2001, and AAC Optics commenced investment and collaboration in 2010. Since engaging with AAC Technologies, the innovation has been brought to mass production and may now be found inside smartphone cameras while also exploring further markets. One of the key technologies is Wafer Level Glass (WLG) lenses that enable restoration of natural colors, improved image clarity and images that are consistent regardless of ambient temperature variations.

Kaleido Technology today employs unique expertise within a range of optics fields and ultra-precision manufacturing, and offer exciting opportunities to make a real difference in next generation imaging.",Nanotechnology Research,51-200 employees,Privately Held,"Farum, Capital Region, Denmark",Denmark,aacoptics.com,https://www.linkedin.com/company/kaleido-technology
