Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
MHI Vestas Offshore Wind,"The energy industry’s global partner on sustainable energy solutions. For official updates on offshore wind and all our sustainable energy solutions, check out 
@vestas",Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Privately Held,"Å, Middle Jutland, Denmark",Denmark,vestas.com,https://www.linkedin.com/company/mhi-vestas-offshore-wind
HOLMBOE Consult,"Reliable Consultancy Services

25 Years of Experience as Manager for Large Scale Projects

Leadership and Communication

Facilitation of Processes 

Resource Efficiency  & Environmental Protection

Life Cycle Thinking - Cooperate Social Responsibility

Strategy - Analysis - Change - Projects

New Challenges demands Sustainable Solutions",Renewable Energy Semiconductor Manufacturing,Self-employed,Privately Held,Denmark,Denmark,birgitholmboe.dk,https://www.linkedin.com/company/holmboe-consult
Grandt's Køleteknik,"Vi skaber de rigtige løsninger til dine kølerelaterede behov

Hos Grandt’s Køleteknik sætter vi pris på tilfredse kunder - uanset om vi leverer til private, virksomheder eller offentlige institutioner er fokus på kunden, og det gode håndværk.

I samarbejde med kunden skræddersyer vi løsninger, der garanterer grundig vejledning og konkurrencedygtige priser. Vi leverer de rigtige køleløsninger ved at:

Skabe individuelle løsninger, til individuelle kunder – Kundens behov er altid i fokus.
Være tilgængelige når du har brug for os, 24 timer i døgnet, 365 dage om året.
Fortløbende udbygge vores ekspertise, både rent teknisk men også med hensyn til miljø, lovgivning m.v.
Desuden er vi sagkyndigt ISO 9001:2008 certificerede, medlem af Autoriserede Køle- & Varmepumpefirmaers Brancheforening, Kølebranchens miljøordning, Varmepumpe ordningen, Dansk Køleforening samt DS Garanti.


D. 16-01-2014
Den grønne smiley viser, at virksomheden ikke har noget udestående med Arbejdstilsynet, og er dermed et signal til omverdenen om, at virksomheden har orden på sit arbejdsmiljø.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Karup, Middle Jutland, Denmark",Denmark,gskt.dk,https://www.linkedin.com/company/grandt's-køleteknik
17 Klare Linjer,"CSR (Corporate Social Responsibility) for virksomheder med holdning. Miljø, klima, bæredygtighed er fællesnævner for fremtidig virksomhedsaktivitet. Ved aktivt at inddrage nogle af FN’s 17 Verdensmål kan du allerede nu vise din virksomheds samfundsansvar. 17 Klare Linjer hjælper jer i gang.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Employed,"Viborg, Middle Jutland, Denmark",Denmark,17klarelinjer.dk,https://www.linkedin.com/company/17-klare-linjer
Wind Power Equipment ApS,"Rental of equipment.
 - PPE
 - Tools
 - Ropeaccess equipment
 - Site containers",Renewable Energy Semiconductor Manufacturing,,Self Employed,"Ry, Middle Jutland, Denmark",Denmark,,https://www.linkedin.com/company/wind-power-equipment-aps
Hacktus,"Hacktus er en innovationsdesignvirksomhed, som laver produkter til grøn omstilling i konsumermarkedet tilpasset brugernes adfærd.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,hacktus.dk,https://www.linkedin.com/company/hacktus
Klima Venti,"Vi har de sidste 10 år beskæftiget os med alternativ energi, boligventilation og klimastyring. Tilsammen giver det os en unik erfaring og know how inden for faget.

Vi skaber et godt klima – ikke kun i din bolig, men også imellem os og dig. Vi dokumentere vores arbejde og kører ikke, før det hele virker, og du kan altid få fat på os. Det er vigtigt for os, at du er tryg ved både vores rådgivning og vores aftaler.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Hadsund, North Jutland, Denmark",Denmark,klimaventi.dk,https://www.linkedin.com/company/klima-venti
GeertiCon,"GeertiCon offers consultancy environmental issues related to airborne emissions, Geerticon participate and takes responsibility of project management and cooperation. Geerticon furthermore provides education and training on quality assurance and legal aspects of emission monitoring. Finally GeertiCon particape in the internal and external  dialogue regarding emissions and related items.",Renewable Energy Semiconductor Manufacturing,Self-employed,Privately Held,"Nærum, Capital Region, Denmark",Denmark,geerticon.dk,https://www.linkedin.com/company/geerticon
ArosTeknik,"Rådgivnings- og konsulentvirksomhed. Vores fokus er energi- og miljørigtige løsninger i samfundet og for den enkelte. Vi løser forskellige opgaver, som alle handler om styring af indeklima, miljø og energianlæg. Vi har et tæt samarbejde med fabrikanter af anlæg som for eksempel SolarVenti, hvor vi løbende hjælper med udvikling af deres nye modeller - særligt med fokus på styring og opsamling af måledata.
Vi har udviklet en data platform som vi løbende tilpasser behovene hos vore kunder. Vore kompetencer ligger i krydsfeltet mellem softwareudvikling, håndtering af måledata og udvikling af fysiske enheder, der kan samle data fra sensorer, behandle og gemme. Desuden har vi en grundig indsigt i forskellige typer energianlæg, ventilation og udnyttelse af solenergi.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Thorsø, Middle Jutland, Denmark",Denmark,arosteknik.dk,https://www.linkedin.com/company/arosteknik
Mols Naturenergi ApS,,Renewable Energy Semiconductor Manufacturing,,,"Syddjurs Municipality, Middle Jutland, Denmark",Denmark,,https://www.linkedin.com/company/mols-naturenergi-aps
