Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Brightstar Corp.,"Quite simply, we add value across the entire device lifecycle. From purchase to protection to recycling, Brightstar is there from start to finish. Whether a device is coming straight off the assembly line or being returned after years of use, we have a solution ideal for any mobile device at any point in its lifecycle. 

We are the global leader of end-to-end device lifecycle management solutions. We work with carrier, retail and enterprise customers in over 50 countries, touching every stage of a device’s lifecycle, from when it’s manufactured to the moment it’s time to trade it in and re-market it.",Telecommunications,"5,001-10,000 employees",Privately Held,"Skovlunde, Capital Region, Denmark",Denmark,brightstar.com,https://www.linkedin.com/company/brightstar
Telebroker.dk,"Telebroker.dk er stiftet af 2 telekonsulenter, med mange års erfaring inden for rådgivning og opsætning af tele ydelser. I forbindelse med vores virke som konsulenter, har vi ofte stået med et behov for en ren low cost sip-baseret teleløsning til erhvervsvirksomheder, som ikke også kræver at I omlægger Jeres mobiler eller dataforbindelser. Den løsning manglede syntes vi, og derfor udviklede vi en moderne cloudbaseret platform, som i dag har forbindelse til alle større danske teleselskaber samt række internationale carriers.

Det er i dag vores mission, at levere erhvervstelefoni til den rette pris, uden at vores kunder skal gå på kompromis med kvalitet eller stabilitet. Vores kunder er typisk outbound callcentre eller virksomheder med mange opkald til udlandet, hvor besparelserne er størst.",Telecommunications,2-10 employees,Partnership,"Copenhagen, Capital Region, Denmark",Denmark,telebroker.dk,https://www.linkedin.com/company/telebroker.dk
HeadsetOnline,"Via Moranti Technology ApS tilbyder HeadsetOnline.dk en komplet serie af Plantronics headset til næsten ethvert anvendelsesområde - Call Centre, servicelinjer, kundeservice, hjemmearbejdspladser, computeren og mobil- og DECT-headset til folk der er på farten.

Plantronics bestræber sig på at fremstille headset med en fremragende lydkvalitet, uovertruffen komfort og ergonomisk design. Plantronics har ry for at fremstille meget robuste produkter og for at give en service man ikke ser andre steder.

HeadsetOnline.dk tilbyder den samme høje service, og kan altid give professionel vejledning til hvilket headset du skal vælge.",Telecommunications,2-10 employees,Privately Held,Denmark,Denmark,headsetonline.dk,https://www.linkedin.com/company/headsetonline
Advanced Network Consulting (DK),"Advanced Network Consulting is a small consultancy company owned and driven by Per Marker Mortensen. Primary focus is ISP networking and advanced solutions using Linux as a networking platform. The Linux networking platform can problem traffic QoS, bandwidth shaping and advanced policy based routing.",Telecommunications,Self-employed,Self Owned,"Copenhagen, Capital Region, Denmark",Denmark,anc.dk,https://www.linkedin.com/company/advanced-network-consulting-dk-
Erbium,"Konsulent arbejde inden for infrastruktur projektledelse og teknisk løsningsdesign inden for netværk, sikkerhed og core services.",Telecommunications,Self-employed,Privately Held,Denmark,Denmark,,https://www.linkedin.com/company/erbium
Cell Operation,"Our Mission:
Cell Operation is focused on development of services and solution to support Customer’s digitalization journey, to enable Customer to be more data driven, efficient, capable and automated.

Our Vision:
To become a main solution partner of industry leaders by developing skilled employee and
solutions to provide the best customer value and services.

Our Values:
Customer Focused, Initiative, Effective, Transformative, Open Minded

http://www.celloperation.com/",Telecommunications,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,celloperation.com,https://www.linkedin.com/company/cell-operation
Polyteknisk Radio Gruppe,"PRG is a place for students who are interested in electronics, Radio/RF, PCB manufacturing and 3D printing. At PRG we are working with circuits that control robots, camera, IoT and much more. At our workshop you can produce your own PCB's, solder and test anything you want. We also offer people to use our amateur radio, which works at HF, VHF and UHF bands. Furthermore, we also offer you to play around with IoT end-devices, but also gateways, such as LoRaWAN.",Telecommunications,11-50 employees,Non Profit,"Kongens Lyngby, Capital Region, Denmark",Denmark,kodalem.com,https://www.linkedin.com/company/polyteknisk-radio-gruppe
NikMa ApS,Fiber optic,Telecommunications,2-10 employees,Privately Held,Denmark,Denmark,nikma.dk,https://www.linkedin.com/company/nikma-aps
TeleConnect ApS,"TeleConnect is a company that both advices companies with regards to product development within the area of Telecommunications and developes own products.
We are currently building a new product line of conferencing products that combine Voice and Internet services to enhance communication and collaboration within companies.
TeleConnect closes the gap between technology and company needs.",Telecommunications,2-10 employees,Privately Held,Denmark,Denmark,teleconnect.dk,https://www.linkedin.com/company/teleconnect-aps
Danish modulation tek,"Danish Modulation Tek, was founded on request by a customer, and has now be tested and trailed trough projects.
Having work globally has provided a bigger scope of understanding working relations, as well as technical understanding of world wide differences in equipment. 
This often has removed doubt, and made for a speedy recovery on the install side when introduced in previous projects.  

Currently a one man enterprise, but expansion could happen given the right opportunity.
I have acquired quite a strong and extensive network trough out Telecoms.  

Adapting relations between contract parts, trough analysis.
Often agreements are made, seeing things from different side of build, and things are missed often resulting in conflict. 
I believe this can be avoided in most cases, haven been on every side of a project scope. 
And who doesn’t want a smoother go of things. 

Aeras of experience in pre build : 
SA. 
TSS.
TSSR. 
TSD.
Technical documents design.
Technical instruction.
Electric standard design, and agreement.
Handover instruction.
Handover agreement. 

Aeras of experience during build :

Areas of experience after build / TI complete. 
Quality assessment.
As build design.
As build quality assessment. 
As build quality training.
As build electrical assessment.
Costumer acceptance. 
Punch list design.
Punch list agreements 
Punch list closure. 
Electrical inspection. 

The biggest corruption to Quality in project is change, the biggest corruption pre build is in ability to change. = knowing how much you have to change is the key to Quality. LF",Telecommunications,Self-employed,Self Employed,"Rønde, Middle Jutland, Denmark",Denmark,,https://www.linkedin.com/company/danish-modulation-tek
