Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gibotech A/S,"Gibotech A/S develops, installs and services high-tech robot and automation solutions for hospitals and industry in all over the world.
 
Our goal is for our customers to optimize and streamline their processes and workflow to benefit from all the advantages that automation provides.
 
Our many years of experience have given us strong contacts in the industry, and through our recognized business partners we can always deliver tailored solutions that take into account the customer's possibilities and limitations. 

By involving the customer in the development process, we ensure optimal solutions for the customer - every time.",Robotics Engineering,51-200 employees,Privately Held,"Odense, South Denmark, Denmark",Denmark,gibotech.dk,https://www.linkedin.com/company/gibotech-a-s
Turf Tank,"At Turf Tank, we make robots that paint lines on sports fields – it's that simple.

Every field, whether it's at a small local school or a professional stadium, deserves to look its best. That's why we've made our technology accessible to facilities of all sizes through flexible subscriptions.

By automating the time-consuming task of line marking, we free up groundskeepers to focus on what they do best – creating amazing playing surfaces that make athletes and communities proud. At Turf Tank, we're not just selling robots; we're helping create perfect fields, save valuable time, and make every game day look professional.

This commitment to excellence has made us the world's highest-rated autonomous line marking solution, with more than 5,500 customers globally trusting our technology. But we're more than just a robot company; we're a team of people passionate about helping groundskeepers and facility managers do their best work. We understand that maintaining sports fields is challenging, and that's exactly why we created Turf Tank.

What truly sets us apart? 
We don't just sell you a robot and wave goodbye. We're here as your partner, with the largest support team in the industry, ready to help whenever you need us. Our subscription model means you get the latest technology without breaking the bank, and we're always just a phone call away with our team of 200+ professionals, including 40+ dedicated support specialists who ensure your success every step of the way",Robotics Engineering,51-200 employees,Privately Held,"Svenstrup, North Jutland, Denmark",Denmark,turftank.com,https://www.linkedin.com/company/turf-tank-eu
TinyMobileRobots,"Our company specializes in high-precision outdoor robots that perform marking and stake-out. Our robotics engineers combine advanced robotics software with artificial intelligence and high-precision technologies from the land surveying industry. To ensure reliable and robust technology, we also incorporate proven technologies from other industries. Our aim is always to turn the scientific and technological evolution into meaningful solutions for our customers.
We are located in Denmark, close to the world’s largest robotics hub.",Robotics Engineering,51-200 employees,Public Company,"Malling, Middle Jutland, Denmark",Denmark,tinymobilerobots.com,https://www.linkedin.com/company/tinymobilerobots
Upteko,"At Upteko, we design and develop advanced and innovative UAV systems. By combining strong engineering with modular, multifunctional technology, we help organizations improve operational efficiency and effectiveness. We focus on delivering reliable, high‐quality solutions for a wide range of applications.",Robotics Engineering,51-200 employees,Privately Held,"Aarhus, Middle Jutland, Denmark",Denmark,upteko.com,https://www.linkedin.com/company/upteko
GoBe Robots,"GoBe Robots is all about enabling people to connect with each other
in a more human way no matter where they are physically. As a division of Blue Ocean Robotics, we come with an expertise in making robot technology compliant to the cross industrial requirements.

We’re transforming human interaction in an increasingly virtual world.
Finally, a personal and natural way to collaborate, check in and be present, no matter where you are.

The GoBe Robots telepresence technology enables easy, efficient and safe connection with peers all over the world. The telepresence technology is used worldwide to facilitate corporate meetings, production facility inspections, schools teachings, hospital consultations, museum visits and many more.",Robotics Engineering,51-200 employees,Privately Held,"Odense, South Denmark, Denmark",Denmark,gobe-robots.com,https://www.linkedin.com/company/gobe-robots
Playful Engineering Lab,,Robotics Engineering,2-10 employees,Self Employed,Denmark,Denmark,,https://www.linkedin.com/company/playful-engineering-lab
HIVE Robots,"Pioneering the future of automation with intelligent humanoid robotics solutions for any environment.

In our shop we sell the most advanced humanoid robots available. Visit our shop and buy your own humanoid robot.",Robotics Engineering,11-50 employees,Privately Held,"Kongens Lyngby, Capital Region, Denmark",Denmark,hiverobots.dk,https://www.linkedin.com/company/hive-robots
Gantio Robotics,"Your single partner for scalable gantry systems – from software to complete solution.

Gantio Robotics is a modern, highly specialized robotics company focused on solving complex industrial automation challenges with flexible, adaptive, and scalable gantry robot systems.

We are a holistic one-stop shop, delivering CE-marked solutions from proprietary software to safety – without external integrators.

Uniquely, we house development and production under one roof. Our engineers work side-by-side with the crew operating our FrameXTM robots, testing every feature against reality. This instant feedback loop guarantees reliable, error-free workflows and single accountability.",Robotics Engineering,11-50 employees,Partnership,"Tommerup Stationsby, South Denmark, Denmark",Denmark,gantiorobotics.com,https://www.linkedin.com/company/gantio-robotics
GMT Robotics,"GMT Robotics was created from a vision of changing the rebar industry. But as we set sails and began our journey, we quickly discovered, that our vision would not only change the industry, but completely reshape it.


GMT Robotics is built upon 35+ years of experience within rebar machine manufacturing and selling. 

In 2010, Ulrich Deichmann left Pedax. The company he had help built and shape since the 80ties. After that, Ulrich decided to remain connected to the industry he had helped shape over all the years and therefor started to deal with second hand rebar equipment in the company he founded and named “German Machine Trade” (GMT). 

Today à “Global Machine Trade”, and over the years it has become the world’s leading reseller of refurbished second-hand equipment on the global western market.

In 2015 Thomas Dall-Hansen joins Ulrich in GMT, and after traveling the world and understanding the rebar industry he soon realized that the industry had a lot of untapped potential, and that automation could be the way forward for the industry.

– It was clear that the focus should not be on rebar steel processing, but rather handling and assembly of rebar.

In 2018 Thomas and Ulrich started to investigate markets and started to look outside the industry for solutions which could be modified and implemented into our industry. With the support from clients, suppliers, software developers, robot manufactures, etc. Our 4 core products were born: 

“WeldMate”, “PickMate”, “Micro ARCAS” and “Dwall ARCAS”.

In 2020 GMT Robotics was established. In the same year, the market and trusted clients showed us the support and we started manufacturing of all 4 solutions.

All this could of course never have happened without some of the best people and employees supporting the journey that Ulrich and Thomas started.",Robotics Engineering,11-50 employees,Self Employed,"Brøndbyvester, Capital Region, Denmark",Denmark,gmtrobotics.com,https://www.linkedin.com/company/gmt-robotics
Drone Eksperten ApS,"Drone Eksperten is a drone services company specializing in confined space drone operations.

We help companies and public organizations inspect and document hard-to-access environments safely, efficiently, and with minimal downtime — including tanks, silos, shafts, industrial facilities, and enclosed structures.

From planning and flight execution to reporting and actionable deliverables, we provide end-to-end drone solutions focused on quality, compliance, and real business value.

Our services include:
• Confined space inspections & documentation
• Industrial and infrastructure inspections
• Mapping, monitoring, and site documentation
• Reporting and decision-ready deliverables

Read more at: www.drone-eksperten.com",Robotics Engineering,2-10 employees,Privately Held,"Kolding, South Denmark, Denmark",Denmark,drone-eksperten.com,https://www.linkedin.com/company/drone-eksperten
