Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
TE Connectivity,"TE Connectivity plc (NYSE: TEL) is a global industrial technology leader creating a safer, sustainable, productive and connected future. As a trusted innovation partner, our broad range of connectivity and sensor solutions enable the distribution of power, signal and data to advance next-generation transportation, energy networks, automated factories, data centers enabling artificial intelligence and more. Our more than 90,000 employees, including 10,000 engineers, work alongside customers in approximately 130 countries. In a world that is racing ahead, TE ensures that EVERY CONNECTION COUNTS.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Évreux, Normandy, France",France,te.com,https://www.linkedin.com/company/te-connectivity
EGT INDUSTRIE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Roumare, Normandy, France",France,,https://www.linkedin.com/company/egt-industrie
SGIC2S (SOCIETE DE GAZ INDUSTRIEL CRYOGENIQUE SPECIFIQUE SERVICE),,"Appliances, Electrical, and Electronics Manufacturing",,,"Trouville-la-Haule, Normandy, France",France,,https://www.linkedin.com/company/sgic2s-societe-de-gaz-industriel-cryogenique-specifique-service-
DM ELECTRICITE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Rennes, Brittany, France",France,dmelectricite.fr,https://www.linkedin.com/company/dm-electricite
EUROTV,,"Appliances, Electrical, and Electronics Manufacturing",,,"Port-Bail-sur-Mer, Normandy, France",France,eurotv.com,https://www.linkedin.com/company/eurotv
PLOUHA CONFORT,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Plouha, Brittany, France",France,,https://www.linkedin.com/company/plouha-confort
BREIZH ELECTRICITE DEPANNAGE SERVICE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Merdrignac, Brittany, France",France,,https://www.linkedin.com/company/breizh-electricite-depannage-service
SOLAIR 3 TECH,,"Appliances, Electrical, and Electronics Manufacturing",Self-employed,,"Vitré, Brittany, France",France,solair3tech.fr,https://www.linkedin.com/company/solair-3-tech
SOCIETE D'EXPLOITATION FORESTIERE ET SCIERIE MILCENT SAS,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"La Motte-Fouquet, Normandy, France",France,,https://www.linkedin.com/company/societe-d'exploitation-forestiere-et-scierie-milcent-sas
BATTERY ENERGY SOLAR TECHNOLOGY,"BATTERY ENERGY SOLAR TECHNOLOGY is an electrical/electronic manufacturing company based out of 10 RES LES JARDINS DE TILLY, Tilly, Normandie, France.","Appliances, Electrical, and Electronics Manufacturing",,,"Tilly, Normandy, France",France,,https://www.linkedin.com/company/battery-energy-solar-technology
SUD ELECTRICITE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Afa, Corsica, France",France,,https://www.linkedin.com/company/sud-electricite
JP SANTINI ELECTRICITE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Porto-Vecchio, Corsica, France",France,,https://www.linkedin.com/company/jp-santini-electricite
COUPEL ELECTRICITE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Le Sel-de-Bretagne, Brittany, France",France,coupel-electricite.fr,https://www.linkedin.com/company/coupel-electricite
CONNECT ENERGIE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Bois-Guillaume, Normandy, France",France,,https://www.linkedin.com/company/connect-energie
CREATIQUE AUTOMOTIVE & INDUSTRY,,"Appliances, Electrical, and Electronics Manufacturing",,,"La Richardais, Brittany, France",France,,https://www.linkedin.com/company/creatique-automotive-&-industry
SA SCORTEL,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Coudeville-sur-Mer, Normandy, France",France,scortel.fr,https://www.linkedin.com/company/sa-scortel
BARBE EDI,"BARBE EDI is an electrical/electronic manufacturing company based out of BAT D 2 RUE DU BORDAGE, CESSON SEVIGNE, France.","Appliances, Electrical, and Electronics Manufacturing",,,"Cesson-Sévigné, Brittany, France",France,barbe-edi.fr,https://www.linkedin.com/company/barbe-edi
G M T I,,"Appliances, Electrical, and Electronics Manufacturing",,,"Ajaccio, Corsica, France",France,,https://www.linkedin.com/company/g-m-t-i
LRDI METALLERIE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Évreux, Normandy, France",France,,https://www.linkedin.com/company/lrdi-metallerie
TOTALDAC,,"Appliances, Electrical, and Electronics Manufacturing",,,"Saint-Ouen-des-Alleux, Brittany, France",France,,https://www.linkedin.com/company/totaldac
"SARL ""REGECO""","SARL ""REGECO"" is an electrical/electronic manufacturing company based out of 24 RUE DE LA MARNE, ST LO, France.","Appliances, Electrical, and Electronics Manufacturing",,,"Saint-Lô, Normandy, France",France,,https://www.linkedin.com/company/sarl-regeco-
NEOTIXYS,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Le Havre, Normandy, France",France,neotixys.fr,https://www.linkedin.com/company/neotixys
INNETECH,,"Appliances, Electrical, and Electronics Manufacturing",,,"Borgo, Corsica, France",France,innetech.fr,https://www.linkedin.com/company/innetech
TESDAN LE VENT,,"Appliances, Electrical, and Electronics Manufacturing",,,"Redon, Brittany, France",France,,https://www.linkedin.com/company/tesdan-le-vent
LE MANS METROPOLE ENERGY 1,,"Appliances, Electrical, and Electronics Manufacturing",,,"La Mézière, Brittany, France",France,,https://www.linkedin.com/company/le-mans-metropole-energy-1
SOCIETE DE RACCORDEMENTS ELECTRIQUES,,"Appliances, Electrical, and Electronics Manufacturing",,,"Sainte-Sève, Brittany, France",France,,https://www.linkedin.com/company/societe-de-raccordements-electriques
EG BESSIN,,"Appliances, Electrical, and Electronics Manufacturing",,,"Manvieux, Normandy, France",France,egbessin.fr,https://www.linkedin.com/company/eg-bessin
BH HOLDINGS,,"Appliances, Electrical, and Electronics Manufacturing",,,"Le Rheu, Brittany, France",France,,https://www.linkedin.com/company/bh-holdings
GAMBU FRERES,,"Appliances, Electrical, and Electronics Manufacturing",,,"Rosay-sur-Lieure, Normandy, France",France,,https://www.linkedin.com/company/gambu-freres
ETNS,,"Appliances, Electrical, and Electronics Manufacturing",,,"Miniac-Morvan, Brittany, France",France,,https://www.linkedin.com/company/etns
ACTIV (AGENCE COMMERCIALE TECHNICIEN EN IMAGES VISUELLES),,"Appliances, Electrical, and Electronics Manufacturing",,,"Moëlan-sur-Mer, Brittany, France",France,,https://www.linkedin.com/company/activ-agence-commerciale-technicien-en-images-visuelles-
PRENERE (PRODUCTION ENERGIES RENOUVELABLES,,"Appliances, Electrical, and Electronics Manufacturing",,,"Sorbo-Ocagnano, Corsica, France",France,,https://www.linkedin.com/company/prenere-production-energies-renouvelables
SOCIETE PONTIVYENNE D'ELECTRICITE,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Noyal-Pontivy, Brittany, France",France,,https://www.linkedin.com/company/societe-pontivyenne-d'electricite
ENERGY SOLAR DRILL,,"Appliances, Electrical, and Electronics Manufacturing",,,"Planguenoual, Brittany, France",France,,https://www.linkedin.com/company/energy-solar-drill
ALLOSUN POSE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Tinténiac, Brittany, France",France,,https://www.linkedin.com/company/allosun-pose
WAM ELECT,,"Appliances, Electrical, and Electronics Manufacturing",,,France,France,,https://www.linkedin.com/company/wam-elect
ARCEM,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Saint-Martin-des-Champs, Brittany, France",France,,https://www.linkedin.com/company/arcem
IROISE HABITAT ELEC,,"Appliances, Electrical, and Electronics Manufacturing",,,"Landerneau, Brittany, France",France,,https://www.linkedin.com/company/iroise-habitat-elec
MAINTENANCE ELECTRIQUE INDUSTRIELLE,,"Appliances, Electrical, and Electronics Manufacturing",,,"Le Tampon, France",France,,https://www.linkedin.com/company/maintenance-electrique-industrielle
AVNOR,,"Appliances, Electrical, and Electronics Manufacturing",,,"Hermanville-sur-Mer, Normandy, France",France,,https://www.linkedin.com/company/avnor
Syndicat AOP Miel de Corse - Mele di Corsica,,"Appliances, Electrical, and Electronics Manufacturing",,,"Altiani, Corsica, France",France,mieldecorse.com,https://www.linkedin.com/company/syndicat-aop-miel-de-corse---mele-di-corsica
