Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Paris, Île-de-France, France",France,siemens.com,https://www.linkedin.com/company/siemens
SDS Industry Consulting,"SDS Industry Consulting provides onsite project management solutions for car makers and automotive suppliers worldwide. 

We specialize in helping OEMs and Tier 1 suppliers deliver complex vehicle programs — from greenfield factory setups and production line integration to series production launches.  

With over 20 years of international experience driving projects across the automotive and mobility sectors, our expertise covers:

- Project Leadership: managing multi-million-euro programs, from concept to launch. 
- Production Integration: successfully embedding new vehicle models into existing manufacturing systems
- Body-in-White & Closures: deep technical know-how in doors, closures, BIW, and full-vehicle integration. 
- Global Delivery: proven success across Europe and Asia, with strong OEM and supplier networks. 

 Our mission is simple: help car makers and suppliers bring vehicles to life — faster, safer, and more efficiently.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Strasbourg, Grand Est, France",France,,https://www.linkedin.com/company/sds-industry-consulting
LAVORO E AMBIENTE S.R.L. . ESSA POTRA  ANCHE ESSERE INDICATA SEMPLICEMENTE CON LA SIGLA   LAMED S.R.L .,"GESTIONE DI POLIAMBULATORIO, LABORATORIO ANALISI CHIMICO-CLINICHE, SERVIZI DI RICERCA NEL CAMPO DELL IGIENE INDUSTRIALE, AMBIENTALE E CLASSIFICAZIONE DEI RIFIUTI, BONIFICHE AMBIENTALI, MEDICINA DEL LAVORO PER CONTO DI ENTI ED IMPRESE PRIVATE, FORMAZIONE DI EQUIPES SCIENTIFICHE PER LA SALVAGUARDIA DELL AMBIENTE",Automation Machinery Manufacturing,11-50 employees,,"Fors, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/lavoro-e-ambiente-s.r.l.-.-essa-potra-anche-essere-indicata-semplicemente-con-la-sigla-lamed-s.r.l-.
Praxsys SA,,Automation Machinery Manufacturing,,,"Saint-Denis, Île-de-France, France",France,,https://www.linkedin.com/company/praxsys-sa
Automatic Agri Safe System,Automatic-Agri-Safe-System conçoit et monte des systèmes de désinfection destinés aux acteurs proches de l’élevage agricole pour les aider à répondre aux normes sanitaires en vigueur.,Automation Machinery Manufacturing,Self-employed,Privately Held,"La Planche, Pays de la Loire, France",France,automatic-agri-safe-system.fr,https://www.linkedin.com/company/automatic-agri-safe-system
Pragmelec,"- Toute étude électrotechnique et automatisme
- Programmation automates (Schneider Electric, Siemens, Omron, etc...)
- Rétrofit de machines et lignes de production
- Mécanisation
- Recherche et développement sur prototypes
- Réalisation de projets IoT",Automation Machinery Manufacturing,Self-employed,Self Employed,"Bousse, Grand Est, France",France,pragmelec.fr,https://www.linkedin.com/company/pragmelec
LAFOR - SOCIETA  A RESPONSABILITA  LIMITATA,"LAFOR - SOCIETA  A RESPONSABILITA  LIMITATA is an industrial automation company based out of FORLI, Fo, Italy.",Automation Machinery Manufacturing,51-200 employees,,"Fors, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/lafor---societa-a-responsabilita-limitata
Jero S.A.,"Jero S.A. is an industrial automation company based out of Luynes, Centre, France.",Automation Machinery Manufacturing,,,"Luynes, Centre-Val de Loire, France",France,jero.fr,https://www.linkedin.com/company/jero-s-a-
MKS Location,,Automation Machinery Manufacturing,2-10 employees,Partnership,"La Valette-du-Var, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/mks-location
TEN TEN CONSULTING LIMITED,,Automation Machinery Manufacturing,,,"Eccles, Hauts-de-France, France",France,tententenconsulting.uk,https://www.linkedin.com/company/ten-ten-consulting-limited
C.I.T. Cyrill International Trading,,Automation Machinery Manufacturing,,,"Zillisheim, Grand Est, France",France,,https://www.linkedin.com/company/c-i-t-cyrill-international-trading
starthan,page d'entreprise test,Automation Machinery Manufacturing,2-10 employees,Self Employed,"Versailles, Île-de-France, France",France,alarabiya.net,https://www.linkedin.com/company/starthan
Lyrix Media GmbH,,Automation Machinery Manufacturing,,,"Cult, Bourgogne-Franche-Comté, France",France,lyrix-media.de,https://www.linkedin.com/company/lyrix-media-gmbh
Blick France SARL,"Blick France SARL is an industrial automation company based out of 15 Rue du 1er Mai, Nanterre, IDF, France.",Automation Machinery Manufacturing,,,"Nanterre, Île-de-France, France",France,blickfrance.fr,https://www.linkedin.com/company/blick-france-sarl
Entran SA,,Automation Machinery Manufacturing,,,"Les Clayes-sous-Bois, Île-de-France, France",France,,https://www.linkedin.com/company/entran-sa
TUCKER STRUCTURAL DESIGNS LIMITED,,Automation Machinery Manufacturing,,,"Avon, Île-de-France, France",France,,https://www.linkedin.com/company/tucker-structural-designs-limited
Elneo France,"Actif depuis plus de 50 ans dans l'air comprimé et autres fluides industriels, nos experts sont à votre disposition pour vous aider à choisir le produit le plus adapté à vos besoins !",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Lille, Hauts-de-France, France",France,elneo.fr,https://www.linkedin.com/company/elneo-france
Elina Technologies Ltd.,"Elina Technologies Ltd. is a leader provider of test & measuring instruments and machines in all sectors of the industrial, chemical, aerospace and scientific fields. 

Elina Technologies gained well-known expertise and is supplying with exclusive representation for global leading manufacturers only the best equipment available.

As Part of Micro-Epsilon and as partners of HBK (Brüel & Kjær), Elina Technologies Ltd. serves over 2300 companies, in Israel only, with the best solutions for measuring equipment for variety of applications.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Azur, Nouvelle-Aquitaine, France",France,elinatech.com,https://www.linkedin.com/company/elina-technologies-ltd
Step Automation and Test,"Step AT est une créateur d'actifs stratégiques et différenciant pour l'entreprise en ajoutant une nouvelle corde à l'arc du décideur.
Nous avons développé une solution matérielle (HerMeas) et logicielle (My DaaS) qui constitue une aide fondamentale à la prise de décision aussi bien pour les métiers que pour l'éxécutif.
Nos solutions permettent d'anticiper et de gérer les risques, d'optimiser les coûts et de prendre des décisions sous un nouvel angle de vue.

Suivez nous sur
Facebook http://www.facebook.com/stepembedded
Twitter @STePSAS",Automation Machinery Manufacturing,2-10 employees,Partnership,"La Seyne-sur-Mer, Provence-Alpes-Côte d'Azur, France",France,stepat.com,https://www.linkedin.com/company/sarl-s.te.p
MRB AUTOMATISMES INDUSTRIELS,"Dans un monde en profonde mutation industrielle, rester leader, se développer ou encore innover impose aux industriels d’avoir des sites de production modernes et performants.
Accompagner ses clients sur des problématiques d’automatisation, de supervision, de sécurisation, de traçabilité ou simplement de mise aux normes, c’est la raison d’être de MRB.
Société d’intégration en automatisme et informatique industrielle, MRB est spécialisée dans le développement et la gestion de projets industriels complexes et sensibles.
Composée de 15 ingénieurs et techniciens hautement qualifiés, MRB est une entreprise à taille humaine. Engagés dans une démarche de progrès continu et de veille technique et réglementaire, MRB dispose de l’ensemble des expertises nécessaires pour piloter toutes les phases d’un projet, de la conception à la réalisation.
Forte de plus de 20 ans d’expérience dans les domaines de la pharmacie, le cosmétique,la chimie, la biotechnologie et l’agro-alimentaire, MRB est un expert reconnu dans l’accompagnement des projets à haute valeur ajoutée, partout dans le monde.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Aulnay-sous-Bois, Île-de-France, France",France,mrbautomatismes.com,https://www.linkedin.com/company/mrb-automatismes-industriels
SINECA,"The SINECA company, active in Belgium and abroad, offers its services for the development of automation and industrial computing solutions, as well as the development of production data management systems.
Our team of engineering developers supports its customers during all stages of project integration: from the design phase to the validation of the production start.

Our specialties are:
- Definition of the technical specifications: IT architectures design according to the client's context and requirements
- Programming of PLCs in various technologies
- Programming of industrial supervision systems
- Redacting of the technical documentation to perpetuate the key information of any projects
- Commissioning including I/O, equipments and production sequences testing
- 24/7 local and remote technical support",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Villeneuve-d'Ascq, Hauts-de-France, France",France,sineca.com,https://www.linkedin.com/company/sineca
