Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Roche,"Roche is a global pioneer in pharmaceuticals and diagnostics focused on advancing science to improve people’s lives. The combined strengths of pharmaceuticals and diagnostics under one roof have made Roche the leader in personalised healthcare – a strategy that aims to fit the right treatment to each patient in the best way possible.

Roche is the world’s largest biotech company, with truly differentiated medicines in oncology, immunology, infectious diseases, ophthalmology and diseases of the central nervous system. Roche is also the world leader in in vitro diagnostics and tissue-based cancer diagnostics, and a frontrunner in diabetes management.

Founded in 1896, Roche continues to search for better ways to prevent, diagnose and treat diseases and make a sustainable contribution to society. The company also aims to improve patient access to medical innovations by working with all relevant stakeholders. Thirty medicines developed by Roche are included in the World Health Organization Model Lists of Essential Medicines, among them life-saving antibiotics, antimalarials and cancer medicines. Roche has been recognised as the Group Leader in sustainability within the Pharmaceuticals, Biotechnology & Life Sciences Industry ten years in a row by the Dow Jones Sustainability Indices (DJSI).

For more information, please visit https://careers.roche.com

Read our community guidelines here: 
https://www.roche.com/some-guidelines.htm

#Roche #Biotechnology #Pharmaceuticals #Diagnostics #Healthcare #PersonalisedHealthcare #GreatPlaceToWork #Innovation",Biotechnology Research,"10,001+ employees",Public Company,"Meylan, Auvergne-Rhône-Alpes, France",France,roche.com,https://www.linkedin.com/company/roche
Laboratoire RENASCOR,"Laboratoire RENASCOR is a French laboratory dedicated to advancing the science of hair regrowth and hair reconstruction after cancer.

Our work focuses particularly on a challenge that is often overlooked: hair reconstruction after cancer treatments.

Hair loss caused by oncology treatments - chemotherapy, radiotherapy or hormone therapy - is one of the most visible and emotionally difficult consequences for patients. Beyond the physical change, it deeply affects self-image and represents a delicate stage in the personal rebuilding process after illness.

Laboratoire RENASCOR develops specific approaches designed to support hair regrowth after cancer and to help patients rebuild their hair with confidence.

This expertise also leads us to explore the broader mechanisms of progressive hair loss and the many factors that influence the vitality of the hair follicle throughout life.

Today, our work is used by professionals involved in supportive oncology care as well as by specialists in hair and scalp health, including socio-aestheticians, socio-hairdressers, trichologists and healthcare professionals.

Laboratoire RENASCOR also participates in conferences, scientific congresses, training centers, hospitals and professional events in France and internationally to share knowledge and raise awareness about hair-related challenges in oncology.

Our belief is simple: hair reconstruction is an essential part of the recovery journey after illness, and understanding the mechanisms of hair regrowth is key to preserving long-term hair health.",Biotechnology Research,51-200 employees,Privately Held,"Paris, Île-de-France, France",France,laboratoire-renascor.com,https://www.linkedin.com/company/laboratoire-renascor
Anoat Therapeutics,Anoat Therapeutics is a preclinical-stage company focused on developing novel therapies to transform the lives of patients with rare diseases who have limited or no treatment options. The Anoat team leverages its proven track record in rare diseases and AntiSense Oligonucleotide (ASO) drug development to build a pipeline of novel drug candidates. Anoat’s lead program is an ASO designed to target an alternative chloride channel and compensate for the defective/lacking activity of the CFTR (Cystic Fibrosis Transmembrane conductance Regulator) channel protein in Cystic Fibrosis (CF) patients.,Biotechnology Research,2-10 employees,Privately Held,"Paris, France",France,,https://www.linkedin.com/company/anoat-therapeutics
VEGETAL TECHNO,"Basée à Braine, VEGETAL TECHNO est une société spécialisée dans la prestation de services tels que :
-	L’extraction
-	La séparation
-	La filtration
-	La concentration 
-	L’atomisation
-	La désolvatation...
Véritable station pilote à échelle industrielle, nous sommes en mesure de nous adapter aux demandes spécifiques de nos clients en vue du développement de nouveaux process/produits.",Biotechnology Research,11-50 employees,Self Owned,"Braine, Hauts-de-France, France",France,vegetal-techno.fr,https://www.linkedin.com/company/vegetal-techno
ATEROVAX,"ATEROVAX is an in vitro diagnostic (IVD) company located in Paris, France, focusing on the development of innovative patent-protected in vitro diagnostic products for improving management of cardiovascular diseases.
The mission of ATEROVAX is to help reduce the number of cardiovascular events by providing physicians with powerful diagnostic tools that will enable them to take preventive measures before it is too late.",Biotechnology Research,2-10 employees,Partnership,"Paris, Île-de-France, France",France,aterovax.com,https://www.linkedin.com/company/aterovax
KERAGRO,"La société bretonne Keragro est un fabricant qui conçoit, formule et produit des engrais et spécialités alternatives naturelles ou biologiques destinées à stimuler, nourrir et protéger vos sols, plantes et animaux.

Au service des cultivateurs, intendants d’espaces verts et des éleveurs, nous vous accompagnons à travers la mise en place de protocoles personnalisés et adaptés à vos exigences. Nous pratiquons une agronomie innovante et durable.

Utilisables en agriculture biologique, nos spécialités d’origine naturelle  sont fabriquées par nos soins et reconnues pour leur efficacité. Nous garantissons une maîtrise de nos matières première tout au long de notre chaîne de production afin de vous fournir des spécialités de 1er choix.",Biotechnology Research,2-10 employees,Privately Held,"Saint-Avé, Brittany, France",France,keragro.fr,https://www.linkedin.com/company/ker-agro
Oléo'Tech,"Oléo'Tech développe l'alternative fermentaire aux huiles animales et végétales problématiques, pour une solution performante, locale et sans déforestation.",Biotechnology Research,2-10 employees,Partnership,"13th arrondissement of Paris, Île-de-France, France",France,,https://www.linkedin.com/company/oleo-tech
I GOT ENDO,"Nous opérerons à la convergence de la MedTech et de la DeepTech.

Notre approche repose sur des technologies de pointe, notamment le bioquantique, pour toutes les personnes utérines atteintes d'endométrioses.

I GOT ENDO c'est un écosystème de gestion de l'endométriose.

Ce dispositif médical tout-en-un sera accessible pour personnes utérines, symptomatiques ou non de la maladie, et permettra un dépistage et un diagnostic précis, et ce, en dehors des laboratoires.

Ce dispositif s'engage envers le bien humain, la recherche et l'innovation.",Biotechnology Research,2-10 employees,Self Owned,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/i-got-endo
madi,"I am madiTM, the most advanced AI-powered protein engineering software.

Join the Protein Revolution",Biotechnology Research,11-50 employees,Self Owned,"Neuilly-sur-Seine, Île-de-France, France",France,madi.bio,https://www.linkedin.com/company/madi-bio
98-00,"98-00 has developed a novel framework for evaluating biofunctional materials. This evidence-based methodology guides the development and assessment of engineered biomaterials, directing them toward scalable solutions that deliver demonstrated human health benefits. Created in collaboration with leading experts in bioengineering and materials science, the framework provides a comprehensive and structured approach to evaluating materials with advanced functionality—such as smart responsiveness, transdermal delivery mechanisms, and protective properties designed to shield against environmental stressors—all with particular emphasis on interactions with human skin.",Biotechnology Research,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,98-00.com,https://www.linkedin.com/company/98-00
