Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Resideo,"At Resideo, we help you protect what matters most by creating technology and smart solutions that integrate seamlessly into your life. Our house of brands includes First Alert’s smoke detectors, Honeywell Home’s smart thermostats, our ADI Global Distribution Business, and more to connect your entire home. 

We pride ourselves on our commitment to quality, innovation, and customer satisfaction, backed by a legacy of over 100 years in the industry. 

Resideo was recognized by Forbes Magazine on two of its most prestigious corporate rankings: the 2026 Most Trusted Companies and Best Companies in America lists. Thank you to every member of our team for helping Resideo pioneer what’s possible. 

#WeAreResideo",Consumer Electronics,"10,001+ employees",Public Company,"Mougins, Provence-Alpes-Côte d'Azur, France",France,resideo.com,https://www.linkedin.com/company/resideo1
B. MARQUIS,,Consumer Electronics,2-10 employees,,"Rivière, Hauts-de-France, France",France,,https://www.linkedin.com/company/b.-marquis
DOC.HORD-BORD,,Consumer Electronics,,,"Marseille, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/doc.hord-bord
PLANETE HORS BORD,,Consumer Electronics,,,"Erquy, Brittany, France",France,planete-hors-bord.com,https://www.linkedin.com/company/planete-hors-bord
AAM TECHNIQUE,,Consumer Electronics,,,"Cavalaire-sur-Mer, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/aam-technique
DEPANNAGE INTER SERVICES,,Consumer Electronics,,,"Perpignan, Occitanie, France",France,,https://www.linkedin.com/company/depannage-inter-services
SERVICES VAROIS,,Consumer Electronics,2-10 employees,,"Sanary-sur-Mer, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/services-varois
MAINTENANCE VIDEO TECHNIQUE - M.V.T.,,Consumer Electronics,Self-employed,,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/maintenance-video-technique---m.v.t.
AZUR TECHNIC MARINE,,Consumer Electronics,,,"Mouans-Sartoux, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/azur-technic-marine
EURL BESSON,,Consumer Electronics,,,"Longué-Jumelles, Pays de la Loire, France",France,,https://www.linkedin.com/company/eurl-besson
"SARL "" ALSAT """,,Consumer Electronics,,,"Maillane, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/sarl-alsat-
AVIM (ASSISTANCE VENTE IMAGERIE MEDICALE),,Consumer Electronics,2-10 employees,,"Colomiers, Occitanie, France",France,,https://www.linkedin.com/company/avim-assistance-vente-imagerie-medicale-
ELECTRO MARINE INDUSTRIE,,Consumer Electronics,,,"Bénodet, Brittany, France",France,,https://www.linkedin.com/company/electro-marine-industrie
NAUTIQUE RIVIERA,,Consumer Electronics,,,"Saint-Jean, Provence-Alpes-Côte d'Azur, France",France,nautique-riviera.fr,https://www.linkedin.com/company/nautique-riviera
BEPALE,,Consumer Electronics,,,"Le Havre, Normandy, France",France,,https://www.linkedin.com/company/bepale
TRISHNA YACHTING,,Consumer Electronics,,,"Leucate, Occitanie, France",France,,https://www.linkedin.com/company/trishna-yachting
TELE VIDEO DU GATINAIS,,Consumer Electronics,,,"Montargis, Centre-Val de Loire, France",France,televideodugatinais.com,https://www.linkedin.com/company/tele-video-du-gatinais
ETABLISSEMENTS BONFILS ET RIVA,,Consumer Electronics,2-10 employees,,"Saint-Étienne, Auvergne-Rhône-Alpes, France",France,,https://www.linkedin.com/company/etablissements-bonfils-et-riva
TELE NUMERIQUE SERVICE,,Consumer Electronics,,,"Pantin, Île-de-France, France",France,,https://www.linkedin.com/company/tele-numerique-service
SERVICES MAINTENANCE HYDRAULIQUES,,Consumer Electronics,,,"La Seyne-sur-Mer, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/services-maintenance-hydrauliques
SOCIETE DE DEPANNAGE MOTEURS D'ARGELES,,Consumer Electronics,,,"Argelès-sur-Mer, Occitanie, France",France,,https://www.linkedin.com/company/societe-de-depannage-moteurs-d'argeles
LES CUISINES DU BOULONNAIS,,Consumer Electronics,,,"Boulogne-sur-Mer, Hauts-de-France, France",France,,https://www.linkedin.com/company/les-cuisines-du-boulonnais
S.A.R.L. H.P.S. ELECTRONIC,,Consumer Electronics,2-10 employees,,"La Chapelle-Cécelin, Normandy, France",France,,https://www.linkedin.com/company/s.a.r.l.-h.p.s.-electronic
BOAT SHIP SERVICES FILS,,Consumer Electronics,,,"Hyères, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/boat-ship-services-fils
ARNAUD VARDON (SARL SOCIETE),,Consumer Electronics,,,"Villeneuve-sur-Lot, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/arnaud-vardon-sarl-societe-
ABEL TELE,,Consumer Electronics,,,"Sevran, Île-de-France, France",France,,https://www.linkedin.com/company/abel-tele
CHARRIER ELECTROMENAGER,,Consumer Electronics,2-10 employees,,"Cholet, Pays de la Loire, France",France,charrier-electromenager.fr,https://www.linkedin.com/company/charrier-electromenager
LGM - LE GAL MARINE SARL,,Consumer Electronics,,,"Séné, Brittany, France",France,,https://www.linkedin.com/company/lgm---le-gal-marine-sarl
LAFOND DOMINIQUE,,Consumer Electronics,,,"Saint-Porchaire, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/lafond-dominique
BRINGOUX François Electroménager Services,,Consumer Electronics,,,"Valleret, Grand Est, France",France,,https://www.linkedin.com/company/bringoux-françois-electroménager-services
