Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Culture RH,"Culture RH est un site d'actualité destiné aux professionnels travaillant dans les ressources humaines. Que vous ayez besoin d'effectuer une veille sur les thématiques de paie, de droit social, de GRH, de représentants du personnel... etc, vous trouverez forcément les informations qu'il vous faut sur Culture RH.",Media & Telecommunications,Self-employed,Self Owned,"Bordeaux, Nouvelle-Aquitaine, France",France,culture-rh.com,https://www.linkedin.com/company/culture-rh-actualites-rh
Agora,"La politique t’ennuie ? Te dépasse ? Te donne envie de fuir ?
Nous aussi. Enfin... c'était avant...

Chez Agora, on rends la politique accessible à tous : sans jargon, sans parti pris, mais avec du fond.
Notre objectif : rendre les enjeux politiques clairs, compréhensibles et engageants pour toutes et tous.
Ici, tu trouveras des décryptages, des analyses accessibles et des formats pensés pour ouvrir le débat, pas le refermer.

 Décryptage des enjeux politiques
 La politique expliquée simplement
 Suis-nous pour un débat éclairé et accessible",Media & Telecommunications,2-10 employees,Self Employed,"Bordeaux, Nouvelle-Aquitaine, France",France,agora-media.fr,https://www.linkedin.com/company/agora-média
Window Project FR,"Valoriser les villes par l'art et la culture
 Nouveau média éthique & immersif
 Expositions pour artistes sous curation",Media & Telecommunications,2-10 employees,Partnership,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/window-project-fr
Ô Magazine France,"Ô Magazine est un magazine en ligne dédié aux femmes de la trentaine. Notre slogan ""Mettre en valeur la beauté de la femme"" synthétise notre volonté d'apporter chaque jour aux femmes des conseils, des astuces pour l'aider à s'épanouir et devenir la meilleure version d'elle même.",Media & Telecommunications,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,omagazine.fr,https://www.linkedin.com/company/ô-magazine-france
human&terre,"Après un temps de recul, « human&terre » revient avec une vision adaptée à l’actualité. Plus que jamais, notre désir de créer du lien et d’échanger nos savoirs sont au cœur de nos actions. 

À travers le prisme de « prendre soin de soi, des autres et de la Terre », nous visons un monde interconnecté, où chaque individu trouve sa place et le partage aux autres.",Media & Telecommunications,Self-employed,Self Owned,"Toulouse, Occitanie, France",France,humanterre.org,https://www.linkedin.com/company/humanetterre
Le Gégé Mag' - Média BTP,"Le Gégé Mag’ est un média BTP sur LinkedIn : 1 édition chaque vendredi.

+ 49 éditions publiées • +18 000 abonnés • une audience BTP & fonctions support.

Partenariats, mises en avant & recrutement - mail : geraldine.16aout@gmail.com.",Media & Telecommunications,Self-employed,Self Employed,"Bordeaux, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/le-gégé-mag-média-btp
MM Marketing,"MM Marketing is a non-profit, student-led digital marketing project launched as part of an academic initiative at McKendree University.

Created to explore digital marketing strategy and small business outreach, the project offers hands-on experience in content development, advertising, SEO, and brand positioning. Happy to say that I can now help McKendree Rugby Team with social media content creation, all within the framework of a supervised, credit-bearing course.

The goal is to help small businesses understand and explore the value of digital visibility while allowing student marketers to learn, build portfolios, and develop practical skills.

Key Focus Areas:

- Content Strategy & Social Media
- Paid Ads (Google, Meta, TikTok, as mockups)
- SEO & Website Optimization (non-commercial)
- Community Engagement & Branding

This initiative operates under faculty supervision, is unpaid and educational, and does not generate revenue.",Media & Telecommunications,Self-employed,Non Profit,"Marseille, Provence-Alpes-Côte d'Azur, France",France,mikemilesi.com,https://www.linkedin.com/company/mikem-marketing
Contremag.org,Média de vulgarisation des sciences humaines et sociales,Media & Telecommunications,2-10 employees,Self Employed,"Paris, Île-de-France, France",France,contremag.org,https://www.linkedin.com/company/contremag-org
BOXEMAG,"+10.000.000 pages vues / an +227K abonnés sur Facebook - https://www.facebook.com/BoxeMag
+53K abonnés sur Youtube - https://www.youtube.com/@BoxeMag
+24K abonnés sur Instagram - https://www.instagram.com/boxemag_com/
+15K followers sur TikTok - https://www.tiktok.com/@boxemag.com
+10K followers sur Twitter - https://twitter.com/BoxeMag_com/",Media & Telecommunications,2-10 employees,Self Employed,"Villeurbanne, Auvergne-Rhône-Alpes, France",France,ouest-france.fr,https://www.linkedin.com/company/boxemag.com
SAAAAN,"Agence de presse, conception et réalisation de magazines, de la conception du sommaire à la livraison des fichiers chez l'imprimeur.",Media & Telecommunications,2-10 employees,Privately Held,"Sarzeau, Brittany, France",France,saaaan.com,https://www.linkedin.com/company/saaaan
Ludovic Marreau photographe vidéaste,Photographe vidéaste et télépilote de drone au service de votre communication,Media & Telecommunications,Self-employed,Self Employed,"Ploërmel, Brittany, France",France,,https://www.linkedin.com/company/ludovicmarreau
Too Much,Le média de l'hypersensbilité,Media & Telecommunications,2-10 employees,Partnership,"Lyon, Auvergne-Rhône-Alpes, France",France,supdepub-lyon.fr,https://www.linkedin.com/company/too-much-off
Presse sud Caen,L'actualité du Sud de Caen au quotidien.,Media & Telecommunications,Self-employed,Self Employed,"Laize-Clinchamps, Normandy, France",France,presse-sud-caen.net,https://www.linkedin.com/company/presse-sud-caen
Incr’ • Média,Le média qui donne de la visibilité aux acteurs & actrices de locaux !,Media & Telecommunications,Self-employed,Self Employed,"Mulhouse, Grand Est, France",France,,https://www.linkedin.com/company/me-•-le-mag
So Rap Inside,"So Rap Inside, c’est le média incontournable pour tous les passionnés de rap français et de culture urbaine Lillois. 

 Notre mission ? Connecter les amateurs de rap aux dernières actualités, aux sorties d’albums, aux concerts et aux événements majeurs de la scène hip-hop dans la région du Nord principalement.

 Une expérience immersive unique grâce à notre équipe de reporters et de photographes présents sur le terrain. Nous capturons l’énergie des concerts, les coulisses des événements et les moments clés qui façonnent le paysage du rap.

 Un média participatif : So Rap Inside, c’est aussi une communauté engagée, où chacun peut partager son avis, ses expériences et contribuer à l’évolution de la culture rap à travers nos réseaux sociaux.

Pourquoi nous suivre ?

 Des actualités diffusées en temps réel
 Des interviews exclusives
 Une immersion totale dans l’univers du rap
 Une mise en lumière des nouveaux talents

Tu vibres au rythme du rap français ? 
Rejoins-nous et vis l’expérience So Rap Inside ! 

So Rap Inside, Lille - sorapinside@gmail.com",Media & Telecommunications,2-10 employees,Non Profit,"Lille, Hauts-de-France, France",France,,https://www.linkedin.com/company/sorapinside
GEN.EU FR,"Gen.EU est un projet réunissant des partenaires dans toute l’Europe afin de connecter les jeunes autour de l’actualité grâce à des contenus multimédias en plusieurs langues et des événements en live. 

L’objectif est de donner aux jeunes un espace pour débattre des enjeux qui influencent leur quotidien — du changement climatique au coût de la vie, en passant par l’éducation, l’égalité de genre et l’engagement citoyen.

Co-financé par l’Union européenne, le projet vise à toucher au moins trois millions de jeunes d’ici 2027, afin de renforcer l’éducation aux médias, la participation citoyenne et l’engagement démocratique à travers le continent.",Media & Telecommunications,2-10 employees,Non Profit,"Paris, Île-de-France, France",France,afp.com,https://www.linkedin.com/company/gen-eu
L'Éveil de Pont-Audemer,"L'Éveil de Pont-Audemer est un bi-média dont le siège est situé 9 place Louis-Gillain à Pont-Audemer. Il appartient au Groupe Actu, 1er groupe de Presse Hebdomadaire Régional. Le journal parait chaque mardi, il est vendu dans une centaine de points de vente situés à Pont-Audemer, Bosroumois, Grand-Bourgtheroulde, Thiberville, Menneval, Beuzeville, Cormeilles, Lieuery, Bourg-Achard, Quilleboeuf... Il a fêté en 2025 ses 50 ans. Le site internet est hébergé sur la plateforme actu.fr depuis 2017. Notre credo : l’information de proximité.",Media & Telecommunications,2-10 employees,Privately Held,"Pont-Audemer, Normandy, France",France,actu.fr,https://www.linkedin.com/company/l-éveil-de-pont-audemer
Vins et Tannins,"Come discover the secrets of wine !
 AOC, wine regions, varieties of grapes and vintages will no longer hold any secrets for you !
 The history of wine, its vocabulary and the wine-making process decrypted
 All the wine tasting steps to shine
 Are you rather ""châteaux"", ""domaine"" or ""clos"" ?",Media & Telecommunications,Self-employed,Self Employed,"Bordeaux, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/vins-tannins
Peau Pêche,"Fondée à Paris en 2019, Peau Pêche est un média dédié à l’univers de la beauté, de la mode et des évènements lifestyle. 
Notre objectif est simple : partager les tendances, les inspirations et les conseils qui permettent de se sentir bien dans sa peau et dans son style.

Prévoir et rendre accessibles les nouvelles tendances de demain est notre priorité.",Media & Telecommunications,2-10 employees,Partnership,"Paris, Île-de-France, France",France,peaupeche.fr,https://www.linkedin.com/company/peau-peche
Terra - Actu.fr,Hebdomadaire breton d'informations agricoles et rurales,Media & Telecommunications,2-10 employees,Privately Held,"Rennes, Brittany, France",France,actu.fr,https://www.linkedin.com/company/terrahebdo
LoveBrand podcast,"Dans ce podcast on va donc parler de marques, de stratégie de com, de médias et surtout de lovebrand. 

Tu sais ces marques qui ont ce petit truc en plus que les autres. 

 Celles qui nous font sourire quand on entend leur slogan
 Celles qui nous rassurent quand on voit leur logo
 Celles qui nous font attendre des heures avant de pouvoir acheter le dernier modèle

Tu vois de qui je veux parler ? 

Mais avant de nous faire galérer sous la pluie, une lovebrand c’est surtout une marque qui a réussi à créer une relation affective avec ses consommateurs. 

Dans Lovebrand, on va décortiquer les secrets de ces marques, du packaging sympa aux publicités marrantes. Parce que devenir une lovebrand c’est un peu le goal de toutes les marques finalement. 

Et pour y arriver ça se joue entre des produits canons et un marketing en rafale : publicité, branding, RS, placement de produit, influence, opérations spéciales, sponsoring... tout est possible. 

Ça te va ? 

Alors on y va",Media & Telecommunications,Self-employed,Self Employed,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/lovebrand-podcast
Chair Global International communication,"About Chair Global
Chair Global is an international  stratigec communications agency  founded by Daleen Hassan that specializes in international outreach consulting, visual storytelling, media production, and training services.

Today’s world is more connected than ever, with bridges of economic trade extending from one continent to the other. But to connect businesses with Global citizens, we need more than that. We need bridges of communication and cross-cultural understandings.  
Based in Paris with an office in the UAE at the heart of the region’s fastest-growing economy and most attractive investment hub. We have all the links and tools you need to reach customers across the world.

We’re here to help you extend your footprint, amplify your brand voice, and share your story with more people around the world. With our vast experience in the communications industry, we designed out-of-the-box solutions and personalized services to do just that.",Media & Telecommunications,2-10 employees,Privately Held,"Paris , Il De France, France",France,chairglob.com,https://www.linkedin.com/company/chair-global-international-communication
Grand Frère,"Grand Frère - Votre parenthèse bienveillante en Protection de l'Enfance

Grand Frère est une newsletter dédiée à la protection de l'enfance, créée pour soutenir, informer et donner la parole aux jeunes et anciens jeunes confiés à l'Aide Sociale à l'Enfance, ainsi qu'aux professionnels et bénévoles qui les accompagnent. Chaque mois, nous proposons des articles inspirants, des témoignages, des ressources pratiques et des informations clés sur les droits des jeunes, les dispositifs de soutien et les bonnes pratiques dans le domaine de la protection de l'enfance.

Notre mission est simple : tisser des liens, offrir un espace d’expression et d'écoute, et permettre à chacun de trouver son chemin vers l’autonomie et le bien-être.

Que vous soyez jeune ou ancien confié l'Aide Sociale à l'Enfance, professionnel engagé ou bénévole dévoué, Grand Frère est là pour vous accompagner à chaque étape.

Rejoignez notre communauté solidaire et découvrez des histoires inspirantes, des conseils utiles et des outils pour un avenir meilleur. Ensemble, et si on changeait de regard sur la Protection de l'Enfance ?",Media & Telecommunications,Self-employed,Non Profit,"Nancy, Grand Est, France",France,,https://www.linkedin.com/company/grand-frère-media
web30.vc,"A circle bridging investors, businesses, with web3 high achievers.
Access to under the radar web3 network, events, and investments.

web3 startup? send your deck, we invest.",Media & Telecommunications,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,web30.vc,https://www.linkedin.com/company/web30vc
Libra Agency,"Révélatrice de lumière et créatrice de nouveaux récits, l'agence Libra Agency accompagne celles et ceux qui transforment le monde à faire entendre leur récit.

À travers ses trois pôles – formations, accompagnement en relations presse et cycles de conférences –, l'agence façonne des récits puissants qui éclairent, valorisent les identités et ouvrent de nouveaux horizons.

Fondée par Fatima Hammouch, forte de dix ans d’expertise en communication et en narration, Libra Agency s’inspire des mouvements culturels, sociaux et politiques contemporains pour proposer une vision singulière de la communication et des relations médias : replacer la dignité et les valeurs au cœur des récits qui façonnent nos imaginaires médiatiques et collectifs.",Media & Telecommunications,Self-employed,Self Owned,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/libra-agency
Strange Seas Magazine,"Strange Seas is a magazine that revolves around surfing, art, the environment and other topics related to the world of blue space.",Media & Telecommunications,Self-employed,Self Employed,"Biarritz, Nouvelle-Aquitaine, France",France,strangeseasmag.com,https://www.linkedin.com/company/strange-seas-magazine
222.feelings,Where music connects people.,Media & Telecommunications,Self-employed,Self Employed,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/222-feelings
Vert ton île,"Toutes les initiatives écologiques de l’île avec Vert ton île, le média 100% réseaux sociaux !",Media & Telecommunications,2-10 employees,Non Profit,"St.-Denis, Île-de-France, France",France,,https://www.linkedin.com/company/verttonile
Rough&Polished,"A leading industry expert, specializing in understanding the complex factors driving mining, precious stones, and metals markets",Media & Telecommunications,11-50 employees,Public Company,"Strasbourg, Grand Est, France",France,rough-polished.expert,https://www.linkedin.com/company/rough-polished
Fanzinat,"Le film documentaire Fanzinat est disponible en DVD, en VOD et lors de projections accompagnées de rencontres",Media & Telecommunications,2-10 employees,Non Profit,"Tarnos, Nouvelle-Aquitaine, France",France,fanzinat.fr,https://www.linkedin.com/company/fanzinat
EnKontinu,"Étudiante en journalisme à l'@ISCPA_Paris , EnKontinu est un projet que je développe en parallèle de mes études . Confiante que l'instruction passe par l'information. EnKontinu est donc le média de l'instruction ! Vous pouvez retrouvez ma page Instagram et sur TikTok@enkontinu.",Media & Telecommunications,Self-employed,Self Employed,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/enkontinu
