Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Groupe iliad,"Created in the early 1990s, the iliad Group is the inventor of the world’s first triple-play box and has grown into a major European telecoms player, standing out for its innovative, straightforward and attractive offerings. 

The Group is the parent of Free in France, iliad in Italy and Play in Poland, has over 16,500 employees serving 45.3 million subscribers, and generated €7.6 billion in pro forma revenues in 2021. 

In France, the Group is an integrated Fixed and Mobile Ultra-Fast Broadband operator and had over 21.2 million retail subscribers at September 30, 2022. On March 23, 2021, the iliad Group launched its BtoB business in France under the Free Pro brand.

In Italy – where the Group made its entry in 2018 under the iliad brand, becoming the country’s fourth mobile operator – it had over 9.4 million subscribers at end-September 2022. 

With the acquisition of Polish mobile operator Play in November 2020, which currently has 14 million subscribers, the iliad Group became Europe’s sixth-largest mobile operator by number of subscribers.",Telecommunications Carriers,"10,001+ employees",Partnership,"Paris, Île-de-France, France",France,iliad.fr,https://www.linkedin.com/company/groupe-iliad
ACMOSS - Agence des communications mobiles opérationnelles de sécurité et de secours,"L’agence des communications mobiles opérationnelles de sécurité et de secours (ACMOSS) est un établissement public national à caractère administratif, sous la tutelle du ministre de l’Intérieur. 

Créée par décret le 30 mars 2023, l’ACMOSS est chargée de la mise en œuvre et de l’opération du Réseau Radio du Futur (RRF). 

Le RRF est un réseau de télécommunications numérique ayant vocation à remplacer les réseaux de télécommunications utilisés par les services publics français (polices nationale et municipales, gendarmerie, pompiers, SAMU, douaniers, administrations pénitentiaires, Préfectures ...) à partir d'avril 2025.

Ainsi, le RRF dote les acteurs de la sécurité, du secours et de la santé français d’un système de communication commun, prioritaire, sécurisé et haut débit bénéficiant des meilleures technologies numériques et d’un haut niveau de résilience en cas de crise.

L'ACMOSS est présente sur X/Twitter : @ACMOSS_FR",Telecommunications Carriers,51-200 employees,Government Agency,"Courbevoie, Île-de-France, France",France,acmoss.fr,https://www.linkedin.com/company/acmoss
iconnect S.A.S,"Iconnect is a global telecom provider specialising in high-performance voice and messaging solutions. With a presence across multiple continents and a network of trusted interconnections, we enable MNOs, MVNOs, and enterprise companies to communicate seamlessly across borders.
Built on a foundation of precision, trust, and technical excellence, our services are engineered to meet the demands of today’s dynamic telecom landscape. From A-Z voice termination to compliant global SMS delivery, every route we manage is backed by 24/7 support, direct MNO access, and robust quality controls.
At Iconnect, every connection we enable is a commitment to quality, trust, and scale.",Telecommunications Carriers,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,iconnect.global,https://www.linkedin.com/company/iconnectglobal
Groupe Action Télécom,"Architecte du numérique depuis 2004, le Groupe Action Télécom accompagne les entreprises dans la conception, l’évolution et la sécurisation de leurs environnements numériques.

Implantés en Nouvelle-Aquitaine et Occitanie, nous plaçons la proximité, la rigueur et la qualité d’exécution au cœur de chaque projet.

Notre métier :
Connecter, Communiquer, Collaborer, Héberger, Sécuriser et Administrer les systèmes d’information de nos clients, avec une approche claire, utile et durable.

Plus de 20 ans d’expertise, 5 agences, 40 collaborateurs et 800 entreprises accompagnées.

Nous ne vendons pas des technologies. Nous architecturons des environnements numériques pensés pour durer.",Telecommunications Carriers,51-200 employees,Self Owned,"Roquefort, Nouvelle-Aquitaine, France",France,actiontelecom.fr,https://www.linkedin.com/company/groupeactiontelecom
OPERA TELECOM,"OPERA Télécom, votre partenaire de solutions de communication pour votre entreprise !

Nous avons à cœur de vous accompagner, vous guider pas à pas vers LA solution de communication qui convient à votre entreprise. 

Nous vous soutenons à chaque étape de votre croissance.

 Solution complète de téléphonie d'entreprise, personnalisée et évolutive
 Votre connexion internet professionnelle sur mesure, fiable et sécurisée
 Votre partenaire informatique pour la croissance de votre entreprise
 Une sécurité totale, une simplicité absolue : protégez votre entreprise avec nous !
 Collaborez sans limites, où que vous soyez
 Facilitez vos encaissements, choisissez le paiement qui vous convient
 Construisez un réseau solide, où le câblage est le cœur et les équipements sont les poumons de votre infrastructure

OPERA Télécom, c'est une équipe dévouée à votre service.",Telecommunications Carriers,11-50 employees,Privately Held,"Pouilley-les-Vignes, Bourgogne-Franche-Comté, France",France,operatelecom.fr,https://www.linkedin.com/company/mmt---groupe-opera
Mobileo Telecom,"Opérateur télécom national, nous fournissons une gamme de forfaits et de services de téléphonie sur le réseau Orange, destinée à une clientèle de particuliers et de professionnels. Nous développons dans toute la France un solide réseau de magasins indépendants de proximité.",Telecommunications Carriers,11-50 employees,Privately Held,"Nanterre, Île-de-France, France",France,mobileo-telecom.fr,https://www.linkedin.com/company/mobileo-telecom
D-Lake,"Le groupe D-Lake accompagne ses clients dans la sécurisation de leurs données.
Contactez-nous : sales@d-lake.fr",Telecommunications Carriers,2-10 employees,Privately Held,"Annecy, Auvergne-Rhône-Alpes, France",France,d-lake.fr,https://www.linkedin.com/company/d-lake
Lemnia,"Téléphonie, internet, Cloud français, service informatique et cybersécurité. Un peu plus d’humain.

• Audit et conseil numérique 
• Téléphonie sur VOIP 
• Sécurité - Protection contre les cybermenaces 
• Sauvegarde de vos données 
• Mise en place et gestion des serveurs
• Cloud 
• Réseau Privé Virtuel : VPN
• Accès internet et système Wifi à couverture étendue 
• Infogérance  
• Optimisation de vos investissements informatiques
• Distributeur officiel d’Artica Protect - https://www.artica-protect.fr

Lemnia propose 3 centres d’hébergement de données en France : Gravelines, Paris & Angers, notre objectif : être toujours plus proche de vous. 

 Pour plus de renseignements : 
 0 252 352 452
 www.lemnia.fr",Telecommunications Carriers,11-50 employees,Self Owned,"Angers, Pays de la Loire, France",France,lemnia.fr,https://www.linkedin.com/company/lemnia-sas
Databox,"Valise 4G intégrant 4 routeurs 4G agrégés connectés à plusieurs opérateurs, par le biais de plusieurs SIM mono-opérateur.
La Databox permet de disposer d’une connexion Internet haut débit ponctuelle en tout lieu.
Facilement transportable et prête à l’emploi, cette solution vous permet de disposer d’une connexion Internet de qualité professionnelle sur tous vos évènements ou besoins business.
Nous la proposons en location courte durée pour 1 jour ou 1 semaine ou longue durée sur 1, 2, 3 ans et plus, pour fournir de l’Internet dans les établissements en zone blanche, par exemple.
Fonctionne en France et également dans le monde entier.
Sécurisée, infogérée à distance, autonome sur batterie en cas de coupure de courant.",Telecommunications Carriers,2-10 employees,Partnership,"Sargé-lès-le-Mans, Pays de la Loire, France",France,databox.fr,https://www.linkedin.com/company/databox-wifi
LODMI,Solutions de déploiement et de gestion de bornes de recharge pour les véhicules électriques,Telecommunications Carriers,2-10 employees,Self Owned,"Arras, Hauts-de-France, France",France,lodmi.com,https://www.linkedin.com/company/lodmi
