Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Altitude Infra,"Altitude Infra est le premier opérateur d’infrastructures télécoms indépendant en France. En étroite collaboration avec les collectivités locales, qui délèguent leur service public de connectivité très haut débit au Groupe, 10 millions de français seront éligibles à la fibre optique au terme du déploiement effectué par la Team AltitudeInfra.

Aves ses 500 collaborateurs, Altitude Infra génère plus de 6 000 emplois indirects (sous-traitance), investit près de 3 milliards d’€ dans ses projets et participe activement à l’attractivité économique  des territoires.
Sa croissance repose sur un état d’esprit partagé à la fois par ses collaborateurs et ses partenaires autour d’une ambition commune : venir à bout de la fracture numérique qui impacte les territoires. Guidées par le sens du collectif, de l’audace et de l’agilité, ses équipes imaginent et mettent en œuvre les projets de déploiement et d’exploitation de la fibre optique prévus par le Plan France Très Haut Débit. 

Son objectif : la fibre optique pour tous en 2025 !",Telecommunications,"501-1,000 employees",Privately Held,"Val-de-Reuil, Normandy, France",France,altitudeinfra.fr,https://www.linkedin.com/company/altitude-infra
SARL SOLINK,"SOLINK est une société spécialisée dans les infrastructures télécoms, intervenant en tant que sous-traitant technique auprès des maîtres d’œuvre, opérateurs et entreprises du secteur.

Nous accompagnons nos clients dans le déploiement, l’installation et la mise en service de réseaux mobiles, en apportant une expertise terrain reconnue et une forte capacité d’adaptation aux contraintes opérationnelles.

Nos équipes interviennent sur l’ensemble des phases techniques des projets télécoms, depuis l’installation des équipements jusqu’à leur mise en service et leur optimisation. Nous maîtrisons notamment les technologies GSM et radio, ainsi que les solutions de transmission par faisceaux hertziens.

Nos domaines d’intervention :
 Installation d’équipements GSM et radio
 Déploiement de faisceaux hertziens
 Mise en service et intégration de sites
 Tests, contrôle qualité et optimisation
 Support technique et сопровement des maîtres d’œuvre

Grâce à une approche rigoureuse et orientée résultats, SOLINK garantit des prestations fiables, conformes aux exigences techniques et aux délais des projets. Nous plaçons la qualité d’exécution, la sécurité et la réactivité au cœur de chacune de nos interventions.

Véritable partenaire terrain, SOLINK s’engage aux côtés de ses clients pour assurer la performance, la continuité et la pérennité des infrastructures télécoms.",Telecommunications,2-10 employees,Privately Held,"Ribaute-les-tavernes, France",France,,https://www.linkedin.com/company/sarl-solink
Neolis Communications Unifiées,"Neolis propose des solutions de téléphonie par internet ( IP) qui simplifient le quotidien des entreprises ! 
Véritable assistant personnel, la solution NEOLIS offre les fonctionnalités d'un standard téléphonique ultra performant : accueil vocal, automatisation, mobilité, softphone, analyse des consommations... 
Grâce à sa technologie VOIP, Neolis vous aide à réduire votre budget téléphonie jusqu'à 70%",Telecommunications,2-10 employees,Self Owned,"Ajaccio, Corsica, France",France,,https://www.linkedin.com/company/neolis-communications-unifiées
Net1C,Net1C is a two face company with a very strong skill in International interconnection especially between Europe and Africa for voice and a large data network. We operate mainly from Paris and we have some POPs in Europe in order to provide our Services.,Telecommunications,2-10 employees,Privately Held,"Paris, France",France,net1c.com,https://www.linkedin.com/company/net1c
SYMACOM,YYYYYYYYY,Telecommunications,11-50 employees,Partnership,France,France,symacom.fr,https://www.linkedin.com/company/symacom
Tintamarre,"Tintamarre est une société dédiée à l’enfouissement des réseaux de Télécommunication à St Martin, îles du Nord 978. 
Fort de ces actionnaires, la Collectivité de Saint-Martin, le Groupe caisse des dépôts et Dauphin Télécom infrastructure, mais aussi de ses partenaires institutionnels que sont l'Etat, le FEDER et les opérateurs co-investisseurs; la société Tintamarre à pour ambition de rendre possible le déploiement du très haut débit au bénéfice des Saint-Martinois.
Télécharger l'offre d'accès ici >>  https://bit.ly/3jS06sr",Telecommunications,2-10 employees,Privately Held,France,France,,https://www.linkedin.com/company/tintamarre978
DARCI IA Déploiement Autonome de Réseaux de Communication par Intelligence,"DARCI IA – Déploiement Autonome de Réseaux de Communication par Intelligence

DARCI IA est une entité innovante officiellement enregistrée en France (SIREN actif), spécialisée dans le développement d’infrastructures de communication autonomes.

Notre technologie repose sur une architecture décentralisée de type mesh (réseau maillé), permettant aux équipements de communiquer directement entre eux sans dépendre de serveurs centralisés ni d’infrastructures cloud traditionnelles.

Le système DARCI IA fonctionne :
• Sans serveur central  
• Sans dépendance à Internet  
• Mais également avec Internet lorsque disponible  

Cela garantit une connectivité continue, résiliente et sécurisée, même dans des environnements isolés ou critiques.

Nos solutions couvrent :
• Réseaux de communication autonomes  
• Vidéosurveillance intelligente  
• Systèmes de capteurs et sécurité  
• Téléphonie et connectivité locale  
• Gestion digitale hors ligne  

Notre approche combine Intelligence Artificielle, cybersécurité et infrastructures distribuées pour offrir une indépendance technologique totale.

Mission : Innover. Connecter. Protéger.  
Basé à Saint-Lô, Normandie – France  
Entité enregistrée (SIREN actif)",Telecommunications,2-10 employees,Privately Held,"Saint Lo , Normandie, France",France,,https://www.linkedin.com/company/darci-ia
Wilco - Networks & Telecommunication,"Wilco Networks is a global provider of telecommunication solutions.
Started in 2016, the new service « La Carte by Wilco » is the alternative for business and private travellers to decrease their roaming costs by 60% to 90%. La Carte by Wilco is an international SIM card that people can use while travelling to call, be called, send SMS or use the internet. 

In order to fit to its business customer, Wilco has developped a unique online platform that allows companies to manage in real time their fleet of SIM card.

Wilco has its head office based in Quimper, France, and support is provided by Wilco sales & support teams also based in Paris, France.",Telecommunications,2-10 employees,Partnership,"Quimper, Brittany, France",France,wilco-lacarte.fr,https://www.linkedin.com/company/wilco---networks-&-telecommunication
Simplicime - Debitel,.,Telecommunications,51-200 employees,Privately Held,France,France,simplicime.com,https://www.linkedin.com/company/simplicime---debitel
ADEPT Telecom,Activité de Développement En Produits de Télécommunication,Telecommunications,11-50 employees,Self Owned,France,France,adept-telecom.fr,https://www.linkedin.com/company/adept-telecom_2
Odéna,"Opérateur télécom, fournisseur et hébergeur de services informatiques pour les professionnels bretons.",Telecommunications,2-10 employees,Privately Held,"Quimper, Brittany, France",France,odena.net,https://www.linkedin.com/company/odéna
SARL DocteurPC Informatique,"Passionné et expert de l’informatique, DocteurPC a pour but d’améliorer la vie de chacun grâce à notre savoir faire.

DocteurPC met en avant des produits de qualité pour but d’optimiser vos performances et améliorer votre expérience de travail et de loisir pour les particuliers et professionnels.

Le savoir-faire et l’expérience de DocteurPC sont pour vous la certitude d’une installation qui répond à tous vos désirs.

Votre satisfaction est la garantie de la réussite.",Telecommunications,2-10 employees,Privately Held,"Vildé-Guingalan, Brittany, France",France,docteurpcinfo.fr,https://www.linkedin.com/company/sarl-docteurpc-informatique
Breizh VOIP,"- Location de centrale téléphonique VOIP (IPBX) dédié.
- Installation et configuration de vos postes de téléphone VOIP
- Installation de votre réseaux d'entreprise
- Solution de sauvegarde respectant la norme GRPD.
- Installation et maintenance informatique sur site pour les PRO comme pour les particuliers.",Telecommunications,2-10 employees,Non Profit,"Le Relecq-Kerhuon, Brittany, France",France,breizhvoip.fr,https://www.linkedin.com/company/breizh-voip
Technodis,"TECHNODIS a pour objectif la commercialisation sur le Continent Africain des « Networks Télécoms solutions », ainsi que les solutions tests et mesures en Télécommunications.",Telecommunications,2-10 employees,Privately Held,"Gazeran, France",France,technodis.net,https://www.linkedin.com/company/technodis
iReplay.TV,"TV Channel in a browser - iReplay builds and operates multicreen (Mobile, Tablet, Connected TV, STB, Game console) video on-demand services and/or 24x7 Live TV channels from any content (preprogrammed, live). Manage TV channels from a simple web browser. SaaS, pay-as-you-grow solution.",Telecommunications,2-10 employees,Privately Held,"Rennes, Brittany, France",France,ireplay.tv,https://www.linkedin.com/company/ireplay-tv
inDiGO,"inDiGO, opérateur télécom doté d’une licence L34-2 depuis 2003, est expert en Marketing Télécom, analyse des flux et valorisation des contacts téléphoniques (dont SmartPhone ).

Nos solutions Relation Clients se connectent nativement et en temps réel avec les systèmes d'informations de nos clients pour une intelligence maximale.
inDiGO offre aux décideurs une vue globale et instantanée de la performance des différents Centre de contacts. 
Une équipe compétente et réactive, des partenaires forts
Une infrastructure télécom et informatique de premier plan, redondée et sécurisée
Une capacité d'intégration forte au sein des grands comptes",Telecommunications,2-10 employees,Privately Held,France,France,indigo-opera.fr,https://www.linkedin.com/company/indigo_7
TIPSS,"Forts de plus de 20 ans d’expériences, nous mettons notre savoir-faire à votre disposition pour vous proposer des solutions adaptées à votre taille (petite ou grande entreprise), votre secteur (privé ou public),votre organisation (mono ou multisite), votre domaine (tertiaire, industrie, santé, ...) ainsi que vos spécificités et enjeux.

TIPSS c'est quatre activités avec un objectif unique:
 - Télécoms: téléphonie d'entreprise, mobilité, infrastructure cuivre et optique
 - Internet: abonnement, communication, optimisation des couts
 - Protection des personnes et des biens: appel malade, travailleur isolé, vidéo
 - Solutions: visioconférence, collaboration, réseaux Lan et Wifi
 - Services: conseil, accompagnement, proximité

Présent du conseil à la réalisation, nous sommes à votre écoute pour vous accompagner dans l'évolution et le suivi de votre solution globale de communication.",Telecommunications,2-10 employees,Privately Held,"Rennes, Brittany, France",France,tipss.fr,https://www.linkedin.com/company/tipss-sarl
West Mediacom,"West Mediacom est basé sur Pleyben dans le centre Finistère.
Nos activités : 
Dépannages et services informatique à domicile et sur site.
Réparations de smartphone .
Télécommunication .",Telecommunications,Self-employed,Self Employed,"Pleyben, Brittany, France",France,west-mediacom.fr,https://www.linkedin.com/company/west-mediacom
LAY COM,"Chez Laycom, nous sommes spécialisés dans le déploiement de solutions fibre optique sur mesure pour répondre à tous vos besoins en matière de connectivité. Depuis 2018, nous mettons notre expertise et notre savoir-faire au service des particuliers, des entreprises et des collectivités locales.",Telecommunications,11-50 employees,Privately Held,"Aubervilliers - (93300), France",France,laycom-reseaux.fr,https://www.linkedin.com/company/laycom75
360iot Expert,"Accompagnement à 360 degrés sur les projets IoT.
Intervention dès l'amont sur la réflexion métier et cas d'usages, puis sur la partie construction de l'offre de services/produits.
Mise en œuvre de la solution (validation du concept, recherche de partenaires, gestion de projet...)
Développement commercial (avant-vente, business development, réponse à appels d'offres).",Telecommunications,Self-employed,Self Owned,"Rennes, Brittany, France",France,360iot-expert.com,https://www.linkedin.com/company/360iot-expert
CHIC MOBILE,"CHIC MOBILE est un centre de réparation pour smartphone, tablette et consoles de jeux. Les réparations sont faites sur place, par un technicien diplômé. Nous proposons également la vente de téléphone reconditionné ainsi qu'une large gamme d'accessoires pour vos équipements toutes marques. Retrouvez nous Rue Piétonne à Fécamp, au 19 rue Jacques Huet.",Telecommunications,Self-employed,Self Owned,"Fécamp, Normandy, France",France,chicmobilefecamp.fr,https://www.linkedin.com/company/chic-mobile
Igor Conti,Développeur Freelance,Telecommunications,Self-employed,Self Employed,France,France,,https://www.linkedin.com/company/igor-conti-b83b697
SCOPATEL,"SCOPATEL SCOP Travaux télécommunications
11 Rue Sébastienne Guyot
22950 TREGUEUX",Telecommunications,2-10 employees,Self Owned,"Trégueux, Brittany, France",France,scopatel.fr,https://www.linkedin.com/company/scopatel
