Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
LG Electronics,"Step into the world of LG Electronics, a global innovator in technology and consumer electronics focused on creating solutions for a better life. Guided by our brand promise, Life’s Good, we aim to make everyday life better, smarter and more meaningful for people around the world.

With a history spanning more than six decades, a network of more than 100 subsidiaries, and an international workforce of over 75,000, LG Electronics operates on a truly global scale. Since our founding in 1958, we have remained focused on delivering innovative products and technologies that improve lives around the world.

Through our four business divisions — Home Appliance Solution, Media Entertainment Solution, Vehicle Solution, and Eco Solution Companies — we provide innovative products and services that enhance everyday life across residential, entertainment, mobility, and HVAC sectors.

At the same time, we continue to expand into new growth areas including AI Home, smart factories, robotics and platform-based services such as webOS, building on our strengths in both consumer technology and B2B solutions.

Our management philosophy, Jeong-do Management, reflects our commitment to integrity, transparency and doing business the right way. Built on the principles of customer value creation and people-oriented management, our culture encourages collaboration, creativity and growth.

Join us as we continue to shape what comes next, because at LG, Life’s Good.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Eschborn, Hesse, Germany",Germany,lg.com,https://www.linkedin.com/company/lg-electronics
Repro Elektronik Gmbh,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Anspach, Hesse, Germany",Germany,repro-elektronik.de,https://www.linkedin.com/company/repro-elektronik-gmbh
Rudolf Kiesewetter Messtechnik GmbH,"Rudolf Kiesewetter Messtechnik GmbH steht seit 1908 für innovative und präzise Messtechniklösungen für Industrie und Forschung. Unsere Produktpalette umfasst hochentwickelte Schalttafelmessgeräte, Belichtungsmesser sowie Geräte zur Erfassung elektrischer und physikalischer Größen.

Unsere Produkte genießen sowohl national als auch international hohe Anerkennung. Wir streben kontinuierlich danach, unseren Kunden innovative Lösungen anzubieten und unsere Produktpalette stetig zu erweitern – immer auf dem neuesten Stand der Technik.

Mit über 100 Jahren Erfahrung bieten wir zuverlässige und maßgeschneiderte Messlösungen, die dazu beitragen, Ihre Prozesse zu optimieren und die Effizienz zu steigern.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Public Company,"Leipzig, Saxony, Germany",Germany,kiesewetter-mt.de,https://www.linkedin.com/company/rudolf-kiesewetter-messtechnik-gmbh
SHARP ELECTRONICS EUROPE G M B H,,"Appliances, Electrical, and Electronics Manufacturing",,,"Hamburg, Hamburg, Germany",Germany,,https://www.linkedin.com/company/sharp-electronics-europe-g-m-b-h
Ledexperte,"Online LED lighting shop with wholesale distribution and delivery within 24 hours. Buy your Led bulbs, Led tubes, Led panels, Led strips, ...","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Partnership,"Hamburg, Hamburg, Germany",Germany,ledexperte.com,https://www.linkedin.com/company/ledexperte
Dräger Safety AG & Co. KGaA ServiceStützpunkt Hannover,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Langenhagen, Lower Saxony, Germany",Germany,draegermsi.de,https://www.linkedin.com/company/dräger-safety-ag-&-co.-kgaa-servicestützpunkt-hannover
KAS Elektrotechnik GmbH,"KAS Elektrotechnik GmbH is an electrical/electronic manufacturing company based out of Leipziger Str. 96a, Kassel, Rotenburg a d Fulda, Germany.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Fulda, Hesse, Germany",Germany,kas-elektrotechnik.de,https://www.linkedin.com/company/kas-elektrotechnik-gmbh
Fritz Ohlmeyer GmbH,"Wir sind telefonisch immer für Sie erreichbar Oder besuchen Sie uns während der Geschäftszeiten, jeweils","Appliances, Electrical, and Electronics Manufacturing",,,"Bücken, Lower Saxony, Germany",Germany,ohlmeyer.com,https://www.linkedin.com/company/fritz-ohlmeyer-gmbh
Michael Becker Sicherheitstechnik GmbH,"Alle fünf Minuten wird in Deutschland eingebrochen. Damit es bei Ihnen nicht soweit kommt, gibt es intelligente Sicherheitssysteme. Wir stehen seit 1990 im Dienste Ihrer Sicherheit.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,"Bad Langensalza, Thuringia, Germany",Germany,becker-sicherheitstechnik.de,https://www.linkedin.com/company/michael-becker-sicherheitstechnik-gmbh
K.M.E. Klingenthaler Musikelektronik GmbH,Hersteller von Beschallungslösungen,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,"Klingenthal, Saxony, Germany",Germany,kme-sound.com,https://www.linkedin.com/company/kme-gmbh
