Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Munich, Bavaria, Germany",Germany,siemens.com,https://www.linkedin.com/company/siemens
Dr. Ecklebe GmbH,"We develop individual and innovative solutions for industrial automation, plant engineering and construction and information technologies (IT). Our experiences are based on many years in business. They together with our very detailed technical know how are the daily basis of our work.",Automation Machinery Manufacturing,51-200 employees,Public Company,"Wernigerode, Saxony-Anhalt, Germany",Germany,dr-ecklebe.de,https://www.linkedin.com/company/dr-ecklebe
scitis.io GmbH,xcv,Automation Machinery Manufacturing,11-50 employees,Public Company,"Stuttgart, Baden-Württemberg, Germany",Germany,scitis.io,https://www.linkedin.com/company/scitis-io
UNIVER GmbH,"...die Experten für Pneumatik Automation, Spanntechnik Automotive, GR8 Modular Tooling System (Greifer- und Handlingsysteme) und Engineering & Konstruktion in Rüsselsheim am Main. UNIVER GmbH ist ein Unternehmen der UNIVER GROUP und welterweiter Zulieferer der Automobilindustrie und Hersteller von Pneumatikkomponenten mit eigener Fertigung in Europa.",Automation Machinery Manufacturing,11-50 employees,Public Company,"Rüsselsheim, Hesse, Germany",Germany,univer-gmbh.de,https://www.linkedin.com/company/univer-gmbh
Kaptura GmbH,"Kaptura macht Unternehmensdaten greifbar – präzise, sicher und zukunftsfähig. Mit dem IMS 360 und der KAPTURA Cloud verwandeln wir physische Produkte in verlässliche digitale Daten und schaffen damit die Grundlage für fundierte Entscheidungen in Logistik, Aftersales, Produktion und E-Commerce.

Unser 3D-Scan-System IMS 360 erfasst Maße, Gewicht und 360°-Produktfotos auf Knopfdruck – ganz ohne manuelle Eingabe. Die KAPTURA Cloud bündelt diese Daten standortübergreifend, synchronisiert sie mit Ihren Unternehmenssystemen (ERP, WMS, PIM) und stellt sie sicher und verschlüsselt bereit. Hosting in Deutschland, unternehmensweiter Browserzugriff, inklusive OCR und Label-Erkennung als integrierte Analysefunktion.

Das bedeutet für Sie:

Logistik & Lager:
Optimierte Lagerplatznutzung, bis zu 15 % geringere Versandkosten, lückenlose Dokumentation für Retouren- und Fraud-Management

Aftersales & Ersatzteile:
Bis zu 5× schnellere Teilerkennung via KI-App, weniger Maschinenstillstand durch sofort verfügbare Ersatzteilbilder und -daten

E-Commerce & Marketing:
Professionelle 360°-Produktbilder ohne Fotostudio, bis zu 40 % weniger Retouren durch konsistente Produktdarstellung

Qualitätssicherung:
Automatisierter Soll-Ist-Abgleich, audit-fähige Nachweise für ISO, PPAP, MDR/UDI und Aerospace-Anforderungen

Wir entwickeln Kaptura kontinuierlich weiter. Folgen Sie uns, um zu erfahren, wie Unternehmen in Logistik und Industrie ihre Prozesse digitalisieren.

www.kaptura.de",Automation Machinery Manufacturing,11-50 employees,Public Company,"Bendorf, Rhineland-Palatinate, Germany",Germany,kaptura.de,https://www.linkedin.com/company/kaptura-gmbh
Elektroanlagen Röring GmbH,"Elektro-Anlagen Röring GmbH – Ihr Partner für Automatisierung und Schaltanlagen

Seit unserer Gründung im Jahr 1990 steht Elektro-Anlagen Röring GmbH aus Vreden für Innovation, Qualität und Zuverlässigkeit in der Elektrotechnik. Mit einem erfahrenen Team von 60 Mitarbeiterinnen und Mitarbeitern realisieren wir weltweit Projekte, die nicht nur effizient, sondern auch zukunftsorientiert sind.

Unsere Expertise liegt in der Produktion von Schaltanlagen sowie der Umsetzung industrieller Automatisierungsprojekte. Dabei begleiten wir unsere Kunden in jedem Schritt des Prozesses: von der Beratung und Planung über die Programmierung und das Engineering bis hin zur Montage und Inbetriebnahme vor Ort. Mit diesem ganzheitlichen Ansatz schaffen wir Lösungen, die individuell auf die Bedürfnisse unserer Kunden zugeschnitten sind.

Unsere Kunden kommen aus unterschiedlichen Branchen, darunter Industrieunternehmen, Energie- und Umwelttechnik sowie Kommunen. Dank unserer Kompetenz in Automatisierung und Engineering sorgen wir für maximale Prozessstabilität und Flexibilität Ihrer Anlagen.

„Qualität ist unser Anspruch, Zuverlässigkeit unser Versprechen.“ Dieser Leitsatz ist tief in unserer Unternehmenskultur verankert und motiviert uns, jeden Tag unser Bestes zu geben.

Lernen Sie uns kennen und entdecken Sie, wie wir gemeinsam Ihre Projekte in leistungsstarke Lösungen verwandeln.",Automation Machinery Manufacturing,51-200 employees,Public Company,"Vreden, North Rhine-Westphalia, Germany",Germany,roering.de,https://www.linkedin.com/company/elektro-anlagen-röring-gmbh
moin robotics GmbH,"Wir automatisieren durch individuelle Robotik, wir verbinden Produktionsbereiche durch Intralogistik und mit unserer academy teilen wir unsere Expertise und geben wir unser Wissen weiter.

Damit bringen wir Produktionen zum Fließen, wir schaffen Freiräume für Mitarbeiter, damit sie sich um wichtige Aufgaben kümmern können. Wir ermöglichen zusätzliche Produktionszeit durch Ausweitung der Kapazitäten und wir erhöhen die Produktionsgüte auf eine konsistent hohe Qualität.

Das leisten wir für große Unternehmen, für Mittelständler und Kleinunternehmen mit all ihren speziellen Aufgaben.

Ein Roboter ist ein Werkzeug. Sie und Ihre Aufgaben bestimmen seinen Einsatz. 
Wir transferieren Ihre Anforderungen in funktionierende Technik.",Automation Machinery Manufacturing,2-10 employees,Public Company,"Tornesch, Schleswig-Holstein, Germany",Germany,moinrobotics.de,https://www.linkedin.com/company/moinrobotics
Petronik Automation,"Petronik Automation has been a specialist in automation technology market ever since 1986 - and at home around most of the world.
Our activities involve the entire engineering and development of your measurement and control plant, as well as the implementation of our in-house developed software into our handcrafted control cabinets.
With our customized single source solutions we closely support you as a Partner to realize your project - any time - any place!
Our qualified and experienced staff members are also crucial to the process: they are experts who have mastered more than just their particular specialisations. Flexible, multilingual and well travelled they are professionals who have the know-how necessary to help out just about everywhere.
They are available at all times and even when they are needed in remote locations, they get there quickly. More than this, they are committed to ""your system"", are highly motivated, and have the competence to act quickly and safely.
However, more than experience is crucial for the successful implementation of your project. Our highly trained team members guarantee that your project will be executed to the highest standards, and will be state of the art.
But what would quality in technology and service be without absolute punctuality? We are proud of the fact that, with no exceptions, all systems designed by us have been successfully implemented. On time! Every time!

Petronik Automation is a name that stands for quality and efficiency, worldwide.
No matter whether assignments are large or small, whether we are creating a new system or upgrading an old one, every client is a ""number 1"".

No matter where you are, no matter what you want:
We are committed to you!

Take a look into our Job offerings:

https://www.petronik.de/en_US/karriere/



Imprint
Petronik Automation GmbH
Daimlerstr. 13
54634 Bitburg 
Germany
Commercial Register: Wittlich HRB-Nr. 31655
VAT No.: DE 148336522
Managing  Directors:
Gerlinde Petry
Alois Petry",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Bitburg, Rhineland-Palatinate, Germany",Germany,petronik.com,https://www.linkedin.com/company/petronik-automation-gmbh
Prowin A+W Automationstechnik GmbH,http://www.unserebroschuere.de/prowin-aw-3/WebView/,Automation Machinery Manufacturing,51-200 employees,Public Company,"Hauzenberg, Bavaria, Germany",Germany,prowin-aw.de,https://www.linkedin.com/company/prowin-a-w-automationstechnik-gmbh
S.M.A.R.T.S Engineering GmbH,"Bei S.M.A.R.T.S dreht sich alles um Planung im Bereich der EMSR, Automatisierung und IT. Unser dynamisches Team löst Kundenanforderungen, erarbeitet Konzepte und setzt diese ganzheitlich um.

Als Partner unserer Kunden unterstützen wir diese über den gesamten Lebenszyklus Ihrer Anlagen.

Wir helfen unseren Kunden bei der Konzeptionierung und Umsetzung bei Digitalisierungsthemen und Industrie 4.0.",Automation Machinery Manufacturing,11-50 employees,Public Company,"Cologne, North Rhine-Westphalia, Germany",Germany,smarts-engineering.de,https://www.linkedin.com/company/s-m-a-r-t-s-engineering-gmbh
