Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Regeneron,"At Regeneron we believe that when the right idea finds the right team, powerful change is possible. As we work across our expanding global network to invent, develop and commercialize life-transforming medicines for people with serious diseases, we’re establishing new ways to think about science, manufacturing and commercialization. And new ways to think about health. Connect with us so we can learn more about you, and you can learn more about our biopharmaceutical medicines. And join us, as we build a future we believe in.  

Please visit www.regeneron.com/social-media-terms for information on how to engage with us on social media.  

An important note about privacy: Regeneron is committed to your privacy and will not ask for sensitive personal information such as social security number, date of birth or bank account details via email or social media.",Biotechnology,"10,001+ employees",Public Company,"Munich, Bavaria, Germany",Germany,regeneron.com,https://www.linkedin.com/company/regeneron-pharmaceuticals
iST Jobst,"Jobst Technologies GmbH is a innovative and technology-oriented enterprise whose core competencies include micro systems technology, microfluidics and bio- and electrochemical analytics. 

Our main expertise is the multi-parametric monitoring at nanoliter volumes comprising enzymatic biosensor arrays, microfluidics, electronics, and software.

As of 2015, Jobst Technnologies GmbH is part of the Swiss company Innovative Sensor Technology IST AG (www.ist-ag.com).

Fields of application are metabolic monitoring in clinical settings, metabolic research both in vivo and in vitro, bioprocess development and fermentation control. In short, all the applications, which benefit from a timely knowledge of metabolic parameters, e.g. glucose, lactate, glutamine, and glutamate.
- monitoring of cell cultivation
- in medical settings microdialysis based monitoring
- minimally invasive multi-parameter monitoring

Contact:
Email: info.jobst@ist-ag.com
Phone: +49 761 5577 520
Fax: +49 761 5577 522",Biotechnology,11-50 employees,Privately Held,"Freiburg, Baden-Württemberg, Germany",Germany,ist-jobst.com,https://www.linkedin.com/company/jobst-technologies
microphoton x,"microphotonx develops and produces a novel analysis platform for biological applications and medical diagnostics. We combine Raman spectroscopy – for multi-omics analysis - with laser trapping – for concentrating cells or bacteria within the sample. This unique combination provides a maximum of information with a minimum of sample material.
Our label-free and non-destructive method allows measurements of single cells under physiological conditions. As a result, this technology reveals vital information on patients samples that remains undetectable for other technologies. With the aid of artificial intelligence we gather new insights into biological and pharmacological processes. Our technology is an important step forward in identifying pathogens, improving treatments, and developing novel therapies.",Biotechnology,11-50 employees,Partnership,"Tutzing, Bavaria, Germany",Germany,microphotonx.com,https://www.linkedin.com/company/microphotonx
Hermetia Baruth GmbH,,Biotechnology,2-10 employees,,"Baruth, Brandenburg, Germany",Germany,hermetia.de,https://www.linkedin.com/company/hermetia-baruth-gmbh
Lumis Life Science Consulting GmbH,"Our services cover the whole spectrum of vendor selection and management, clinical trial oversight management and training. Jointly with our customers, mainly small to midsize biopharmaceutical and medical device companies, we develop tailored solutions to optimise their drug development programs. For the best services in diverse areas, we collaborate with a network of experienced subject matter experts, cooperation partners and consultants.

Lumis Life Science Consulting GmbH, founded in 2020, is a subsidiary company of Lumis International GmbH.",Biotechnology,2-10 employees,Privately Held,"Berlin, Berlin, Germany",Germany,lumisconsult.com,https://www.linkedin.com/company/lumis-life-science-consulting
PROVIREX Genome Editing Therapies GmbH,"PROVIREX GmbH is a privately-held biotech company developing first-in-class advanced therapy medicinal products (ATMPs). PROVIREX is a spin-off of the Leibniz Institute for Virology (LIV) and is based in Hamburg, Germany. PROVIREX’s technology is based on error-free genome editing for eradication of life-threatening persistent virus infection. 

PROVIREX employs site-specific recombinase-based genome surgery technology to precisely excise chromosomally integrated viral genomes (proviruses). The major advantage of site-specific recombinases is that they function independently of host DNA repair. Therefore, in contrast to other gene editing technologies, they act with nucleotide precision producing completely error-free recombinants. The engineered recombinase Brec1 excises HIV-1 proviruses with high specificity from the genome of infected cells. PROVIREX’s  proprietary Brec1 technology is currently entering clinical testing as first-in-human phase Ib/IIa clinical trials aiming to remove HIV-1 using gene editing of the peripheral blood (hematopoietic) stem cells of people living with HIV.  

PROVIREX has built GMP-compliant clean rooms at the tecHHub in Hamburg, which have also been approved by GenTSV as S3** laboratories and in which Brec1 technology will be administered as gene therapy in the future.  In addition, PROVIREX will also offer CAR-T cancer therapy for people living with HIV, which is unique in Germany! PROVIREX is currently preparing its application for manufacturing authorization with the drug regulatory authority.

PROVIREX is also researching ways to administer Brec1 technology more easily and directly, e.g. via LNPs. In another research project, PROVIREX is further developing another recombinase, this time to treat HTLV-1, a retrovirus closely related to HIV that causes an aggressive form of blood cancer and a progressive neurological disease.",Biotechnology,11-50 employees,Public Company,"Hamburg, Hamburg, Germany",Germany,provirex.de,https://www.linkedin.com/company/provirex
BioCat GmbH (part of AddLife),"With over 25 years of experience, BioCat GmbH is a trusted provider of high-quality research reagents, instruments and advanced technologies in the fields of genomics, proteomics and cell biology. Founded in 2000 and headquartered in Heidelberg, Germany, BioCat specializes in delivering innovative tools that empower life science research across academic institutions, biotechnology companies and the pharmaceutical industry. Our mission is to enhance scientific discovery by offering reliable, state-of-the-art solutions that accelerate progress in biomedical research.

BioCat has consistently expanded its comprehensive portfolio of products manufactured by a network of world-wide suppliers to include some of the recent developments available in life sciences. The company operates from the Heidelberg Technology Park, near the German Cancer Research Center, allowing it to stay closely connected to leading scientific research.

As a dedicated partner to the research community, BioCat provides scientists with cutting-edge tools and personalized customer support to help streamline workflows and maximize research outcomes. Our experienced team works closely with researchers to ensure the most effective use of our products, while strong, long-standing relationships with our suppliers enable us to adapt quickly to new scientific and technological trends. BioCat’s broad product offering and responsive customer service make us a preferred partner for laboratories seeking reliable research solutions.

At BioCat, we believe in continuous progress and are striving to complement our product range with novel technologies that meet the evolving needs of the life science community. If you are looking for a capable and experienced partner to distribute your products within the German and European research markets, we welcome the opportunity to collaborate. Please contact us.",Biotechnology,11-50 employees,Public Company,"Heidelberg, Baden-Württemberg, Germany",Germany,biocat.com,https://www.linkedin.com/company/biocat-gmbh
ASC Oncology GmbH,"Reverse Clinical Engineering developed by ASC Oncology begins even before the start of chemotherapy: After the cancer is diagnosed, we use tumor tissue taken in a biopsy or from surgery to grow small copies of the tumor (so-called tumor organoids). We carry out tests on these organoids in the laboratory with various cancer drugs. We determine which drugs work particularly well (destruction of the organoids) and which do not work at all. Our results are a valuable aid to the attending physician when planning cancer therapy. In this way, a cancer drug or a combination of drugs can already be used with first line therapy, to benefit the patient as early as possible.",Biotechnology,2-10 employees,Public Company,"Berlin, Berlin, Germany",Germany,asc-oncology.com,https://www.linkedin.com/company/asc-oncology
algaegrowth,"Mikroalgen gehören zu den am schnellsten wachsenden Organismen auf der Welt. Wir erforschen die Kultivierung von Mikroalgen, um bestimmte Stoffe noch günstiger produzieren zu können. (Forschung seit 2007)

Stellen Sie sich vor, man könnte Landwirtschaft auf bisher nicht nutzbaren Flächen betreiben und dort ölhaltige Pflanzen für Biokraftstoffe, eiweißhaltige Pflanzen für Futtermittel oder Pflanzen, die Grundstoffe für Pharmazeutika und Kosmetika produzieren, anbauen.

Durch das Aufstellen von Photobioreaktoren, in denen Mikroalgen vermehrt werden, wird das möglich. Das Besondere an Mikroalgen ist, dass sie zu den am schnellsten wachsenden Organismen der Welt gehören und vielseitige Eigenschaften für die Produktion verschiedenster Stoffe aufweisen.

Wir haben ein solches Kultivierungssystem für Mikroalgen entwickelt, das leicht gereinigt und aktiv temperiert werden kann. Durch den Einsatz von wetterbeständigen Spezialmembranen können wir die Anschaffungs- und Betriebskosten bei gleich hoher Qualität der Biomasse im Vergleich zu bereits erhältlichen Systemen erheblich senken.

Unser langfristiges Ziel ist es, die Kosteneffizienz von Photobioreaktoren soweit zu steigern, dass unsere Kunden Biomasse aus Mikroalgen als Rohstoff für wirtschaftlich konkurrenzfähige Biokraftstoffe einsetzen können.",Biotechnology,2-10 employees,Privately Held,"Munich, Bavaria, Germany",Germany,algaegrowth.de,https://www.linkedin.com/company/algaegrowth
ISAR Bioscience GmbH,"ISAR Bioscience arbeitet an Projekten, die sich weit verbreiteten Krankheiten widmen. Dabei gehen eigene Forschung und die Kooperation mit externen Arbeitsgruppen Hand in Hand. Eine zentrale Rolle spielen dabei Stammzell-Technologien. Wir nutzen sie zum einen, um neue Krankheitsmodelle zu schaffen, die unser Wissen über die Ursachen und Mechanismen degenerativer Erkrankungen erweitern. Die Modelle helfen uns auch, neue Therapieprinzipien zu entdecken und zu entwickeln. Zudem erforschen wir die Wechselwirkungen zwischen Zellen; viele bekannte und vermutlich auch viele künftige Arzneimittel greifen in solche Mechanismen ein. Darüber hinaus bieten wir Services an: Von der Genom-Editierung über Messungen zur Begleitung von (prä-)klinischen Studien bis zu regulatorischen Dienstleistungen - wir helfen Ihnen gern.",Biotechnology,11-50 employees,Public Company,"Planegg, Bavaria, Germany",Germany,isarbioscience.de,https://www.linkedin.com/company/isar-bioscience
