Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gartner,"We deliver actionable, objective business and technology insights. Our expert guidance and tools enable faster, smarter decisions and stronger performance on an organization’s mission-critical priorities.

Our unrivaled combination of business and technology insights steers clients toward the right decisions on the issues that matter most. As a $6.5 billion company, with over 20,000 associates, and a member of the S&P 500, we are an objective partner with 13,000+ client enterprises in ~90 countries and territories — across every major function, geography, industry and market sector — and boast 45+ years of experience providing insights and expert guidance to client enterprises worldwide.

To learn more about how we guide the leaders who shape the world, visit gartner.com. 

Gartner, Inc. (NYSE: IT) 

Community guidelines: https://gtnr.it/3tceMrU

Hot Topics Across the C-Suite LinkedIn Newsletter: https://gtnr.it/4c56S97",Information Services,"10,001+ employees",Public Company,"Munich, Bavaria, Germany",Germany,gtnr.it,https://www.linkedin.com/company/gartner
agas Agentur und Verlag,agas Agentur und Verlag,Information Services,Self-employed,Self Employed,"Ismaning, Bavaria, Germany",Germany,agas-consulting.de,https://www.linkedin.com/company/agas-agentur-und-verlag
Ahrens Herrmann Consulting GmbH,"Training and Consulting - IT Management

Welcome to the website of Ahrens Herrmann Consulting GmbH, your partner for training and consulting.

Here you will find our project management and IT seminars and trainings for SAP  software, you can book as In-House training, our open seminars and our project management consulting services. We have also a test access for Office 365. Please feel free to contact us.

Imprint:
http://www.ahrens-herrmann.de/index.php?option=com_content&view=article&id=58&Itemid=67

Specialties:
SAP, IT Security, Unix / Linux, software development, project management, soft skills",Information Services,2-10 employees,Privately Held,"Hamburg, Hamburg, Germany",Germany,cat-x.de,https://www.linkedin.com/company/ahrens-herrmann-consulting-gmbh
Roadmap,,Information Services,2-10 employees,Privately Held,"Munich, Bavaria, Germany",Germany,roadmapwiki.com,https://www.linkedin.com/company/roadmapwiki
Bürgerinitiative A4minus,"Die Bürgerinitiative A4minus ist eine Gruppe engagierter Bürger*innen aus Köln-Poll und benachbarten Kölner Stadtteilen, die sich gegen den Neubau der Rodenkirchener Brücke und gegen den Ausbau der A4 zwischen den Autobahnkreuzen Köln-Gremberg und Köln-Süd einsetzt.

Wir wollen keinen Ausbau der A4 auf bis zu 10 Spuren inklusive verlängerter Auf- und Abfahrt.

Unser Ziel ist es, den geplanten Abriss der denkmalgeschützten und erst 1994 erweiterten Rodenkirchener Brücke zu verhindern, denn zukunftsorientierte und nachhaltige Stadtplanung sieht anders aus!

Der positiv erscheinende offizielle Projektname „A4plus – Ausbau im Kölner Süden“ der Autobahn GmbH GmbH suggeriert eine Aufwertung für angrenzende Stadtteile, das Bauprojekt birgt jedoch fast ausschließlich Nachteile für Poll und Umgebung. So besteht unter anderem ein deutlicher Widerspruch zu den beschlossenen Verkehrs- und Klimazielen der Europäischen Union und dem 2018 ausgesprochenen Klimanotstand der Stadt Köln.

„A4plus“ ist für Poll und viele anderen Stadtbezirke ein MINUS! Deshalb positionieren wir uns gegen den Ausbau der A4 zwischen den Autobahnkreuzen und den unnötigen Abriss der Rodenkirchener Brücke.

Gemeinsam für einen lebenswerten Kölner Süden mit Zukunft!",Information Services,11-50 employees,Self Owned,"Cologne, North Rhine-Westphalia, Germany",Germany,a4minus.de,https://www.linkedin.com/company/bürgerinitiative-a4-minus
ZTE Operations GmbH,,Information Services,11-50 employees,,"Düsseldorf, North Rhine-Westphalia, Germany",Germany,zte-deutschland.de,https://www.linkedin.com/company/zte-operations-gmbh
Sustainable Europe - Sustainable You,"""The yellow pages of certified sustainable European products""

This is a work in progress
We are in an era where sustainability seems to have lost the weight and importance it should have in our socity, due to war, especially with the now concrete evidence of climate change, we decided to build anApp to promote sustainability as a core value.

On this APP, the whole sustainable products (travel, fashion, cosmetics, food, wine, design, and a lot more) and services are located on a map and can be accessed just with a click. 

Thanks to the APP, the research process is really simple, and allows you to discover and find relevant information about sustainable products related to every aspect of everyday life.",Information Services,11-50 employees,Privately Held,"Berlin, Berlin, Germany",Germany,,https://www.linkedin.com/company/sustainableurope
KINDERMANN.IO,,Information Services,Self-employed,Public Company,"Hannover, Lower Saxony, Germany",Germany,kindermann.io,https://www.linkedin.com/company/kindermann-io
InsolvenzAlarm,"InsolvenzAlarm – Ihr Vorsprung bei Geschäftschancen

Deutschlands erster branchenspezifischer Insolvenz-Newsletter. Wir verwandeln Insolvenzbekanntmachungen in Geschäftschancen für Investoren, Unternehmer und M&A/Restrukturierungs-Berater.

Was wir bieten:

Tagesaktuelle Insolvenzfälle nach Branchen sortiert

Vollständige Insolvenzverwalter-Kontaktdaten

Personalisierte Branchenfilter

Fokus auf Chancen statt Risiken

Für wen:
Investoren, Unternehmenskäufer, M&A-Berater, Restrukturierungsexperten und alle, die aus Marktveränderungen Kapital schlagen möchten.

Während andere erst Wochen später von Insolvenzen erfahren, sind Sie am Tag der Bekanntmachung informiert. Das ist Ihr Wettbewerbsvorteil.

Jetzt kostenlos testen: www.insolvenzalarm.com",Information Services,Self-employed,Public Company,"Hannover, Lower Saxony, Germany",Germany,insolvenzalarm.com,https://www.linkedin.com/company/insolvenzalarm
WITNIS,"Witnis is building trust infrastructure for verifiable communications.

In an AI-driven information environment, official information can be copied, altered, summarized, misquoted, impersonated, or redistributed across channels within seconds. As AI-generated content becomes increasingly difficult to distinguish from authentic sources, public authorities, regions, institutions, media organizations, and regulated enterprises face a new challenge: ensuring that stakeholders can verify what was actually published.

Witnis enables organizations to create verifiable records of official communications, including press releases, statements, public information, reports, documents, images, and media content. Citizens, journalists, employees, partners, and AI systems can instantly verify that information is authentic, unchanged, and traceable to its original source.

By providing a trusted verification layer, Witnis helps organizations strengthen information integrity, protect institutional credibility, and build trusted datasets that can be safely used by AI systems and digital services.

Our mission is simple: make trusted information easy to verify.

Witnis serves public-sector organizations, healthcare providers, financial institutions, critical infrastructure operators, media organizations, and other trust-critical enterprises that need to ensure their communications remain authentic, verifiable, and trustworthy in the age of AI.

Witnis is trust infrastructure for the AI era.",Information Services,2-10 employees,Privately Held,"Berlin, Berlin, Germany",Germany,witnis.se,https://www.linkedin.com/company/witnis-ab
