Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
DIE ZEIT,DIE ZEIT ist eine überregionale deutsche Wochenzeitung und ein digitales publizistisches Angebot.,Media & Telecommunications,51-200 employees,Privately Held,"Berlin, Berlin, Germany",Germany,zeit.de,https://www.linkedin.com/company/die-zeit
TFM | Telematik & Telekommunikation,"Wir sind Ihr Telekommunikationsspezialist in der Rhein-Neckar-Region. Wir beraten Sie seit über 25 Jahren zu Mobilfunk-, Festnetz- und Telematiksystemen von YellowFox.
Profitieren Sie von unserem umfangreichen Sortiment an hochwertigen Produkten namhafter Hersteller sowie unserem professionellen Service.

Unsere Leistungen:
- Mobilfunk
- Festnetz / Internet / TV
- Home Entertainment
- Smart Home
- Telefonanlagen
- Home Office
- Flottenmanagement",Media & Telecommunications,2-10 employees,Public Company,"Mannheim, Baden-Württemberg, Germany",Germany,tfm-store.de,https://www.linkedin.com/company/tfm-telematik-telekommunikation
ULTRAVIEW AG,"Videobasiertes Vergleichsportal das Produkte verständlich und transparent erlebbar macht & Herstellern wirkungsvolle Präsentation und Vertrauen bietet
ultraview.de",Media & Telecommunications,11-50 employees,Public Company,"Baesweiler, North Rhine-Westphalia, Germany",Germany,ultraview.de,https://www.linkedin.com/company/ultraview-ag
Golden Ride Magazine,"Golden Ride ist das einzige Surf, Bike und Snowboard Print-Magazin speziell für Frauen im deutschsprachigen Raum.",Media & Telecommunications,2-10 employees,Partnership,"Kirchheim bei München, Bavaria, Germany",Germany,goldenride.de,https://www.linkedin.com/company/golden-ride-magazine
Audio Infos365,Audio Infos 365 bietet einen frischen Blick auf die Hörbranche und ist der ideale Wegbegleiter für unabhängige Hörakustikerinnen und Hörakustiker.,Media & Telecommunications,11-50 employees,Privately Held,"Bremen, Bremen, Germany",Germany,audioinfos365.de,https://www.linkedin.com/company/audioinfos365de
Geheimtipp München,"Als führendes digitales Stadtmagazin in München bestimmen wir das Stadtgespräch nicht nur wegweisend mit, sondern wir sind auch die No. 1 Anlaufstelle für Gastro-, Kunst- und Kultur-Tipps in der bayerischen Hauptstadt. Wir bieten Kunden und Partnern maßgeschneiderte und native Kommunikationskonzepte an. Geheimtipp ist mittlerweile in mehreren Städten aktiv und hat auch Standorte in Hamburg, Köln und Augsburg.",Media & Telecommunications,2-10 employees,Public Company,"Munich, Bavaria, Germany",Germany,geheimtippmuenchen.de,https://www.linkedin.com/company/geheimtipp-muenchen
RisoniqTM GmbH,"Risoniq entwickelt intelligente KI-Systeme, die alltägliche Gespräche in messbaren geschäftlichen Mehrwert verwandeln. Unser Ziel ist es, Unternehmen dabei zu unterstützen, Vertrieb, Kundenservice und interne Abläufe durch moderne künstliche Intelligenz effizienter, präziser und skalierbarer zu gestalten. Seit 2025 konzentrieren wir uns darauf, Kommunikation zu automatisieren, Servicequalität zu erhöhen und Arbeitsprozesse nachhaltig zu optimieren.

Unsere Technologie versteht, analysiert und verarbeitet Kundenanliegen in Echtzeit. Dadurch ermöglichen wir schnellere Reaktionszeiten, konsistent hohe Servicequalität und eine deutliche Entlastung operativer Teams. Gleichzeitig schafft unsere KI neue Potenziale im Vertrieb: Sie erkennt Chancen, priorisiert Leads und verbessert mit jedem Gespräch ihre eigenen Ergebnisse.

Unsere Schwerpunkte:
• Automatisierung von Sales-, Service- und Supportprozessen
• Echtzeit-Analyse von Gesprächen durch fortschrittliche Conversational AI
• Selbstlernende Systeme, die kontinuierlich an Präzision und Effizienz gewinnen
• Verbesserte Kundenerlebnisse, geringere operative Kosten und skalierbare Prozesslandschaften
• KI-Lösungen, die sich flexibel in bestehende Systeme und Workflows integrieren",Media & Telecommunications,11-50 employees,Public Company,"Fuldabrück, Hesse, Germany",Germany,risoniq.ai,https://www.linkedin.com/company/risoniq-gmbh
Deutscher Journalisten-Verband Baden-Württemberg (DJV BW),"Im Zentrum der Hauptstadt Stuttgart gelegen, vertritt der Deutsche Journalisten-Verband – Landesverband Baden-Württemberg e. V. als Gewerkschaft und Berufsverband die hauptberuflich tätigen Journalist*innen in Baden-Württemberg.

Der DJV BW ist einer von 15 unabhängigen Landesverbänden im Deutschen Journalisten-Verband (DJV) und hat knapp 2000 Mitglieder.  

Wir sind Herzblut-Journalist*innen, die sich mit viel Leidenschaft ehrenamtlich und im Hauptamt für die Belange der Kolleg*innen einsetzen. 

Unser wichtigstes Anliegen sind die Herausforderungen, Sorgen und Belange unserer Mitglieder im Alltag. Wir unterstützen, beraten, helfen. Unsere Aufgabe ist es, für die beruflichen, rechtlichen und auch sozialen Interessen unserer Mitglieder einzutreten. Dafür stehen wir und setzen uns für eine unabhängige Berichterstattung in den Medien ein. 

Du möchtest bei uns mitmachen, Veränderungen anstoßen, auf Missstände aufmerksam machen und / oder Zukunft gestalten? 

Kein Problem: Werde noch heute Mitglied! Hier findest du auch alles, was du über die Vorteile einer Mitgliedschaft wissen musst: 

https://www.djv-bw.de/djv-bw/mitglied-werden/",Media & Telecommunications,2-10 employees,Non Profit,"Stuttgart, Baden-Württemberg, Germany",Germany,djv-bw.de,https://www.linkedin.com/company/djvbw
Medien-Club München e.V.,"Der Medien-Club München e.V. ist ein renommiertes Netzwerk für Fachleute aus der Medien- und Kommunikationsbranche, die in München und der Region tätig sind. Seit unserer Gründung im Jahr 1985 fördern wir den professionellen Austausch, die Weiterbildung und das kreative Zusammenwirken von Medienschaffenden aus unterschiedlichsten Bereichen – von Film, Fernsehen und Radio bis hin zu Digital- und Online-Medien. Unsere Mitglieder umfassen erfahrene Profis ebenso wie aufstrebende Talente und Start-ups, die sich den Herausforderungen und Chancen der sich stetig wandelnden Medienlandschaft stellen.

Unsere Mission:

Als zentrale Plattform für den Medienstandort München schaffen wir Raum für Inspiration und Dialog. Wir bieten unseren Mitgliedern wertvolle Kontakte und Expertise, die ihnen dabei helfen, in einer dynamischen Branche erfolgreich zu agieren. Durch regelmäßige Clubabende, Fachvorträge und Netzwerk-Events bieten wir die Möglichkeit, sich mit führenden Persönlichkeiten aus Politik, Wirtschaft und Medien auszutauschen und aktuelle Entwicklungen zu diskutieren.

Für wen wir da sind:

Unsere Türen stehen allen offen, die sich für die Zukunft der Medienbranche interessieren – vom Freelancer über Unternehmensvertreter bis hin zu Kreativen, die sich weiterbilden und vernetzen möchten. Auch für Unternehmen, die medienpolitische und wirtschaftliche Themen voranbringen wollen, sind wir die richtige Anlaufstelle.

Warum der Medien-Club München?

Unser Verein blickt auf eine lange Tradition zurück, doch unser Blick ist fest auf die Zukunft gerichtet. In einer Zeit, in der Medien- und Kommunikationsformen sich schneller verändern als je zuvor, bieten wir Orientierung und Unterstützung. Gemeinsam setzen wir Impulse, um München als Medienstandort zu stärken und den Wandel der Branche aktiv mitzugestalten.

Treten Sie mit uns in Kontakt und werden Sie Teil unseres Netzwerks!",Media & Telecommunications,51-200 employees,Non Profit,"Munich, Bavaria, Germany",Germany,medien-club-muenchen.com,https://www.linkedin.com/company/medienclub-münchen
Handyhase.de,"Täglich informiert Handyhase.de tausende Nutzer über Deals aus dem Bereich Handytarife und Smartphones. 

2010 vom heutigen Geschäftsführer Carsten Graupner zunächst als Blog gestartet, entwickelte sich Handyhase zu einem führenden Mobilfunk-Schnäppchen-Portal mit Magazinbereich. 

Die Experten-Redaktion hat bereits über mehr als 22.000 Angebote berichtet. Bei dem Leverkusener Unternehmen sind mehr als 15 Mitarbeitende beschäftigt.",Media & Telecommunications,11-50 employees,Public Company,"Leverkusen, North Rhine-Westphalia, Germany",Germany,handyhase.de,https://www.linkedin.com/company/handyhase
