Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ZEISS Microscopy,"ZEISS is one of the world leading manufacturers of microscopes. In addition to excellent light and electron/ion microscopes, ZEISS also offers a broad range of optical sectioning systems as well as high-resolution X-ray microscopes. ZEISS Microscopy is a leading provider of microscope solutions in the life sciences, materials research, routine and industry markets.

Our microscope systems are much more than just hardware. A dedicated and well-trained sales force, an extensive support infrastructure, and a responsive service team enable customers to use their ZEISS instruments to their full potential.

Data Privacy: https://www.zeiss.com/data-protection

Imprint:

Carl Zeiss Microscopy GmbH
Carl-Zeiss-Promenade 10
07745 Jena, Germany
microscopy@zeiss.com

Local court Jena, HRB 210536
VAT REG No: DE814503774

Chairman of the Supervisory Board: Dr. Marc Wawerla

Management Board:
Dr. Michael Albiez (President & CEO)
Sandro Förster",Nanotechnology Research,"1,001-5,000 employees",Privately Held,"Jena, Thuringia, Germany",Germany,zeiss.com,https://www.linkedin.com/company/carl-zeiss-microscopy-gmbh
Stack-Tec GmbH,"After years of preliminary research and development, Stack-Tec was founded in Berlin, May 2016. The heart of the company is the production of highly-efficient thin film coatings with different physical properties and functions.

Our portfolio ranges from highly efficient single layer devices up to multi-junction devices. For areas where energy has a relevant financial influence on businesses and markets, our products will provide a crucial competitive advantage.

Achieve with us:

- Higher autarchy level
- Higher grid stability
- Minimized energy consumption costs
- Increased performance
- Minimized energy storage costs
- Predictable grid stability (peak shaving)",Nanotechnology Research,11-50 employees,Privately Held,"Berlin, Berlin, Germany",Germany,stack-tec.com,https://www.linkedin.com/company/stack-tec-gmbh
NANOARCH,"NANOARCH is the annual cross-disciplinary symposium for the discussion of novel post-CMOS and advanced nanoscale CMOS directions. The symposium seeks papers on innovative ideas for solutions to the principal challenge faced by integrated electronics in the 21st century: “How to design, fabricate, and integrate nanosystems to overcome the fundamental CMOS limitations?” The symposium will feature technical sessions, invited speakers, a best paper award, and a great environment for interaction among the participants.",Nanotechnology Research,51-200 employees,Non Profit,"Dresden, Saxony, Germany",Germany,acm.org,https://www.linkedin.com/company/nanoarch
GFD Gesellschaft für Diamantprodukte mbH,We are world leaders in the production of diamond micro-components and in the manufacture of diamond-coated and plasma-sharpened cutting and plotter blades and tools. We also manufacture diamond-coated high-precision balls for measurement technology and scalpel blades for eye surgery. A whole series of patents protects our developments.,Nanotechnology Research,11-50 employees,Public Company,"Ulm, Baden-Württemberg, Germany",Germany,diamaze.com,https://www.linkedin.com/company/gfd-gesellschaft-für-diamantprodukte-mbh
MST          Factory          Dortmund,"MST.factory dortmund GmbH is a nanotechnology company based out of 11 Konrad-Adenauer-Allee, DO, NRW, Germany.",Nanotechnology Research,2-10 employees,,"Dortmund, North Rhine-Westphalia, Germany",Germany,mst-factory.com,https://www.linkedin.com/company/mst-factory-dortmund-gmbh
IR TechSci,IRTechSci was born from a dream to bring infrared spectroscopy out of the lab and into society. Our founders have developed a new generation of infrared sensors which can be manufactured via an automated and scalable process.,Nanotechnology Research,2-10 employees,Privately Held,"Nuremberg, Bavaria, Germany",Germany,,https://www.linkedin.com/company/ir-techsci
NanoJam,"NanoJam - privately owned informational portal on nanotechnology covering all aspects from chemistry, biology and physics to business, ecology and polytics. Scientists and professionals can find desirable information also on the events, conferences and exhibition held worldwide on this topic, publish their know-how offerings or search for the same.",Nanotechnology Research,2-10 employees,Privately Held,"Schöneiche, Brandenburg, Germany",Germany,nanojam.com,https://www.linkedin.com/company/nanojam
MetaMem,"#Surfaces surround us in our day-to-day life. 
In MetaMem we combine existing technologies to enhance the #Raman #spectroscopy signals of surfaces, while suppressing signals of materials' bulk. 
By creating a #sustainable nano-manufactured add-on, we exploit simple Raman spectroscopy data to develop a complete surfaces characterization.",Nanotechnology Research,2-10 employees,Partnership,"Berlin, Berlin, Germany",Germany,,https://www.linkedin.com/company/metamem
CleancorpUSA,"We offer the perfect solution for the optimization of maintenance processes, reducing costs, increasing the natural appearance of your manufactured products and the effectiveness of equipment and facilities.

We work closely with our customers in the creation and design of nano-coatings, specifically for each need and situation.

Our business relationships are based on the trust generated over the years with our customers, the result of great professionalism and the quality of our products.

We work with all types of industries and markets nationally and globally.

#Cleancorpusa #NanoCoatings #NanoProductDevelopment #NanoApplicationDevelopment

#XanoxxShield #NanoCleaners #NanoCleanerLiquid #NanoCleanerGel
#NanoAntiGraffiti

#GraffittiExRemoverGel #NanoStone #NanoWood #Nanodur1K68
#Nanodur1K68Paint

#Nanodur1K68Rims #NanodurAntiFouling #NanoCarShine
#NanoBoatShine #NanoCarGlozzUltra

#NanoPearlSolar #NanoPearlGlass #NanoPearlWindscreen

#XanoxxBike #XanoxxDrones #XanoxxWeapons

#liquidglass #AntiCorrosion

#Automotive #Marine #Maintenance #Bike #Drones #RemoteControl #Mining #Trucking #Trains #Agriculture #Manufacturing #Industrial #Glass #Oil&Gas #Solar #Ports #Docks #Ships #Yachts #WorkBoat #Shipyard #MarineIndustry #FacilityMaintenance",Nanotechnology Research,11-50 employees,Privately Held,"Olching, Bavaria, Germany",Germany,cleancorp-usa.com,https://www.linkedin.com/company/cleancorp-usa
PTRL Europe GmbH,PTRL West and PTRL Europe make up the AgroSciences division of Evans Analytical Group.,Nanotechnology Research,11-50 employees,,"Ulm, Baden-Württemberg, Germany",Germany,ptrl-europe.de,https://www.linkedin.com/company/ptrl-europe-gmbh
