Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
GoodWe,"GoodWe is a world-leading PV inverter manufacturer and smart energy solution provider, founded in 2010. The company offers a wide range of inverters, spanning from 0.7kW to 350kW, catering to various energy needs across residential, commercial and industrial, and utility sectors. With a strong and long-standing presence in the solar market, GoodWe's PV inverters have been installed in over 100 countries, achieving a cumulative installation of 100 GW as of Q1 2025.

GoodWe currently operates manufacturing facilities across four locations globally, with an annual production capacity of 35 GW for PV inverters and 5 GWh for batteries, making it one of the leading companies in the global renewable energy industry.

Committed to being a comprehensive solution provider, GoodWe offers an extensive product portfolio that includes inverters, lithium batteries, PV building materials, EV chargers, heat pumps, and smart energy management system (SEMS).",Renewable Energy Semiconductor Manufacturing,"5,001-10,000 employees",Public Company,"Munich, Bavaria, Germany",Germany,goodwe.com,https://www.linkedin.com/company/goodwesolarengine1
BRUGG Pipes District Heating Solutions,"BRUGG Pipes has been supplying innovative pipe systems for heating networks and water applications around the world for decades.

The areas of application for which our flexible and rigid pipe systems are developed include
- local heating
- district heating
- cooling
- Hot and cold water

Thanks to our wide range of products, expert advice, technical engineering and precise pipe laying, we are always able to offer optimum solutions and provide comprehensive support for projects of all sizes.

Leading national and international energy suppliers and network operators place their trust in us when it comes to the safe and efficient transportation of liquids.

The Pipes division operates three production sites, various sales offices and partner companies in over 25 countries.",Renewable Energy Semiconductor Manufacturing,"501-1,000 employees",Privately Held,"Wunstorf, Lower Saxony, Germany",Germany,bruggpipes.com,https://www.linkedin.com/company/bruggpipes
"Leapton Energy Co., Ltd.","Leapton Energy is an integrated photovoltaic company focusing on Solar cells, modules, mounting and power system R&D, production and sales. Our products includes solar cells, modules, mounting system etc. BloombergNEF Tier-1 listed.

The headquarter - LEAPTON ENERGY CO.,LTD is founded in Kobe, Japan in 2012. It is not only focusing on R&D and sales of the solar power system, solar modules, mounting system and ground screw in Japan, but also focusing on the development, management and after-maintenance of the solar power station. We have built our own solar power stations all over Japan relying on our own resources. We have more than 200 cooperation agents in Japan and the marketing network has spread across Japan, from Hokkaido to Kyushu, Okinawa. In addition, Leapton has set up the logistics warehouses in Kanto, Kansai and central Japan, establishing a high- efficient logistics distribution system. With the continuous development and expansion of the business, in 2015, a branch was established in Tokyo, which is focusing on the sales of solar pv products.

In 2012, Leapton Energy establish China headquarter in Shanghai - LEAPTON ENGINEERING TECHNOLOGY(SHANGHAI) CO.,LTD, which is focusing on the sales of the distributed photovoltaic power system and EPC business.

The module factory - LEAPTON SOLAR(Changshu) CO.,LTD is established in Changshu, Jiangsu in 2017, which is focusing on the production and sales of the solar modules. With the most advanced automated production line in the world, the module annual capacity now is 3GW. 

Leapton Energy is committed to providing sustainable energy solution to build harmonious and clean living environment for mankind.",Renewable Energy Semiconductor Manufacturing,"501-1,000 employees",Self Employed,"Cologne, North Rhine-Westphalia, Germany",Germany,leaptonpv.com,https://www.linkedin.com/company/leapton-energy-co-ltd
HYPOS Hydrogen Power Storage & Solutions e.V.,"Seit 2013 ist der HYPOS e.V. ein Netzwerk für alle Interessierten der Wasserstoffwirtschaft. HYPOS kombiniert mit über 170 Mitgliedern die Potenziale innovativer KMU mit den Kompetenzen der Industrie sowie der Expertise von Hochschulen und Forschungseinrichtungen. Gemeinsam verfolgen alle HYPOS-Mitglieder das Ziel, eine sektorenübergreifende Grüne Wasserstoffwirtschaft von der Strombereitstellung über Herstellung, Speicherung, Verteilung und Nutzung von Grünem Wasserstoff in den Bereichen Chemie, Raffinerie, Mobilität und Energieversorgung zu etablieren. Gefördert durch das Ministerium für Wirtschaft, Tourismus, Landwirtschaft und Forsten des Landes Sachsen-Anhalt beschleunigt HYPOS mit dem Ausbauplan des mitteldeutschen H2-Pipelinenetzes sowie Bildungsprojekten wie „HYPOS macht Schule“ den industriellen Einsatz sowie die Akzeptanz Grüner Wasserstoffanwendungen in der Wasserstoffregion Mitteldeutschland.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Leipzig, Saxony, Germany",Germany,hypos-germany.de,https://www.linkedin.com/company/hypos-hydrogen-power-storgae-solutions-east-germany
LiB.energy,"LiB.energy is a global producer of Lithium power and energy solutions, specializing in the design, engineering, and manufacturing of high-quality Lithium-ion technologies.

Founded at Keele University, one of the world's Top 25 universities for sustainability, LiB.energy's very foundations are based in utilizing renewable energy to its fullest and moving away from fossil-fuel dependance.

We are one of the first battery companies in the world to implement the ""virtual factory"" concept. Our model sees our physical factory, in Manila, combining with our various sub-companies that include cell manufacturing, electrode coating, powder production, BMS, and advanced new technology. This enables LiB.energy to be totally flexible, providing our customers with a full portfolio of current technologies integrated with real-time design and implementation for the latest mega-trends.

Born out of the changing landscape within the Lithium battery industry, LiB.energy was formed to support the global progression to a 'Net-Zero' carbon future. 

With major battery companies switching their focus onto electric vehicles (EV), many Tier 1 businesses are being left without cell supply and support. They must adapt and find new secure sources of battery technology for future development. 

Global industries need access to high-quality technology, backed up with world-class expertise to ensure survival. 

LiBerate the energy world, with LiB.energy.",Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Privately Held,"Hamburg, Hamburg, Germany",Germany,lib.energy,https://www.linkedin.com/company/lib-energy
aleo solar GmbH,"aleo provides a reliable solar experience. Premium solar modules combined with reliable support to enjoy the benefits of solar energy, without the hassle. 

Established in 2001, aleo produces ""Made in Germany"" solar panels. The company is a market leader in the manufacturing of high-efficiency PERC solar modules.

In 2014, aleo became the wholly owned subsidiary of Sino-American Silicon Products, a leading Taïwanese semiconductor devices supplier, founded in 1981, which speaheaded the development of the PERC technology with its CELCO  solar cells.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Self Employed,"Prenzlau, Brandenburg, Germany",Germany,aleo-solar.de,https://www.linkedin.com/company/aleo-solar
Global Wind Power A/S,"Global Wind Power is an international company with roots in Denmark. We specialise in the development, implementation, sale and management of wind power projects. Contrary to many other developers, we never keep our projects, but sell them to a range of international customers; industrial, institutional and private. 

Currently, we have more than 570 MW of international experience and around 150 MW in our immediate project pipeline on a range of markets across Europe.  

We are a dynamic company which has experienced rapid growth since our foundation in 1999. Our current and future growth comes from our most important asset, our employees, who are continuously developed and challenged to take on the changes and opportunities of tomorrow.      

With more than 200 wind turbines commissioned in 50 wind parks across Europe, we have established a business concept with global potential.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Hamburg, Hamburg, Germany",Germany,globalwindpower.com,https://www.linkedin.com/company/global-wind-power-a-s
WELTEC BIOPOWER,"Since its foundation in 2001, the WELTEC Group from Vechta in Lower Saxony, Germany, has been contributing to the success of the energy transition. The specialist has developed into one of the world's leading providers for the construction of biogas and biomethane plants. The group covers the entire biogas value chain, including the design, planning and setup of energy plants, service and sustainable utilization concepts for the output flows.

The establishment of individual, technically mature solutions with custom-tailored processes is one of the strengths of WELTEC BIOPOWER. Moreover, the use of stainless-steel technologies ensures flexible substrate input, quick and inexpensive assembly and a consistently high quality standard, regardless of the location. Following the go-live, WELTEC can take care of the mechanical and biological service in order to ensure efficiency of the plants. 

Apart from the entire biogas value chain, the portfolio also covers agricultural trade including transport, farm services and manure utilization. For WELTEC, proximity to customers and investors is very important. These include businesses from industries such as agriculture, food, waste and wastewater.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Vechta, Lower Saxony, Germany",Germany,weltec-biopower.com,https://www.linkedin.com/company/weltec-biopower-gmbh
SCHOENERGIE,"Unabhängigkeit & Energiehoheit gewinnen, Kosten selbststimmt steuern: Schoenergie entwickelt, plant, baut und betreibt nachhaltige Energielösungen für Menschen, Unternehmen und Kommunen.

Echte Energietransformation ist nicht „nur“ gut fürs Klima, sie ist ebenso wirtschaftlich und pragmatisch. Sie ermöglicht Stabilität, Sicherheit & Mitgestaltung.

360-Grad-Lösungen für Energieprojekte
Wir denken Energie ganzheitlich. Von der Planung bis zum Betrieb. Für alle: Vom Privathaushalt bis zur Industrie. Mit Energieerzeugungsanlagen, Batteriespeichern, Ladelösungen & smarter Netztechnik. 

Seit 2008 realisieren wir nachhaltige und bezahlbare Energielprojekte. Wir setzen als inhabergeführtes Familienunternehmen auf etablierte sowie innovative Technologien, um eine wirtschaftliche Umsetzung zu gewährleisten und eine zukunftssichere Energieversorgung zu schaffen. Dabei gestalten rund 400 Mitarbeiter:innen die Energiewende für und mit unseren Partnern und Kund:innen.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Hetzerath, Rhineland-Palatinate, Germany",Germany,schoenergie.de,https://www.linkedin.com/company/schoenergie
Electrochaea,"Electrochaea is a clean tech company that offers innovative and proven Power-to-Methane (P2M) technology. Our unique solution uses methanogenic archaea to convert renewable power and carbon dioxide into synthetic, low-carbon BioCat Methane.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Planegg, Bavaria, Germany",Germany,electrochaea.com,https://www.linkedin.com/company/electrochaea
