Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
TESAT,"We deliver innovative solutions for satellite communications. For everyone. For a better world.

Data transmission via satellite is indispensable for sustainable development. We supply the key components for satellite communications and are continuously improving them. As the leading manufacturer of secure space-based communications, we are helping to connect the world and make it a better place to live. 

Every day, we are working hard on our contribution to sustainable development: 
We help people to connect (telephony), stay informed (satellite TV, internet), and find their way (navigation).

We enable better earth observation for climate, disaster prevention, security and higher yields in agriculture.

We contribute to scientific progress. We cooperate with universities and serve various scientific projects such as the James Webb telescope.

On our 63,000m2 premises in Backnang, Germany, about 1,100 employees develop, assemble, integrate, and test products, systems and solutions for satellite communications. To date, nearly 1,000 space projects have been completed. More than half of all communication satellites in orbit have TESAT equipment on board.

We offer the complete communication technology necessary, for example to emit television signals via satellite antennas to each household. As the first organization in the world, we have been developing and delivering equipment for optical broadband communication in space. More than 85,000 optical links have been successfully performed so far.

From a social point of view, we value different perspectives, backgrounds, experiences, skills and individual qualities. Together, we stand for a culture of open discussion, integrity, focus, entrepreneurial thinking and action, and leadership by example.

Environmental protection and the economical use of resources are part of our daily activities, from product development to production.",Satellite Telecommunications,"1,001-5,000 employees",Self Employed,"Backnang, Baden-Württemberg, Germany",Germany,tesat.de,https://www.linkedin.com/company/tesat
Northtelecom,"Northtelecom headquartered in Dubai, UAE specializes in providing satellite communication / ICT services and solutions. Northtelecom’s service portfolio offer innovative and reliable communication solutions to the industries like Energy, Maritime, Media, Enterprise, Telco, & Humanitarian.

Established in the year 2007 and with 18 years of rich industry experience, Northtelecom has succeeded in delivering comprehensive package of system integration, system products, and network communication services enabling a complete end-to-end solution to its customers.
Northtelecom has its foot prints spread globally with offices in UAE, Germany, Malaysia, Italy and Singapore and teleports Frankfurt, Kuala Lumpur, Singapore & Athens.
www.northtelecom.com",Satellite Telecommunications,51-200 employees,Privately Held,"Usingen, Hesse, Germany",Germany,northtelecom.com,https://www.linkedin.com/company/northtelecom
UNIO Enterprise,"As vehicles transform into tech-savvy hubs resembling smartphones on wheels, the demand for always-on connectivity is bigger than ever. Currently, the inconsistent network coverage is impacting efficiency, safety, and overall user experience in connected vehicles. 

UNIO bridges 5G and satellite networks for all mobility use cases, powering safe, seamless and always-on connectivity for services, vehicles and applications across the globe. 

As a joint venture of IABG, Isar Aerospace, Reflex Aerospace, Mynaric, OHB SE and SES, UNIO is the only European company combining the expertise of leading space players from all core areas crucial to providing all-in-one connectivity solutions.",Satellite Telecommunications,11-50 employees,Public Company,"Munich, Bavaria, Germany",Germany,unio.global,https://www.linkedin.com/company/un-io
Celestia,"Celestia is an international multi technology group based on innovation, investigation and development of high technology products key factors to a steady growth.

The individual Celestia companies operate in the defence, space, wireless, governmental and medical segments offering state of the art products supported by an extensive background of R&D activities",Satellite Telecommunications,201-500 employees,Privately Held,"Darmstadt, Hesse, Germany",Germany,celestia-tech.com,https://www.linkedin.com/company/celestiagroup
SatService GmbH,"SatService GmbH is a Systemengineering company in the field of satellite ground segment and delivers its own set of products and sofwtare for satellite ground stations and VSAT networks.
Since 1996 successfully delivers SatService Gesellschaft für Kommunikationssysteme mbH satellite ground stations, and the associated SatCom equipment of their business partners and their own sat-nms product family.

Effective 1st of April 2019, Michael Ulbricht has sold his shares of SatService Gesellschaft für Kommunikationssysteme mbH (SatService) to the Calian Group Ltd. (TSX:CGY, www.calian.com). SatService will continue its operation as German company under the direction of Calian System Engineering Division (SED, www.sedsystems.ca) which also work and operate in the field of satellite ground stations.
Michael Ulbricht will continue to work with SatService as its managing director as he did before. Since 1st of may 2019 Wilfried Megger joined the SatService team as second managing director to grow SatService also in future.",Satellite Telecommunications,11-50 employees,Public Company,"Steisslingen, Baden-Württemberg, Germany",Germany,satservicegmbh.de,https://www.linkedin.com/company/satservice-gmbh
Decen Space,"Decen Space is building the distributed ground infrastructure layer for the satellite economy. We unify ground stations of all types into a single intelligent network, giving satellite operators resilient, sovereign-controlled access and creating new market potential for antenna infrastructure. Making satellite communications as accessible as cellular connectivity, at the scale space demands.",Satellite Telecommunications,2-10 employees,Privately Held,"Berlin, Berlin, Germany",Germany,decenspace.com,https://www.linkedin.com/company/decen-space
OrbitsIQ Global,"Founded in 2024, headquartered in Luxembourg with international offices, including in the US, OrbitsIQ Global SA is building a ubiquitous connectivity capability across terrestrial and satellite networks, delivering uninterrupted, secure services to fixed and mobile assets.",Satellite Telecommunications,11-50 employees,Public Company,"Munich, Bavaria, Germany",Germany,oiqglobal.com,https://www.linkedin.com/company/orbitsiq-global
TRANTOR,"The aim of TRANTOR is to perform a significant step forward by paving the path for the 5G NTN evolution towards 6G. To do so, TRANTOR targets the in-orbit validation of a complete satellite value chain involving an automated management of satellite resources across multiple bands, satellites, and orbits, and a converged radio access network. Specifically, at the ground segment, TRANTOR targets the development of novel satellite network management solutions, fully integrated in the 3GPP management framework, which allow the significant scaling up of heterogeneous satellite traffic demands and capacities in a cost-effective, highly dynamic, band and orbit agnostic manner.",Satellite Telecommunications,11-50 employees,Non Profit,"Erlangen, Bavaria, Germany",Germany,trantor-he.eu,https://www.linkedin.com/company/trantorhe
Augusta Space GmbH,"Imagine ESAs (Electronically Steered Antennas)
INNOVATIVE, SMALL, EFFICIENT, FLEXIBLE",Satellite Telecommunications,2-10 employees,Privately Held,"Munich, Bavaria, Germany",Germany,augusta-space.com,https://www.linkedin.com/company/augusta-space-gmbh
Stellar PCS,"Germany-based teleport operator for satellite communications in geostationary and low-earth orbit (GEO and LEO)

Independent company without interests of international investors or shareholders.

Operation and control of over 100 antennas in all frequency bands (S-, C-, Ku-, DBS- and Ka-band).

Extensive coverage from 58° West to 106° East through strategically positioned teleports in Germany, Cyprus and Fiji.

Provision of hosting and server capacities in a secure facility.

Global DWDM fiber network for secure data transmission and 100 % availability",Satellite Telecommunications,11-50 employees,Public Company,"Hürth, North Rhine-Westphalia, Germany",Germany,stellar-pcs.com,https://www.linkedin.com/company/stellar-pcs
