Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Kaiserlicher Dienst AG,"Kaiserlicher Dienst Ag is a next generation global company covering the 3T's, Telecom, Travel & Technology.

We specialize in providing future ready communication Solutions & Services.We Deliver first class communication solutions and services to Operators, Aggregators & Enterprises across the world.

We started with a vision to be a single channel for all communication needs of any company. 

Our USP is our state of the art technology and our direct connectivity with the Telecom Operators around the world and this combination of technology and direct connectivity gives us an edge over our competitors.",Telecommunications Carriers,11-50 employees,Privately Held,"Offenbach, Hesse, Germany",Germany,kaiserlicherdienst.de,https://www.linkedin.com/company/kaiserlicher-dienst-ag
Deutsche Telekom Technik GmbH,,Telecommunications Carriers,"10,001+ employees",Public Company,"Bonn, North Rhine-Westphalia, Germany",Germany,telekom.com,https://www.linkedin.com/company/deutsche-telekom-technik
Breitbandversorgung Deutschland GmbH,"Die BBV Deutschland mit Sitz in Dreieich (Rhein-Main-Gebiet) konzentriert sich als Betreiber von Breitband-Netzen und -Diensten seit Jahren auf den komplett eigenwirtschaftlichen, förderungsfreien Glasfaserausbau in ländlichen Gebieten. Beim Ausbau kooperiert die BBV mit Landkreisen, Kommunen und Stadtwerken. Dabei bietet das Unternehmen alle Projektschritte aus einer Hand: von der Vermarktung, über die Planung und den Ausbau bis hin zum Netzbetrieb und Kundendienst. Den Kunden werden je nach Region unter der Marke toni oder BBV über die Glasfaser symmetrische Internetdienste mit bis zu 1 Gbit/s sowie Telefonie- und TV-Dienste bereitgestellt. Die Finanzierung der Projekte läuft in enger Zusammenarbeit mit Finanzpartnern und namhaften Infrastrukturfonds. Der Einstieg des Investors Infracapital mündete in die Infrafibre Germany, welche die deutschen Glasfaseraktivitäten von Infracapital unter einem Dach bündelt.",Telecommunications Carriers,51-200 employees,Public Company,"Dreieich, Hesse, Germany",Germany,bbv-deutschland.de,https://www.linkedin.com/company/bbv-deutschland
Bisping & Bisping GmbH & Co. KG,"Zukunft ist das, was uns antreibt!

Als IT-Kommunikationsunternehmen sind wir europaweit innovativer Partner mittelständiger Unternehmen, weltweiter Konzerne und öffentlicher Einrichtungen. Wir verbinden Unternehmen, Standorte und Mitarbeiter. Mit State of the Art-IT-Technik und top Know-how lösen wir die individuellen digitalen Ansprüche unserer Auftraggeber. Umfassend, zuverlässig und sicher.

In Süddeutschland schaffen wir im kommunalen Breitbandausbau wichtige Grundlagen der Digitalisierung. Privat- und Geschäftskunden versorgen wir über zukunftsfähige Glasfasertechnologie mit leistungsfähigen Internetverbindungen.

Immer auf der Höhe der Zeit, versetzen wir unsere Kunden in die Lage, die Digitalisierung nachhaltig, effektiv und effizient für sich zu nutzen.",Telecommunications Carriers,51-200 employees,Public Company,"Lauf an der Pegnitz, Bavaria, Germany",Germany,bisping.de,https://www.linkedin.com/company/bisping-&-bisping
Telegraph42 Management GmbH,"Telegraph42 is one of the world’s leading internet infrastructure and connection companies, increasing transmission capacity internationally, connecting continents, and closing the digital divide. 
Founded and headquartered in Frankfurt (Germany) in 2016, Telegraph42 provides global IP transit and capacity technology to unlock market growth by connecting corporations, nations, and governments around the world to the global internet. 
Originally starting life as an ideological union of people in different countries who came together with the view of freeing up digitally oppressed markets, Telegraph42 today is recognized as the leading operator in Central Asia. 
With a track record in the delivery of complex IP transit and global connectivity initiatives, the company has established a presence in Frankfurt, Hong Kong, Almaty, Tashkent, and Bishkek. 
Today, Telegraph42 creates highly scalable, Next Generation high-speed fiber optic networks to increase transmission capacity, connect continents, and close the digital divide.",Telecommunications Carriers,11-50 employees,Partnership,"Frankfurt, Hesse, Germany",Germany,tele-graph.de,https://www.linkedin.com/company/telegraph42-management
VOICO GmbH,"Voico bringt KI ans Telefon. Für den Mittelstand, sicher und made in Germany.

Voico nimmt Anrufe automatisch ab, qualifiziert das Anliegen und übergibt es strukturiert in Ihre Systeme. 
Auf Deutsch, DSGVO konform, rund um die Uhr. Produktiv live in Tagen, nicht in Monaten.

Als offizieller Partner der Deutschen Telekom hosten wir in zertifizierten Rechenzentren in Deutschland. 

Die Assistenten koppeln direkt an deine bestehende Telefonie, dein CRM, ERP oder DMS, nativ oder per API.

Drei Wege zu Voico

Done for you: Wir bauen, betreiben und integrieren deinen Assistenten. Du fokussierst dich auf dein Geschäft.

Self Service Plattform: Baue deine eigenen Voice Agents, volle Kontrolle, produktiv in Minuten.

Für Partner: Voice AI als White Label. Wir liefern Technik und Training, du behältst Kundenbeziehung und Marge.

Warum Unternehmen auf Voico setzen

Offizieller Telekom Partner, gehostet in Deutschland
DSGVO konform, AVV out of the box, EU AI Act bereit

Über 1.000 Integrationen für CRM, Telefonie und Automationen

Voico steht für smarte, sichere und skalierbare Kommunikation made in Germany.",Telecommunications Carriers,11-50 employees,Public Company,"Hamminkeln, North Rhine-Westphalia, Germany",Germany,voico.ai,https://www.linkedin.com/company/voico-ai
sewikom GmbH,sewikom baut Glasfasernetze und versorgt Kunden mit superschnellem Internet in Ostwestfalen-Lippe.,Telecommunications Carriers,51-200 employees,Privately Held,"Beverungen, North Rhine-Westphalia, Germany",Germany,sewikom.de,https://www.linkedin.com/company/sewikom
Amiva (STROTH Telecom GmbH),"Amiva ist ein nachhaltiger, inhabergeführter Telekommunikationsanbieter aus Düsseldorf.
Egal ob privat oder fürs Business – mit uns surfst du im zuverlässigen Netz und unterstützt die Energiewende. Denn Amiva investiert in Windkraft-Repowering und erzeugt damit doppelt so viel erneuerbare Energie, wie du mit deinem Handy verbrauchst. Dank Repowering werden bestehende Anlagen genutzt und modernisiert – für eine ressourcenschonendere und effizientere Energieerzeugung. So geht Nachhaltigkeit im Alltag ganz easy – ohne Kompromisse bei Leistung und Flexibilität!",Telecommunications Carriers,11-50 employees,Public Company,"Düsseldorf, North Rhine-Westphalia, Germany",Germany,amiva.de,https://www.linkedin.com/company/amiva-de
NETZ33,"Die NETZ33 GmbH baut ein neues bundesweit zusammenhängendes, hochleistungsfähiges und homogenes Glasfaser-Backbonenetz aus einer Hand.

Die hochvermaschte Netzarchitektur bietet durch mehrfach redundante Verbindungen der Netzknoten und den Einsatz modernster Technologie ein Maximum an Ausfallsicherheit und Zukunftsfähigkeit. Das Glasfasernetz der NETZ33 GmbH steht für sichere, resiliente und hochleistungsfähige Datenverbindungen, auch bei möglichen Bedrohungslagen oder Krisensituationen, und entspricht den Vorgaben von NIS2 und dem zukünftigen KRITIS-Dachgesetz.",Telecommunications Carriers,2-10 employees,Public Company,"Rahms, Rhineland-Palatinate, Germany",Germany,netz33.de,https://www.linkedin.com/company/netz33
komro GmbH,"komro - das kommunale Telekommunikationsunternehmen in Rosenheim wurde 1998 gegründet und bietet seinen heute über 25.000 Privat- und Geschäftskunden eine Vielzahl moderner Produkte in den Zukunftsmärkten Internet, Telefonie und TV-Entertainment.

Hervorgegangen ist die komro aus der ehemaligen „Stadtantenne Rosenheim“, einem Vorläufer heutiger Kabelnetze: Nach den Olympischen Spielen 1972 in München kaufte die Stadt Rosenheim Teile der Infrastruktur vom Fernsehnetz des Olympischen Dorfes.  Damit errichteten die Stadtwerke Rosenheim für eine Handvoll Kunden das erste Rosenheimer Kabelnetz für den Fernseh- und Radioempfang.

Aktuell bietet die komro Internetanschlüsse für Privatkunden mit bis zu 2 Gbit/s und Telefoniedienste über ein modernes Glasfaser- Kabelnetz flächendeckend im Stadtgebiet Rosenheim an.

Das Kabelfernsehprodukt „komroKabel TV“ wurde entsprechend den Kundenwünschen zusammengestellt. Es entstand eines der bundesweit umfangreichsten Pakete frei empfangbarer digitaler Fernsehsender, viele davon in HD – Qualität, einige bereits in UHD.

Standortvernetzungen und Internetanbindungen bis 10 Gbit/s, sowie zukunftsfähige virtuelle Telefonanlagen (Centrex und SIP-Trunk-Lösungen) ergänzen das Portfolio auch für mittlere und große Geschäftskunden.

Mit dem modernen Netz der komro gibt es in der Stadt Rosenheim eines der zukunftssichersten Breitbandnetze mit einem schon heute hohen Glasfaseranteil, der beständig erhöht wird. Bereits seit Jahren werden die Anschlüsse in Neubauten seitens komro konsequent mittels FTTB (fiber to the building – Glasfaser bis zum Gebäude) und FTTH (fiber to the home – Glasfaser bis in die Wohnung) realisiert.

komro Produkte gibt es in Rosenheim, Engelsberg und Penzberg, sowie in einigen Ortsbereichen von Stephanskirchen, Schechen, Raubling und Prutting. komro betreibt erfolgreich Kooperationen in Form von Beteiligungsgesellschaften in Bad Endorf (SternKom) und in Dachau (DachauCityCom).",Telecommunications Carriers,51-200 employees,Public Company,"Rosenheim, Bavaria, Germany",Germany,komro.net,https://www.linkedin.com/company/komro
