Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Everllence,"Everllence (formerly MAN Energy Solutions) is at the forefront of propulsion, decarbonization, and efficiency solutions for shipping, the energy economy, and industry. Guided by our motto, ‘Moving big things to zero,’ we empower key industries to reduce hard-to-abate emissions and drive the global energy transition.

Our innovative technologies include ship and power-plant engines, retrofit solutions using climate-neutral fuels, large-scale heat pumps for decarbonizing heat supply, and carbon-capture and storage technologies. Through our subsidiary, Quest One, we manufacture electrolyzers for green hydrogen production, contributing to the global hydrogen ramp-up.

Headquartered in Germany, Everllence employs around 15,000 people across 140+ sites worldwide. Our after-sales brand, Everllence PrimeServ, offers comprehensive support through a global service-center network.

Join us on LinkedIn to stay updated on our latest innovations and contributions to a sustainable future.",Climate Technology Product Manufacturing,"10,001+ employees",Privately Held,"Augsburg, Bavaria, Germany",Germany,everllence.com,https://www.linkedin.com/company/everllence
Göbel Energie- und Umwelttechnik Anlagenbau / Service GmbH,"Wir als Göbel Energie und Umwelttechnik Anlagenbau GmbH sind ein innovatives Unternehmen, welches ihre Schwerpunkte in der Verfahrens-, Umwelt- und Energietechnik wiederfindet. Spezialisiert haben wir uns auf die Entwicklung und Herstellung von Neuanlagen oder die Anpassung bestehender verfahrenstechnischer Anlagen. Hierbei konzentrieren wir uns auf den Bereich der brennbaren Gase und sind an vielen Standorten deutschlandweit unterwegs.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Neumünster, Schleswig-Holstein, Germany",Germany,goebel-technik.de,https://www.linkedin.com/company/göbel-energie-und-umwelttechnik-anlagenbau-gmbh
HAUTEC GmbH,"Hautec – innovativ für Sie

Innovation im Bereich alternativer Energien – das und mehr haben wir uns auf die Fahnen geschrieben. Als Fachhandwerksbetrieb für hochwertige Wärmepumpen 1978 gegründet, waren wir schon immer Vorreiter unserer Branche. Die am Standort Bedburg-Hau entwickelten einzigartigen und höchst effizienten Wärmepumpen-Systeme sind bis heute europaweit im Einsatz.

Es stecken schließlich auch mehr als vier Jahrzehnte Erfahrung und qualitativ hochwertige Produktentwicklung dahinter.

Geothermie ist unser Steckenpferd, Innovation unser täglicher Antrieb. Ob Privatpersonen, Unternehmen oder Fachhändler – wir stehen Ihnen beratend zur Seite, setzen ihr Projekt gemeinsam um.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Bedburg-Hau, North Rhine-Westphalia, Germany",Germany,hautec.eu,https://www.linkedin.com/company/hautec-waermepumpen
Kappa Airic – Watch:in Indoor Climate,"Kappa Airic trackt die Raumklimaqualität, Luftgesundheit und Luftproduktivität in allen Gebäuden und Räumen, wo sich Menschen aufhalten. Erstmals werden Luftqualitätsdaten so analysiert, bewertet und dargestellt, dass jeder Nutzer damit etwas anfangen kann. Call to Action! Kappa Airic – ein fortschrittlicher IoT-Dienst, um die Gesundheit zu schützen und Leistungsfähigkeit zu heben.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Düsseldorf, North Rhine-Westphalia, Germany",Germany,,https://www.linkedin.com/company/kappa-airic
FUCHS Holding GmbH,"Fuchs Holding GmbH – Energie neu gedacht. Zukunft gemacht.

Die Fuchs Holding GmbH steht für die nächste Generation effizienter Energielösungen in Deutschland.
Wir entwickeln, produzieren und vertreiben hochmoderne Wärmepumpen- und Energiesysteme, die Nachhaltigkeit, Wirtschaftlichkeit und technologische Präzision vereinen.

Als Unternehmensverbund mit Fokus auf Fuchs ThermoHybrid, Wärmepumpen- und Wasserstoff-Systeme verbinden wir Handwerk, Ingenieurskunst und digitale Prozesse – Made in Germany.
Unsere Mission: Gebäude jeder Größe energieautark und CO2-neutral zu machen.

Mit einem starken Vertriebsnetz, eigenen Installations- und Serviceeinheiten sowie einem stetig wachsenden Partnerprogramm schaffen wir ein ganzheitliches Ökosystem für die Energiewende – zuverlässig, transparent und zukunftssicher.

Fuchs Holding GmbH – Wir gestalten die Wärme der Zukunft.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Bergkamen, North Rhine-Westphalia, Germany",Germany,fuchs-thermohybrid.de,https://www.linkedin.com/company/fuchs-holding-gmbh
NeoZepter Biotechnologies,"NeoZepter is a biotechnology company developing sustainable, fully biodegradable atmospheric modification materials. Our biological particle technologies enable targeted weather intervention for rain and snow enhancement, drought mitigation, hail suppression, fog dispersion, energy generation, and air-quality improvement, providing safe and effective climate-management solutions for public and private stakeholders.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Stuttgart, Baden-Württemberg, Germany",Germany,neozepter.com,https://www.linkedin.com/company/neozepter
Wavelr,"Wavelr baut die Vertrauens-Infrastruktur für Solar-Investments.

Mit KI-gestützter Transparenz verwandelt Wavelr komplexe PV-Daten in investierbare Entscheidungen — schneller, nachvollziehbarer und bankable.

Der Solarmarkt hat kein Kapitalproblem.
Er hat ein Transparenzproblem.

Institutionelle Investoren verlieren Zeit durch:

intransparente Projektdaten
manuelle Due Diligence
fehlende Vergleichbarkeit
unsichere Risikoannahmen

Wavelr löst genau dieses Problem.

Unsere Plattform kombiniert Infrastruktur-Daten, KI-gestützte Analyse und Investment Intelligence, um Solarprojekte effizienter bewertbar zu machen.

Birdy, unsere KI-Infrastruktur für Solar-Investments, unterstützt Investoren, Asset Manager, Projektentwickler und Energieunternehmen dabei, Risiken schneller zu erkennen, Transparenz zu erhöhen und Kapital effizienter zu deployen.

Wavelr positioniert sich nicht als klassische Solarplattform.

Wir bauen die Intelligence Layer für bankable Solarprojekte.

Unser Fokus:

Investment Intelligence
Risiko-Transparenz
Due-Diligence-Automatisierung
Infrastruktur-Datenqualität
schnellere Kapitalallokation

Wir glauben:

Die Zukunft von Solar gehört nicht nur den Unternehmen, die Projekte bauen.

Sondern den Unternehmen, die Vertrauen skalieren können.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Cologne, North Rhine-Westphalia, Germany",Germany,wavelr.com,https://www.linkedin.com/company/wavelr
SHOWER,"We are SHOWER – Structured Heat exchanger for Optimized Water Energy Recovery.  As a small team of engineers from TU Dortmund University, our mission is to reduce both the environmental impact and the cost of showering – without compromising on comfort.
   
In Germany, hot water generation consumes around 100 TWh of energy annually, making showering the second-largest source of energy use in private households. This leads to approximately 25 million tons of CO2 emissions each year – even though the warm water disappears down the drain within seconds.
   
With our patented technology standard looking shower trays  become heat exchangers that recover energy from wastewater to preheat the fresh, cold water. This allows households to reduce hot water costs by up to 200 € per person per year – without additional cleaning effort or regular maintenance. At the same time, it helps to significantly lower emissions.
   
We are currently preparing to launch our company and are working to bring our prototype into home bathrooms. Our project is supported by the European Union and the state of North Rhine-Westphalia through the EFRE program, as well as by a greenhouse.ruhr fellowship.",Climate Technology Product Manufacturing,2-10 employees,Partnership,"Dortmund, North Rhine-Westphalia, Germany",Germany,,https://www.linkedin.com/company/show-er
Citifyer,"Citifyer ist eine cloud-basierte Anwendung, mit der Flächen direkt in der Karte eingezeichnet, analysiert und für Entsiegelungs- und Planungsprojekte ausgewertet werden können. Die Software unterstützt bei der Maßnahmen-, Mengen- und Kostenplanung sowie bei der Erstellung von Protokollen und Reports.",Climate Technology Product Manufacturing,2-10 employees,Public Company,"Hannover, Lower Saxony, Germany",Germany,citifyer.de,https://www.linkedin.com/company/citifyer
Ecurious,"Ecurious is a new charging marketplace that lets you charge your car anywhere, with a single card, always at the best price at our partner stations. The Ë card is your gateway into a new world of electromobility.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Munich, Bavaria, Germany",Germany,ecurious.com,https://www.linkedin.com/company/ecuriousinc
