Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Huawei,"Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services – we are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.

Huawei's end-to-end portfolio of products, solutions and services are both competitive and secure. Through open collaboration with ecosystem partners, we create lasting value for our customers, working to empower people, enrich home life, and inspire innovation in organizations of all shapes and sizes.

At Huawei, innovation focuses on customer needs. We invest heavily in basic research, concentrating on technological breakthroughs that drive the world forward. We have more than 207,000 employees, and we operate in more than 170 countries and regions. Founded in 1987, Huawei is a private company fully owned by its employees.

House Rules
This page is for ICT professionals with an interest in Huawei and our industry to engage in open discussions.
To facilitate dialogue, please follow these rules:
- Huawei holds the right to delete comments that are offensive, misleading, false, unlawful, off-topic and in violation of any regulations.
- Repeated violations of any of the above will be removed and users may be blocked.
- Huawei does not necessarily endorse the information shared by members.
- Please be familiar with and follow LinkedIn's User Agreement.
- By publicly uploading a photograph or comment, you give Huawei permission to feature your content. This will always be credited.

Please visit the below portals for career or customer service queries.
Career page: http://bit.ly/2rdljD7
Customer service: http://bit.ly/2a4mXNY

Thank you for visiting us & we hope you enjoy your time on our page.",Telecommunications,"10,001+ employees",Privately Held,"Bonn, North Rhine-Westphalia, Germany",Germany,huawei.com,https://www.linkedin.com/company/huawei
FiberConsult GmbH,"We support you in planning, project management and documentation of FTTH projects.",Telecommunications,2-10 employees,Public Company,"Hohen Viecheln, Mecklenburg-West Pomerania, Germany",Germany,fiber-consult.com,https://www.linkedin.com/company/fiberconsult
FMS INTERNETSERVICE GMBH,"Distributor für Netzwerklösungen sowie Consulting, Schulung und Support",Telecommunications,11-50 employees,Public Company,"Umkirch, Baden-Württemberg, Germany",Germany,fmsweb.de,https://www.linkedin.com/company/fms-internetservice-gmbh
Weiss + Appetito Services,"Digitalization is everywhere. But by far not everything is running perfectly. Especially the simple tasks of everyday use are likely to be overlooked. We improve user comfort by transferring necessary processes into the digital sphere. we.digitize.

LiveCharger  The busbar bound charging infrastructure allows for

...reserving charging points? 
...expanding infrastructure modularly? 
...use of any well-known charging wallbox? 
...use of any well-known software backend? 

LiveLocker  The award-winning digital locking solution allows for
... safe storage of personal belongings without coins or rental keys
... reserving a locker
... a completely software authenticated post box",Telecommunications,11-50 employees,Public Company,"Duisburg, North Rhine-Westphalia, Germany",Germany,weissappetito.com,https://www.linkedin.com/company/wedigitize-weissappetito
TK-KONTOR-FREITAG GmbH,"Wir sind ein etabliertes Ingenieurbüro mit Sitz in Neumünster, das sich auf die passive Glasfaserplanung spezialisiert hat.  Unser Fokus liegt dabei auf der Planung und Umsetzung von FTTH (Fiber To The Home)-Projekten, um eine nahtlose und leistungsfähige Glasfaserversorgung zu gewährleisten. Ein weiterer Schwerpunkt unserer Arbeit ist die Durchführung von Schulungen rund um das Thema Glasfaser. Hierzu bieten wir Standard-Schulungen und auf Ihre Bedürfnisse zugeschnittene Schulungen an.",Telecommunications,11-50 employees,Public Company,"Neumünster, Schleswig-Holstein, Germany",Germany,tk-kontor-freitag.de,https://www.linkedin.com/company/tk-kontor-freitag-gmbh
Infraplan Solutions,InfraPlan Solutions bietet präzise B2B-Planungsleistungen für Glasfaserinfrastruktur von HLD/LLD-Konzeption über Genehmigungsplanung bis zur fertigen GIS-Dokumentation. Fundiert durch Erfahrung aus realen Großprojekten in Deutschland.,Telecommunications,2-10 employees,Self Employed,"Essen, North Rhine-Westphalia, Germany",Germany,infraplan-solutions.de,https://www.linkedin.com/company/infraplan-solutions
Promedia ITK GmbH,"Die Anforderungen im Bereich der Informations- und Telekommunikationstechnologien wachsen in der heutigen Zeit stetig und werden mit den technologischen Entwicklungen immer komplexer. Die Unternehmen nutzen Infrastruktur und Leistungen von einer Vielzahl von Anbietern. Der ITK-Markt ist nur schwer überschaubar und für viele Firmen längst nicht mehr transparent. Für die ITK-Teams wird es somit immer schwerer, Ihre Aufgaben verantwortungsvoll zu erfüllen und dabei noch die richtigen Entscheidungen zu treffen.

promedia beschäftigt sich seit 1996 mit der Beratung und Betreuung von Geschäftskunden im Bereich der Telekommunikation. Wir bieten für Ihr Unternehmen individuell abgestimmte Lösungen für Datendienste, IP-Sprachanschlüsse, Telefon-Anlagen, UCC-Lösungen und Mobilfunk - national wie international.

Wir erstellen individuelle ITK-Konzepte für Ihr Unternehmen. Unsere Stärke liegt in der Carrier-neutralen Optimierung und professionellen Betreuung Ihrer IT- und TK-Landschaft. Und das bei einem erstklassigen Service! So können wir garantieren, dass Sie als unser Kunde immer die optimale Lösung erhalten – unabhängig, effizient und absolut individuell.

promedia ist Ihr neutraler Ansprechpartner und kompetenter Begleiter in allen Fragen rund um Ihre ITK-Lösung und übernimmt für Sie die gesamte Abwicklung. Für uns bedeutet das maßgeschneiderte Konzept jedoch nicht nur Beratung, Konzeption und Implementierung, sondern in erster Linie auch langfristige Betreuung und persönlicher Service über den Projekt- oder Produktzeitraum hinaus. Unser Ziel ist eine vertrauensvolle, partnerschaftliche und nachhaltige Zusammenarbeit!",Telecommunications,11-50 employees,Public Company,"Rülzheim, Rhineland-Palatinate, Germany",Germany,promedia-itk.com,https://www.linkedin.com/company/promedia-itk-gmbh
LNi GmbH,"Herzlich Willkommen bei der LNi GmbH mit Sitz in Parsberg in der Oberpfalz!

Die LNi ist ein Zusammenschluss von 48 Gebietskörperschaften, die nicht länger warten wollten und selbst die Initiative ergriffen haben: ein Glasfasernetz in Eigenregie - alle für eins und eins für alle. 
Zusammen schaffen wir eine Gigabitgesellschaft und gehen damit einen Schritt in die Zukunft. 

Zusammen mit unseren Mitarbeitern schaffen wir eine Gigabitgesellschaft und gehen damit mit Lichtgeschwindigkeit in die Zukunft.
Unsere Arbeitsatmosphäre basiert auf Anerkennung und Vertrauen. Deshalb wird bei uns sehr selbstständig und eigenverantwortlich gearbeitet.

Sei Impulsgeber und gestalte auch du die Zukunft des Glasfasernetzes bei LNi. 

Ein großes Netz braucht viele Hände - Komm in unser Team!",Telecommunications,11-50 employees,Public Company,"Parsberg, Bavaria, Germany",Germany,lni.gmbh,https://www.linkedin.com/company/laber-naab-infrastruktur-gmbh
Adecco Service Center Solutions GmbH,"Adecco Service Center Solutions GmbH
Die Lösung für Sie.

Adecco Service Center Solutions kombiniert Personalkompetenz mit professioneller, langjähriger Service Center Erfahrung und bietet seinen Kunden somit einen realen Mehrwert im Management von Kundenbeziehungen.

Kundenkommunikation ist unsere Stärke.
 Ob per Telefon, E-Mail oder Chat: Mit über 750 Service-Spezialisten erbringen wir seit mehr als 20 Jahren umfassende Contact Center-Dienstleistungen an sechs Standorten in Deutschland.

Maßgeschneiderte Lösungen sind unsere Leidenschaft.
 Ihr Anliegen ist bei uns in guten Händen. Unsere sieben Service Center leben vom Know-how unserer Mitarbeiter. Dass es sich so gut für Sie entfalten kann, liegt an der überschaubaren Größe. Und in familärer Atmosphäre kommen weder Quantität noch Qualität zu kurz. Denn hier macht es einfach Freude zu arbeiten.

Transparente Prozesse bringen transparente Ergebnisse.
 Wir können nur mit unseren Auftraggebern gemeinsam wachsen. Deshalb sind wir gut sortiert und garantieren Ihnen einen optimale Projektergebnisse – natürlich immer mit dem Ziel, sie kontinuierlich zu verbessern.

Unsere Verantwortung ist uns bewusst.
 Denn Sie vertrauen uns das Wichtigste an – das Herz jedes Unternehmens. Deshalb sind Ihre Kunden unsere Kunden. Hohe Identifikation ist ein Muss für gelingende Kundenkommunikation. Nur so finden wir mit der richtigen Mischung aus Empathie und Professionalität in jedem Kontakt die beste Lösung.

Bei uns sind Sie richtig.

 Finden Sie es heraus. Wir freuen uns auf Sie!",Telecommunications,"501-1,000 employees",Public Company,"Düsseldorf, North Rhine-Westphalia, Germany",Germany,abs-service-center.de,https://www.linkedin.com/company/adecco-service-center-solutions-gmbh
WOBtalk GmbH,"Die 1999 gegründete WOBtalk GmbH ist die größte eigenständige Mobilfunkkette mit insgesamt 37 Filialen bundesweit.

Wir sind Ihr kompetenter Servicepartner rund um alle Themen der Telekommunikation, ob Mobilfunk, Festnetz, Internet, Kabelanschluss, Smart Home und TV sowie Zubehör – wir finden das für ihre Bedürfnisse passende Produkt.

Bei Reparaturanfragen stehen wir Ihnen in unserer Servicewerkstatt gern zur Verfügung.

In unserem Fachmarkt EP-Wolfsburg finden Sie nicht nur ein breites Sortiment, wir stehen Ihnen auch jederzeit mit Beratung und erstklassigem Service bei allen Fragen rund um unsere Produkte zur Seite. Wir sind Ihre Profis für Consumer Electronics in der Region. Bei EP:Wolfsburg können Sie entweder persönlich einkaufen und sich vor Ort beraten lassen, im EP:Onlineshop www.ep-wolfsburg.de
 bestellen und die Ware anschließend bequem in unseren Laden liefern lassen.",Telecommunications,51-200 employees,Public Company,"Wolfsburg, Lower Saxony, Germany",Germany,wobtalk.de,https://www.linkedin.com/company/wobtalk
Mobilmakler GmbH,"BLAU UND WOW
Unser Team betreut und unterstützt seit 1998 über 500 mittelständische Unternehmen rund um das Thema Telekommunikation. Wir optimieren Verträge, vernetzen Firmenstandorte und sorgen für einen zuverlässigen, schnellen Zugang zum Internet. In Kooperation mit vielen Netzbetreibern und Providern bieten wir unseren Kunden das rundum-sorglos-Paket im Telekommunikationsbereich.

Datenschutz: 
https://blueants.de/datenschutzerklaerung-social-media",Telecommunications,11-50 employees,Public Company,"Gilching, Bavaria, Germany",Germany,blueants.de,https://www.linkedin.com/company/mobilmakler-gmbh
BESCom Elektronik GmbH,"BESCom Elektronik GmbH – Ihr inhabergeführtes Engineering-Unternehmen für professionelle Mobilkommunikation seit 1989. Wir bieten maßgeschneiderte Kommunikationslösungen für Industrie, Logistik, Behörden und kritische Infrastrukturen wie Energieversorgung und Sicherheit.

Unser Leistungsspektrum:
- Planung, Installation & Wartung von BOS‐Objektfunkanlagen – von Behördenfreigaben bis zur Schulung und langfristigem Servicevertrag
- Aufbau moderner Campus‐Netze basierend auf privateLTE & 5G: garantiert niedrige Latenz, hohe Bandbreite und maximale Datensicherheit – ideal für Industrie4.0 und IoT‐Anwendungen 
- Industriefunklösungen (z.B. TETRA, DMR) für sichere Sprach‐ und Statuskommunikation mit hoher Verfügbarkeit

Warum BESCom?
- Über 30 Jahre Erfahrung als unabhängiges Engineering-Unternehmen mit Schwerpunkt Telekommunikation und mobile Datenfunklösungen
- Innovativ durch Entwicklung eigener Tools wie Geofence oder GeoSwitch für fortschrittliche, 3D‐basierte Campus‐Planung
- Zertifiziertes Unternehmen (PMeV / BODev) für Objektfunk, inklusive Errichtung, Inbetriebnahme und Wartung nach BOS-Normen

Ihr Nutzen:
Mit private5G‐Campusnetzen vernetzen wir Menschen, Maschinen und Prozesse – etwa fahrerlose Intralogistikfahrzeuge, vernetzte Sensorik & Echtzeitkommunikation im IoT. Das Ergebnis: effiziente Abläufe, minimale Stillstandzeiten, optimierte Wartung durch Predictive Maintenance 
Wir übernehmen umfassend die Phasen Beratung, Planung, Installation, Schulung sowie Wartung & Bereitschaftsdienst – für moderne Industriefunk-, Objektfunk-, Campus‐Netze und private5G‐Lösungen aus einer Hand.

Spezialgebiete: Funktechnik | BOS Objektfunk | TETRA | DMR | Wartung Funkanlagen | 5G | Kritische Infrastrukturen | Installation Funkanlagen",Telecommunications,11-50 employees,Public Company,"Hamburg, Hamburg, Germany",Germany,bescom.de,https://www.linkedin.com/company/bescom-elektronik-gmbh
MARCA Dienstleistung - Inh. Martin Goldenbaum,"""Agentur für Lead Management und Telemarketing B2B: 
Neukundenakquise, Recherche, Terminvereinbarung, Vermittlung von Aufträgen, Bestandskundenpflege 

Kundenfeedback/Angebotsverfolgung: 
Einholung von Kundenzufriedenheit, Einholung von Verbesserungsvorschlägen und Verfolgung von nicht umgesetzten Angeboten 

Infopakete: 
Individuell anpassbar, Ihr Infomaterial in einem Paket, Versandübernahme und Möglichkeit der persönlichen Übergabe""

Auch zum Thema Künstliche Intelligenz (KI) bestehen Möglichkeiten und Ansätze im Zusammenspiel mit unseren vertrieblichen Lösungen.",Telecommunications,2-10 employees,Self Owned,"Ingelheim am Rhein, Rhineland-Palatinate, Germany",Germany,marca-dienstleistung.de,https://www.linkedin.com/company/marcadienstleistung
net.DE AG,"net.DE AG is a infrastructure and managed hosting company with datacenters in the region of Hanover, Lower Saxony, Germany.",Telecommunications,11-50 employees,Privately Held,"Hannover, Lower Saxony, Germany",Germany,net.de,https://www.linkedin.com/company/net-de-ag
gfw netzbau GmbH,"Klar, effizient, zuverlässig.

Wir sind ein Unternehmen für Planung, Bau und Dokumentation von Infrastrukturprojekten im Glasfaserbereich.
Von der technischen Planung über die Umsetzung bis hin zur vollständigen Netzdokumentation begleiten wir Projekte strukturiert, effizient und zuverlässig.

Unser Anspruch sind klare Prozesse, saubere Ausführung und nachvollziehbare Dokumentation – als stabile Grundlage für Betrieb, Wartung und zukünftige Netzentwicklung.

Wir arbeiten mit Netzbetreibern, Generalunternehmern sowie Nachunternehmern zusammen und setzen auf Partnerschaften auf Augenhöhe, transparente Kommunikation und langfristige Zusammenarbeit.

 Interesse an einer Zusammenarbeit oder Partnerschaft?
Wir freuen uns auf den Austausch.",Telecommunications,2-10 employees,Public Company,"Alfdorf, Baden-Württemberg, Germany",Germany,,https://www.linkedin.com/company/gfw-netzbau-gmbh
LEHMENSIEK Tele-Technik GmbH,"Komplexdienstleister für Zugänge in die digitale Welt.
LEHMENSIEK – Komplexdienstleister und Partner für Anbieter von Zugängen in die digitale Welt. Die Unternehmen der LEHMENSIEK Gruppe mit ca. 200 Beschäftigten spezialisiert in der rundfunktechnischen Branche vom Tiefbau bis zum Wohnungsanschluss für Fernsehen, Telefon und Internet. Sie stehen, wie schon am Anfang der Firmengeschichte für Zukunftstechnologie und Serviceleistung rund um Fernseh- und Telekommunikationstechnik.",Telecommunications,51-200 employees,Self Owned,"Lübeck, Schleswig-Holstein, Germany",Germany,lehmensiek.de,https://www.linkedin.com/company/lehmensiek-tele-technik-gmbh
