Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Rexel India Pvt. Ltd.,"Rexel, worldwide expert in the professional multichannel distribution of electrical products and services for the energy world, addresses three main markets - residential, commercial and industrial. The Group supports its customers to be at their best in running their business, by providing a broad range of sustainable and innovative products, services and solutions in the field of technical supply, automation and energy management.",Automation Machinery Manufacturing,201-500 employees,Privately Held,"Raipur, Chhattisgarh, India",India,rexel.co.in,https://www.linkedin.com/company/rexel-india-pvt-ltd-
COTMAC,"COTMAC is a part of the 130 year old N A Sirur group of companies.
COTMAC is one of the leading organizations in the field of system integration and industrial automation. As automation solutions providers, we have an impressive track record in various industries including Power, Auto, Textile and Packaging.
Our customers include market leaders and we have added value to their productivity with our proficiency in factory automation and process automation solutions.
We offer customized vision-based inspection, guidance and identification systems.
We offer our customers engineering services for all electrical engineering design with a high degree of flexibility and innovative functionality.
We also manufacture control panels for both indoor and outdoor applications in Mild Steel and Stainless Steel. Our product range and capabilities cater to all industries ranging from automobile to process, from oil and gas to infrastructure.
Our industrial trading arms represent leading companies in the field of welding, air compressor, cables and LT switchgear.",Automation Machinery Manufacturing,"1,001-5,000 employees",Privately Held,"Golmuri Cum Jugsalai, Jharkhand, India",India,cotmac.io,https://www.linkedin.com/company/cotmac-electronics-pvt-ltd-india
Logicon Technosolutions Pvt. Ltd.,"Logicon Technosolutions is a preferred solutions-provider for Industrial Automation and Digital Manufacturing Solutions, by the worlds leading plant owners and process suppliers to enhance their productivity and efficiency. Since 2004, 200 leading plant owners including many fortune 500 companies and process suppliers have trusted us with delivering 1000+ control systems in more than 20 countries. 

           Our team together has experience on designing and deploying control , Power & Information solutions of more than 2000 Man years. We have bundled our knowledge in to industry preferred solutions that reduces project time and minimize customization effort while ensuring proven performance. While we have served most industries our best experience is in Personal Care, Man Made Fiber, Specialty Chemicals, Utility Controls and Lube Oil & Lubricants. 

           Logicon Technosolutions have partnered with leading automation technology companies viz. Rockwell Automation, Universal Robots, Automation Anywhere, Inductive Automation, Baumer and Microsoft to provide end to end solutions for manufacturing industries. 

Domain Expertise :

1. Batch Processes
2. Power management & Energy Monitoring
3. Continuous Processes
4. Turnkey Instrumentation Projects
5. Motion Control ( Servo Systems )
6. AC/DC Drive Systems
7. MIS Connectivity
8. Reactor Automation
9. Material Handling (Stacker/Reclaimer)
10. Water Treatment & Water Management Systems
11. Control & MCC Panels
12. Packing Line Automation (Soap’s, Tablets,Detergent Powder Etc.)
13. Utility Automation ( Chillers, Boilers, AHU, Compressors Etc.)
14. Machine Automation
15. Industry 4.0, IIot
16. Robotic Process Automation
17. Robotics and Machine Vision Applications
18. Digital Transformation & Digital Workforce
19. AI powered Chatbots and Analytics
20. MES Solutions
21. Cloud Computing
22. Cybersecurity",Automation Machinery Manufacturing,51-200 employees,Privately Held,"Chandigarh, Chandigarh, India",India,logicontech.com,https://www.linkedin.com/company/logicontech
Polmon Instruments Pvt Ltd,"Polmon Instruments Pvt Ltd is an Instrumentation and Process Automation Solution provider to the Life sciences Industry. Headquartered in Hyderabad. Polmon has offices in Visakhapatnam & Ahmedabad.

The main objective of the company is to help to automate processes that enhance business performance by providing Instrumentation solutions, accelerated implementations at reduced costs, increase productivity and create a competitive advantage for its clients.

In contrast to the “one size fits all” approach, Polmon ensures that its products and solutions are customized, robust, flexible and standardized meeting all industry norms, to address the diverse and sophisticated needs of clients both large and small. Polmon strongly believes that “Customer is their product designer”.

 Its core strength has been its ability to respond to the industry’s ever emerging requirements for instruments and automated solutions for the processes that require strict adherence to Safety, Productivity and Regulatory standards. 

With deep domain knowledge, combined with innovative approach, comprehensive capabilities and excellent customer service Polmon serves over 600 companies in Pharma, Bio-Tech, Food and other industries with its features rich suite of products to deliver significant value to its customers.",Automation Machinery Manufacturing,201-500 employees,Privately Held,"Visakhapatnam, Andhra Pradesh, India",India,polmon.com,https://www.linkedin.com/company/polmon-instruments-pvt-ltd
Adage Automation Private Limited,"We are a specialist Gas Analytical company, delivering integrated and engineered solutions to Large & Mid-size Industries for Process Optimization, Safety & Continuous Emission Monitoring (CEMS), and Ambient Air Quality (AAQMS) applications. Presently we enjoy the leadership position for Integrated Solutions with Continuous Gas Analyzers, Gas Chromatographs & Laser Analytics Solutions in the Indian Industry.

With our presence through our subsidiary companies in the USA, UAE, and Kingdom of Saudi Arabia, we enjoy and unique Global Presence with an installation base in over 50 countries around the world.

We offer complete Digitalization Solutions for Process Analyzers as well as for Environmental applications.",Automation Machinery Manufacturing,201-500 employees,Privately Held,"Salcette, Goa, India",India,adage-automation.com,https://www.linkedin.com/company/adage-automation-private-limited
IndMALL Automation (Challaturu Engg & Automation Pvt Ltd),"IndMALL is India’s Trusted B2B Marketplace for Industrial Products — built to connect buyers and verified industrial suppliers instantly via WhatsApp.

We make it easier for suppliers, resellers, traders, and distributors to get 50 to 1,400+ verified buyer leads per year—without running ads or making cold calls.

Our platform lists suppliers by brand, location, and product category, making it effortless for buyers to compare and connect with the right suppliers. Whether you deal in PLCs, sensors, drives, SMPS, or other automation components — IndMALL helps bring qualified buyers directly to your WhatsApp inbox.

Why Suppliers Join IndMALL:
 Free Business Listing with 50 Direct Leads/Year
 Premium Plans with 350–1400+ Leads/Year
 Leads Delivered Directly on WhatsApp
 Verified Buyer Inquiries – No Spam or Random Calls
 Profile Boosts Through SEO & Google Rankings

Why Buyers Use IndMALL:
 Find Verified Suppliers Instantly
 Compare Prices, Stock & Location

 Start WhatsApp Chats in One Click
 Request Callbacks for Product Support
 One-Time Registration → Auto-Fill Future Inquiries
 No Middlemen or Unwanted Calls

From PLCs to Sensors, Drives to SMPS – if it’s industrial, it belongs on IndMALL.",Automation Machinery Manufacturing,2-10 employees,Partnership,"Madanapalle, Andhra Pradesh, India",India,indmall.in,https://www.linkedin.com/company/indmall
Skyzer India,"We M/s Skyzer India Pvt. Ltd. are an ISO 9001 : 2015 & MSME registered Industrial Solution Provider working on Instrumentation, Automation, Industrial Valves & Vibration monitoring equipment's.

Our business involves partnering with top Global MNC OEMs and identifying, selecting the equipment and technical solutions best suited for our clients requirements and making them available PAN India.

We have a huge product basket as listed below.
1. Industrial Valves - ON/OFF, Butterfly,Gate Valves and Solenoid Valves
2. Valve Positioners
3. Flowmeters- Ultrasonic , Electromagnetic and Mass Flow meters etc.
4. Gas Analysers
5. Thermal Imagers
6. VFD , PLC & HMI's
7. AFR & Limit Switches
8. Multi Gas Detectors
9. Thermocouple , RTD & Thermowell
10. Pressure/Level/Flow Transmitters & Switches
11.Online pH meter
12. Pyrometers and Calibrators",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Bhubaneshwar, Odisha, India",India,skyzer.in,https://www.linkedin.com/company/skyzer-india
CuroPark,"Pentaminds Technology along with its partner Novus Automation and Radius Infotech have been well known in the industry for introducing cutting edge products and solution. Foreseeing the future trends in the industry and market, we collaborate to design solutions for the existing as well as new problems.


Our solution ranges from parking automation solution to Network Monitoring Solution, Telecommunication solution, Visitor Management, Security and surveillance solution, School solution and IOT/AI.


Products and solutions designed and developed by us finds practical applications in commercial business centers, Residential societies, Governments, Hospitality, Educational Institutions, Special Economic Zones (SEZ) etc.


Apart from CuroPark, Some of our innovative solutions include CuroPark+(Automated parking solution for commercial buildings integrated with visitor management system), CuroNext(Cloud based smart society management system making society secured, seamless and paperless), CuroVMS(Cloud based visitor management system to manage premises authorized check-in/check-out), CuroConnect(RFID gate based school attendance system with Online Fees Payment option and Communication system)",Automation Machinery Manufacturing,51-200 employees,Partnership,"Chandigarh, Chandigarh, India",India,curopark.com,https://www.linkedin.com/company/curopark
Manglam Electricals,"Manglam Electricals is an industrial engineering enterprise helping manufacturers improve reliability, productivity, safety, and process performance. For over 45 years, we have partnered with steel plants, OEMs, system integrators, railways, and industrial manufacturers by combining global technologies with deep application understanding and local execution.

Our expertise spans:
   ◉ Industrial Sensors & Automation
   ◉ Motion Control & Encoder Systems
   ◉ Thermal Measurement & Monitoring
   ◉ Industrial Connectivity & Interfaces
   ◉ Power Electronics & Protection
   ◉ Application Engineering & Industrial Solutions

We believe industrial progress is built at the intersection of technology, engineering, and execution. Today, Manglam is evolving from a distribution-led organization into an application-driven industrial solutions company focused on creating long-term value for customers, principals, employees, and the industry.
Distribution Strength. Engineering Depth. Industrial Reliability.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Golmuri Cum Jugsalai, Jharkhand, India",India,manglamelectricals.com,https://www.linkedin.com/company/manglam-electricals
E3 Tech Systems & Services,"We provide
- Single Fluid Heating Cooling Systems
- Lab Reactor Automation
- Kilo Lab Reactor Automation
- Process Plant Instrumentation & Automation
- Augmented Reality Solutions
- Health Monitoring Solutions for Naval Vessels
- Customised control systems for Submarines
- Simulators for Training",Automation Machinery Manufacturing,11-50 employees,Partnership,"Visakhapatnam, Andhra Pradesh, India",India,e3techsys.com,https://www.linkedin.com/company/e3-tech-systems-services
