Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Amgen India,"Amgen India’s technology and innovation site in Hyderabad is a critical component of Amgen's global strategy to accelerate its digital transformation, innovation efforts and further support Amgen’s mission of serving more patients. With an initial focus on building and scaling advanced technology solutions and digital capabilities, Amgen India will enhance efficiencies across the enterprise, supporting key areas such as AI, data science, and life sciences.  If you are keen to shape the future of biotechnology and are interested in working with Amgen, visit our careers page https://careers.amgen.com/en/india 

Social media guidelines - https://wwwext.amgen.com/community-guidelines 

Privacy Statement - https://www.amgen.co.in/privacy-statement",Biotechnology Research,"1,001-5,000 employees",Privately Held,"Hyderabad, TG, India",India,amgen.co.in,https://www.linkedin.com/company/amgen-india
Raviarj Sureban Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/raviarj-sureban-clinic
HK Dental Clinic (Hyderabad),,Biotechnology Research,11-50 employees,,"Hyderabad, TG, India",India,,https://www.linkedin.com/company/hk-dental-clinic-hyderabad-
Gangadhar Padala Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/gangadhar-padala-clinic
Shivam Dental Care Centre (Hyderabad),,Biotechnology Research,11-50 employees,,"Musheerabad, TG, India",India,,https://www.linkedin.com/company/shivam-dental-care-centre-hyderabad-
Nikshepa Pharmaceuticals,"We are engaged in offering Protein Supplement, Herbal Syrup, Body Massage Oil and many more. The products are quality tested which have longer operational life.",Biotechnology Research,51-200 employees,,"Saroornagar, TG, India",India,,https://www.linkedin.com/company/nikshepa-pharmaceuticals
Bhargavi Govindu Gari Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/bhargavi-govindu-gari-clinic
Ponny Chacko Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/ponny-chacko-clinic
Sreedhara Chaganty Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/sreedhara-chaganty-clinic
Sobhana Diagonstic Centre (Hyderabad),,Biotechnology Research,51-200 employees,,"Hyderabad, TG, India",India,,https://www.linkedin.com/company/sobhana-diagonstic-centre-hyderabad-
Gundebommu Srinivasarao Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/gundebommu-srinivasarao-clinic
Muruganaddepalli Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/muruganaddepalli-clinic
Syed Ahmed Naveed Clinic,"Syed Ahmed Naveed Clinic is a biotechnology company based out of Hill Colony, Mehdipatnam, Hyderabad, A.P,, Nampally, Telangana, India.",Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/syed-ahmed-naveed-clinic
Kaipa Bhavani Shanker Kaipa Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/kaipa-bhavani-shanker-kaipa-clinic
Pharma Basics,,Biotechnology Research,11-50 employees,,"Tirumalagiri, TG, India",India,pharmabasics.com,https://www.linkedin.com/company/pharma-basics
Shahida Begum Clinic,"Shahida Begum Clinic is a biotechnology company based out of O.Sharif, Float Num-514, Hmt Hills, Opp. Jntu, Kukatpalli, Hyderabad., Nampally, Telangana, India.",Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/shahida-begum-clinic
Erla Anka Rao Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/erla-anka-rao-clinic
Dilip Mahapatra Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/dilip-mahapatra-clinic
Prasad Rao Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/prasad-rao-clinic
Thoutam Siddartha Clinic,,Biotechnology Research,51-200 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/thoutam-siddartha-clinic
Ravi Kumar Thota Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/ravi-kumar-thota-clinic
Raksha Ayurvedic Centre (Hyderabad),,Biotechnology Research,51-200 employees,,"Khairatabad, TG, India",India,,https://www.linkedin.com/company/raksha-ayurvedic-centre-hyderabad-
B Kavitha Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/b-kavitha-clinic
Vijaya Dental Health Centre (Hyderabad),,Biotechnology Research,11-50 employees,,"Marredpally, TG, India",India,,https://www.linkedin.com/company/vijaya-dental-health-centre-hyderabad-
Dr Ravikumar B Clinic,,Biotechnology Research,51-200 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/dr-ravikumar-b-clinic
Jagan Gopisetti Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/jagan-gopisetti-clinic
SRI Sai Diet Clinic (Hyderabad),,Biotechnology Research,51-200 employees,,"Hyderabad, TG, India",India,,https://www.linkedin.com/company/sri-sai-diet-clinic-hyderabad-
Phani Krishna Narra Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/phani-krishna-narra-clinic
Parameshwari Diagnostic Centre (Hyderabad),,Biotechnology Research,11-50 employees,,"Saroornagar, TG, India",India,,https://www.linkedin.com/company/parameshwari-diagnostic-centre-hyderabad-
Bhavani Muppu Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/bhavani-muppu-clinic
A Nallasivam Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/a-nallasivam-clinic
Obaid Shaikh Clinic,,Biotechnology Research,11-50 employees,,"Nampally, TG, India",India,,https://www.linkedin.com/company/obaid-shaikh-clinic
SRI Harsha Dentofacial Centre (Hyderabad),,Biotechnology Research,51-200 employees,,"Peddapalli, TG, India",India,,https://www.linkedin.com/company/sri-harsha-dentofacial-centre-hyderabad-
