Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Regeneron,"At Regeneron we believe that when the right idea finds the right team, powerful change is possible. As we work across our expanding global network to invent, develop and commercialize life-transforming medicines for people with serious diseases, we’re establishing new ways to think about science, manufacturing and commercialization. And new ways to think about health. Connect with us so we can learn more about you, and you can learn more about our biopharmaceutical medicines. And join us, as we build a future we believe in.  

Please visit www.regeneron.com/social-media-terms for information on how to engage with us on social media.  

An important note about privacy: Regeneron is committed to your privacy and will not ask for sensitive personal information such as social security number, date of birth or bank account details via email or social media.",Biotechnology,"10,001+ employees",Public Company,"Bengaluru, Karnataka, India",India,regeneron.com,https://www.linkedin.com/company/regeneron-pharmaceuticals
Fortune Pharma Training Institute,,Biotechnology,51-200 employees,,"Hyderabad, Telangana, India",India,fortunepharmatrain.com,https://www.linkedin.com/company/fortune-pharma-training-institute
Ab Life Sciences,,Biotechnology,201-500 employees,,"Mumbai, Maharashtra, India",India,ablifesciences.com,https://www.linkedin.com/company/ab-life-sciences
Algol Pharmaceuticals Limited,,Biotechnology,201-500 employees,,"Mumbai, Maharashtra, India",India,algolpharmalimited.in,https://www.linkedin.com/company/algol-pharmaceuticals-limited
Shifa Poly Clinic (Tirunelveli),,Biotechnology,201-500 employees,,"Tirunelveli, Tamil Nadu, India",India,,https://www.linkedin.com/company/shifa-poly-clinic-tirunelveli-
Dr.Amit Seth,,Biotechnology,Self-employed,,"New Delhi, Delhi, India",India,drsethhairtransplant.com,https://www.linkedin.com/company/dr.amit-seth
GR Laboratories Private Limited (Secunderabad),,Biotechnology,11-50 employees,,"Tirumalagiri, Telangana, India",India,,https://www.linkedin.com/company/gr-laboratories-private-limited-secunderabad-
Mirza Md Wajid Baig Clinic,,Biotechnology,11-50 employees,,"Mumbai, Maharashtra, India",India,,https://www.linkedin.com/company/mirza-md-wajid-baig-clinic
Indica Research (I) Private Limited,,Biotechnology,51-200 employees,,"Navi Mumbai, Maharashtra, India",India,,https://www.linkedin.com/company/indica-research-i-private-limited
Dr Kalyana Chakravarthi . Thirunagari Clinic,"Dr Kalyana Chakravarthi . Thirunagari Clinic is a biotechnology company based out of 13-198, F1, Sai Anisha Enclave, Madhusudhan Nagar, Malkajgiri, Hyderabad-500047,Ap,, Nampally, Telangana, India.",Biotechnology,11-50 employees,,"Hyderabad, Telangana, India",India,,https://www.linkedin.com/company/dr-kalyana-chakravarthi-.-thirunagari-clinic
