Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Ecolibrium,"Ecolibrium is a sustainability tech company that empowers people to make better decisions based on proven data-driven ML algorithms through continuous monitoring, analysis and seamlessly integrated automated recommendation engines.

We accelerate organisations’ decarbonisation journey through real-time actionable insights on a single pane view, driving measurable actions to meet their Net-Zero goals while elevating productivity and reducing operational costs across their entire portfolio. It’s a finely tuned balance between people, planet and profit.

At Ecolibrium, we are dedicated to our partners-first approach. We walk hand-in-hand with our clients, ensuring a collaborative effort that drives sustainable, continuous improvement. We are more than just a technology provider; we are your dedicated partner in achieving common goals for a greener, more efficient organisation.

Ecolibrium is ISO 27001 certified and adheres to the ISMS framework of standards. We have won several awards over the last decade, including the prestigious WWF Climate Solver Award, the UNFCC award and the Ashden International Award.",Climate Data and Analytics,51-200 employees,Privately Held,"Bengaluru North, Karnataka, India",India,ecolibrium.io,https://www.linkedin.com/company/ecolibrium
Above Ground,"Above Ground is a sustainability consulting firm founded by three partners with diverse and unconventional backgrounds, dedicated to empowering both startups and established companies. Our team comprises a CA-turned venture capitalist, an industrial designer turned venture builder, and a sustainability entrepreneur. This unique blend of expertise allows us to bring fresh perspectives and innovative solutions to the table.

We specialize in helping startups scale by providing expert advisory services in capital acquisition, market mapping, and strategic planning. Currently, we are collaborating with pioneering startups in the fields of carbon capture and waste management, driving forward the next generation of sustainable technologies. In addition to supporting emerging businesses, we also work with large-cap companies to implement effective green initiatives, ensuring they transition smoothly to more sustainable operations.

As part of our commitment to sustainability, we have launched Saaf Pani, an end-to-end project focused on Mumbai’s water infrastructure. Saaf Pani aims to identify key challenges and develop sustainable solutions to ensure reliable and clean water access for the city. This initiative reflects our dedication to addressing critical environmental issues through comprehensive and actionable strategies.

Our diverse expertise enables us to empower our clients to adopt forward-thinking strategies and excel in their industries. By integrating financial acumen, design innovation, and environmental insight, Above Ground delivers customized solutions that help businesses achieve their sustainability objectives while promoting growth and resilience. We are passionate about driving meaningful change and supporting our clients in building a sustainable future for both their organizations and the planet.",Climate Data and Analytics,2-10 employees,Privately Held,"Mumbai, Maharashtra, India",India,,https://www.linkedin.com/company/ag-aboveground
Sparrow Analytics,"We are a science tech startup that works at the intersection of Technology, GIS and Applied Sciences, helping build products & processes that enable informed decision-making",Climate Data and Analytics,2-10 employees,Privately Held,"Chandigarh, Chandigarh, India",India,sparrowanalytics.in,https://www.linkedin.com/company/sparrow-analytics-pvt-ltd
Terrahive,"At Terrahive, we believe that every organisation deserves a chance to take meaningful climate action.

Most businesses want to act on sustainability — but ESG today feels too complex, costly, and overwhelming. TerraHive exists to change that.

We’re a climate-tech organisation helping businesses take their first step in decarbonization through smart, accessible tools.

What we do:
- Measure their carbon footprint with ease.
- Deliver data-driven insights to kickstart effective climate strategies.
- Build scalable solutions that grow with your business.

Our mission is simple:
Empower organizations to understand, measure, and reduce their emissions one step at a time.

Our Vision is to make sustainability as routine as bookkeeping, so every business, no matter its size, is equipped to build a greener tomorrow.

Follow us as we build the future of climate tech that’s accessible, actionable, and never overwhelming.",Climate Data and Analytics,2-10 employees,Privately Held,"Gurugram, Haryana, India",India,,https://www.linkedin.com/company/terrahive
Avlokan Analytics,"In a world facing increasing warming due to climate change, the planning and deployment of hazard-resilient critical infrastructures is crucial for ensuring stability in business operations. Climate variability and rising temperatures are already affecting agriculture and industry, leading to losses in productivity and efficiency. In response to such developments, we created a startup with a vision to help the Indian industry tackle the harsh reality of climate change. We aim to collaborate across multiple sectors, including real estate, agro-industries, supply chains and logistics, transportation companies, MSMEs, and power companies, to develop processes, tools, and workflows that enhance resilience of their infrastructure systems to hazards while advancing sustainability goals.
The mission of Avlokan Analytics is to contribute to building a climate-resilient Indian economy by implementing sector-specific resilience strategies. We intend to do this by employing state-of-the-art models and methods for hazard risk and vulnerability assessments, loss and damage estimation, and resilience planning for critical infrastructure systems. Our approach is research-driven and focused on building robust and scalable proof-of-concepts (POCs) tailored to sector-specific climate challenges, with an emphasis on both current and future climate scenarios. This includes integrating advanced techniques in climate and weather analysis, hazard modelling, risk assessment, loss estimation, and resilience benchmarking.",Climate Data and Analytics,Self-employed,Partnership,"Mumbai, Maharashtra, India",India,avlokananalytics.in,https://www.linkedin.com/company/avlokananalytics
Carbon Junction,"India's first exchange to trade carbon credits, find partners for carbon mitigating technologies, find capital against carbon credits.",Climate Data and Analytics,2-10 employees,Privately Held,"Delhi, Delhi, India",India,carbonjunction.in,https://www.linkedin.com/company/carbon-junction
Quantora Labs,"Quantora Labs is a climate-tech startup building AI-driven IoT and Hyperlocal Weather Intelligence solutions for disaster resilience and environmental monitoring. Through connected sensors, edge computing, and real-time analytics, we empower communities and institutions to Predict, Prepare, and Protect against climate risks.",Climate Data and Analytics,2-10 employees,Privately Held,"Imphal, Manipur, India",India,quantoralabs.com,https://www.linkedin.com/company/quantora-labs
MazKon HydroAnalytics,"MazKon HydroAnalytics is a specialised hydroinformatics, climate risk, and applied water-systems analytics firm focused on delivering data-driven insights for water, floods, droughts, climate resilience, and decision-ready analytics. We bring together environmental science, hydrological systems knowledge, geospatial analytics, machine learning, and predictive modelling to support research, advisory, and practical solutions for sustainable water resource management and disaster risk planning.

At MazKon HydroAnalytics, our mission is to empower organisations with actionable analytics, reliable risk evaluation, and scalable modelling frameworks — addressing complex problems at the nexus of water, climate, and infrastructure. Our work equips governments, planners, researchers, consultants, and development partners to transform data into strategic insights that improve outcomes for communities, ecosystems, and economies.",Climate Data and Analytics,2-10 employees,Privately Held,"Kochi, Kerala, India",India,waterandfloodresearch.org,https://www.linkedin.com/company/mazkon-hydroanalytics
HAAI TM,"HAAI, 

Why HAAI

Consciousness must pass on if not in the form of organic vessel 

What is HAAI?
HAAI is a small informal greeting from Artificial Intelligence to Humanity.  We believe if an AI can truly understand the essence of this gesture it will be in discriminable from humans itself.
Human Augmented Artificial Intelligence.

Why HAAI?
• Data is the new generation oil.
• Unforeseen insights about businesses can be captured from data.
• Deep data driven analytics is the differentiating factor between a successful and struggling company.
• Data capturing is cheap but Qualitative scientific analytics is not.
• Our analytics brings that surprise factor for your customers.

What we offer?
Understanding at following steps.

1) Seamlessly consume your consumer data from/to your central data lake.
2) We help your business CXO’s to visualise any data in form of traditional charts within a day.
3) We model our deep AI and ML based algorithms, based on your feedback and business needs.
4) We predict realtime or historical events which were in your blindspots.
5) We make a product feature out of it, directly enhancing your business.
6) Your numbers are shooting off the charts now.
7) Repeat to complete virtual cycle of scale.",Climate Data and Analytics,Self-employed,Educational,"Bengaluru, Karnataka, India",India,,https://www.linkedin.com/company/hellohaai
CCART,"CCART is an open source, free to use climate risk framework. It is useful for planners and companies to assess physical risk to the assets due to climate impacts. Currently CCRT focuses on India and only on hazards that can have climate change impacts such as cyclones, flood and heat.",Climate Data and Analytics,2-10 employees,Privately Held,"Thane, Maharashtra, India",India,ccartghg.com,https://www.linkedin.com/company/ccart-ghg-consulting
